Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Adam Oxley,1.0,1.0,0.7692307692307693,0.7692307692307693,1.0,1.0,0.15384615384615385,0.2857142857142857,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.1111111111111111,0.25,0.5714285714285714,0.5714285714285714,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.5,0.6666666666666666,0.7142857142857143,0.8823529411764706,1.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.2727272727272727,0.42857142857142855,0.9384858044164038,1.0,0.125,0.0,0.7,0.7,0.0,0.0,0.8571428571428571,0.8674698795180723,0,Home,0,0.15384615384615385,0.4,0.15384615384615385,0.4,0.2857142857142857,0.3333333333333333,0.2727272727272727,0.42857142857142855,0.5,0.5454545454545454
Scott Pendlebury,0.8,0.8,1.0,1.0,0.9666666666666667,0.9666666666666667,0.38461538461538464,0.7142857142857143,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.3333333333333333,0.75,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.6875,0.9166666666666666,0.8095238095238095,1.0,0.9583333333333334,0.9583333333333334,0.3333333333333333,0.3333333333333333,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.25,0.5,0.2857142857142857,0.6666666666666666,0.36363636363636365,0.5714285714285714,0.7886435331230284,0.8403361344537815,0.5,0.4285714285714286,0.3,0.3,0.0,0.0,0.75,0.7590361445783133,0,Home,0,0.3076923076923077,0.8,0.38461538461538464,1.0,0.0,0.0,0.36363636363636365,0.5714285714285714,0.5,0.5454545454545454
Dane Swan,0.55,0.55,0.8461538461538461,0.8461538461538461,0.7333333333333333,0.7333333333333333,0.15384615384615385,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0,1.0,0.5555555555555556,1.0,0.3333333333333333,0.75,0.8571428571428572,0.8571428571428572,0.0,0.0,0.3333333333333333,0.5,0.75,0.75,0.6875,0.9166666666666666,0.5714285714285714,0.7058823529411765,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,1.0,0.5,1.0,0.14285714285714285,0.3333333333333333,0.45454545454545453,0.7142857142857143,0.48738170347003157,0.519327731092437,0.5,0.4285714285714286,0.0,0.0,0.0,0.0,0.8452380952380952,0.8554216867469879,0,Home,0,0.07692307692307693,0.2,0.15384615384615385,0.4,0.2857142857142857,0.3333333333333333,0.2727272727272727,0.42857142857142855,0.7857142857142857,0.9090909090909091
Tom Langdon,0.55,0.55,0.8461538461538461,0.8461538461538461,0.7333333333333333,0.7333333333333333,0.3076923076923077,0.5714285714285714,0.0,0.0,0.3333333333333333,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5,0.5,0.3333333333333333,0.6,0.1111111111111111,0.25,0.2857142857142857,0.2857142857142857,0.4166666666666667,0.4166666666666667,0.0,0.0,0.75,0.75,0.625,0.8333333333333334,0.47619047619047616,0.5882352941176471,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.5714285714285714,0.8201892744479495,0.8739495798319328,0.125,0.0,1.0,1.0,0.0,0.0,0.8333333333333334,0.8433734939759037,0,Home,0,0.23076923076923078,0.6,0.15384615384615385,0.4,0.2857142857142857,0.3333333333333333,0.2727272727272727,0.42857142857142855,0.7857142857142857,0.9090909090909091
Taylor Adams,0.4,0.4,0.9230769230769231,0.9230769230769231,0.6666666666666666,0.6666666666666666,0.15384615384615385,0.2857142857142857,0.0,0.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.4444444444444444,0.8,0.2222222222222222,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.75,0.75,0.75,1.0,0.42857142857142855,0.5294117647058824,0.375,0.375,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.25,0.5,0.14285714285714285,0.3333333333333333,0.2727272727272727,0.42857142857142855,0.37697160883280756,0.4016806722689076,0.75,0.7142857142857143,0.1,0.1,0.5,0.6666666666666666,0.7976190476190477,0.8072289156626506,0,Home,0,0.15384615384615385,0.4,0.15384615384615385,0.4,0.7142857142857143,0.8333333333333334,0.2727272727272727,0.42857142857142855,0.8571428571428571,1.0
Timothy Broomhead,0.35,0.35,0.7692307692307693,0.7692307692307693,0.5666666666666667,0.5666666666666667,0.07692307692307693,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.4444444444444444,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.3333333333333333,0.5,0.5,0.5,0.625,0.8333333333333334,0.3333333333333333,0.4117647058823529,0.5416666666666666,0.5416666666666666,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.25,0.5,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0.471608832807571,0.5025210084033613,0.5,0.4285714285714286,0.4,0.4,0.0,0.0,0.8214285714285714,0.8313253012048193,0,Home,0,0.07692307692307693,0.2,0.07692307692307693,0.2,0.2857142857142857,0.3333333333333333,0.2727272727272727,0.42857142857142855,0.35714285714285715,0.36363636363636365
Jackson Ramsay,0.35,0.35,0.7692307692307693,0.7692307692307693,0.5666666666666667,0.5666666666666667,0.15384615384615385,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.4166666666666667,0.4166666666666667,0.0,0.0,1.0,1.0,0.375,0.5,0.47619047619047616,0.5882352941176471,0.4583333333333333,0.4583333333333333,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.36363636363636365,0.5714285714285714,0.4242902208201893,0.45210084033613446,0.375,0.2857142857142857,0.6,0.6,0.0,0.0,0.7857142857142857,0.7951807228915663,0,Home,0,0.15384615384615385,0.4,0.15384615384615385,0.4,0.0,0.0,0.36363636363636365,0.5714285714285714,0.5,0.5454545454545454
Jesse White,0.35,0.35,0.5384615384615384,0.5384615384615384,0.4666666666666667,0.4666666666666667,0.5384615384615384,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.25,0.25806451612903225,0.5,0.5,0.1111111111111111,0.2,0.1111111111111111,0.25,0.4285714285714286,0.4285714285714286,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.5,0.75,0.75,0.625,0.8333333333333334,0.23809523809523808,0.29411764705882354,0.4583333333333333,0.4583333333333333,1.0,1.0,0.5,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.6363636363636364,1.0,0.3359621451104101,0.35798319327731093,0.625,0.5714285714285714,0.2,0.2,0.0,0.0,0.7738095238095238,0.7831325301204819,0,Home,0,0.3076923076923077,0.8,0.3076923076923077,0.8,0.0,0.0,0.5454545454545454,0.8571428571428571,0.2857142857142857,0.2727272727272727
Marley Williams,0.35,0.35,0.5384615384615384,0.5384615384615384,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.0,0.8571428571428572,0.8571428571428572,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.6875,0.9166666666666666,0.047619047619047616,0.058823529411764705,0.4583333333333333,0.4583333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,1.0,0.2857142857142857,0.6666666666666666,0.2727272727272727,0.42857142857142855,0.40536277602523657,0.4319327731092437,0.875,0.8571428571428572,0.8,0.8,0.25,0.3333333333333333,0.8095238095238095,0.8192771084337349,0,Home,0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.2727272727272727,0.42857142857142855,0.2857142857142857,0.2727272727272727
Jack Crisp,0.4,0.4,0.46153846153846156,0.46153846153846156,0.4666666666666667,0.4666666666666667,0.3076923076923077,0.5714285714285714,0.0,0.0,0.6666666666666666,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.5,1.0,1.0,0.25,0.3333333333333333,0.5238095238095238,0.6470588235294118,0.4166666666666667,0.4166666666666667,0.0,0.0,0.16666666666666666,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.7142857142857143,0.638801261829653,0.680672268907563,0.375,0.2857142857142857,0.2,0.2,0.0,0.0,0.7738095238095238,0.7831325301204819,0,Home,0,0.3076923076923077,0.8,0.23076923076923078,0.6,0.14285714285714285,0.16666666666666666,0.45454545454545453,0.7142857142857143,0.35714285714285715,0.36363636363636365
