Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Jason Tutt,0.8421052631578947,0.7857142857142857,0.5625,0.5625,1.0,1.0,0.45454545454545453,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.5,0.5,0.6666666666666666,0.8,0.375,0.375,0.4285714285714286,0.19999999999999996,1.0,1.0,0.0,0.0,1.0,1.0,0.4666666666666667,0.42857142857142855,0.9444444444444444,0.9333333333333333,0.631578947368421,0.5714285714285714,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,0.7551401869158878,0.8859649122807017,0.0,0.0,0.5,0.75,0.3333333333333333,0.5,0.9696969696969697,0.9827586206896551,1,Home,0,0.5,0.4444444444444444,0.45454545454545453,0.4,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,1.0,1.0
Patrick Cripps,0.47368421052631576,0.2857142857142857,1.0,1.0,1.0,1.0,0.2727272727272727,0.2,0.5,0.5,0.0,0.0,0.3,0.3,0.05128205128205128,0.09090909090909091,0.5,0.5,0.3333333333333333,0.4,1.0,1.0,0.7142857142857143,0.6,0.16666666666666666,0.16666666666666666,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,1.0,0.3888888888888889,0.26666666666666666,0.8947368421052632,0.9285714285714286,0.25,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.375,0.375,0.2205607476635514,0.25877192982456143,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.5,0.3333333333333333,0.5,0.8333333333333334,0.8275862068965517,1,Home,2,0.2,0.1111111111111111,0.18181818181818182,0.1,0.2222222222222222,0.2222222222222222,0.2857142857142857,0.2857142857142857,0.6153846153846154,0.6153846153846154
Edward Curnow,0.7368421052631579,0.6428571428571429,0.625,0.625,0.96,0.9473684210526315,0.6363636363636364,0.6,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.5,0.6,0.125,0.125,0.7142857142857143,0.6,0.5,0.5,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.4666666666666667,0.42857142857142855,0.8888888888888888,0.8666666666666667,0.9473684210526315,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.375,0.375,0.5327102803738317,0.625,0.2857142857142857,0.2857142857142857,0.4166666666666667,0.625,0.3333333333333333,0.5,0.9393939393939394,0.9482758620689655,1,Home,0,0.7,0.6666666666666666,0.6363636363636364,0.6,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.46153846153846156,0.46153846153846156
Sam Docherty,1.0,1.0,0.3125,0.3125,0.96,0.9473684210526315,1.0,1.0,0.0,0.0,0.5,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.125,0.125,0.4285714285714286,0.19999999999999996,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.2857142857142857,1.0,1.0,0.9473684210526315,1.0,0.25,0.5,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.375,0.375,0.8411214953271028,0.9868421052631579,0.1428571428571429,0.1428571428571429,0.4166666666666667,0.625,0.0,0.0,0.9393939393939394,0.9482758620689655,1,Home,0,1.0,1.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.42857142857142855,0.42857142857142855,0.46153846153846156,0.46153846153846156
Zach Tuohy,0.6842105263157895,0.5714285714285714,0.5625,0.5625,0.88,0.8421052631578947,0.6363636363636364,0.6,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.6,0.125,0.125,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.6,0.5714285714285714,0.6666666666666666,0.6,0.9473684210526315,1.0,0.0,0.0,0.0,0.0,0.125,0.125,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.375,0.375,0.8523364485981308,1.0,0.5714285714285714,0.5714285714285714,0.6666666666666666,1.0,0.0,0.0,0.9393939393939394,0.9482758620689655,1,Home,0,0.7,0.6666666666666666,0.6363636363636364,0.6,0.1111111111111111,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.3076923076923077,0.3076923076923077
Marc Murphy,0.5789473684210527,0.42857142857142855,0.375,0.375,0.68,0.5789473684210527,0.18181818181818182,0.1,0.0,0.0,0.0,0.0,0.3,0.3,0.02564102564102564,0.045454545454545456,1.0,1.0,0.8333333333333334,1.0,0.25,0.25,0.7142857142857143,0.6,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4,0.35714285714285715,0.6111111111111112,0.5333333333333333,0.5263157894736842,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6579439252336449,0.7719298245614035,0.4285714285714286,0.4285714285714286,0.08333333333333333,0.125,0.0,0.0,0.3939393939393939,0.3275862068965517,1,Home,0,0.2,0.1111111111111111,0.18181818181818182,0.1,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.5384615384615384,0.5384615384615384
Matthew Kreuzer,0.47368421052631576,0.2857142857142857,0.4375,0.4375,0.64,0.5263157894736842,0.2727272727272727,0.2,0.75,0.75,0.0,0.0,0.5,0.5,0.5641025641025641,1.0,0.0,0.0,0.5,0.6,0.5,0.5,0.4285714285714286,0.19999999999999996,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.7333333333333333,0.7142857142857143,0.2222222222222222,0.06666666666666667,0.5789473684210527,0.5,0.25,0.5,0.6666666666666666,0.6666666666666666,0.25,0.25,0.0,0.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.875,0.875,0.7046728971962617,0.8267543859649122,0.8571428571428572,0.8571428571428572,0.3333333333333333,0.5,0.6666666666666666,1.0,0.6818181818181818,0.6551724137931034,1,Home,3,0.2,0.1111111111111111,0.09090909090909091,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.38461538461538464,0.38461538461538464
Tom Bell,0.631578947368421,0.5,0.25,0.25,0.64,0.5263157894736842,0.2727272727272727,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.2857142857142857,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.2857142857142857,0.5,0.4,0.5263157894736842,0.42857142857142855,0.0,0.0,0.0,0.0,0.25,0.25,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5158878504672897,0.6052631578947368,0.2857142857142857,0.2857142857142857,0.25,0.375,0.3333333333333333,0.5,0.803030303030303,0.7931034482758621,1,Home,0,0.3,0.2222222222222222,0.2727272727272727,0.2,1.0,1.0,0.0,0.0,0.46153846153846156,0.46153846153846156
Sam Rowe,0.631578947368421,0.5,0.1875,0.1875,0.6,0.47368421052631576,0.5454545454545454,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.1282051282051282,0.22727272727272727,0.0,0.0,0.0,0.0,0.125,0.125,0.7142857142857143,0.6,0.5,0.5,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.6842105263157895,0.6428571428571429,0.5,1.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.25,0.33457943925233646,0.3925438596491228,0.8571428571428572,0.8571428571428572,0.6666666666666666,1.0,0.0,0.0,0.9848484848484849,1.0,1,Home,0,0.4,0.3333333333333333,0.5454545454545454,0.5,0.5555555555555556,0.5555555555555556,0.2857142857142857,0.2857142857142857,0.15384615384615385,0.15384615384615385
Dylan Buckley,0.47368421052631576,0.2857142857142857,0.375,0.375,0.6,0.47368421052631576,0.36363636363636365,0.3,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.125,0.125,0.5714285714285714,0.4,0.8333333333333334,0.8333333333333334,0.0,0.0,0.6666666666666667,0.6666666666666667,0.13333333333333333,0.07142857142857142,0.6666666666666666,0.6,0.7368421052631579,0.7142857142857143,0.0,0.0,0.0,0.0,0.375,0.375,0.4,0.4,0.0,0.0,0.16666666666666666,0.16666666666666666,0.375,0.375,0.6186915887850467,0.7258771929824561,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.9696969696969697,0.9827586206896551,1,Home,0,0.4,0.3333333333333333,0.36363636363636365,0.3,0.2222222222222222,0.2222222222222222,0.42857142857142855,0.42857142857142855,0.07692307692307693,0.07692307692307693
