Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Liam Shiels,0.55,0.55,1.0,0.6875,1.0,0.7317073170731707,0.4,0.4,0.25,0.25,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6363636363636364,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.6153846153846154,0.6428571428571429,0.8695652173913043,0.75,0.3003003003003003,0.48186528497409326,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.3333333333333333,0.6153846153846154,0.6153846153846154,0.6274509803921569,0.6274509803921569,0.5714285714285714,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.0,0.0,0.8382352941176471,0.8493150684931506,1,2
Jordan Lewis,0.7,0.7,0.7,0.5,0.8928571428571429,0.6585365853658537,0.5,0.5,0.0,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.08695652173913043,0.05,1.0,1.0,0.8333333333333334,0.8333333333333334,0.42857142857142855,0.2727272727272727,0.4,0.2222222222222222,0.25,0.2,0.75,0.75,0.25,0.16666666666666666,0.6,0.5,0.6538461538461539,0.6785714285714286,0.9565217391304348,0.8214285714285714,0.6906906906906908,0.7063903281519862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.3333333333333333,0.5384615384615384,0.5384615384615384,0.7629233511586453,0.7629233511586453,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.4444444444444444,0.0,0.0,0.7352941176470589,0.7534246575342466,1,0
Jarryd Roughead,0.7,0.7,0.65,0.46875,0.8571428571428571,0.6341463414634146,0.6,0.6,0.75,0.75,1.0,1.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.45454545454545453,0.6,0.3333333333333333,0.0,0.0,0.75,0.75,0.25,0.16666666666666666,0.4666666666666667,0.3888888888888889,0.6153846153846154,0.6428571428571429,0.782608695652174,0.6785714285714286,0.3903903903903904,0.533678756476684,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1.0,1.0,0.8734402852049911,0.8734402852049911,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.8970588235294118,0.9041095890410958,1,0
Bradley Hill,1.0,1.0,0.35,0.28125,0.8571428571428571,0.6341463414634146,0.4,0.4,0.25,0.25,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,0.8,0.4444444444444444,0.5,0.4,0.0,0.0,0.5,0.3333333333333333,0.06666666666666667,0.05555555555555555,1.0,1.0,1.0,0.8571428571428571,0.900900900900901,0.8272884283246977,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,1.0,1.0,0.42857142857142855,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.0,0.0,0.8088235294117647,0.821917808219178,1,0
Shaun Burgoyne,0.35,0.35,0.95,0.65625,0.8214285714285714,0.6097560975609756,0.4,0.4,0.25,0.25,0.0,0.0,0.7142857142857143,0.35714285714285715,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.09090909090909091,1.0,0.5555555555555556,0.25,0.2,0.25,0.25,0.5,0.3333333333333333,0.8666666666666667,0.7222222222222222,0.46153846153846156,0.5,0.8695652173913043,0.75,0.6606606606606608,0.689119170984456,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2,0.2,0.0,0.0,0.3076923076923077,0.3076923076923077,0.45454545454545453,0.45454545454545453,0.5714285714285714,0.5714285714285714,1.0,1.0,0.0,0.0,0.7794117647058824,0.7945205479452054,1,0
Jack Gunston,0.7,0.7,0.35,0.28125,0.6428571428571429,0.4878048780487805,1.0,1.0,1.0,1.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.6,0.3333333333333333,0.5,0.4,0.0,0.0,0.25,0.16666666666666666,0.5333333333333333,0.4444444444444444,0.4230769230769231,0.4642857142857143,0.7391304347826086,0.6428571428571429,0.8108108108108109,0.7754749568221071,1.0,1.0,0.25,0.25,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.6153846153846154,0.7254901960784313,0.7254901960784313,0.14285714285714285,0.14285714285714285,0.4444444444444444,0.4444444444444444,0.75,0.75,0.8382352941176471,0.8493150684931506,1,3
Josh Gibson,0.85,0.85,0.15,0.15625,0.6071428571428571,0.4634146341463415,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.8,0.4444444444444444,0.5,0.4,0.25,0.25,0.25,0.16666666666666666,0.2,0.16666666666666666,0.5769230769230769,0.6071428571428571,0.6086956521739131,0.5357142857142857,0.5405405405405406,0.6200345423143351,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.8181818181818182,0.8181818181818182,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,1,0
Grant Birchall,0.6,0.6,0.3,0.25,0.5357142857142857,0.4146341463414634,0.4,0.4,0.0,0.0,0.0,0.0,0.7142857142857143,0.35714285714285715,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.09090909090909091,0.4,0.2222222222222222,0.25,0.2,0.0,0.0,0.5,0.3333333333333333,0.06666666666666667,0.05555555555555555,0.46153846153846156,0.5,0.6521739130434783,0.5714285714285714,0.900900900900901,0.8272884283246977,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.46153846153846156,0.46153846153846156,0.3600713012477718,0.3600713012477718,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.4444444444444444,0.0,0.0,0.75,0.7671232876712328,1,0
Cyril Rioli,0.45,0.45,0.35,0.28125,0.4642857142857143,0.36585365853658536,0.3,0.3,0.25,0.25,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.7142857142857143,0.45454545454545453,0.0,0.0,0.25,0.2,0.25,0.25,0.0,0.0,0.5333333333333333,0.4444444444444444,0.23076923076923078,0.2857142857142857,0.5217391304347826,0.4642857142857143,0.7207207207207208,0.7236614853195164,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.5,0.6,0.6,0.4,0.3333333333333333,0.6923076923076923,0.6923076923076923,0.6096256684491979,0.6096256684491979,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5588235294117647,0.589041095890411,1,0
Isaac Smith,0.4,0.4,0.35,0.28125,0.42857142857142855,0.34146341463414637,0.7,0.7,0.25,0.25,0.0,0.0,0.14285714285714285,0.07142857142857142,0.08695652173913043,0.05,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.06666666666666667,0.05555555555555555,0.46153846153846156,0.5,0.4782608695652174,0.42857142857142855,0.6906906906906908,0.7063903281519862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.6042780748663101,0.6042780748663101,0.42857142857142855,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.25,0.25,0.4264705882352941,0.4657534246575342,1,0
