Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Dyson Heppell,0.8260869565217391,1.0,0.8571428571428571,0.8333333333333334,1.0,1.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,1.0,1.0,0.038461538461538464,0.041666666666666664,0.0,0.0,0.42857142857142855,1.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.25,0.25,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.9545454545454546,1.0,0.9565217391304348,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.25,0.2,0.45652173913043476,0.9015151515151515,0.30000000000000004,0.125,0.36363636363636365,0.36363636363636365,0.5,0.5,0.7605633802816901,0.7605633802816901,0,Home,2,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,1.0,0.25,0.4,0.75,0.8888888888888888
Brent Stanton,0.7391304347826086,0.8947368421052632,0.7857142857142857,0.75,0.896551724137931,0.896551724137931,0.8181818181818182,0.8181818181818182,1.0,1.0,0.0,0.0,0.375,0.2857142857142857,0.0,0.0,0.0,0.0,0.21428571428571427,0.5,0.5,0.5,0.8571428571428572,0.8333333333333334,0.25,0.25,0.0,0.0,1.0,1.0,0.7857142857142857,0.9,0.8181818181818182,0.8571428571428571,0.782608695652174,0.8181818181818182,0.2,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.16666666666666666,0.25,0.625,0.8,0.4424552429667519,0.8737373737373737,0.5,0.375,0.36363636363636365,0.36363636363636365,0.0,0.0,0.8309859154929577,0.8309859154929577,0,Home,0,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.3333333333333333,0.625,1.0,0.8333333333333334,1.0
Brendon Goddard,0.5652173913043478,0.6842105263157895,0.9285714285714286,0.9166666666666666,0.8275862068965517,0.8275862068965517,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.0,0.0,0.5,1.0,0.2857142857142857,0.6666666666666666,0.5,0.5,0.5714285714285714,0.5,0.25,0.25,0.5,0.5,0.75,0.75,0.6428571428571429,0.7,0.7272727272727273,0.7619047619047619,0.8695652173913043,0.9090909090909091,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.75,1.0,0.32864450127877237,0.648989898989899,0.19999999999999996,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0,0.8450704225352113,0.8450704225352113,0,Home,0,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.5714285714285714,0.5,0.625,1.0,0.5,0.5555555555555556
Michael Hibberd,0.4782608695652174,0.5789473684210527,1.0,1.0,0.7931034482758621,0.7931034482758621,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,0.8571428571428572,0.8333333333333334,0.375,0.375,0.0,0.0,1.0,1.0,0.42857142857142855,0.4,0.8636363636363636,0.9047619047619048,0.9130434782608695,0.9545454545454546,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.37595907928388744,0.7424242424242424,0.5,0.375,0.7272727272727273,0.7272727272727273,0.0,0.0,0.8873239436619719,0.8873239436619719,0,Home,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.125,0.2,0.3333333333333333,0.3333333333333333
Jobe Watson,0.34782608695652173,0.42105263157894735,0.9285714285714286,0.9166666666666666,0.6551724137931034,0.6551724137931034,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.625,0.5714285714285714,0.038461538461538464,0.041666666666666664,0.0,0.0,0.07142857142857142,0.16666666666666666,1.0,1.0,0.2857142857142857,0.16666666666666663,0.125,0.125,0.25,0.25,0.25,0.25,0.7857142857142857,0.9,0.5454545454545454,0.5714285714285714,0.782608695652174,0.8181818181818182,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.125,0.0,0.22122762148337596,0.43686868686868685,0.4,0.25,0.2727272727272727,0.2727272727272727,0.5,0.5,0.7605633802816901,0.7605633802816901,0,Home,0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5714285714285714,0.5,0.125,0.2,0.25,0.2222222222222222
Courtenay Dempsey,0.5217391304347826,0.631578947368421,0.5714285714285714,0.5,0.6206896551724138,0.6206896551724138,0.45454545454545453,0.45454545454545453,0.0,0.0,1.0,1.0,0.375,0.2857142857142857,0.0,0.0,0.0,0.0,0.21428571428571427,0.5,0.0,0.0,0.8571428571428572,0.8333333333333334,0.25,0.25,0.25,0.25,0.75,0.75,0.35714285714285715,0.3,0.7727272727272727,0.8095238095238095,0.6521739130434783,0.6818181818181818,0.0,0.0,0.25,0.25,0.3,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.625,0.8,0.4398976982097187,0.8686868686868687,0.7,0.625,0.7272727272727273,0.7272727272727273,0.0,0.0,0.8169014084507042,0.8169014084507042,0,Home,0,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.42857142857142855,0.3333333333333333,0.625,1.0,0.4166666666666667,0.4444444444444444
Mark Baguley,0.5217391304347826,0.631578947368421,0.5714285714285714,0.5,0.6206896551724138,0.6206896551724138,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.21428571428571427,0.5,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.5,0.375,0.375,0.5,0.5,1.0,1.0,0.35714285714285715,0.3,0.7727272727272727,0.8095238095238095,0.782608695652174,0.8181818181818182,0.2,0.3333333333333333,0.0,0.0,0.3,0.3,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.125,0.0,0.5063938618925832,1.0,0.5,0.375,0.7272727272727273,0.7272727272727273,0.5,0.5,0.9014084507042254,0.9014084507042254,0,Home,0,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.42857142857142855,0.3333333333333333,0.125,0.2,0.16666666666666666,0.1111111111111111
Dustin Fletcher,0.5652173913043478,0.6842105263157895,0.42857142857142855,0.3333333333333333,0.5862068965517241,0.5862068965517241,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.35714285714285715,0.3,0.6363636363636364,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.42071611253196933,0.8308080808080808,0.8,0.75,0.6363636363636364,0.6363636363636364,0.0,0.0,0.9295774647887324,0.9295774647887324,0,Home,0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.2857142857142857,0.16666666666666666,0.25,0.4,0.3333333333333333,0.3333333333333333
Cale Hooker,0.5652173913043478,0.6842105263157895,0.42857142857142855,0.3333333333333333,0.5862068965517241,0.5862068965517241,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.6666666666666667,0.875,0.875,0.25,0.25,1.0,1.0,0.5,0.5,0.5909090909090909,0.6190476190476191,0.6956521739130435,0.7272727272727273,0.6,1.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.20843989769820973,0.4116161616161616,0.6,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0,Home,0,0.6363636363636364,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.5714285714285714,0.5,0.125,0.2,0.25,0.2222222222222222
Michael Hurley,0.6521739130434783,0.7894736842105263,0.2857142857142857,0.16666666666666666,0.5862068965517241,0.5862068965517241,0.6363636363636364,0.6363636363636364,0.0,0.0,0.5,0.5,0.125,0.0,0.0,0.0,0.5,1.0,0.07142857142857142,0.16666666666666666,0.0,0.0,0.8571428571428572,0.8333333333333334,0.5,0.5,0.5,0.5,1.0,1.0,0.42857142857142855,0.4,0.5909090909090909,0.6190476190476191,0.6956521739130435,0.7272727272727273,0.2,0.3333333333333333,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.8,0.4258312020460358,0.8409090909090909,0.8,0.75,0.5454545454545454,0.5454545454545454,0.0,0.0,0.9577464788732394,0.9577464788732394,0,Home,0,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.14285714285714285,0.0,0.5,0.8,0.25,0.2222222222222222
