Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Chris Masten,1.0,1.0,0.45454545454545453,0.45454545454545453,0.9090909090909091,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.2222222222222222,0.2222222222222222,0.8571428571428572,0.8,0.5714285714285714,1.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.46153846153846156,0.4166666666666667,1.0,1.0,0.8928571428571429,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.4,0.4,0.7272727272727273,0.6666666666666666,1.0,1.0,0.5714285714285714,0.5,0.4444444444444444,0.5,0.0,0.0,0.9493670886075949,0.9493670886075949,1,Home,0,1.0,1.0,1.0,1.0,0.25,0.25,0.8,0.75,0.5,0.625
Andrew Gaff,0.8,0.7894736842105263,0.5909090909090909,0.5909090909090909,0.8787878787878788,0.9642857142857143,0.36363636363636365,0.3,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4444444444444444,0.4444444444444444,0.5714285714285714,0.4,0.5714285714285714,1.0,0.5,0.6666666666666666,1.0,1.0,0.8461538461538461,0.8333333333333334,0.84,0.84,0.75,0.8260869565217391,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.4,0.6666666666666666,0.0,0.0,0.8,0.8,1.0,1.0,0.7585139318885449,0.7585139318885449,0.1428571428571429,0.0,0.6666666666666666,0.75,0.0,0.0,1.0,1.0,1,Home,1,0.36363636363636365,0.3,0.36363636363636365,0.36363636363636365,0.375,0.375,1.0,1.0,0.8,1.0
Matthew Priddis,0.2,0.15789473684210525,1.0,1.0,0.7878787878787878,0.8571428571428571,0.45454545454545453,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.4,0.14285714285714285,0.25,0.0,0.0,0.33333333333333337,0.33333333333333337,0.9230769230769231,0.9166666666666666,0.64,0.64,0.75,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.4,0.4,0.45454545454545453,0.3333333333333333,0.369969040247678,0.369969040247678,0.7142857142857143,0.6666666666666667,0.4444444444444444,0.5,0.2,0.25,0.8987341772151899,0.8987341772151899,1,Home,0,0.45454545454545453,0.4,0.45454545454545453,0.45454545454545453,1.0,1.0,0.2,0.0,0.5,0.625
Sam Butler,0.7,0.6842105263157895,0.36363636363636365,0.36363636363636365,0.6666666666666666,0.7142857142857143,0.7272727272727273,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.8571428571428572,0.8,0.5714285714285714,1.0,0.25,0.3333333333333333,1.0,1.0,0.23076923076923078,0.16666666666666666,0.8,0.8,0.6785714285714286,0.7391304347826086,0.0,0.0,0.0,0.0,0.25,0.5,0.4,0.6666666666666666,0.0,0.0,0.2,0.2,0.5454545454545454,0.4444444444444444,0.5479876160990712,0.5479876160990712,0.7142857142857143,0.6666666666666667,0.5555555555555556,0.625,0.0,0.0,0.9493670886075949,0.9493670886075949,1,Home,0,0.7272727272727273,0.7,0.7272727272727273,0.7272727272727273,0.0,0.0,0.6,0.5,0.3,0.375
Elliot Yeo,0.55,0.5263157894736842,0.5,0.5,0.6666666666666666,0.7142857142857143,0.8181818181818182,0.8,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.14285714285714285,0.21052631578947367,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2857142857142857,0.0,0.0,0.0,0.25,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6923076923076923,0.6666666666666666,0.6,0.6,0.6785714285714286,0.7391304347826086,0.5,0.5,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.25,0.25,0.2,0.2,0.6363636363636364,0.5555555555555556,0.5835913312693498,0.5835913312693498,0.2857142857142857,0.16666666666666663,0.4444444444444444,0.5,0.2,0.25,0.7721518987341772,0.7721518987341772,1,Home,2,0.7272727272727273,0.7,0.8181818181818182,0.8181818181818182,0.5,0.5,0.6,0.5,0.3,0.375
Liam Duggan,0.65,0.631578947368421,0.4090909090909091,0.4090909090909091,0.6666666666666666,0.7142857142857143,0.6363636363636364,0.6,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.7142857142857143,0.6,0.0,0.0,0.0,0.0,1.0,1.0,0.3076923076923077,0.25,0.8,0.8,0.5,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6363636363636364,0.5555555555555556,0.7430340557275542,0.7430340557275542,0.4285714285714286,0.33333333333333337,0.0,0.0,0.2,0.25,0.8481012658227848,0.8481012658227848,1,Home,0,0.6363636363636364,0.6,0.6363636363636364,0.6363636363636364,0.25,0.25,0.7,0.625,0.8,1.0
Sharrod Wellingham,0.75,0.7368421052631579,0.2727272727272727,0.2727272727272727,0.6363636363636364,0.6785714285714286,0.7272727272727273,0.7,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.8571428571428572,0.8,0.42857142857142855,0.75,0.25,0.3333333333333333,1.0,1.0,0.6153846153846154,0.5833333333333334,0.6,0.6,0.6071428571428571,0.6521739130434783,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.4,0.6666666666666666,0.0,0.0,0.2,0.2,0.36363636363636365,0.2222222222222222,0.7414860681114551,0.7414860681114551,0.1428571428571429,0.0,0.8888888888888888,1.0,0.0,0.0,0.8987341772151899,0.8987341772151899,1,Home,0,0.7272727272727273,0.7,0.7272727272727273,0.7272727272727273,0.25,0.25,0.3,0.125,0.4,0.5
Luke Shuey,0.45,0.42105263157894735,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6785714285714286,0.2727272727272727,0.2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.8571428571428572,0.8,0.14285714285714285,0.25,0.75,1.0,0.6666666666666667,0.6666666666666667,1.0,1.0,0.4,0.4,0.6071428571428571,0.6521739130434783,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8888888888888888,0.5913312693498453,0.5913312693498453,0.7142857142857143,0.6666666666666667,0.2222222222222222,0.25,0.0,0.0,0.7721518987341772,0.7721518987341772,1,Home,0,0.2727272727272727,0.2,0.18181818181818182,0.18181818181818182,0.625,0.625,0.8,0.75,0.4,0.5
Bradley Sheppard,0.55,0.5263157894736842,0.36363636363636365,0.36363636363636365,0.5757575757575758,0.6071428571428571,0.5454545454545454,0.5,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.7142857142857143,0.6,0.2857142857142857,0.5,0.25,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.38461538461538464,0.3333333333333333,0.6,0.6,0.6428571428571429,0.6956521739130435,0.0,0.0,0.0,0.0,0.25,0.5,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.4102167182662539,0.4102167182662539,0.5714285714285714,0.5,0.6666666666666666,0.75,0.2,0.25,1.0,1.0,1,Home,0,0.5454545454545454,0.5,0.5454545454545454,0.5454545454545454,0.125,0.125,0.2,0.0,0.1,0.125
Josh Hill,0.6,0.5789473684210527,0.18181818181818182,0.18181818181818182,0.48484848484848486,0.5,0.36363636363636365,0.3,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5714285714285714,0.4,0.0,0.0,0.5,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.46153846153846156,0.4166666666666667,0.4,0.4,0.42857142857142855,0.43478260869565216,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6,1.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.5555555555555556,0.5479876160990712,0.5479876160990712,0.4285714285714286,0.33333333333333337,0.3333333333333333,0.375,0.0,0.0,0.9113924050632911,0.9113924050632911,1,Home,0,0.2727272727272727,0.2,0.2727272727272727,0.2727272727272727,0.375,0.375,0.7,0.625,0.4,0.5
