Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Kieren Jack,0.55,0.5238095238095238,1.0,1.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,1.0,1.0,0.2857142857142857,0.25,0.8571428571428571,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.65,0.65,0.875,0.8888888888888888,0.18681318681318682,0.26,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.6666666666666666,0.7272727272727273,0.5868372943327239,0.5794223826714802,0.5,0.5,0.75,0.75,0.0,0.0,0.821917808219178,0.821917808219178,1,0
Tom Mitchell,0.6,0.5714285714285714,0.8333333333333334,0.8421052631578947,0.9166666666666666,0.92,0.4444444444444444,0.4444444444444444,0.0,0.0,0.5,0.3333333333333333,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.25,0.7142857142857143,0.5555555555555556,0.42857142857142855,0.42857142857142855,0.4,0.2222222222222222,0.0,0.0,0.5,0.25,0.47058823529411764,0.47058823529411764,0.9,0.9,1.0,1.0,0.45054945054945056,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.46983546617915906,0.463898916967509,0.375,0.375,0.125,0.125,0.5,0.3333333333333333,0.726027397260274,0.726027397260274,1,0
Lewis Jetta,1.0,0.9523809523809523,0.3333333333333333,0.3684210526315789,0.875,0.88,0.7777777777777778,0.7777777777777778,0.0,0.0,1.0,0.6666666666666666,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.375,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.4,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.0,0.35294117647058826,0.35294117647058826,1.0,1.0,0.875,0.8888888888888888,0.34065934065934067,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.5454545454545454,0.9634369287020109,0.9512635379061372,0.375,0.375,0.5,0.5,0.0,0.0,0.7945205479452054,0.7945205479452054,1,0
Daniel Hannebery,0.7,0.6666666666666666,0.5555555555555556,0.5789473684210527,0.7916666666666666,0.8,1.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.2,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5,0.25,0.4117647058823529,0.4117647058823529,0.85,0.85,0.5625,0.6111111111111112,0.03296703296703297,0.12,0.5,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2222222222222222,0.36363636363636365,0.7477148080438757,0.7382671480144405,0.75,0.75,0.125,0.125,0.5,0.3333333333333333,0.7945205479452054,0.7945205479452054,1,2
Rhyce Shaw,0.75,0.7142857142857143,0.4444444444444444,0.47368421052631576,0.75,0.76,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.6,0.3333333333333333,0.0,0.0,0.5,0.25,0.23529411764705882,0.23529411764705882,1.0,1.0,0.9375,0.9444444444444444,0.6263736263736264,0.66,0.5,0.5,0.0,0.0,0.2222222222222222,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.36363636363636365,0.6819012797074955,0.6732851985559567,0.375,0.375,0.875,0.875,0.5,0.3333333333333333,0.7808219178082192,0.7808219178082192,1,0
Luke Parker,0.5,0.47619047619047616,0.7222222222222222,0.7368421052631579,0.75,0.76,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.375,0.375,0.018867924528301886,0.018867924528301886,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5,1.0,0.7777777777777778,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.5,0.25,0.47058823529411764,0.47058823529411764,0.7,0.7,0.75,0.7777777777777778,0.34065934065934067,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6363636363636364,0.7458866544789763,0.7364620938628159,0.5,0.5,0.0,0.0,0.5,0.3333333333333333,0.7945205479452054,0.7945205479452054,1,0
Ben McGlynn,0.6,0.5714285714285714,0.5555555555555556,0.5789473684210527,0.7083333333333334,0.72,0.7777777777777778,0.7777777777777778,0.2857142857142857,0.2857142857142857,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.42857142857142855,0.375,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2,0.1111111111111111,1.0,1.0,0.5,0.25,0.4117647058823529,0.4117647058823529,0.75,0.75,0.875,0.8888888888888888,0.6043956043956044,0.64,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7272727272727273,0.4570383912248629,0.45126353790613716,0.25,0.25,0.25,0.25,0.5,0.3333333333333333,0.821917808219178,0.821917808219178,1,0
Lance Franklin,0.9,0.8571428571428571,0.16666666666666666,0.21052631578947367,0.6666666666666666,0.68,0.7777777777777778,0.7777777777777778,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.25,0.35294117647058826,0.35294117647058826,0.8,0.8,0.4375,0.5,-0.01098901098901099,0.08,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9873646209386282,1.0,1.0,0.125,0.125,1.0,0.6666666666666666,0.8493150684931506,0.8493150684931506,1,3
Josh P. Kennedy,0.55,0.5238095238095238,0.5555555555555556,0.5789473684210527,0.6666666666666666,0.68,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5,0.8571428571428571,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.2,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6470588235294118,0.6470588235294118,0.5,0.5,0.5,0.5555555555555556,0.0989010989010989,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.45454545454545453,0.6544789762340036,0.6462093862815884,0.625,0.625,0.25,0.25,0.5,0.3333333333333333,0.7945205479452054,0.7945205479452054,1,0
Adam Goodes,0.7,0.6666666666666666,0.3333333333333333,0.3684210526315789,0.625,0.64,1.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.7142857142857143,0.625,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,0.4117647058823529,0.4117647058823529,0.65,0.65,0.5625,0.6111111111111112,0.25274725274725274,0.32,0.5,0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5555555555555556,0.6363636363636364,0.7769652650822669,0.7671480144404332,0.375,0.375,0.125,0.125,0.0,0.0,0.8767123287671232,0.8767123287671232,1,1
Harry Cunningham,0.55,0.5238095238095238,0.4444444444444444,0.47368421052631576,0.5833333333333334,0.6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,0.25,0.25,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5,0.5714285714285714,0.4444444444444444,0.0,0.0,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,0.4117647058823529,0.4117647058823529,0.6,0.6,0.625,0.6666666666666666,0.45054945054945056,0.5,0.0,0.0,0.2,0.2,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.7777777777777778,0.8181818181818182,0.5722120658135283,0.5649819494584838,0.125,0.125,0.25,0.25,0.0,0.0,0.8356164383561644,0.8356164383561644,1,0
Dane Rampe,0.55,0.5238095238095238,0.3333333333333333,0.3684210526315789,0.5,0.52,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.375,0.0,0.0,0.14285714285714285,0.14285714285714285,0.4,0.2222222222222222,0.0,0.0,0.5,0.25,0.11764705882352941,0.11764705882352941,0.75,0.75,0.6875,0.7222222222222222,0.7362637362637363,0.76,0.0,0.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.45454545454545453,0.5521023765996343,0.5451263537906137,0.0,0.0,0.5,0.5,0.0,0.0,0.7945205479452054,0.7945205479452054,1,0
Jarrad McVeigh,0.5,0.47619047619047616,0.3333333333333333,0.3684210526315789,0.4583333333333333,0.48,0.7777777777777778,0.7777777777777778,0.14285714285714285,0.14285714285714285,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.14285714285714285,0.1111111111111111,0.2857142857142857,0.2857142857142857,0.4,0.2222222222222222,0.0,0.0,0.5,0.25,0.11764705882352941,0.11764705882352941,0.65,0.65,0.6875,0.7222222222222222,0.8681318681318682,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5555555555555556,0.6363636363636364,0.5740402193784278,0.5667870036101083,0.125,0.125,0.375,0.375,0.0,0.0,0.5342465753424658,0.5342465753424658,1,0
Nick Smith,0.35,0.3333333333333333,0.3888888888888889,0.42105263157894735,0.375,0.4,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.29411764705882354,0.29411764705882354,0.4,0.4,0.375,0.4444444444444444,0.4065934065934066,0.46,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.31992687385740404,0.315884476534296,0.0,0.0,1.0,1.0,0.0,0.0,0.8493150684931506,0.8493150684931506,1,0
Daniel Robinson,0.4,0.38095238095238093,0.3333333333333333,0.3684210526315789,0.375,0.4,0.5555555555555556,0.5555555555555556,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,0.42857142857142855,0.3333333333333333,0.0,0.0,0.2,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.0,0.0,0.35294117647058826,0.35294117647058826,0.4,0.4,0.5,0.5555555555555556,0.6923076923076923,0.72,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.5703839122486288,0.5631768953068592,0.0,0.0,0.25,0.25,0.5,0.3333333333333333,0.6986301369863014,0.6986301369863014,1,0
