Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Jordan Lewis,0.7272727272727273,0.5925925925925926,1.0,0.6666666666666666,1.0,0.7741935483870968,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.02857142857142857,0.02,0.0,0.0,0.5555555555555556,0.5555555555555556,1.0,0.5454545454545454,0.6,0.375,0.4,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.25,0.8,0.5555555555555556,0.7777777777777778,0.7,1.0,0.76,0.6285714285714286,0.6533333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,0.75,0.375,0.6666666666666666,0.625,0.5477792732166891,0.4710648148148148,0.7142857142857143,0.45454545454545453,0.3076923076923077,0.3076923076923077,0.0,0.0,0.5,0.5,1,0
Isaac Smith,1.0,0.8148148148148148,0.4,0.26666666666666666,1.0,0.7741935483870968,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.2727272727272727,0.6,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3,0.2777777777777778,1.0,0.9,1.0,0.76,0.6285714285714286,0.6533333333333333,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.8333333333333334,0.75,1.0,0.8599537037037037,1.0,0.6363636363636364,0.23076923076923078,0.23076923076923078,0.0,0.0,0.5833333333333334,0.5833333333333334,1,0
Sam Mitchell,0.7272727272727273,0.5925925925925926,0.8,0.5333333333333333,0.9130434782608695,0.7096774193548387,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.36363636363636365,0.6,0.375,0.2,0.125,1.0,1.0,0.6666666666666666,0.5,0.5,0.3888888888888889,0.8888888888888888,0.8,0.6666666666666666,0.52,0.37142857142857144,0.41333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1,0.1,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.25,0.8333333333333334,0.75,0.8156123822341858,0.7013888888888888,0.8571428571428571,0.5454545454545454,0.23076923076923078,0.23076923076923078,0.0,0.0,0.7777777777777778,0.7777777777777778,1,0
Grant Birchall,0.7727272727272727,0.6296296296296297,0.2,0.13333333333333333,0.6956521739130435,0.5483870967741935,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,1.0,0.5,0.7777777777777778,0.7777777777777778,0.16666666666666666,0.09090909090909091,0.8,0.5,1.0,0.625,0.0,0.0,0.3333333333333333,0.25,0.4,0.3333333333333333,0.6111111111111112,0.55,0.6111111111111112,0.48,0.4857142857142857,0.52,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,0.6473755047106325,0.5567129629629629,0.5714285714285714,0.36363636363636365,0.6153846153846154,0.6153846153846154,0.0,0.0,0.5833333333333334,0.5833333333333334,1,0
Taylor Duryea,0.5,0.4074074074074074,0.6,0.4,0.6086956521739131,0.4838709677419355,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.5,0.3888888888888889,0.5,0.45,0.9444444444444444,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3405114401076716,0.29282407407407407,0.2857142857142857,0.18181818181818182,1.0,1.0,0.0,0.0,0.3055555555555556,0.3055555555555556,1,0
Luke Breust,0.5,0.4074074074074074,0.5,0.3333333333333333,0.5652173913043478,0.45161290322580644,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,1.0,0.45454545454545453,0.45454545454545453,0.0,0.0,1.0,0.5,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.36363636363636365,1.0,0.625,0.4,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.6,0.4444444444444444,0.2222222222222222,0.2,0.2777777777777778,0.24,0.15714285714285714,0.21333333333333335,0.5,0.5,0.6666666666666666,0.6666666666666666,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.875,0.36608344549125166,0.3148148148148148,0.5714285714285714,0.36363636363636365,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.3333333333333333,0.4722222222222222,0.4722222222222222,1,0
Paul Puopolo,0.4090909090909091,0.3333333333333333,0.7,0.4666666666666667,0.5652173913043478,0.45161290322580644,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.36363636363636365,0.4,0.25,0.2,0.125,1.0,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.16666666666666666,0.15,0.3888888888888889,0.32,0.3142857142857143,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.375,0.3082099596231494,0.2650462962962963,0.8571428571428571,0.5454545454545454,0.07692307692307693,0.07692307692307693,1.0,1.0,0.5555555555555556,0.5555555555555556,1,0
Josh Gibson,0.4090909090909091,0.3333333333333333,0.6,0.4,0.5217391304347826,0.41935483870967744,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.4,0.25,1.0,0.625,0.0,0.0,0.0,0.0,0.6,0.4444444444444444,0.3888888888888889,0.35,0.6666666666666666,0.52,0.7428571428571429,0.76,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.375,0.34320323014804843,0.2951388888888889,0.2857142857142857,0.18181818181818182,0.7692307692307693,0.7692307692307693,0.0,0.0,1.0,1.0,1,2
Billy Hartung,0.45454545454545453,0.37037037037037035,0.5,0.3333333333333333,0.5217391304347826,0.41935483870967744,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.09090909090909091,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.0,0.3,0.2777777777777778,0.4444444444444444,0.4,0.6666666666666666,0.52,0.7428571428571429,0.76,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.25,0.125,0.16666666666666666,0.25,0.3781965006729475,0.32523148148148145,0.2857142857142857,0.18181818181818182,0.38461538461538464,0.38461538461538464,0.16666666666666666,0.16666666666666666,0.027777777777777776,0.027777777777777776,1,0
Shaun Burgoyne,0.3181818181818182,0.25925925925925924,0.6,0.4,0.43478260869565216,0.3548387096774194,0.2857142857142857,0.2857142857142857,0.0,0.0,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.18181818181818182,0.4,0.25,0.4,0.25,0.0,0.0,0.0,0.0,0.2,0.2222222222222222,0.2222222222222222,0.2,0.3888888888888889,0.32,0.44285714285714284,0.48,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.5,0.3333333333333333,0.3333333333333333,0.25,0.125,0.6666666666666666,0.625,0.23418573351278602,0.2013888888888889,0.5714285714285714,0.36363636363636365,0.3076923076923077,0.3076923076923077,0.16666666666666666,0.16666666666666666,0.5,0.5,1,0
