Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Nick Dal Santo,0.6,0.5333333333333333,0.8,1.0,0.8648648648648649,1.0,0.2222222222222222,0.2222222222222222,0.25,0.25,0.0,0.0,0.7272727272727273,0.7,0.0392156862745098,0.10526315789473684,0.0,0.0,0.5,0.5,0.4,0.4,0.7142857142857143,0.7142857142857143,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.4375,0.9545454545454546,1.0,0.896551724137931,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0,1.0,0.5,0.5,0.2857142857142857,0.2857142857142857,0.7272727272727273,0.6666666666666666,0.6059113300492611,0.5219123505976095,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5,0.0,0.0,0.7222222222222222,0.27586206896551724,1,Home,0,0.2857142857142857,0.2857142857142857,0.25,0.2857142857142857,0.8,0.7777777777777778,0.8888888888888888,0.8571428571428571,0.5454545454545454,0.625
Jack Ziebell,0.95,1.0,0.4,0.47368421052631576,0.7837837837837838,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.0,0.0,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.3,0.0,0.0,0.5,0.5,0.875,1.0,0.5,0.5,0.5714285714285714,0.5714285714285714,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.6111111111111112,0.5625,0.7727272727272727,0.7894736842105263,0.6896551724137931,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5714285714285714,0.5714285714285714,0.7272727272727273,0.6666666666666666,1.0,1.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5,0.0,0.0,0.7777777777777778,0.4482758620689655,1,Home,1,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.4,0.3333333333333333,0.7777777777777778,0.7142857142857143,0.8181818181818182,1.0
Daniel Wells,0.65,0.6,0.6,0.7368421052631579,0.7567567567567568,0.8518518518518519,0.4444444444444444,0.4444444444444444,0.75,0.75,0.0,0.0,0.6363636363636364,0.6,0.0,0.0,1.0,1.0,0.375,0.3333333333333333,0.5,0.5,0.4285714285714286,0.4285714285714286,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.5555555555555556,0.5,0.9090909090909091,0.9473684210526315,0.7586206896551724,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,0.4794745484400657,0.36852589641434264,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.25,0.6666666666666666,0.6666666666666666,0.7555555555555555,0.3793103448275862,1,Home,3,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5,0.4444444444444444,1.0,1.0,0.5454545454545454,0.625
Andrew Swallow,0.6,0.5333333333333333,0.6,0.7368421052631579,0.7297297297297297,0.8148148148148148,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.3333333333333333,1.0,1.0,0.0,0.0,0.5,0.75,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,0.4090909090909091,0.3684210526315789,0.6551724137931034,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,1.0,1.0,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.19123505976095617,0.2857142857142857,0.2857142857142857,0.5,0.75,0.3333333333333333,0.3333333333333333,0.7222222222222222,0.27586206896551724,1,Home,2,0.2857142857142857,0.2857142857142857,0.25,0.2857142857142857,1.0,1.0,0.5555555555555556,0.42857142857142855,0.7272727272727273,0.875
Ben Cunnington,0.5,0.4,0.56,0.6842105263157895,0.6486486486486487,0.7037037037037037,0.1111111111111111,0.1111111111111111,0.25,0.25,0.0,0.0,0.36363636363636365,0.3,0.0,0.0,0.0,0.0,0.5,0.5,0.7,0.7,0.7142857142857143,0.7142857142857143,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.7777777777777778,0.75,0.45454545454545453,0.42105263157894735,0.5517241379310345,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7142857142857143,0.7142857142857143,0.6363636363636364,0.5555555555555556,0.3251231527093596,0.18127490039840638,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.6333333333333333,0.0,1,Home,0,0.14285714285714285,0.14285714285714285,0.125,0.14285714285714285,0.3,0.2222222222222222,0.7777777777777778,0.7142857142857143,0.7272727272727273,0.875
Sam Gibson,0.45,0.3333333333333333,0.4,0.47368421052631576,0.5135135135135135,0.5185185185185185,0.4444444444444444,0.4444444444444444,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.8571428571428572,0.8571428571428572,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.2222222222222222,0.125,0.7272727272727273,0.7368421052631579,0.4827586206896552,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.2222222222222222,0.43842364532019706,0.3187250996015936,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5,0.0,0.0,0.8333333333333334,0.6206896551724138,1,Home,0,0.5714285714285714,0.5714285714285714,0.375,0.42857142857142855,0.6,0.5555555555555556,0.3333333333333333,0.14285714285714285,0.45454545454545453,0.5
Brent Harvey,0.55,0.4666666666666667,0.28,0.3157894736842105,0.4864864864864865,0.48148148148148145,0.2222222222222222,0.2222222222222222,1.0,1.0,0.0,0.0,0.45454545454545453,0.4,0.0,0.0,1.0,1.0,0.75,0.8333333333333334,0.0,0.0,0.8571428571428572,0.8571428571428572,0.0,0.0,0.0,0.0,1.0,1.0,0.2777777777777778,0.1875,0.5909090909090909,0.5789473684210527,0.5172413793103449,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.8888888888888888,0.5238095238095238,0.42231075697211157,0.7142857142857143,0.7142857142857143,0.25,0.375,1.0,1.0,0.8222222222222222,0.5862068965517241,1,Home,0,0.2857142857142857,0.2857142857142857,0.25,0.2857142857142857,0.2,0.1111111111111111,0.8888888888888888,0.8571428571428571,0.2727272727272727,0.25
Scott Thompson,0.3,0.13333333333333333,0.44,0.5263157894736842,0.4594594594594595,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.18181818181818182,0.1,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.5,0.0,0.0,0.33333333333333337,0.33333333333333337,0.2222222222222222,0.125,0.5909090909090909,0.5789473684210527,0.4827586206896552,0.5,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.4351395730706076,0.3147410358565737,0.5714285714285714,0.5714285714285714,0.4166666666666667,0.625,0.0,0.0,0.9555555555555556,1.0,1,Home,0,0.42857142857142855,0.42857142857142855,0.375,0.42857142857142855,0.2,0.1111111111111111,0.2222222222222222,0.0,0.2727272727272727,0.25
Shaun Atley,0.3,0.13333333333333333,0.44,0.5263157894736842,0.4594594594594595,0.4444444444444444,0.0,0.0,0.25,0.25,0.0,0.0,0.45454545454545453,0.4,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.0,0.6818181818181818,0.6842105263157895,0.5172413793103449,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.2222222222222222,0.30049261083743845,0.15139442231075698,0.8571428571428572,0.8571428571428572,0.25,0.375,0.0,0.0,0.8111111111111111,0.5517241379310345,1,Home,0,0.0,0.0,0.0,0.0,0.5,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.18181818181818182,0.125
Luke McDonald,0.5,0.4,0.28,0.3157894736842105,0.4594594594594595,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.3,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.3333333333333333,0.5,0.0,0.0,1.0,1.0,0.2222222222222222,0.125,0.5909090909090909,0.5789473684210527,0.4827586206896552,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.2222222222222222,0.535303776683087,0.4362549800796813,0.5714285714285714,0.5714285714285714,0.5,0.75,0.3333333333333333,0.3333333333333333,0.8666666666666667,0.7241379310344828,1,Home,0,0.2857142857142857,0.2857142857142857,0.375,0.42857142857142855,0.3,0.2222222222222222,0.4444444444444444,0.2857142857142857,0.2727272727272727,0.25
