Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Dustin Martin,1.0,1.0,1.0,1.0,1.0,1.0,0.3076923076923077,0.25,0.5,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5714285714285714,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5454545454545454,1.0,0.25,0.25,0.5,0.5714285714285714,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.14285714285714285,0.3333333333333333,0.1,0.125,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8411214953271028,0.9619047619047619,0.375,0.2857142857142857,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,0.7894736842105263,0.7209302325581395,1,Home,3,0.2,0.1111111111111111,0.23076923076923078,0.23076923076923078,0.2727272727272727,0.42857142857142855,0.9,0.8888888888888888,0.6,0.6
Shaun Grigg,0.8,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7692307692307693,0.75,0.0,0.0,0.5,0.5,0.3333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,0.375,0.375,0.45454545454545453,0.8333333333333334,0.25,0.25,0.25,0.2857142857142857,0.0,0.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.5666666666666667,0.5,0.5,0.14285714285714285,0.3333333333333333,0.1,0.125,0.6,0.6,0.6,1.0,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.9,0.3956386292834891,0.41714285714285715,0.625,0.5714285714285714,0.25,0.25,0.0,0.0,0.7719298245614035,0.6976744186046512,1,Home,0,0.8,0.7777777777777778,0.6923076923076923,0.6923076923076923,0.36363636363636365,0.5714285714285714,1.0,1.0,0.9,0.9
Trent Cotchin,1.0,1.0,0.4444444444444444,0.4444444444444444,0.7142857142857143,0.7142857142857143,0.23076923076923078,0.16666666666666666,0.25,0.3333333333333333,0.0,0.0,0.5833333333333334,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.875,0.875,0.45454545454545453,0.8333333333333334,0.25,0.25,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.5333333333333333,0.5333333333333333,0.0,0.0,0.14285714285714285,0.3333333333333333,0.3,0.375,0.0,0.0,0.4,0.6666666666666666,0.5,0.5,1.0,1.0,0.8722741433021807,1.0,0.375,0.2857142857142857,0.08333333333333333,0.08333333333333333,0.0,0.0,0.6491228070175439,0.5348837209302325,1,Home,2,0.3,0.2222222222222222,0.15384615384615385,0.15384615384615385,0.6363636363636364,1.0,0.9,0.8888888888888888,1.0,1.0
Brandon Ellis,0.55,0.5,0.7222222222222222,0.7222222222222222,0.6,0.6,0.46153846153846156,0.4166666666666667,0.0,0.0,0.0,0.0,0.25,0.42857142857142855,0.0,0.0,0.3333333333333333,0.3333333333333333,0.375,0.375,0.09090909090909091,0.16666666666666666,1.0,1.0,0.125,0.14285714285714285,0.0,0.0,1.0,1.0,0.35714285714285715,0.35714285714285715,0.8095238095238095,0.8095238095238095,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6363636363636364,0.6,0.397196261682243,0.41904761904761906,0.625,0.5714285714285714,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5614035087719298,0.4186046511627907,1,Home,0,0.6,0.5555555555555556,0.46153846153846156,0.46153846153846156,0.18181818181818182,0.2857142857142857,0.6,0.5555555555555556,0.5,0.5
Dylan Grimes,0.45,0.3888888888888889,0.7777777777777778,0.7777777777777778,0.5714285714285714,0.5714285714285714,0.23076923076923078,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.0,0.0,0.25,0.25,0.18181818181818182,0.3333333333333333,0.75,0.75,0.0,0.0,0.5,0.5,1.0,1.0,0.8571428571428571,0.8571428571428571,0.38095238095238093,0.38095238095238093,0.5333333333333333,0.5333333333333333,0.25,0.25,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.1,0.19470404984423675,0.17142857142857143,0.375,0.2857142857142857,1.0,1.0,0.0,0.0,0.7719298245614035,0.6976744186046512,1,Home,0,0.2,0.1111111111111111,0.23076923076923078,0.23076923076923078,0.18181818181818182,0.2857142857142857,0.2,0.1111111111111111,0.5,0.5
Brett Deledio,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5428571428571428,0.5428571428571428,0.38461538461538464,0.3333333333333333,0.75,1.0,0.0,0.0,0.08333333333333333,0.14285714285714285,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.5,1.0,1.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.5333333333333333,0.0,0.0,0.14285714285714285,0.3333333333333333,0.1,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.9,0.4937694704049844,0.5371428571428571,0.625,0.5714285714285714,0.25,0.25,0.3333333333333333,0.5,0.7017543859649122,0.6046511627906976,1,Home,0,0.5,0.4444444444444444,0.3076923076923077,0.3076923076923077,0.0,0.0,0.9,0.8888888888888888,0.4,0.4
Shane Edwards,0.55,0.5,0.6111111111111112,0.6111111111111112,0.5428571428571428,0.5428571428571428,0.3076923076923077,0.25,0.75,1.0,0.5,0.5,0.4166666666666667,0.7142857142857143,0.0,0.0,0.0,0.0,0.75,0.75,0.2727272727272727,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.6190476190476191,0.6190476190476191,0.36666666666666664,0.36666666666666664,0.0,0.0,0.42857142857142855,1.0,0.1,0.125,0.0,0.0,0.0,0.0,0.5,0.5,0.7272727272727273,0.7,0.5467289719626168,0.6019047619047619,0.125,0.0,0.25,0.25,0.0,0.0,0.6666666666666666,0.5581395348837209,1,Home,0,0.4,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.45454545454545453,0.7142857142857143,0.8,0.7777777777777778,0.9,0.9
Reece Conca,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5428571428571428,0.5428571428571428,0.23076923076923078,0.16666666666666666,0.0,0.0,0.5,0.5,0.5,0.8571428571428571,0.0,0.0,0.0,0.0,0.5,0.5,0.18181818181818182,0.3333333333333333,0.5,0.5,0.25,0.2857142857142857,1.0,1.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6666666666666666,0.0,0.0,0.9090909090909091,0.9,0.6479750778816199,0.7257142857142858,0.75,0.7142857142857143,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,0.6140350877192983,0.4883720930232558,1,Home,0,0.3,0.2222222222222222,0.23076923076923078,0.23076923076923078,0.45454545454545453,0.7142857142857143,1.0,1.0,0.3,0.3
Alex Rance,0.7,0.6666666666666666,0.3888888888888889,0.3888888888888889,0.5142857142857142,0.5142857142857142,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.25,0.25,0.875,1.0,0.5,0.5,0.5,0.5,0.35714285714285715,0.35714285714285715,0.7142857142857143,0.7142857142857143,0.4666666666666667,0.4666666666666667,0.75,0.75,0.0,0.0,0.8,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2727272727272727,0.2,0.4423676012461059,0.4742857142857143,0.25,0.1428571428571429,0.5833333333333334,0.5833333333333334,0.0,0.0,1.0,1.0,1,Home,0,1.0,1.0,1.0,1.0,0.36363636363636365,0.5714285714285714,0.3,0.2222222222222222,0.5,0.5
Anthony Miles,0.4,0.3333333333333333,0.7222222222222222,0.7222222222222222,0.5142857142857142,0.5142857142857142,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125,0.125,0.5454545454545454,1.0,1.0,1.0,0.125,0.14285714285714285,0.5,0.5,1.0,1.0,0.6428571428571429,0.6428571428571429,0.5238095238095238,0.5238095238095238,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6,0.2772585669781931,0.2723809523809524,0.875,0.8571428571428572,0.08333333333333333,0.08333333333333333,0.0,0.0,0.47368421052631576,0.3023255813953488,1,Home,0,0.1,0.0,0.07692307692307693,0.07692307692307693,0.18181818181818182,0.2857142857142857,0.6,0.5555555555555556,0.3,0.3
