Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Josh P. Kennedy,0.6842105263157895,0.9230769230769231,0.7058823529411765,0.7058823529411765,1.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.1875,0.13333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,1.0,1.0,0.25,0.25,0.5,0.5,0.2,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.8823529411764706,0.8666666666666667,0.5333333333333333,0.5333333333333333,0.6842105263157895,0.6842105263157895,0.0,0.0,0.0,0.0,0.16666666666666666,0.18181818181818182,0.0,0.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.5,0.5870206489675516,0.8509174311926605,0.0,0.0,0.5454545454545454,0.6,0.16666666666666666,0.16666666666666666,0.8125,0.7777777777777778,1,Home,0,0.0,0.0,0.0,0.0,0.1875,0.07142857142857142,0.3333333333333333,0.3333333333333333,0.8666666666666667,0.8461538461538461
Daniel Hannebery,0.42105263157894735,0.5384615384615384,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.375,0.3333333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.0,0.0,0.125,0.125,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,1.0,0.4,0.4,0.631578947368421,0.631578947368421,0.0,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.7777777777777778,0.75,0.275811209439528,0.3669724770642202,0.5,0.5,0.5454545454545454,0.6,0.0,0.0,0.8125,0.7777777777777778,1,Home,0,0.16666666666666666,0.16666666666666666,0.2,0.2,0.4375,0.35714285714285715,0.7777777777777778,0.7777777777777778,0.9333333333333333,0.9230769230769231
Dean Towers,0.631578947368421,0.8461538461538461,0.7058823529411765,0.7058823529411765,0.9545454545454546,0.9545454545454546,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.25,0.2,0.08620689655172414,0.35714285714285715,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.2222222222222222,0.2222222222222222,0.375,0.375,0.0,0.0,0.2,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.5882352941176471,0.5333333333333333,0.8666666666666667,0.8666666666666667,0.8421052631578947,0.8421052631578947,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,1.0,0.4808259587020649,0.6857798165137615,0.5,0.5,0.45454545454545453,0.5,0.16666666666666666,0.16666666666666666,0.6875,0.6296296296296297,1,Home,0,1.0,1.0,1.0,1.0,0.25,0.14285714285714285,0.7777777777777778,0.7777777777777778,0.6,0.5384615384615384
Jarrad McVeigh,0.631578947368421,0.8461538461538461,0.5882352941176471,0.5882352941176471,0.8636363636363636,0.8636363636363636,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.4666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.2222222222222222,0.2222222222222222,0.75,0.75,1.0,1.0,0.2,0.3333333333333333,1.0,1.0,0.7058823529411765,0.6666666666666666,0.4666666666666667,0.4666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.18181818181818182,1.0,1.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.5555555555555556,0.5,0.6666666666666666,0.9747706422018348,0.6,0.6,0.9090909090909091,1.0,0.0,0.0,1.0,1.0,1,Home,1,0.3333333333333333,0.3333333333333333,0.4,0.4,0.5625,0.5,0.4444444444444444,0.4444444444444444,0.26666666666666666,0.15384615384615385
Tom Mitchell,0.631578947368421,0.8461538461538461,0.5882352941176471,0.5882352941176471,0.8636363636363636,0.8636363636363636,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.4666666666666667,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.2222222222222222,0.2222222222222222,0.5,0.5,0.25,0.25,0.2,0.3333333333333333,1.0,1.0,0.5882352941176471,0.5333333333333333,0.7333333333333333,0.7333333333333333,0.42105263157894735,0.42105263157894735,0.0,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.0,0.0,1.0,1.0,0.0,0.0,0.4444444444444444,0.375,0.5162241887905604,0.7408256880733946,0.4,0.4,0.18181818181818182,0.2,0.16666666666666666,0.16666666666666666,0.5,0.4074074074074074,1,Home,0,0.6666666666666666,0.6666666666666666,0.8,0.8,0.5,0.42857142857142855,0.4444444444444444,0.4444444444444444,1.0,1.0
Zak Jones,0.631578947368421,0.8461538461538461,0.5882352941176471,0.5882352941176471,0.8636363636363636,0.8636363636363636,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4375,0.4,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.1111111111111111,0.1111111111111111,0.75,0.75,0.5,0.5,0.4,0.6666666666666666,1.0,1.0,0.35294117647058826,0.26666666666666666,1.0,1.0,0.7368421052631579,0.7368421052631579,0.0,0.0,0.0,0.0,0.4166666666666667,0.45454545454545453,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8888888888888888,0.875,0.6828908554572272,1.0,0.4,0.4,0.7272727272727273,0.8,0.0,0.0,0.71875,0.6666666666666666,1,Home,0,0.6666666666666666,0.6666666666666666,0.8,0.8,0.5,0.42857142857142855,0.8888888888888888,0.8888888888888888,0.6,0.5384615384615384
Luke Parker,0.7368421052631579,1.0,0.35294117647058826,0.35294117647058826,0.7727272727272727,0.7727272727272727,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.017241379310344827,0.07142857142857142,0.0,0.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.5,0.5,0.25,0.25,0.6,1.0,1.0,1.0,0.7647058823529411,0.7333333333333333,0.4,0.4,0.47368421052631576,0.47368421052631576,0.0,0.0,0.0,0.0,0.25,0.2727272727272727,0.0,0.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.625,0.5147492625368731,0.7385321100917431,0.4,0.4,0.45454545454545453,0.5,0.16666666666666666,0.16666666666666666,0.90625,0.8888888888888888,1,Home,3,0.3333333333333333,0.3333333333333333,0.4,0.4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8,0.7692307692307693
Callum Mills,0.7368421052631579,1.0,0.35294117647058826,0.35294117647058826,0.7727272727272727,0.7727272727272727,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.625,0.625,0.375,0.375,0.4,0.6666666666666666,1.0,1.0,0.47058823529411764,0.4,0.6666666666666666,0.6666666666666666,0.6842105263157895,0.6842105263157895,0.0,0.0,0.0,0.0,0.3333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.125,0.5117994100294986,0.7339449541284404,0.09999999999999998,0.09999999999999998,0.9090909090909091,1.0,0.0,0.0,0.625,0.5555555555555556,1,Home,0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.3125,0.21428571428571427,0.1111111111111111,0.1111111111111111,0.5333333333333333,0.46153846153846156
Jake Lloyd,0.631578947368421,0.8461538461538461,0.35294117647058826,0.35294117647058826,0.6818181818181818,0.6818181818181818,0.3333333333333333,0.3333333333333333,0.25,0.25,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.5555555555555556,0.5555555555555556,0.5,0.5,0.25,0.25,0.2,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.4117647058823529,0.3333333333333333,0.5333333333333333,0.5333333333333333,0.5263157894736842,0.5263157894736842,0.0,0.0,0.0,0.0,0.25,0.2727272727272727,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.2222222222222222,0.125,0.3997050147492625,0.5596330275229358,0.6,0.6,0.18181818181818182,0.2,0.0,0.0,0.25,0.1111111111111111,1,Home,0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.125,0.0,0.2222222222222222,0.2222222222222222,0.6,0.5384615384615384
Kieren Jack,0.5263157894736842,0.6923076923076923,0.4117647058823529,0.4117647058823529,0.6363636363636364,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.4375,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.875,0.875,0.25,0.25,0.4,0.6666666666666666,1.0,1.0,0.6470588235294118,0.6,0.4666666666666667,0.4666666666666667,0.5263157894736842,0.5263157894736842,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8888888888888888,0.875,0.29646017699115046,0.39908256880733944,0.9,0.9,0.36363636363636365,0.4,0.3333333333333333,0.3333333333333333,0.59375,0.5185185185185185,1,Home,0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.375,0.2857142857142857,0.5555555555555556,0.5555555555555556,0.5333333333333333,0.46153846153846156
Heath Grundy,0.5789473684210527,0.7692307692307693,0.11764705882352941,0.11764705882352941,0.45454545454545453,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.4375,0.4,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.875,0.875,0.25,0.25,0.0,0.0,0.6666666666666667,0.6666666666666667,0.23529411764705882,0.13333333333333333,0.5333333333333333,0.5333333333333333,0.42105263157894735,0.42105263157894735,1.0,1.0,0.0,0.0,0.5833333333333334,0.6363636363636364,0.0,0.0,0.5,0.5,0.0,0.0,0.1111111111111111,0.0,0.5589970501474927,0.8073394495412844,0.5,0.5,0.5454545454545454,0.6,0.0,0.0,0.84375,0.8148148148148148,1,Home,0,0.16666666666666666,0.16666666666666666,0.4,0.4,0.5,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.4,0.3076923076923077
Ben McGlynn,0.631578947368421,0.8461538461538461,0.058823529411764705,0.058823529411764705,0.45454545454545453,0.45454545454545453,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3125,0.26666666666666666,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.2222222222222222,0.2222222222222222,0.875,0.875,0.0,0.0,0.4,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.29411764705882354,0.2,0.5333333333333333,0.5333333333333333,0.47368421052631576,0.47368421052631576,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.2727272727272727,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,1.0,1.0,0.5250737463126843,0.7545871559633027,0.6,0.6,0.09090909090909091,0.1,0.3333333333333333,0.3333333333333333,0.28125,0.14814814814814814,1,Home,0,0.6666666666666666,0.6666666666666666,0.6,0.6,0.25,0.14285714285714285,1.0,1.0,0.3333333333333333,0.23076923076923078
James Rose,0.5789473684210527,0.7692307692307693,0.11764705882352941,0.11764705882352941,0.45454545454545453,0.45454545454545453,1.0,1.0,0.0,0.0,0.0,0.0,0.4375,0.4,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.375,0.375,0.125,0.125,0.2,0.3333333333333333,0.0,0.0,0.29411764705882354,0.2,0.6,0.6,0.3684210526315789,0.3684210526315789,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.375,0.3834808259587021,0.5344036697247706,0.4,0.4,0.09090909090909091,0.1,0.5,0.5,0.15625,0.0,1,Home,0,1.0,1.0,1.0,1.0,0.3125,0.21428571428571427,0.4444444444444444,0.4444444444444444,0.4666666666666667,0.38461538461538464
Lance Franklin,0.2631578947368421,0.3076923076923077,0.35294117647058826,0.35294117647058826,0.36363636363636365,0.36363636363636365,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.375,0.3333333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.625,0.625,0.0,0.0,0.4,0.6666666666666666,0.0,0.0,0.29411764705882354,0.2,0.5333333333333333,0.5333333333333333,0.47368421052631576,0.47368421052631576,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.875,0.26843657817109146,0.3555045871559633,0.6,0.6,0.0,0.0,0.0,0.0,0.84375,0.8148148148148148,1,Home,2,0.5,0.5,0.2,0.2,0.4375,0.35714285714285715,0.8888888888888888,0.8888888888888888,0.2,0.07692307692307693
Gary Rohan,0.3684210526315789,0.46153846153846156,0.17647058823529413,0.17647058823529413,0.3181818181818182,0.3181818181818182,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.1875,0.13333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.0,0.0,0.625,0.625,0.375,0.375,0.2,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.29411764705882354,0.2,0.26666666666666666,0.26666666666666666,0.21052631578947367,0.21052631578947367,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.125,0.4557522123893805,0.6467889908256881,0.5,0.5,0.45454545454545453,0.5,0.3333333333333333,0.3333333333333333,0.46875,0.37037037037037035,1,Home,0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.125,0.0,0.1111111111111111,0.1111111111111111,0.4666666666666667,0.38461538461538464
Nick Smith,0.47368421052631576,0.6153846153846154,0.0,0.0,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.125,0.06666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.1111111111111111,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.23529411764705882,0.13333333333333333,0.2,0.2,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.0,0.0,0.5,0.5,0.0,0.0,0.1111111111111111,0.0,0.3200589970501475,0.43577981651376146,0.6,0.6,0.36363636363636365,0.4,0.0,0.0,0.78125,0.7407407407407407,1,Home,0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.1875,0.07142857142857142,0.0,0.0,0.26666666666666666,0.15384615384615385
Dane Rampe,0.15789473684210525,0.15384615384615385,0.35294117647058826,0.35294117647058826,0.2727272727272727,0.2727272727272727,0.5,0.5,0.0,0.0,0.0,0.0,0.3125,0.26666666666666666,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.625,0.625,0.125,0.125,0.0,0.0,0.33333333333333337,0.33333333333333337,0.47058823529411764,0.4,0.26666666666666666,0.26666666666666666,0.3684210526315789,0.3684210526315789,1.0,1.0,0.0,0.0,0.9166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.15634218289085547,0.1811926605504587,0.8,0.8,0.8181818181818182,0.9,0.0,0.0,1.0,1.0,1,Home,0,0.3333333333333333,0.3333333333333333,0.6,0.6,0.375,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2,0.07692307692307693
Callum Sinclair,0.10526315789473684,0.07692307692307693,0.35294117647058826,0.35294117647058826,0.22727272727272727,0.22727272727272727,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.1875,0.13333333333333333,0.2413793103448276,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.75,0.75,0.125,0.125,0.0,0.0,0.33333333333333337,0.33333333333333337,0.35294117647058826,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.25,0.2727272727272727,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,0.4444444444444444,0.375,0.1504424778761062,0.1720183486238532,0.8,0.8,0.2727272727272727,0.3,0.0,0.0,0.28125,0.14814814814814814,1,Home,0,0.16666666666666666,0.16666666666666666,0.2,0.2,0.25,0.14285714285714285,0.4444444444444444,0.4444444444444444,0.4,0.3076923076923077
Aliir Aliir,0.2631578947368421,0.3076923076923077,0.11764705882352941,0.11764705882352941,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.5,0.5,0.375,0.375,0.0,0.0,1.0,1.0,0.11764705882352941,0.0,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.3157894736842105,1.0,1.0,0.0,0.0,0.5833333333333334,0.6363636363636364,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.25,0.15191740412979352,0.1743119266055046,0.9,0.9,0.36363636363636365,0.4,0.0,0.0,0.59375,0.5185185185185185,1,Home,0,0.16666666666666666,0.16666666666666666,0.4,0.4,0.3125,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.0
George Hewett,0.15789473684210525,0.15384615384615385,0.17647058823529413,0.17647058823529413,0.13636363636363635,0.13636363636363635,0.3333333333333333,0.3333333333333333,0.25,0.25,0.0,0.0,0.5,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.23529411764705882,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2222222222222222,0.125,0.03982300884955752,0.0,0.9,0.9,0.0,0.0,0.16666666666666666,0.16666666666666666,0.21875,0.07407407407407407,1,Home,0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.5,0.42857142857142855,0.2222222222222222,0.2222222222222222,0.26666666666666666,0.15384615384615385
Toby Nankervis,0.10526315789473684,0.07692307692307693,0.11764705882352941,0.11764705882352941,0.045454545454545456,0.045454545454545456,0.3333333333333333,0.3333333333333333,0.25,0.25,0.0,0.0,0.4375,0.4,0.15517241379310345,0.6428571428571429,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.75,0.75,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.23529411764705882,0.13333333333333333,0.0,0.0,0.10526315789473684,0.10526315789473684,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5454545454545454,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.125,0.12389380530973451,0.13073394495412843,0.9,0.9,0.18181818181818182,0.2,0.16666666666666666,0.16666666666666666,0.71875,0.6666666666666666,1,Home,0,0.16666666666666666,0.16666666666666666,0.2,0.2,0.4375,0.35714285714285715,0.2222222222222222,0.2222222222222222,0.2,0.07692307692307693
Isaac Heeney,0.05263157894736842,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.75,0.7333333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.1111111111111111,0.1111111111111111,0.75,0.75,0.0,0.0,0.2,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.17647058823529413,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.25,0.06637168141592921,0.04128440366972477,1.0,1.0,0.0,0.0,1.0,1.0,0.53125,0.4444444444444444,1,Home,0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.4375,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.15384615384615385
