Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Dustin Martin,1.0,1.0,0.2631578947368421,0.29411764705882354,1.0,1.0,0.7,0.7,0.0,0.0,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,0.125,0.2,0.0,0.0,0.5,0.5,0.5714285714285714,0.7272727272727273,1.0,1.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.5,0.6666666666666666,0.6428571428571429,1.0,1.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.8028169014084507,0.5625,1,Home,3,1.0,1.0,0.8571428571428571,0.8571428571428571,0.2222222222222222,0.4,0.6153846153846154,0.5833333333333334,1.0,1.0
Brandon Ellis,0.2962962962962963,0.2692307692307692,0.8947368421052632,1.0,0.7741935483870968,0.7586206896551724,0.6,0.6,0.25,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.14285714285714285,0.16666666666666666,0.0,0.0,0.125,0.2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.42857142857142855,0.5454545454545454,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,0.2222222222222222,0.2222222222222222,0.25,0.3333333333333333,0.25,0.25,0.0,0.0,0.2,0.5,0.4,0.35714285714285715,0.4144271570014144,0.3911764705882353,0.6,0.19999999999999996,0.3333333333333333,0.3333333333333333,0.5,0.5,0.8591549295774648,0.6875,1,Home,0,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.2222222222222222,0.4,0.46153846153846156,0.4166666666666667,0.6363636363636364,0.6363636363636364
Shaun Grigg,0.37037037037037035,0.34615384615384615,0.7368421052631579,0.8235294117647058,0.7419354838709677,0.7241379310344828,0.5,0.5,0.0,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.07407407407407407,0.07407407407407407,0.5,0.5,0.8,0.8,0.42857142857142855,0.5,0.8,0.8,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5714285714285714,0.7272727272727273,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.5,0.5333333333333333,0.5,0.48514851485148514,0.4647058823529412,0.6,0.19999999999999996,0.2222222222222222,0.2222222222222222,0.0,0.0,0.8732394366197183,0.71875,1,Home,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.1111111111111111,0.2,0.5384615384615384,0.5,0.5454545454545454,0.5454545454545454
Anthony Miles,0.4074074074074074,0.38461538461538464,0.5789473684210527,0.6470588235294118,0.6774193548387096,0.6551724137931034,0.5,0.5,0.25,0.25,0.0,0.0,0.5555555555555556,0.8333333333333334,0.0,0.0,0.5,0.5,0.4,0.4,0.42857142857142855,0.5,0.8,0.8,0.125,0.2,1.0,1.0,1.0,1.0,0.5714285714285714,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.0,0.7333333333333333,0.7142857142857143,0.4724186704384724,0.4514705882352941,0.6,0.19999999999999996,0.4444444444444444,0.4444444444444444,0.0,0.0,0.5915492957746479,0.09375,1,Home,1,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5555555555555556,1.0,0.7692307692307693,0.75,0.36363636363636365,0.36363636363636365
Trent Cotchin,0.3333333333333333,0.3076923076923077,0.5789473684210527,0.6470588235294118,0.6129032258064516,0.5862068965517241,0.2,0.2,0.25,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.5,0.5,0.2,0.2,0.5714285714285714,0.6666666666666666,0.4,0.4,0.125,0.2,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6428571428571429,0.8181818181818182,0.38095238095238093,0.38095238095238093,0.5238095238095238,0.5238095238095238,0.0,0.0,0.2222222222222222,0.2222222222222222,0.125,0.16666666666666666,0.25,0.25,0.6,0.6,0.2,0.5,0.4666666666666667,0.42857142857142855,0.2842998585572843,0.25588235294117645,0.8,0.6,0.4444444444444444,0.4444444444444444,0.5,0.5,0.7183098591549296,0.375,1,Home,0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5555555555555556,1.0,0.46153846153846156,0.4166666666666667,0.8181818181818182,0.8181818181818182
Nick Vlastuin,0.5185185185185185,0.5,0.2631578947368421,0.29411764705882354,0.5806451612903226,0.5517241379310345,0.4,0.4,0.5,0.5,0.0,0.0,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.0,0.3,0.3,0.14285714285714285,0.16666666666666666,0.4,0.4,0.625,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.42857142857142855,0.5454545454545454,0.5238095238095238,0.5238095238095238,0.8571428571428571,0.8571428571428571,0.25,0.25,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,0.5,0.6,0.5714285714285714,0.5841584158415841,0.5676470588235294,0.8,0.6,0.8888888888888888,0.8888888888888888,0.0,0.0,0.704225352112676,0.34375,1,Home,0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.1111111111111111,0.2,0.6923076923076923,0.6666666666666666,0.09090909090909091,0.09090909090909091
Jack Riewoldt,0.5185185185185185,0.5,0.21052631578947367,0.23529411764705882,0.5483870967741935,0.5172413793103449,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.3333333333333333,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.0,0.4,0.4,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.7857142857142857,1.0,0.2857142857142857,0.2857142857142857,0.47619047619047616,0.47619047619047616,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.38896746817538896,0.36470588235294116,0.7,0.4,0.0,0.0,1.0,1.0,0.9154929577464789,0.8125,1,Home,2,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,1.0,0.7272727272727273,0.7272727272727273
Brett Deledio,0.25925925925925924,0.23076923076923078,0.5263157894736842,0.5882352941176471,0.5161290322580645,0.4827586206896552,0.7,0.7,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.0,0.6,0.6,0.125,0.2,0.0,0.0,1.0,1.0,0.6428571428571429,0.8181818181818182,0.3333333333333333,0.3333333333333333,0.5238095238095238,0.5238095238095238,0.5,0.5,0.3333333333333333,0.3333333333333333,0.125,0.16666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.4666666666666667,0.42857142857142855,0.16548797736916548,0.1323529411764706,0.7,0.4,0.1111111111111111,0.1111111111111111,1.0,1.0,0.7746478873239436,0.5,1,Home,0,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.1111111111111111,0.2,0.38461538461538464,0.3333333333333333,0.5454545454545454,0.5454545454545454
Connor Menadue,0.18518518518518517,0.15384615384615385,0.5789473684210527,0.6470588235294118,0.4838709677419355,0.4482758620689655,0.7,0.7,0.5,0.5,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.14285714285714285,0.18181818181818182,0.6190476190476191,0.6190476190476191,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.5333333333333333,0.5,0.21923620933521923,0.18823529411764706,0.8,0.6,0.4444444444444444,0.4444444444444444,0.5,0.5,0.7746478873239436,0.5,1,Home,0,1.0,1.0,1.0,1.0,0.5555555555555556,1.0,0.6153846153846154,0.5833333333333334,0.09090909090909091,0.09090909090909091
Taylor Hunt,0.2962962962962963,0.2692307692307692,0.3684210526315789,0.4117647058823529,0.45161290322580644,0.41379310344827586,0.5,0.5,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.4,0.375,0.6,0.0,0.0,0.0,0.0,0.2857142857142857,0.36363636363636365,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2333804809052334,0.20294117647058824,0.7,0.4,0.5555555555555556,0.5555555555555556,0.0,0.0,0.8028169014084507,0.5625,1,Home,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2222222222222222,0.4,0.07692307692307693,0.0,0.36363636363636365,0.36363636363636365
