Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Luke Parker,1.0,0.6521739130434783,0.6923076923076923,0.6923076923076923,1.0,0.9411764705882353,0.14285714285714285,0.125,0.25,0.25,0.5,0.5,0.6666666666666666,0.36363636363636365,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,0.5,0.5,0.5,1.0,1.0,0.5882352941176471,0.5,0.7619047619047619,0.6956521739130435,0.28883495145631066,0.20552677029360966,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.875,0.7692307692307693,0.5610561056105611,1.0,1.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.7560975609756098,0.7674418604651163,0,0
Tom Mitchell,0.25,0.2608695652173913,1.0,1.0,0.9642857142857143,0.9117647058823529,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,1.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.4,0.4,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,0.5,0.7222222222222222,0.7222222222222222,1.0,0.7916666666666666,1.0,0.9130434782608695,0.6771844660194175,0.48186528497409326,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,1.0,1.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.7142857142857143,0.625,0.4564102564102564,0.35973597359735976,0.42857142857142855,0.42857142857142855,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6097560975609756,0.627906976744186,0,0
Josh P. Kennedy,0.8333333333333334,0.5652173913043478,0.6923076923076923,0.6923076923076923,0.9285714285714286,0.8823529411764706,0.8571428571428571,0.75,0.25,0.25,0.5,0.5,1.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.5,0.5,0.4,0.4,0.14285714285714285,0.14285714285714285,1.0,0.5,0.0,0.0,1.0,1.0,0.7058823529411765,0.5833333333333334,1.0,0.9130434782608695,0.7257281553398058,0.5164075993091537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.4444444444444444,0.8571428571428571,0.75,0.7435897435897436,0.5445544554455446,0.7142857142857143,0.7142857142857143,0.5,0.5,0.3333333333333333,0.3333333333333333,0.7560975609756098,0.7674418604651163,0,1
Jarrad McVeigh,0.3333333333333333,0.30434782608695654,0.5384615384615384,0.5384615384615384,0.5714285714285714,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2,0.2,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.5882352941176471,0.5,0.7142857142857143,0.6521739130434783,0.8713592233009709,0.6200345423143351,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.7142857142857143,0.625,0.6307692307692307,0.47194719471947194,0.5714285714285714,0.5714285714285714,0.7,0.7,0.0,0.0,0.8536585365853658,0.8604651162790697,0,0
Daniel Hannebery,0.4166666666666667,0.34782608695652173,0.4230769230769231,0.4230769230769231,0.5,0.5294117647058824,0.8571428571428571,0.75,0.0,0.0,1.0,1.0,0.5,0.2727272727272727,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.8,0.8,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,1.0,0.05555555555555555,0.05555555555555555,0.9411764705882353,0.75,0.5714285714285714,0.5217391304347826,0.7014563106796117,0.4991364421416235,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,1.0,0.875,0.7461538461538462,0.5462046204620462,0.42857142857142855,0.42857142857142855,0.1,0.1,0.3333333333333333,0.3333333333333333,0.6585365853658537,0.6744186046511628,0,0
Kieren Jack,0.8333333333333334,0.5652173913043478,0.19230769230769232,0.19230769230769232,0.4642857142857143,0.5,0.42857142857142855,0.375,0.0,0.0,0.5,0.5,0.8333333333333334,0.45454545454545453,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.8,0.8,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5,0.5,0.5,0.5,0.35294117647058826,0.3333333333333333,0.5714285714285714,0.5217391304347826,0.7985436893203884,0.5682210708117443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.7142857142857143,0.625,1.0,0.7095709570957096,0.7142857142857143,0.7142857142857143,0.2,0.2,1.0,1.0,0.4634146341463415,0.4883720930232558,0,0
Lance Franklin,0.5833333333333334,0.43478260869565216,0.2692307692307692,0.2692307692307692,0.42857142857142855,0.47058823529411764,0.8571428571428571,0.75,0.0,0.0,1.0,1.0,0.5,0.2727272727272727,0.0,0.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.6,0.6,0.0,0.0,1.0,0.5,0.0,0.0,0.3888888888888889,0.3888888888888889,0.4117647058823529,0.375,0.23809523809523808,0.21739130434782608,-0.0024271844660194524,-0.001727115716753047,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.5,0.5,0.0,0.0,0.0,0.0,0.8571428571428571,0.75,0.7923076923076923,0.5759075907590759,0.7142857142857143,0.7142857142857143,0.0,0.0,0.3333333333333333,0.3333333333333333,0.975609756097561,0.9767441860465116,0,0
Callum Mills,0.4166666666666667,0.34782608695652173,0.2692307692307692,0.2692307692307692,0.35714285714285715,0.4117647058823529,1.0,0.875,0.0,0.0,0.0,0.0,0.3333333333333333,0.18181818181818182,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.2,0.2,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.5294117647058824,0.4583333333333333,0.5238095238095238,0.4782608695652174,0.9684466019417476,0.689119170984456,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.375,0.5615384615384615,0.4273927392739274,0.7142857142857143,0.7142857142857143,0.5,0.5,0.0,0.0,0.5609756097560976,0.5813953488372093,0,0
Dane Rampe,0.75,0.5217391304347826,0.07692307692307693,0.07692307692307693,0.32142857142857145,0.38235294117647056,1.0,0.875,0.0,0.0,0.0,0.0,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,1.0,1.0,0.5,0.5,0.5,0.2222222222222222,0.2222222222222222,0.4117647058823529,0.375,0.47619047619047616,0.43478260869565216,0.9441747572815534,0.6718480138169257,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.6102564102564103,0.45874587458745875,0.42857142857142855,0.42857142857142855,0.8,0.8,0.0,0.0,0.8536585365853658,0.8604651162790697,0,0
Aliir Aliir,0.5,0.391304347826087,0.19230769230769232,0.19230769230769232,0.32142857142857145,0.38235294117647056,0.8571428571428571,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.8,0.8,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.29411764705882354,0.2916666666666667,0.42857142857142855,0.391304347826087,0.7985436893203884,0.5682210708117443,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.2857142857142857,0.25,0.3230769230769231,0.2739273927392739,0.5714285714285714,0.5714285714285714,1.0,1.0,0.0,0.0,0.7073170731707317,0.7209302325581395,0,0
