Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Travis Boak,1.0,0.6296296296296297,0.9285714285714286,0.9375,1.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,0.0,0.0,0.5,0.5,1.0,1.0,0.9,0.9,0.4444444444444444,0.4,0.42857142857142855,0.3,1.0,0.6666666666666666,0.0,0.0,0.6875,0.5789473684210527,1.0,0.9333333333333333,1.0,1.0,0.5741626794258373,0.48269230769230764,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.7488721804511278,0.7511177347242921,1.0,1.0,0.23076923076923078,0.1875,0.0,0.0,0.5483870967741935,0.5833333333333334,0,0
Oliver Wines,0.8823529411764706,0.5555555555555556,0.7857142857142857,0.8125,0.8666666666666667,0.8666666666666667,0.42857142857142855,0.42857142857142855,0.0,0.0,1.0,0.5,0.3076923076923077,0.3076923076923077,0.13043478260869565,0.061224489795918366,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.9,0.2857142857142857,0.2,1.0,0.6666666666666666,0.25,0.25,1.0,0.8421052631578947,0.5714285714285714,0.5333333333333333,0.47368421052631576,0.47368421052631576,0.0,0.02115384615384618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,0.75,0.5383458646616541,0.5424739195230999,0.5384615384615384,0.5384615384615384,0.38461538461538464,0.3125,0.0,0.0,0.16129032258064516,0.25,0,0
Jasper Pittard,0.9411764705882353,0.5925925925925926,0.5714285714285714,0.625,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.1,0.1,0.3333333333333333,0.3,1.0,0.7,0.0,0.0,0.25,0.25,0.5,0.42105263157894735,0.7857142857142857,0.7333333333333333,0.7894736842105263,0.7894736842105263,0.5741626794258373,0.48269230769230764,1.0,0.5,0.0,0.0,0.5263157894736842,0.5263157894736842,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.25,0.25,0.9458646616541353,0.9463487332339792,0.8461538461538461,0.8461538461538461,1.0,0.8125,0.0,0.0,0.4838709677419355,0.5277777777777778,0,0
Robbie Gray,0.9411764705882353,0.5925925925925926,0.35714285714285715,0.4375,0.7,0.7,0.7142857142857143,0.7142857142857143,0.75,0.75,1.0,0.5,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.4444444444444444,0.4,0.8571428571428571,0.6,0.5,0.3333333333333333,1.0,1.0,0.4375,0.3684210526315789,1.0,0.9333333333333333,0.5789473684210527,0.5789473684210527,0.3827751196172249,0.32884615384615384,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.0625,0.0,0.0,0.8387096774193549,0.8333333333333334,0,0
Sam Gray,0.35294117647058826,0.2222222222222222,1.0,1.0,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.3,0.14285714285714285,0.1,0.5,0.3333333333333333,0.0,0.0,0.625,0.5263157894736842,0.8571428571428571,0.8,0.7368421052631579,0.7368421052631579,0.7177033492822967,0.5980769230769231,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.125,0.125,0.2857142857142857,0.29210134128166915,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.1875,0.3333333333333333,0.2,0.5161290322580645,0.5555555555555556,0,0
Matthew Broadbent,0.5294117647058824,0.3333333333333333,0.6428571428571429,0.6875,0.6,0.6,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.1,0.1,0.3333333333333333,0.3,0.5714285714285714,0.4,1.0,0.6666666666666666,0.5,0.5,0.5625,0.47368421052631576,0.5,0.4666666666666667,0.7894736842105263,0.7894736842105263,0.9808612440191389,0.8096153846153845,1.0,0.5,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.375,0.375,0.5338345864661654,0.5380029806259314,0.23076923076923078,0.23076923076923078,0.6153846153846154,0.5,0.0,0.0,0.3548387096774194,0.4166666666666667,0,0
Jackson Trengove,0.35294117647058826,0.2222222222222222,0.7857142857142857,0.8125,0.5666666666666667,0.5666666666666667,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,1.0,0.46938775510204084,0.0,0.0,0.6666666666666666,0.6666666666666666,0.9,0.9,0.3333333333333333,0.3,0.0,0.0,0.5,0.3333333333333333,0.5,0.5,0.6875,0.5789473684210527,0.35714285714285715,0.3333333333333333,0.631578947368421,0.631578947368421,0.7416267942583733,0.6173076923076922,0.0,0.0,0.0,0.0,0.21052631578947367,0.21052631578947367,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.27518796992481204,0.2816691505216095,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.1875,0.0,0.0,0.6451612903225806,0.6666666666666666,0,0
Kane Mitchell,0.7647058823529411,0.48148148148148145,0.21428571428571427,0.3125,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.1,0.1,0.5555555555555556,0.5,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.3125,0.2631578947368421,0.42857142857142855,0.4,0.2631578947368421,0.2631578947368421,0.0,0.02115384615384618,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.375,0.375,0.48120300751879697,0.4858420268256334,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.4375,0.3333333333333333,0.2,0.7741935483870968,0.7777777777777778,0,0
Brad Ebert,0.6470588235294118,0.4074074074074074,0.2857142857142857,0.375,0.5,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.1,0.1,0.6666666666666666,0.6,0.14285714285714285,0.1,1.0,0.6666666666666666,0.25,0.25,0.8125,0.6842105263157895,0.14285714285714285,0.13333333333333333,0.3684210526315789,0.3684210526315789,0.28708133971291866,0.2519230769230769,1.0,0.5,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.5,0.5,0.3774436090225564,0.3830104321907601,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.1875,0.0,0.0,0.41935483870967744,0.4722222222222222,0,0
Jared Polec,0.47058823529411764,0.2962962962962963,0.42857142857142855,0.5,0.4666666666666667,0.4666666666666667,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2222222222222222,0.2,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.25,0.21052631578947367,0.7142857142857143,0.6666666666666666,0.42105263157894735,0.42105263157894735,0.5023923444976077,0.425,0.0,0.0,0.0,0.0,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.125,0.125,0.3518796992481203,0.35767511177347244,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.25,0.3333333333333333,0.2,0.22580645161290322,0.3055555555555556,0,0
