Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Andrew Gaff,0.5384615384615384,0.5,0.75,1.0,0.7142857142857143,1.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,1.0,1.0,0.5,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,0.375,0.375,0.8695652173913043,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.7248062015503876,0.7248062015503876,0.7142857142857143,0.7142857142857143,0.3,0.3,0.0,0.0,0.8867924528301887,0.8867924528301887,1,Home,0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.6666666666666666,0.8,0.25,0.25
Matthew Priddis,1.0,1.0,0.35,0.4666666666666667,0.6428571428571429,0.9,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.875,0.875,0.7142857142857143,0.6,0.25,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.391304347826087,0.45,0.6,0.6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8003875968992248,0.8003875968992248,0.7142857142857143,0.7142857142857143,0.2,0.2,0.3333333333333333,1.0,0.7735849056603774,0.7735849056603774,1,Home,3,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,1.0,1.0,0.6666666666666666,0.8,0.75,1.0
Luke Shuey,0.9230769230769231,0.9166666666666666,0.4,0.5333333333333333,0.6428571428571429,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5714285714285714,0.4,0.375,0.375,1.0,1.0,0.6,0.33333333333333337,1.0,1.0,0.391304347826087,0.45,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2857142857142857,0.2857142857142857,0.1,0.1,0.0,0.0,0.6981132075471698,0.6981132075471698,1,Home,0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.4,0.5833333333333334,0.75
Shannon Hurn,0.8461538461538461,0.8333333333333334,0.2,0.26666666666666666,0.4642857142857143,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.25,0.2857142857142857,0.0,0.625,0.625,0.0,0.0,0.8,0.6666666666666667,0.3125,0.3125,0.5652173913043478,0.65,0.4,0.4,0.5,0.5,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.3546511627906977,0.3546511627906977,0.2857142857142857,0.2857142857142857,1.0,1.0,0.0,0.0,0.6037735849056604,0.6037735849056604,1,Home,0,1.0,1.0,1.0,1.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.6666666666666666,0.875
Scott Lycett,0.46153846153846156,0.4166666666666667,0.4,0.5333333333333333,0.42857142857142855,0.6,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4,0.4,0.5121951219512195,1.0,0.0,0.0,0.0,0.0,0.625,0.625,0.2857142857142857,0.0,0.375,0.375,0.3333333333333333,0.3333333333333333,0.6,0.33333333333333337,0.8125,0.8125,0.17391304347826086,0.2,0.45,0.45,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.42857142857142855,0.42857142857142855,0.5,0.5,0.24031007751937986,0.24031007751937986,0.8571428571428572,0.8571428571428572,0.1,0.1,0.0,0.0,0.5283018867924528,0.5283018867924528,1,Home,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5,0.6,0.5,0.625
Mark Lecras,0.46153846153846156,0.4166666666666667,0.3,0.4,0.35714285714285715,0.5,0.42857142857142855,0.42857142857142855,0.0,0.0,0.3333333333333333,0.5,0.2,0.2,0.0,0.0,1.0,1.0,0.5,0.5,0.375,0.375,0.8571428571428572,0.8,0.0,0.0,0.16666666666666666,0.16666666666666666,0.8,0.6666666666666667,0.5,0.5,0.30434782608695654,0.35,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.2713178294573643,0.2713178294573643,1.0,1.0,0.1,0.1,0.0,0.0,0.7924528301886793,0.7924528301886793,1,Home,0,0.5,0.5,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.8,0.4166666666666667,0.5
Jack Darling,0.38461538461538464,0.3333333333333333,0.35,0.4666666666666667,0.35714285714285715,0.5,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.125,0.125,0.3333333333333333,0.3333333333333333,1.0,1.0,0.375,0.375,0.391304347826087,0.45,0.45,0.45,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5465116279069767,0.5465116279069767,0.8571428571428572,0.8571428571428572,0.2,0.2,0.0,0.0,0.8113207547169812,0.8113207547169812,1,Home,0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.4,0.3333333333333333,0.375
Jack Redden,0.07692307692307693,0.0,0.5,0.6666666666666666,0.32142857142857145,0.45,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.4,0.4,0.024390243902439025,0.047619047619047616,0.0,0.0,0.16666666666666666,0.16666666666666666,0.375,0.375,0.4285714285714286,0.19999999999999996,0.25,0.25,0.16666666666666666,0.16666666666666666,0.4,0.0,0.5,0.5,0.34782608695652173,0.4,0.35,0.35,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.3333333333333333,0.5,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.023255813953488372,0.023255813953488372,0.5714285714285714,0.5714285714285714,0.4,0.4,0.3333333333333333,1.0,0.6226415094339622,0.6226415094339622,1,Home,0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.35714285714285715,0.16666666666666666,0.2,0.4166666666666667,0.5
Bradley Sheppard,0.38461538461538464,0.3333333333333333,0.3,0.4,0.32142857142857145,0.45,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.7142857142857143,0.6,0.25,0.25,0.0,0.0,1.0,1.0,0.3125,0.3125,0.391304347826087,0.45,0.35,0.35,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.35271317829457366,0.35271317829457366,0.8571428571428572,0.8571428571428572,0.6,0.6,0.0,0.0,0.8301886792452831,0.8301886792452831,1,Home,0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.16666666666666666,0.2,0.4166666666666667,0.5
Jamie Cripps,0.46153846153846156,0.4166666666666667,0.25,0.3333333333333333,0.32142857142857145,0.45,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.26666666666666666,0.26666666666666666,0.0,0.0,1.0,1.0,0.5,0.5,0.125,0.125,0.8571428571428572,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.1875,0.1875,0.4782608695652174,0.55,0.2,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.6511627906976745,0.6511627906976745,0.5714285714285714,0.5714285714285714,0.1,0.1,0.3333333333333333,1.0,0.5660377358490566,0.5660377358490566,1,Home,0,0.8333333333333334,0.8333333333333334,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.8333333333333334,1.0,0.6666666666666666,0.875
