Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Pearce Hanley,0.875,0.8888888888888888,0.5833333333333334,0.5833333333333334,1.0,1.0,0.375,0.3333333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.03571428571428571,0.034482758620689655,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.2857142857142857,0.6,0.5,0.6,0.5,1.0,0.6666666666666666,0.75,0.75,0.5,0.38461538461538464,1.0,0.9411764705882353,1.0,1.0,0.5454545454545455,0.5454545454545455,0.0,0.0,0.5,0.2,0.09090909090909091,0.09090909090909091,0.0,0.0,0.5,0.5,0.0,0.0,0.6363636363636364,0.6363636363636364,0.9550102249488752,0.9366197183098591,0.5,0.5,0.2857142857142857,0.25,0.0,0.0,0.5714285714285714,0.5714285714285714,0,0
Dayne Zorko,1.0,1.0,0.4166666666666667,0.4166666666666667,1.0,1.0,0.625,0.5555555555555556,1.0,0.4,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,0.7142857142857143,0.4,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.5,0.5,0.9,0.6923076923076923,0.875,0.8235294117647058,0.9333333333333333,0.9333333333333333,0.45887445887445893,0.45887445887445893,0.0,0.0,0.5,0.2,0.18181818181818182,0.18181818181818182,0.0,0.0,0.25,0.25,1.0,0.8,1.0,1.0,1.0,0.9753521126760564,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.25,0.0,0.0,0.5476190476190477,0.5476190476190477,0,0
Lewis Taylor,0.625,0.6666666666666666,0.75,0.75,0.8947368421052632,0.8947368421052632,1.0,0.8888888888888888,1.0,0.4,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.2,0.14285714285714285,0.4,0.3333333333333333,0.2,0.16666666666666666,1.0,0.6666666666666666,0.25,0.25,0.7,0.5384615384615384,0.875,0.8235294117647058,0.8,0.8,0.393939393939394,0.393939393939394,0.0,0.0,1.0,0.4,0.18181818181818182,0.18181818181818182,0.0,0.0,0.25,0.25,0.0,0.0,1.0,1.0,0.6114519427402862,0.6408450704225352,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.125,0.25,0.25,0.6904761904761905,0.6904761904761905,0,0
Ryan Bastinac,0.25,0.3333333333333333,1.0,1.0,0.7368421052631579,0.7368421052631579,0.125,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6,0.42857142857142855,0.4,0.3333333333333333,0.6,0.5,0.5,0.3333333333333333,0.25,0.25,1.0,0.7692307692307693,0.5,0.47058823529411764,0.8666666666666667,0.8666666666666667,0.761904761904762,0.761904761904762,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.5,0.5,0.25,0.2,0.6363636363636364,0.6363636363636364,0.25357873210633947,0.33274647887323944,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.625,0.25,0.25,0.5,0.5,0,0
Rohan Bewick,0.5625,0.6111111111111112,0.5833333333333334,0.5833333333333334,0.7368421052631579,0.7368421052631579,0.625,0.5555555555555556,0.0,0.0,0.0,0.0,0.5,0.5,0.03571428571428571,0.034482758620689655,0.0,0.0,0.5,0.5,0.8,0.5714285714285714,0.2,0.16666666666666666,1.0,0.8333333333333334,1.0,0.6666666666666666,0.25,0.25,0.8,0.6153846153846154,0.6875,0.6470588235294118,0.8666666666666667,0.8666666666666667,0.761904761904762,0.761904761904762,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.25,0.25,0.75,0.6,0.7272727272727273,0.7272727272727273,0.5869120654396728,0.6197183098591549,0.5,0.5,0.7142857142857143,0.625,0.0,0.0,0.5,0.5,0,0
Stefan Martin,0.3125,0.3888888888888889,0.8333333333333334,0.8333333333333334,0.6842105263157895,0.6842105263157895,0.875,0.7777777777777778,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.4,0.2857142857142857,0.4,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.8,0.6153846153846154,0.625,0.5882352941176471,0.5333333333333333,0.5333333333333333,0.2640692640692641,0.2640692640692641,0.2,0.2,0.5,0.2,0.18181818181818182,0.18181818181818182,0.0,0.0,0.5,0.5,0.0,0.0,0.18181818181818182,0.18181818181818182,0.010224948875255624,0.12323943661971831,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5,0.0,0.0,0.7857142857142857,0.7857142857142857,0,0
Tom Cutler,0.6875,0.7222222222222222,0.25,0.25,0.631578947368421,0.631578947368421,0.25,0.2222222222222222,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.2,0.14285714285714285,0.4,0.3333333333333333,0.4,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.3,0.23076923076923078,0.625,0.5882352941176471,0.5333333333333333,0.5333333333333333,0.3506493506493507,0.3506493506493507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.36363636363636365,0.36363636363636365,0.8384458077709611,0.8362676056338029,1.0,1.0,0.2857142857142857,0.25,0.0,0.0,0.42857142857142855,0.42857142857142855,0,0
Allen Christensen,0.1875,0.2777777777777778,0.75,0.75,0.5263157894736842,0.5263157894736842,0.25,0.2222222222222222,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.14285714285714285,0.2,0.16666666666666666,0.2,0.16666666666666666,1.0,0.6666666666666666,0.0,0.0,0.3,0.23076923076923078,0.6875,0.6470588235294118,0.5333333333333333,0.5333333333333333,0.5670995670995671,0.5670995670995671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.5454545454545454,0.5454545454545454,0.4458077709611452,0.4982394366197183,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.125,0.75,0.75,0.5476190476190477,0.5476190476190477,0,0
Claye Beams,0.5,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.5263157894736842,0.5263157894736842,0.625,0.5555555555555556,0.5,0.2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4,0.3333333333333333,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.3,0.23076923076923078,0.5625,0.5294117647058824,0.4666666666666667,0.4666666666666667,0.4155844155844156,0.4155844155844156,0.2,0.2,1.0,0.4,0.09090909090909091,0.09090909090909091,1.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.35991820040899797,0.4242957746478873,0.5,0.5,0.7142857142857143,0.625,0.0,0.0,0.5952380952380952,0.5952380952380952,0,0
Joshua Green,0.4375,0.5,0.25,0.25,0.42105263157894735,0.42105263157894735,0.375,0.3333333333333333,1.0,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.14285714285714285,0.8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6153846153846154,0.3125,0.29411764705882354,0.2,0.2,-0.017316017316017254,-0.017316017316017254,0.0,0.0,0.5,0.2,0.09090909090909091,0.09090909090909091,1.0,1.0,0.0,0.0,0.25,0.2,0.5454545454545454,0.5454545454545454,0.2740286298568507,0.3503521126760563,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.125,0.5,0.5,0.5952380952380952,0.5952380952380952,0,0
