Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
David Zaharakis,1.0,1.0,0.875,0.8333333333333334,1.0,1.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.5,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.7777777777777778,1.0,1.0,0.9523809523809523,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.16666666666666666,0.5,0.25,0.25,0.6363636363636364,0.6,1.0,1.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.725,0.7083333333333334,1,Home,2,0.5454545454545454,0.5454545454545454,0.5833333333333334,0.5454545454545454,0.625,0.625,0.5555555555555556,0.5,0.9090909090909091,1.0
Zachary Merrett,0.9444444444444444,0.9375,0.8125,0.75,0.9310344827586207,0.92,0.14285714285714285,0.14285714285714285,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.2,0.0,0.0,1.0,1.0,0.8181818181818182,0.8888888888888888,0.875,0.8695652173913043,0.9047619047619048,0.9,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5,0.75,0.75,0.8181818181818182,0.8,0.5918674698795181,0.5918674698795181,0.6,0.19999999999999996,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3,0.0,1,Home,3,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,1.0,1.0,1.0,1.0,0.8181818181818182,0.8888888888888888
James Kelly,0.5555555555555556,0.5,1.0,1.0,0.7931034482758621,0.76,0.35714285714285715,0.35714285714285715,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.8571428571428572,0.8571428571428572,0.2857142857142857,0.4,0.0,0.0,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.7777777777777778,0.7083333333333334,0.6956521739130435,1.0,1.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5,0.3493975903614458,0.3493975903614458,0.8,0.6,1.0,1.0,0.0,0.0,0.675,0.625,1,Home,0,0.36363636363636365,0.36363636363636365,0.5,0.45454545454545453,0.25,0.25,0.6666666666666666,0.625,0.2727272727272727,0.2222222222222222
Jackson Merrett,0.6111111111111112,0.5625,0.9375,0.9166666666666666,0.7931034482758621,0.76,0.6428571428571429,0.6428571428571429,0.0,0.0,0.25,0.25,0.375,0.375,0.0,0.0,0.0,0.0,0.3,0.3,0.375,0.75,0.8571428571428572,0.8571428571428572,0.14285714285714285,0.2,0.0,0.0,1.0,1.0,0.9090909090909091,1.0,0.75,0.7391304347826086,0.9523809523809523,0.95,0.0,0.0,0.1111111111111111,0.1111111111111111,0.25,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5,0.5,0.5,0.45454545454545453,0.4,0.40963855421686746,0.40963855421686746,0.7,0.4,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6,0.5,1,Home,0,0.8181818181818182,0.8181818181818182,0.75,0.7272727272727273,0.375,0.375,0.5555555555555556,0.5,0.36363636363636365,0.3333333333333333
Brendon Goddard,0.7222222222222222,0.6875,0.75,0.6666666666666666,0.7586206896551724,0.72,0.6428571428571429,0.6428571428571429,0.0,0.0,0.25,0.25,0.375,0.375,0.06451612903225806,0.125,0.5,0.5,0.2,0.2,0.375,0.75,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,0.5,0.6666666666666667,0.6666666666666667,0.5454545454545454,0.5555555555555556,0.7916666666666666,0.782608695652174,0.7619047619047619,0.75,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.75,0.75,0.8181818181818182,0.8,0.4608433734939759,0.4608433734939759,0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.775,0.7916666666666666,1,Home,0,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.8181818181818182,0.125,0.125,0.8888888888888888,0.875,0.6363636363636364,0.6666666666666666
James Gwilt,0.6111111111111112,0.5625,0.6875,0.5833333333333334,0.6551724137931034,0.6,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.42857142857142855,0.6,0.0,0.0,1.0,1.0,0.36363636363636365,0.3333333333333333,0.6666666666666666,0.6521739130434783,0.8571428571428571,0.85,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.2,0.3253012048192771,0.3253012048192771,0.5,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.9,1.0,1,Home,0,0.7272727272727273,0.7272727272727273,0.75,0.7272727272727273,0.125,0.125,0.3333333333333333,0.25,0.18181818181818182,0.1111111111111111
Orazio Fantasia,0.3888888888888889,0.3125,0.875,0.8333333333333334,0.6206896551724138,0.56,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.5,0.5,0.2,0.2,0.5,1.0,0.4285714285714286,0.4285714285714286,0.0,0.0,0.25,0.25,0.6666666666666667,0.6666666666666667,0.9090909090909091,1.0,0.4583333333333333,0.43478260869565216,0.7619047619047619,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.45454545454545453,0.4,0.3960843373493976,0.3960843373493976,0.6,0.19999999999999996,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4,0.16666666666666666,1,Home,0,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.375,0.375,0.4444444444444444,0.375,0.2727272727272727,0.2222222222222222
Mark Baguley,0.4444444444444444,0.375,0.6875,0.5833333333333334,0.5517241379310345,0.48,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.42857142857142855,0.6,0.25,0.25,1.0,1.0,0.45454545454545453,0.4444444444444444,0.625,0.6086956521739131,0.7619047619047619,0.75,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5,0.2996987951807229,0.2996987951807229,1.0,1.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.675,0.625,1,Home,0,0.6363636363636364,0.6363636363636364,0.75,0.7272727272727273,0.625,0.625,0.6666666666666666,0.625,0.09090909090909091,0.0
Joe Daniher,0.6666666666666666,0.625,0.4375,0.25,0.5517241379310345,0.48,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.9090909090909091,1.0,0.375,0.34782608695652173,0.42857142857142855,0.4,1.0,1.0,1.0,1.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.32981927710843373,0.32981927710843373,0.6,0.19999999999999996,0.0,0.0,0.0,0.0,0.75,0.75,1,Home,1,0.6363636363636364,0.6363636363636364,0.5,0.45454545454545453,0.0,0.0,1.0,1.0,0.7272727272727273,0.7777777777777778
Darcy Parish,0.4444444444444444,0.375,0.6875,0.5833333333333334,0.5517241379310345,0.48,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.125,0.25,0.7142857142857143,0.7142857142857143,0.0,0.0,0.75,0.75,1.0,1.0,0.45454545454545453,0.4444444444444444,0.5833333333333334,0.5652173913043478,0.6666666666666666,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.45454545454545453,0.4,0.3825301204819277,0.3825301204819277,0.7,0.4,0.3333333333333333,0.3333333333333333,0.5,0.5,0.375,0.125,1,Home,0,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.875,0.875,0.5555555555555556,0.5,0.2727272727272727,0.2222222222222222
