Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
David Zaharakis,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,0.3,0.3,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.5454545454545454,1.0,0.5714285714285714,0.6666666666666666,0.4285714285714286,0.4285714285714286,0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.6666666666666666,1.0,0.4,0.4,0.5454545454545454,0.75,0.8482549317147192,1.0,0.5833333333333333,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.0,0.0,0.6071428571428571,0.6538461538461539,1,Home,2,0.4444444444444444,0.375,0.4,0.4,0.75,0.75,0.6,0.8571428571428571,0.5714285714285714,0.7777777777777778
Zachary Merrett,1.0,1.0,0.8421052631578947,0.8421052631578947,0.9428571428571428,0.9428571428571428,0.5,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,0.36363636363636365,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,1.0,0.6666666666666666,0.8888888888888888,0.9285714285714286,0.9259259259259259,0.8620689655172413,0.8620689655172413,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.3333333333333333,0.5,0.6,0.6,0.45454545454545453,0.625,0.7678300455235205,0.9051878354203936,0.5833333333333333,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.0,0.0,0.42857142857142855,0.46153846153846156,1,Home,3,0.6666666666666666,0.625,0.6,0.6,0.375,0.375,0.4,0.5714285714285714,0.7142857142857143,1.0
Mathew Stokes,0.6111111111111112,0.6111111111111112,0.8947368421052632,0.8947368421052632,0.7714285714285715,0.7714285714285715,0.6,0.6,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5,0.5,0.36363636363636365,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.8571428571428572,0.8571428571428572,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.5833333333333334,0.7777777777777778,0.8214285714285714,0.8148148148148148,0.7931034482758621,0.7931034482758621,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7272727272727273,1.0,0.4294385432473445,0.5062611806797853,0.5833333333333333,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.25,0.5,0.6785714285714286,0.7307692307692307,1,Home,0,0.7777777777777778,0.75,0.6,0.6,0.125,0.125,0.7,1.0,0.42857142857142855,0.5555555555555556
James Kelly,0.5555555555555556,0.5555555555555556,0.631578947368421,0.631578947368421,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.09090909090909091,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.4285714285714286,0.4285714285714286,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.5833333333333334,0.7777777777777778,0.5,0.48148148148148145,0.7241379310344828,0.7241379310344828,0.3333333333333333,0.3333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.2727272727272727,0.375,0.3945371775417299,0.46511627906976744,0.5,0.1428571428571429,0.5714285714285714,0.8888888888888888,0.0,0.0,0.5357142857142857,0.5769230769230769,1,Home,0,0.6666666666666666,0.625,0.7,0.7,0.125,0.125,0.3,0.42857142857142855,0.14285714285714285,0.1111111111111111
Craig Bird,0.3333333333333333,0.3333333333333333,0.7894736842105263,0.7894736842105263,0.5714285714285714,0.5714285714285714,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.1428571428571429,0.1428571428571429,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666667,0.6666666666666667,0.75,1.0,0.4642857142857143,0.4444444444444444,0.4827586206896552,0.4827586206896552,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.18181818181818182,0.25,0.22154779969650987,0.26118067978533094,0.5,0.1428571428571429,0.14285714285714285,0.2222222222222222,0.25,0.5,0.35714285714285715,0.38461538461538464,1,Home,0,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,0.2,0.2857142857142857,0.5714285714285714,0.7777777777777778
Jonathan Simpkin,0.5555555555555556,0.5555555555555556,0.5263157894736842,0.5263157894736842,0.5428571428571428,0.5428571428571428,0.3,0.3,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5,0.5,0.36363636363636365,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.25,1.0,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.4444444444444444,0.6428571428571429,0.6296296296296297,0.5517241379310345,0.5517241379310345,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.5,0.0,0.0,0.4,0.4,0.2727272727272727,0.375,0.6100151745068285,0.7191413237924866,0.5833333333333333,0.2857142857142857,0.14285714285714285,0.2222222222222222,0.0,0.0,0.6785714285714286,0.7307692307692307,1,Home,0,0.4444444444444444,0.375,0.4,0.4,0.25,0.25,0.2,0.2857142857142857,0.35714285714285715,0.4444444444444444
Martin Gleeson,0.2777777777777778,0.2777777777777778,0.7368421052631579,0.7368421052631579,0.5142857142857142,0.5142857142857142,0.4,0.4,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.09090909090909091,0.16666666666666666,0.14285714285714285,0.16666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.25,0.3333333333333333,0.6071428571428571,0.5925925925925926,0.5862068965517241,0.5862068965517241,0.3333333333333333,0.3333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.5,0.0,0.0,0.2,0.2,0.09090909090909091,0.125,0.30197268588770865,0.3559928443649374,0.9166666666666666,0.8571428571428572,0.42857142857142855,0.6666666666666666,0.0,0.0,0.6071428571428571,0.6538461538461539,1,Home,0,0.4444444444444444,0.375,0.5,0.5,0.125,0.125,0.1,0.14285714285714285,0.21428571428571427,0.2222222222222222
Conor McKenna,0.7222222222222222,0.7222222222222222,0.2631578947368421,0.2631578947368421,0.4857142857142857,0.4857142857142857,0.2,0.2,0.6666666666666666,0.6666666666666666,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.36363636363636365,0.6666666666666666,0.14285714285714285,0.16666666666666666,0.0,0.0,0.8333333333333334,0.8333333333333334,0.25,1.0,0.33333333333333337,0.33333333333333337,0.25,0.3333333333333333,0.5714285714285714,0.5555555555555556,0.4827586206896552,0.4827586206896552,0.0,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.2,0.2,0.5454545454545454,0.75,0.6479514415781487,0.7638640429338104,0.6666666666666667,0.4285714285714286,0.42857142857142855,0.6666666666666666,0.0,0.0,0.25,0.2692307692307692,1,Home,0,0.3333333333333333,0.25,0.3,0.3,0.125,0.125,0.6,0.8571428571428571,0.35714285714285715,0.4444444444444444
James Polkinghorne,0.05555555555555555,0.05555555555555555,0.8421052631578947,0.8421052631578947,0.45714285714285713,0.45714285714285713,0.4,0.4,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.8571428571428572,0.8571428571428572,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666667,0.6666666666666667,0.5,0.6666666666666666,0.5357142857142857,0.5185185185185185,0.5517241379310345,0.5517241379310345,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.2,0.2,0.2727272727272727,0.375,0.030349013657056147,0.03577817531305903,0.9166666666666666,0.8571428571428572,0.07142857142857142,0.1111111111111111,0.0,0.0,0.03571428571428571,0.038461538461538464,1,Home,0,0.5555555555555556,0.5,0.5,0.5,0.125,0.125,0.3,0.42857142857142855,0.14285714285714285,0.1111111111111111
Mitchell Brown,0.6666666666666666,0.6666666666666666,0.2631578947368421,0.2631578947368421,0.45714285714285713,0.45714285714285713,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.2727272727272727,0.5,0.0,0.0,0.8571428571428572,0.8571428571428572,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,0.16666666666666666,0.2222222222222222,0.5,0.48148148148148145,0.5862068965517241,0.5862068965517241,0.6666666666666666,0.6666666666666666,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.25,0.5417298937784522,0.6386404293381037,0.8333333333333334,0.7142857142857143,0.5,0.7777777777777778,0.0,0.0,0.9285714285714286,1.0,1,Home,0,1.0,1.0,1.0,1.0,0.25,0.25,0.2,0.2857142857142857,0.07142857142857142,0.0
