Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Andrew Gaff,1.0,0.85,1.0,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.7142857142857143,0.7142857142857143,0.6,0.6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6,1.0,1.0,1.0,1.0,0.5520628683693517,0.4921190893169878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.45454545454545453,0.0,0.0,0.9375,0.8653846153846154,1,3
Chris Masten,0.8823529411764706,0.75,0.6842105263157895,0.6842105263157895,0.7647058823529411,0.7647058823529411,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5714285714285714,0.5714285714285714,0.8,0.8,0.25,0.25,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7333333333333333,0.6153846153846154,0.6296296296296297,0.7916666666666666,0.7916666666666666,0.5913555992141454,0.5271453590192645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.6,0.625,0.625,0.8573573573573574,0.8573573573573574,0.42857142857142855,0.5,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.8125,0.75,1,0
Matthew Priddis,0.5294117647058824,0.45,0.9473684210526315,0.9473684210526315,0.7352941176470589,0.7352941176470589,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,0.2,0.25,0.25,1.0,1.0,0.9285714285714286,0.9333333333333333,0.5769230769230769,0.5925925925925926,0.8333333333333334,0.8333333333333334,0.7092337917485265,0.6322241681260946,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8,0.5,0.5,0.22672672672672672,0.22672672672672672,0.5714285714285714,0.625,0.09090909090909091,0.09090909090909091,0.0,0.0,0.75,0.6923076923076923,1,0
Mark Lecras,0.7647058823529411,0.65,0.47368421052631576,0.47368421052631576,0.5882352941176471,0.5882352941176471,0.8888888888888888,0.8888888888888888,0.4,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.25,0.25,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.7857142857142857,0.8,0.38461538461538464,0.4074074074074074,0.5416666666666666,0.5416666666666666,0.45383104125736745,0.404553415061296,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,1.0,1.0,0.6846846846846847,0.6846846846846847,0.14285714285714285,0.25,0.18181818181818182,0.18181818181818182,0.0,0.0,0.8958333333333334,0.8269230769230769,1,0
Luke Shuey,0.47058823529411764,0.4,0.5789473684210527,0.5789473684210527,0.5,0.5,0.0,0.0,0.2,0.2,0.5,0.5,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.875,0.875,0.14285714285714285,0.14285714285714285,0.2,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.11538461538461539,0.14814814814814814,0.4583333333333333,0.4583333333333333,0.45383104125736745,0.404553415061296,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,1.0,0.75,0.6,0.5,0.5,0.2882882882882883,0.2882882882882883,0.14285714285714285,0.25,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.5416666666666666,0.5,1,0
Dominic Sheed,0.5294117647058824,0.45,0.47368421052631576,0.47368421052631576,0.47058823529411764,0.47058823529411764,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.125,0.125,0.2857142857142857,0.2857142857142857,0.4,0.4,0.25,0.25,0.0,0.0,0.42857142857142855,0.4666666666666667,0.46153846153846156,0.48148148148148145,0.4166666666666667,0.4166666666666667,0.43418467583497056,0.38704028021015763,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.5,0.5,0.3813813813813814,0.3813813813813814,0.2857142857142857,0.375,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.4791666666666667,0.4423076923076923,1,0
Sharrod Wellingham,0.47058823529411764,0.4,0.3684210526315789,0.3684210526315789,0.38235294117647056,0.38235294117647056,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.8,0.8,0.25,0.25,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.4230769230769231,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.4145383104125737,0.36952714535901926,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.3978978978978979,0.3978978978978979,0.14285714285714285,0.25,0.36363636363636365,0.36363636363636365,0.0,0.0,0.6458333333333334,0.5961538461538461,1,0
Jamie Cripps,0.5882352941176471,0.5,0.2631578947368421,0.2631578947368421,0.38235294117647056,0.38235294117647056,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.5,0.5,0.5,0.25,0.25,0.5714285714285714,0.5714285714285714,0.2,0.2,0.5,0.5,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.4666666666666667,0.3076923076923077,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.08055009823182714,0.07180385288966727,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.5,0.4,0.625,0.625,0.5315315315315315,0.5315315315315315,0.5714285714285714,0.625,0.2727272727272727,0.2727272727272727,0.0,0.0,0.6041666666666666,0.5576923076923077,1,0
Jeremy McGovern,0.7647058823529411,0.65,0.10526315789473684,0.10526315789473684,0.38235294117647056,0.38235294117647056,1.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.25,0.25,0.0,0.0,0.5,0.5333333333333333,0.2692307692307692,0.2962962962962963,0.5,0.5,0.8860510805500983,0.7898423817863398,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2747747747747748,0.2747747747747748,0.14285714285714285,0.25,1.0,1.0,0.0,0.0,0.7083333333333334,0.6538461538461539,1,1
Scott Lycett,0.23529411764705882,0.2,0.5263157894736842,0.5263157894736842,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.625,0.625,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.7857142857142857,0.8,0.038461538461538464,0.07407407407407407,0.5,0.5,0.9842829076620826,0.8774080560420315,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.75,0.75,0.5,0.4,0.875,0.875,0.37537537537537535,0.37537537537537535,0.0,0.125,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.5208333333333334,0.4807692307692308,1,0
