Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Aaron Hall,1.0,1.0,0.6190476190476191,0.6190476190476191,1.0,1.0,0.5,0.5,0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.2222222222222222,1.0,0.8333333333333334,0.5,0.375,0.6666666666666666,0.6666666666666666,0.0,0.0,0.75,0.6923076923076923,1.0,1.0,1.0,1.0,0.7717041800643087,0.72,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.25,0.8461538461538461,0.8461538461538461,1.0,1.0,1.0,1.0,0.5714285714285714,0.4444444444444444,1.0,1.0,0.7727272727272727,0.7727272727272727,1,3
Gary Ablett,0.5185185185185185,0.5185185185185185,1.0,1.0,0.875,0.875,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,1.0,1.0,0.6,0.5,0.5,0.375,0.3333333333333333,0.3333333333333333,0.5,0.25,1.0,0.9230769230769231,0.7096774193548387,0.7096774193548387,1.0,1.0,0.8788853161843516,0.82,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.2,1.0,1.0,0.75,0.75,0.8461538461538461,0.8461538461538461,0.4096228868660598,0.4096228868660598,0.5714285714285714,0.625,0.2857142857142857,0.2222222222222222,0.0,0.0,0.9090909090909091,0.9090909090909091,1,1
Kade Kolodjashnij,0.5555555555555556,0.5555555555555556,0.5238095238095238,0.5238095238095238,0.65,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.0,0.0,0.5,0.375,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3076923076923077,0.7741935483870968,0.7741935483870968,0.7586206896551724,0.7586206896551724,0.9003215434083601,0.84,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.0,0.25,0.25,0.7692307692307693,0.7692307692307693,0.5604681404421327,0.5604681404421327,0.0,0.125,0.8571428571428571,0.6666666666666666,0.0,0.0,0.9318181818181818,0.9318181818181818,1,0
Nick Malceski,0.4444444444444444,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.6,0.6,0.5,0.5,0.25,0.25,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.5,0.375,1.0,1.0,0.5,0.25,0.5,0.46153846153846156,0.6129032258064516,0.6129032258064516,0.6206896551724138,0.6206896551724138,0.8038585209003216,0.75,0.0,0.0,0.16666666666666666,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.2,0.16666666666666666,0.16666666666666666,0.5,0.5,0.6923076923076923,0.6923076923076923,0.6098829648894668,0.6098829648894668,0.2857142857142857,0.375,0.2857142857142857,0.2222222222222222,0.0,0.0,0.8522727272727273,0.8522727272727273,1,0
Matthew Rosa,0.4444444444444444,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.6,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.1111111111111111,0.1111111111111111,0.4,0.3333333333333333,0.16666666666666666,0.125,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5833333333333334,0.5384615384615384,0.5161290322580645,0.5161290322580645,0.5862068965517241,0.5862068965517241,0.7502679528403001,0.7,0.0,0.0,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.09090909090909091,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3076923076923077,0.3076923076923077,0.38491547464239273,0.38491547464239273,0.5714285714285714,0.625,0.7142857142857143,0.5555555555555556,0.0,0.0,0.7840909090909091,0.7840909090909091,1,0
Dion Prestia,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.6,0.6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.6,0.5,0.5,0.375,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6153846153846154,0.5161290322580645,0.5161290322580645,0.6206896551724138,0.6206896551724138,0.8038585209003216,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.5,0.3076923076923077,0.3076923076923077,0.2626788036410923,0.2626788036410923,0.42857142857142855,0.5,0.14285714285714285,0.1111111111111111,0.0,0.0,0.7613636363636364,0.7613636363636364,1,0
Tom Lynch,0.5185185185185185,0.5185185185185185,0.42857142857142855,0.42857142857142855,0.575,0.575,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.6666666666666666,0.6153846153846154,0.5161290322580645,0.5161290322580645,0.5517241379310345,0.5517241379310345,0.7395498392282959,0.69,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4070221066319896,0.4070221066319896,0.2857142857142857,0.375,0.14285714285714285,0.1111111111111111,0.0,0.0,1.0,1.0,1,2
Jarrod Harbrow,0.4444444444444444,0.4444444444444444,0.47619047619047616,0.47619047619047616,0.55,0.55,0.25,0.25,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2,0.16666666666666666,1.0,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.15384615384615385,0.5806451612903226,0.5806451612903226,0.6206896551724138,0.6206896551724138,0.8681672025723473,0.81,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.42392717815344605,0.42392717815344605,0.42857142857142855,0.5,0.2857142857142857,0.2222222222222222,0.0,0.0,0.9318181818181818,0.9318181818181818,1,0
Michael Rischitelli,0.25925925925925924,0.25925925925925924,0.6666666666666666,0.6666666666666666,0.525,0.525,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.5,0.5,0.5714285714285714,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.75,0.6923076923076923,0.45161290322580644,0.45161290322580644,0.6551724137931034,0.6551724137931034,0.9646302250803859,0.9,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.0,1.0,1.0,0.6153846153846154,0.6153846153846154,0.26007802340702213,0.26007802340702213,0.2857142857142857,0.375,0.5714285714285714,0.4444444444444444,0.0,0.0,0.8636363636363636,0.8636363636363636,1,0
Jesse Lonergan,0.25925925925925924,0.25925925925925924,0.6666666666666666,0.6666666666666666,0.525,0.525,0.08333333333333333,0.08333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.6,0.5,0.16666666666666666,0.125,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6153846153846154,0.41935483870967744,0.41935483870967744,0.6206896551724138,0.6206896551724138,0.9110396570203645,0.85,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.25,0.6923076923076923,0.6923076923076923,0.17945383615084526,0.17945383615084526,0.14285714285714285,0.25,0.5714285714285714,0.4444444444444444,0.5,0.5,0.8068181818181818,0.8068181818181818,1,0
Jack Martin,0.4074074074074074,0.4074074074074074,0.38095238095238093,0.38095238095238093,0.475,0.475,0.8333333333333334,0.8333333333333334,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.25,0.4166666666666667,0.38461538461538464,0.45161290322580644,0.45161290322580644,0.4827586206896552,0.4827586206896552,0.782422293676313,0.73,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,0.1482444733420026,0.1482444733420026,0.42857142857142855,0.5,0.2857142857142857,0.2222222222222222,0.0,0.0,0.8409090909090909,0.8409090909090909,1,0
