Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Kade Simpson,0.8666666666666667,0.6842105263157895,0.5714285714285714,0.5714285714285714,1.0,0.7407407407407407,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,0.9545454545454546,1.0,0.9166666666666666,0.9959514170040487,0.9959514170040487,0.0,0.0,0.0,0.0,0.125,0.1111111111111111,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,1.0,0.8346839546191248,0.25,0.2222222222222222,0.5,0.5,0.0,0.0,1.0,0.8478260869565217,0,0
Sam Kerridge,0.4666666666666667,0.3684210526315789,1.0,1.0,1.0,0.7407407407407407,0.375,0.4444444444444444,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8,0.8,0.4444444444444444,0.4444444444444444,0.8571428571428571,0.8571428571428571,0.2,0.2,0.0,0.0,1.0,1.0,0.6666666666666666,0.6923076923076923,0.7142857142857143,0.6818181818181818,0.8636363636363636,0.7916666666666666,0.8340080971659919,0.8340080971659919,0.0,0.0,0.0,0.0,0.125,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.8,0.8333333333333334,0.7142857142857143,0.4796116504854369,0.40032414910858993,0.125,0.1111111111111111,0.625,0.625,0.3333333333333333,0.3333333333333333,0.9459459459459459,0.8043478260869565,0,0
Sam Docherty,1.0,0.7894736842105263,0.35714285714285715,0.35714285714285715,0.95,0.7037037037037037,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,1.0,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38461538461538464,0.7142857142857143,0.6818181818181818,0.7727272727272727,0.7083333333333334,0.7800269905533064,0.7800269905533064,0.25,0.25,0.5,0.5,0.5,0.4444444444444444,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.8368932038834952,0.6985413290113452,0.5,0.4444444444444444,1.0,1.0,0.0,0.0,0.8648648648648649,0.7391304347826086,0,0
Patrick Cripps,0.6,0.47368421052631576,0.6428571428571429,0.6428571428571429,0.85,0.6296296296296297,0.25,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.125,0.125,0.0,0.0,0.6,0.6,1.0,1.0,0.5714285714285714,0.5714285714285714,0.2,0.2,1.0,0.75,1.0,1.0,1.0,1.0,0.2857142857142857,0.2727272727272727,0.7727272727272727,0.7083333333333334,0.8609986504723347,0.8609986504723347,0.25,0.25,0.5,0.5,0.125,0.1111111111111111,0.0,0.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.5714285714285714,0.5611650485436893,0.4683954619124797,0.375,0.3333333333333333,0.375,0.375,0.3333333333333333,0.3333333333333333,0.8378378378378378,0.717391304347826,0,0
Matthew Wright,0.7333333333333333,0.5789473684210527,0.42857142857142855,0.42857142857142855,0.8,0.5925925925925926,0.375,0.4444444444444444,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.42857142857142855,0.42857142857142855,0.6,0.6,0.0,0.0,0.0,0.0,0.5833333333333334,0.6153846153846154,0.5714285714285714,0.5454545454545454,0.5,0.4583333333333333,0.5506072874493927,0.5506072874493927,0.0,0.0,0.0,0.0,0.125,0.1111111111111111,0.0,0.0,0.2,0.2,0.75,0.6,0.5,0.42857142857142855,0.9009708737864077,0.7520259319286872,1.0,0.8888888888888888,0.25,0.25,0.6666666666666666,0.6666666666666666,0.972972972972973,0.8260869565217391,0,0
Edward Curnow,0.3333333333333333,0.2631578947368421,0.7857142857142857,0.7857142857142857,0.75,0.5555555555555556,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8461538461538461,0.38095238095238093,0.36363636363636365,0.7272727272727273,0.6666666666666666,0.9014844804318489,0.9014844804318489,0.0,0.0,0.0,0.0,0.125,0.1111111111111111,0.0,0.0,0.4,0.4,0.75,0.6,0.6666666666666666,0.5714285714285714,0.26019417475728157,0.2171799027552674,0.0,0.0,0.375,0.375,0.6666666666666666,0.6666666666666666,0.7297297297297297,0.6304347826086957,0,0
Dale Thomas,0.6,0.47368421052631576,0.2857142857142857,0.2857142857142857,0.6,0.4444444444444444,0.375,0.4444444444444444,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2222222222222222,0.2222222222222222,0.42857142857142855,0.42857142857142855,0.2,0.2,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.38461538461538464,0.5714285714285714,0.5454545454545454,0.6363636363636364,0.5833333333333334,0.941970310391363,0.941970310391363,0.0,0.0,0.0,0.0,0.25,0.2222222222222222,0.0,0.0,0.2,0.2,0.25,0.2,0.8333333333333334,0.7142857142857143,0.5572815533980583,0.4651539708265802,0.5,0.4444444444444444,0.125,0.125,0.0,0.0,0.7567567567567568,0.6521739130434783,0,0
Bryce Gibbs,0.7333333333333333,0.5789473684210527,0.07142857142857142,0.07142857142857142,0.55,0.4074074074074074,0.25,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.625,0.625,0.08333333333333333,0.08333333333333333,0.0,0.0,0.8,0.8,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.4,0.4,0.3333333333333333,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.38461538461538464,0.42857142857142855,0.4090909090909091,0.5,0.4583333333333333,0.7800269905533064,0.7800269905533064,0.0,0.0,0.5,0.5,0.125,0.1111111111111111,1.0,0.3333333333333333,0.2,0.2,0.5,0.4,1.0,0.8571428571428571,0.6815533980582524,0.5688816855753647,0.625,0.5555555555555556,0.25,0.25,0.0,0.0,0.8918918918918919,0.7608695652173914,0,0
Zach Tuohy,0.6666666666666666,0.5263157894736842,0.0,0.0,0.45,0.3333333333333333,0.375,0.4444444444444444,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2857142857142857,0.2857142857142857,0.6,0.6,0.3333333333333333,0.25,0.0,0.0,0.16666666666666666,0.23076923076923078,0.42857142857142855,0.4090909090909091,0.45454545454545453,0.4166666666666667,0.8340080971659919,0.8340080971659919,0.25,0.25,0.0,0.0,0.125,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.32427184466019415,0.2706645056726094,0.375,0.3333333333333333,0.5,0.5,0.0,0.0,0.9459459459459459,0.8043478260869565,0,0
Ciaran Byrne,0.5333333333333333,0.42105263157894735,0.14285714285714285,0.14285714285714285,0.45,0.3333333333333333,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.2,0.2,0.1111111111111111,0.1111111111111111,1.0,1.0,0.4,0.4,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.6923076923076923,0.19047619047619047,0.18181818181818182,0.4090909090909091,0.375,0.7395411605937922,0.7395411605937922,0.25,0.25,0.0,0.0,0.25,0.2222222222222222,0.5,0.16666666666666666,0.0,0.0,0.25,0.2,0.0,0.0,0.36310679611650487,0.30307941653160453,0.625,0.5555555555555556,1.0,1.0,0.0,0.0,0.6486486486486487,0.5652173913043478,0,0
