Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Lachie Neale,0.5217391304347826,0.6666666666666666,1.0,1.0,1.0,1.0,0.6,0.7142857142857143,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.375,0.42857142857142855,1.0,1.0,0.5714285714285714,0.5714285714285714,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,1.0,1.0,0.45454545454545453,0.47619047619047616,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.5555555555555556,0.3793103448275862,0.4,0.0,0.0,0.4,0.6666666666666666,0.0,0.0,0.7954545454545454,0.7954545454545454,0,Home,2,0.6,0.8571428571428571,0.6,0.7142857142857143,0.1111111111111111,0.1111111111111111,0.5,0.5555555555555556,0.5625,1.0
Stephen Hill,0.6521739130434783,0.8333333333333334,0.55,0.55,0.7857142857142857,0.7777777777777778,0.1,0.0,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.6666666666666666,0.375,0.42857142857142855,0.15384615384615385,0.15384615384615385,0.5714285714285714,0.5714285714285714,0.2222222222222222,0.6666666666666666,0.0,0.0,0.75,0.75,0.32,0.2608695652173913,0.9545454545454546,1.0,0.8636363636363636,0.8636363636363636,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.25,0.25,0.36363636363636365,0.4444444444444444,0.8887147335423198,0.9371900826446281,0.2857142857142857,0.2857142857142857,0.4,0.6666666666666666,0.2,0.2,0.7045454545454546,0.7045454545454546,0,Home,0,0.1,0.14285714285714285,0.1,0.0,0.2222222222222222,0.2222222222222222,0.2,0.2222222222222222,0.375,0.6666666666666666
Danyle Pearce,0.782608695652174,1.0,0.35,0.35,0.75,0.7407407407407407,0.6,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.875,1.0,0.23076923076923078,0.23076923076923078,0.7142857142857143,0.7142857142857143,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,0.28,0.21739130434782608,0.8636363636363636,0.9047619047619048,0.8636363636363636,0.8636363636363636,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.375,0.375,0.2727272727272727,0.3333333333333333,0.9482758620689655,1.0,0.4285714285714286,0.4285714285714286,0.2,0.3333333333333333,0.2,0.2,0.7272727272727273,0.7272727272727273,0,Home,0,0.6,0.8571428571428571,0.6,0.7142857142857143,0.1111111111111111,0.1111111111111111,0.3,0.3333333333333333,0.3125,0.5555555555555556
Michael Walters,0.7391304347826086,0.9444444444444444,0.2,0.2,0.6071428571428571,0.5925925925925926,0.7,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5555555555555556,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.75,0.8571428571428571,0.15384615384615385,0.15384615384615385,0.0,0.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.36,0.30434782608695654,0.6363636363636364,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.09090909090909091,0.09090909090909091,1.0,1.0,0.2,0.2,0.125,0.125,0.6363636363636364,0.7777777777777778,0.7163009404388715,0.7553719008264462,0.1428571428571429,0.1428571428571429,0.1,0.16666666666666666,0.2,0.2,0.7272727272727273,0.7272727272727273,0,Home,0,0.5,0.7142857142857143,0.4,0.42857142857142855,0.4444444444444444,0.4444444444444444,0.6,0.6666666666666666,0.5625,1.0
David Mundy,0.4782608695652174,0.6111111111111112,0.4,0.4,0.5357142857142857,0.5185185185185185,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.024390243902439025,0.024390243902439025,0.0,0.0,0.375,0.42857142857142855,0.5384615384615384,0.5384615384615384,1.0,1.0,0.2222222222222222,0.6666666666666666,0.0,0.0,1.0,1.0,0.36,0.30434782608695654,0.5,0.5238095238095238,0.5,0.5,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,1.0,1.0,0.8,0.8,0.375,0.375,0.18181818181818182,0.2222222222222222,0.6943573667711599,0.7322314049586777,0.7142857142857143,0.7142857142857143,0.2,0.3333333333333333,0.0,0.0,0.6363636363636364,0.6363636363636364,0,Home,0,0.2,0.2857142857142857,0.2,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.2,0.2222222222222222,0.4375,0.7777777777777778
Hayden Ballantyne,0.4782608695652174,0.6111111111111112,0.35,0.35,0.5,0.48148148148148145,0.3,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.28,0.21739130434782608,0.5,0.5238095238095238,0.4090909090909091,0.4090909090909091,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.09090909090909091,0.09090909090909091,1.0,1.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,0.4827586206896552,0.509090909090909,0.7142857142857143,0.7142857142857143,0.2,0.3333333333333333,0.0,0.0,0.6590909090909091,0.6590909090909091,0,Home,0,0.2,0.2857142857142857,0.1,0.0,0.1111111111111111,0.1111111111111111,0.9,1.0,0.5,0.8888888888888888
Jonathon Griffin,0.34782608695652173,0.4444444444444444,0.4,0.4,0.42857142857142855,0.4074074074074074,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,1.0,1.0,1.0,1.0,0.25,0.2857142857142857,0.46153846153846156,0.46153846153846156,0.5714285714285714,0.5714285714285714,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.48,0.43478260869565216,0.3181818181818182,0.3333333333333333,0.45454545454545453,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.2,0.2,0.625,0.625,0.5454545454545454,0.6666666666666666,0.42946708463949845,0.45289256198347105,0.4285714285714286,0.4285714285714286,0.4,0.6666666666666666,0.2,0.2,0.7727272727272727,0.7727272727272727,0,Home,0,0.1,0.14285714285714285,0.2,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.3,0.3333333333333333,0.3125,0.5555555555555556
Michael Barlow,0.08695652173913043,0.1111111111111111,0.6,0.6,0.35714285714285715,0.3333333333333333,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.15384615384615385,0.15384615384615385,1.0,1.0,0.1111111111111111,0.3333333333333333,0.0,0.0,1.0,1.0,0.28,0.21739130434782608,0.36363636363636365,0.38095238095238093,0.45454545454545453,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.125,0.125,0.5454545454545454,0.6666666666666666,0.21316614420062696,0.22479338842975208,0.5714285714285714,0.5714285714285714,0.2,0.3333333333333333,0.2,0.2,0.3409090909090909,0.3409090909090909,0,Home,0,0.1,0.14285714285714285,0.2,0.14285714285714285,0.4444444444444444,0.4444444444444444,0.6,0.6666666666666666,0.1875,0.3333333333333333
Lachlan Weller,0.2608695652173913,0.3333333333333333,0.4,0.4,0.35714285714285715,0.3333333333333333,0.4,0.42857142857142855,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.125,0.14285714285714285,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.16,0.08695652173913043,0.5,0.5238095238095238,0.4090909090909091,0.4090909090909091,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.3333333333333333,0.3103448275862069,0.32727272727272727,0.4285714285714286,0.4285714285714286,0.4,0.6666666666666666,0.0,0.0,0.3181818181818182,0.3181818181818182,0,Home,0,0.4,0.5714285714285714,0.3,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3,0.3333333333333333,0.25,0.4444444444444444
Cameron Sutcliffe,0.34782608695652173,0.4444444444444444,0.25,0.25,0.32142857142857145,0.2962962962962963,0.6,0.7142857142857143,0.0,0.0,0.0,0.0,0.4444444444444444,0.375,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.0,0.0,0.7142857142857143,0.7142857142857143,0.2222222222222222,0.6666666666666666,1.0,1.0,1.0,1.0,0.16,0.08695652173913043,0.5,0.5238095238095238,0.4090909090909091,0.4090909090909091,0.0,0.0,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.1111111111111111,0.4043887147335423,0.42644628099173554,0.5714285714285714,0.5714285714285714,0.5,0.8333333333333334,0.0,0.0,0.4318181818181818,0.4318181818181818,0,Home,0,0.6,0.8571428571428571,0.5,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.1,0.1111111111111111,0.1875,0.3333333333333333
