Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Dom Tyson,0.3333333333333333,0.2857142857142857,1.0,1.0,1.0,0.9285714285714286,0.2,0.2727272727272727,0.0,0.0,0.0,0.0,0.25,0.21052631578947367,0.023809523809523808,0.023809523809523808,0.0,0.0,0.2857142857142857,0.2857142857142857,0.5,0.375,0.16666666666666666,0.16666666666666666,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.9473684210526315,1.0,0.9047619047619048,0.41958041958041953,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.25,0.18181818181818182,0.33519553072625696,0.24161073825503357,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,0.3142857142857143,0.3142857142857143,0,0
Tom McDonald,0.6666666666666666,0.5238095238095238,0.45454545454545453,0.45454545454545453,0.7307692307692307,0.6785714285714286,1.0,1.0,0.3333333333333333,0.2,0.0,0.0,0.125,0.10526315789473684,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.8888888888888888,0.8421052631578947,1.0,0.9047619047619048,0.8857808857808857,0.76,0.0,0.0,0.0,0.0,0.8571428571428571,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.2727272727272727,0.7616387337057728,0.548993288590604,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0,0
Jack Viney,0.4666666666666667,0.38095238095238093,0.5909090909090909,0.5909090909090909,0.7307692307692307,0.6785714285714286,0.3,0.36363636363636365,0.3333333333333333,0.2,0.0,0.0,1.0,0.8421052631578947,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.75,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.9,0.6,0.8333333333333334,0.7894736842105263,0.8421052631578947,0.7619047619047619,0.606060606060606,0.52,0.0,0.0,0.2,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.0,0.0,1.0,1.0,0.4,0.4,0.875,0.6363636363636364,0.48044692737430167,0.34630872483221475,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.5,0.4857142857142857,0.4857142857142857,0,0
Billy Stretch,0.4666666666666667,0.38095238095238093,0.5909090909090909,0.5909090909090909,0.7307692307692307,0.6785714285714286,0.5,0.5454545454545454,0.0,0.0,0.0,0.0,0.125,0.10526315789473684,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.1,0.1,0.5,0.3333333333333333,0.0,0.0,0.8,0.5333333333333333,0.6666666666666666,0.631578947368421,0.8947368421052632,0.8095238095238095,0.6993006993006992,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.2,0.625,0.45454545454545453,0.48044692737430167,0.34630872483221475,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2857142857142857,0.2857142857142857,0,0
Bernie Vince,1.0,0.7619047619047619,0.18181818181818182,0.18181818181818182,0.6923076923076923,0.6428571428571429,0.4,0.45454545454545453,0.0,0.0,0.0,0.0,0.4375,0.3684210526315789,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.625,0.5,0.5,0.8,0.8,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3,0.2,0.7777777777777778,0.7368421052631579,0.8421052631578947,0.7619047619047619,0.6759906759906759,0.58,0.0,0.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.36363636363636365,1.0,0.7208053691275168,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6285714285714286,0.6285714285714286,0,0
Nathan Jones,0.4,0.3333333333333333,0.45454545454545453,0.45454545454545453,0.5769230769230769,0.5357142857142857,0.1,0.18181818181818182,0.0,0.0,0.0,0.0,0.5,0.42105263157894735,0.0,0.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.1,0.1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.26666666666666666,0.6666666666666666,0.631578947368421,0.7894736842105263,0.7142857142857143,0.8158508158508158,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.2,0.2,0.625,0.45454545454545453,0.707635009310987,0.5100671140939598,0.8333333333333334,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.0,0.45714285714285713,0.45714285714285713,0,0
Christian Petracca,0.4666666666666667,0.38095238095238093,0.36363636363636365,0.36363636363636365,0.5384615384615384,0.5,0.3,0.36363636363636365,0.3333333333333333,0.2,0.0,0.0,0.125,0.10526315789473684,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.2,0.2,1.0,0.6666666666666666,0.0,0.0,0.7,0.4666666666666667,0.5555555555555556,0.5263157894736842,0.5263157894736842,0.47619047619047616,0.3496503496503496,0.3,0.0,0.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.0,0.0,0.25,0.25,0.6,0.6,0.875,0.6363636363636364,0.74487895716946,0.5369127516778524,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.34285714285714286,0.34285714285714286,0,0
Neville Jetta,0.3333333333333333,0.2857142857142857,0.36363636363636365,0.36363636363636365,0.46153846153846156,0.42857142857142855,0.3,0.36363636363636365,0.0,0.0,0.0,0.0,0.1875,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.8,0.5333333333333333,0.3333333333333333,0.3157894736842105,0.5263157894736842,0.47619047619047616,0.5128205128205128,0.44,0.0,0.0,0.0,0.0,1.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.2727272727272727,0.5176908752327747,0.3731543624161074,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.7428571428571429,0.7428571428571429,0,0
Ben Kennedy,0.3333333333333333,0.2857142857142857,0.36363636363636365,0.36363636363636365,0.46153846153846156,0.42857142857142855,0.4,0.45454545454545453,0.6666666666666666,0.4,0.3333333333333333,0.3333333333333333,0.25,0.21052631578947367,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1,0.1,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.13333333333333333,0.6666666666666666,0.631578947368421,0.5263157894736842,0.47619047619047616,0.5128205128205128,0.44,0.0,0.0,0.2,0.14285714285714285,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5454545454545454,0.6685288640595903,0.4818791946308725,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,0.5714285714285714,0.5714285714285714,0,0
Jesse Hogan,0.4666666666666667,0.38095238095238093,0.22727272727272727,0.22727272727272727,0.4230769230769231,0.39285714285714285,0.8,0.8181818181818182,0.3333333333333333,0.2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5333333333333333,0.2777777777777778,0.2631578947368421,0.3684210526315789,0.3333333333333333,0.18648018648018647,0.16,1.0,1.0,1.0,0.7142857142857143,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7272727272727273,0.37243947858473,0.2684563758389262,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1.0,0,0
