Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Andrew Gaff,1.0,1.0,0.8,0.8,1.0,1.0,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.75,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,0.125,0.14285714285714285,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.9646840148698885,1.0,0.0,0.0,0.4,0.4444444444444444,0.0,0.0,0.7878787878787878,0.8620689655172413,1,Home,1,0.2222222222222222,0.2,0.14285714285714285,0.16666666666666666,0.125,0.14285714285714285,0.75,0.7142857142857143,1.0,1.0
Luke Shuey,0.47058823529411764,0.35714285714285715,1.0,1.0,0.8387096774193549,0.8275862068965517,0.1111111111111111,0.16666666666666666,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.75,0.5,0.5714285714285714,0.5714285714285714,0.625,0.5714285714285714,0.8571428571428571,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,0.5,0.8888888888888888,0.875,0.41821561338289964,0.3938144329896907,0.625,0.7142857142857143,0.2,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5151515151515151,0.5517241379310345,1,Home,0,0.2222222222222222,0.2,0.14285714285714285,0.16666666666666666,0.5,0.5714285714285714,0.625,0.5714285714285714,0.75,0.75
Chris Masten,0.8823529411764706,0.8571428571428571,0.6,0.6,0.8064516129032258,0.7931034482758621,0.4444444444444444,0.6666666666666666,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4444444444444444,0.4444444444444444,0.5,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,0.47619047619047616,0.47619047619047616,0.7916666666666666,0.7619047619047619,0.9047619047619048,0.95,0.0,0.0,0.25,0.25,0.25,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7936802973977695,0.8103092783505155,0.625,0.7142857142857143,0.4,0.4444444444444444,0.0,0.0,0.5757575757575758,0.6206896551724138,1,Home,0,0.5555555555555556,0.8,0.42857142857142855,0.5,0.375,0.42857142857142855,1.0,1.0,0.5833333333333334,0.5833333333333334
Matthew Priddis,0.29411764705882354,0.14285714285714285,1.0,1.0,0.7419354838709677,0.7241379310344828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.23809523809523808,0.6666666666666666,0.7,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.0,0.0,0.5,0.5,1.0,1.0,0.7777777777777778,0.75,0.29182156133828996,0.2536082474226804,0.375,0.4285714285714286,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5757575757575758,0.6206896551724138,1,Home,3,0.1111111111111111,0.0,0.0,0.0,0.875,1.0,0.875,0.8571428571428571,0.8333333333333334,0.8333333333333334
Sam Butler,0.7058823529411765,0.6428571428571429,0.5,0.5,0.6451612903225806,0.6206896551724138,0.5555555555555556,0.8333333333333334,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.5,0.5,0.1111111111111111,0.1111111111111111,1.0,1.0,0.3333333333333333,0.4,0.0,0.0,1.0,1.0,0.19047619047619047,0.19047619047619047,0.75,0.7142857142857143,0.8571428571428571,0.9,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.625,0.5613382899628253,0.5525773195876289,0.5,0.5714285714285714,0.6,0.6666666666666666,0.0,0.0,0.5151515151515151,0.5517241379310345,1,Home,0,0.6666666666666666,1.0,0.7142857142857143,0.8333333333333334,0.25,0.2857142857142857,0.75,0.7142857142857143,0.25,0.25
Sharrod Wellingham,0.8823529411764706,0.8571428571428571,0.2,0.2,0.5483870967741935,0.5172413793103449,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,1.0,1.0,0.19047619047619047,0.19047619047619047,0.5416666666666666,0.47619047619047616,0.6190476190476191,0.65,0.3333333333333333,0.3333333333333333,0.0,0.0,0.375,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.6672862453531598,0.6701030927835051,0.875,1.0,0.6,0.6666666666666666,0.0,0.0,0.42424242424242425,0.4482758620689655,1,Home,0,0.3333333333333333,0.4,0.42857142857142855,0.5,0.625,0.7142857142857143,0.25,0.14285714285714285,0.4166666666666667,0.4166666666666667
Mark Hutchings,0.4117647058823529,0.2857142857142857,0.55,0.55,0.5161290322580645,0.4827586206896552,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.75,0.5,0.38095238095238093,0.38095238095238093,0.375,0.2857142857142857,0.6190476190476191,0.65,0.3333333333333333,0.3333333333333333,0.5,0.5,0.125,0.14285714285714285,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5555555555555556,0.5,0.2137546468401487,0.1670103092783505,0.75,0.8571428571428572,0.4,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.45454545454545453,0.4827586206896552,1,Home,0,0.3333333333333333,0.4,0.14285714285714285,0.16666666666666666,0.125,0.14285714285714285,0.625,0.5714285714285714,0.3333333333333333,0.3333333333333333
Liam Duggan,0.7058823529411765,0.6428571428571429,0.3,0.3,0.5161290322580645,0.4827586206896552,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.16666666666666663,0.16666666666666663,0.3333333333333333,0.4,0.0,0.0,0.75,0.5,0.23809523809523808,0.23809523809523808,0.5,0.42857142857142855,0.42857142857142855,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.625,0.7063197026022305,0.7134020618556701,0.5,0.5714285714285714,0.5,0.5555555555555556,0.16666666666666666,0.16666666666666666,0.5454545454545454,0.5862068965517241,1,Home,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.6666666666666666,0.6666666666666666
Elliot Yeo,0.5294117647058824,0.42857142857142855,0.4,0.4,0.4838709677419355,0.4482758620689655,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.030303030303030304,0.030303030303030304,0.0,0.0,0.75,0.75,0.4444444444444444,0.4444444444444444,0.6666666666666667,0.6666666666666667,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.2857142857142857,0.2857142857142857,0.4583333333333333,0.38095238095238093,0.47619047619047616,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.75,0.5669144981412639,0.5587628865979382,0.125,0.1428571428571429,0.1,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.48484848484848486,0.5172413793103449,1,Home,0,0.3333333333333333,0.4,0.42857142857142855,0.5,0.625,0.7142857142857143,0.875,0.8571428571428571,0.5,0.5
Eric MacKenzie,0.47058823529411764,0.35714285714285715,0.4,0.4,0.45161290322580644,0.41379310344827586,0.4444444444444444,0.6666666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.5,0.6,0.6666666666666666,0.6666666666666666,0.75,0.5,0.19047619047619047,0.19047619047619047,0.4583333333333333,0.38095238095238093,0.6666666666666666,0.7,0.0,0.0,0.0,0.0,0.375,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.3382899628252788,0.30515463917525776,0.625,0.7142857142857143,0.9,1.0,0.0,0.0,0.8787878787878788,0.9655172413793104,1,Home,0,0.5555555555555556,0.8,0.5714285714285714,0.6666666666666666,0.125,0.14285714285714285,0.125,0.0,0.08333333333333333,0.08333333333333333
