Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Jason Johannisen,0.7142857142857143,1.0,0.5294117647058824,0.5294117647058824,0.7857142857142857,1.0,0.3333333333333333,0.42857142857142855,0.2,0.2,0.5,0.5,0.09090909090909091,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.4,0.25,1.0,1.0,0.0,0.0,1.0,1.0,0.25,0.25,0.6923076923076923,1.0,0.7727272727272727,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.2,0.2,0.9,0.875,0.7569659442724458,1.0,0.6666666666666667,0.5714285714285714,0.09090909090909091,0.125,0.0,0.0,0.6,0.6,0.5,Home,2,0.3333333333333333,0.42857142857142855,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.25,0.8,0.75,0.4166666666666667,0.4166666666666667
Mitchell Wallis,0.2857142857142857,0.4,1.0,1.0,0.75,0.9545454545454546,0.2222222222222222,0.2857142857142857,0.0,0.0,0.25,0.25,0.36363636363636365,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8,0.75,0.125,0.125,0.75,1.0,1.0,1.0,1.0,1.0,0.34615384615384615,0.4375,0.5909090909090909,0.7647058823529411,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.6,0.5,0.29876160990712075,0.3807531380753138,0.5555555555555556,0.4285714285714286,0.18181818181818182,0.25,0.3333333333333333,0.5,0.4666666666666667,0.4666666666666667,0.5,Home,0,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.2727272727272727,0.75,0.5,0.375,0.6666666666666666,0.6666666666666666
Luke Dahlhaus,0.38095238095238093,0.5333333333333333,0.8235294117647058,0.8235294117647058,0.7142857142857143,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.75,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2857142857142857,0.2857142857142857,0.6,0.5,0.125,0.125,0.0,0.0,1.0,1.0,0.5625,0.5625,0.5,0.6875,0.5909090909090909,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.6,0.5,0.4520123839009288,0.5878661087866108,0.33333333333333337,0.1428571428571429,0.2727272727272727,0.375,0.3333333333333333,0.5,0.5333333333333333,0.5333333333333333,0.5,Home,0,0.0,0.0,0.0,0.0,0.18181818181818182,0.5,0.5,0.375,0.5833333333333334,0.5833333333333334
Bailey Dale,0.6666666666666666,0.9333333333333333,0.47058823529411764,0.47058823529411764,0.7142857142857143,0.9090909090909091,0.3333333333333333,0.42857142857142855,0.2,0.2,0.25,0.25,0.2727272727272727,0.75,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.6,0.5,0.125,0.125,0.0,0.0,1.0,1.0,0.5,0.5,0.5384615384615384,0.75,0.36363636363636365,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.2,1.0,1.0,0.6052631578947368,0.7949790794979079,0.6666666666666667,0.5714285714285714,0.45454545454545453,0.625,0.6666666666666666,1.0,0.4888888888888889,0.4888888888888889,0.5,Home,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.09090909090909091,0.25,1.0,1.0,1.0,1.0
Jackson Macrae,0.5238095238095238,0.7333333333333333,0.5294117647058824,0.5294117647058824,0.6428571428571429,0.8181818181818182,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.36363636363636365,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,0.0,0.8,0.75,0.0,0.0,0.25,0.3333333333333333,0.6666666666666667,0.5,0.3125,0.3125,0.5769230769230769,0.8125,0.6363636363636364,0.8235294117647058,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.625,0.4953560371517028,0.6464435146443515,0.7777777777777778,0.7142857142857143,0.2727272727272727,0.375,0.0,0.0,0.7555555555555555,0.7555555555555555,0.5,Home,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.36363636363636365,1.0,0.6,0.5,0.3333333333333333,0.3333333333333333
Robert Murphy,0.5714285714285714,0.8,0.35294117647058826,0.35294117647058826,0.5714285714285714,0.7272727272727273,0.7777777777777778,1.0,0.2,0.2,0.0,0.0,0.18181818181818182,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.4,0.25,0.25,0.25,0.0,0.0,0.6666666666666667,0.5,0.25,0.25,0.5769230769230769,0.8125,0.4090909090909091,0.5294117647058824,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.2,0.3,0.125,0.6160990712074303,0.8096234309623431,0.2222222222222222,0.0,0.09090909090909091,0.125,0.0,0.0,0.4888888888888889,0.4888888888888889,0.5,Home,0,0.7777777777777778,1.0,0.7777777777777778,1.0,0.18181818181818182,0.5,0.3,0.125,0.5833333333333334,0.5833333333333334
Lin Jong,0.14285714285714285,0.2,0.8823529411764706,0.8823529411764706,0.5714285714285714,0.7272727272727273,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.36363636363636365,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.5714285714285714,0.8,0.75,0.125,0.125,0.5,0.6666666666666666,1.0,1.0,0.6875,0.6875,0.3076923076923077,0.375,0.5454545454545454,0.7058823529411765,0.0,0.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,1.0,0.4,0.4,0.5,0.375,0.13312693498452013,0.15690376569037656,1.0,1.0,0.36363636363636365,0.5,0.0,0.0,0.6222222222222222,0.6222222222222222,0.5,Home,0,0.3333333333333333,0.42857142857142855,0.2222222222222222,0.2857142857142857,0.36363636363636365,1.0,0.5,0.375,0.3333333333333333,0.3333333333333333
Marcus Bontempelli,0.47619047619047616,0.6666666666666666,0.4117647058823529,0.4117647058823529,0.5357142857142857,0.6818181818181818,0.7777777777777778,1.0,0.2,0.2,1.0,1.0,0.36363636363636365,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6,0.5,0.0,0.0,0.25,0.3333333333333333,1.0,1.0,0.625,0.625,0.3076923076923077,0.375,0.22727272727272727,0.29411764705882354,0.5,0.5,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.4444444444444444,0.0,0.0,0.16666666666666666,0.5,0.4,0.4,0.9,0.875,0.6439628482972136,0.8472803347280334,0.5555555555555556,0.4285714285714286,0.18181818181818182,0.25,0.0,0.0,0.7333333333333333,0.7333333333333333,0.5,Home,0,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.36363636363636365,1.0,0.8,0.75,0.8333333333333334,0.8333333333333334
Caleb Daniel,0.38095238095238093,0.5333333333333333,0.5294117647058824,0.5294117647058824,0.5357142857142857,0.6818181818181818,0.3333333333333333,0.42857142857142855,0.0,0.0,0.25,0.25,0.36363636363636365,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.2857142857142857,0.2857142857142857,0.8,0.75,0.125,0.125,0.0,0.0,1.0,1.0,0.375,0.375,0.46153846153846156,0.625,0.5,0.6470588235294118,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.2,0.2,0.5,0.375,0.28637770897832815,0.36401673640167365,0.8888888888888888,0.8571428571428572,0.36363636363636365,0.5,0.0,0.0,0.6222222222222222,0.6222222222222222,0.5,Home,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.36363636363636365,1.0,0.4,0.25,0.3333333333333333,0.3333333333333333
Liam Picken,0.3333333333333333,0.4666666666666667,0.5294117647058824,0.5294117647058824,0.5,0.6363636363636364,0.3333333333333333,0.42857142857142855,0.2,0.2,0.0,0.0,0.36363636363636365,1.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.25,0.3333333333333333,0.33333333333333337,0.0,0.375,0.375,0.4230769230769231,0.5625,0.4090909090909091,0.5294117647058824,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.8,0.75,0.19504643962848298,0.2405857740585774,0.6666666666666667,0.5714285714285714,0.36363636363636365,0.5,0.0,0.0,0.5777777777777777,0.5777777777777777,0.5,Home,0,0.1111111111111111,0.14285714285714285,0.2222222222222222,0.2857142857142857,0.36363636363636365,1.0,0.5,0.375,0.4166666666666667,0.4166666666666667
