Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Dayne Beams,1.0,1.0,0.5714285714285714,0.5714285714285714,1.0,1.0,0.8181818181818182,0.8333333333333334,1.0,1.0,1.0,0.5,0.6,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.4444444444444444,0.5,0.5,0.5,0.4,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.4166666666666667,0.35714285714285715,1.0,1.0,0.9473684210526315,0.95,0.5463137996219282,0.6226415094339622,0.5,0.3333333333333333,0.3333333333333333,0.25,0.125,0.06666666666666667,0.0,0.0,0.3333333333333333,0.25,0.5,0.5,0.875,0.8888888888888888,0.6826625386996904,0.6826625386996904,1.0,1.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.8157894736842105,0.8157894736842105,1,2
Ryan Lester,0.5555555555555556,0.5555555555555556,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.84,0.7272727272727273,0.75,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9166666666666666,0.7857142857142857,0.65,0.6666666666666666,1.0,1.0,0.8487712665406427,0.8742138364779874,1.0,0.6666666666666666,0.3333333333333333,0.25,0.5,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.25,0.375,0.4444444444444444,0.33126934984520123,0.33126934984520123,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5789473684210527,0.5789473684210527,1,1
Dayne Zorko,0.8888888888888888,0.8888888888888888,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.84,0.2727272727272727,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.75,0.6,0.0,0.0,0.75,0.75,1.0,1.0,1.0,0.8571428571428571,0.55,0.5714285714285714,0.5789473684210527,0.6,0.2627599243856332,0.3867924528301887,0.5,0.3333333333333333,0.3333333333333333,0.25,0.125,0.06666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,1.0,0.3333333333333333,0.42105263157894735,0.42105263157894735,1,3
Sam Mayes,0.7777777777777778,0.7777777777777778,0.35714285714285715,0.35714285714285715,0.7083333333333334,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.0,0.0,0.5,0.4,0.8333333333333334,0.8333333333333334,0.5,0.5,0.0,0.0,0.08333333333333333,0.07142857142857142,0.95,0.9523809523809523,0.6842105263157895,0.7,0.5841209829867675,0.6540880503144654,0.0,0.0,0.0,0.0,0.5,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.4444444444444444,0.5897832817337462,0.5897832817337462,0.5,0.5,0.2727272727272727,0.2727272727272727,0.0,0.0,0.7631578947368421,0.7631578947368421,1,0
Alex Witherden,0.8333333333333334,0.8333333333333334,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.68,0.5454545454545454,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0,1.0,0.8,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.25,0.21428571428571427,0.55,0.5714285714285714,0.5789473684210527,0.6,0.4706994328922495,0.559748427672956,0.5,0.3333333333333333,0.0,0.0,0.25,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.7777777777777778,0.6594427244582043,0.6594427244582043,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.45454545454545453,0.0,0.0,0.6052631578947368,0.6052631578947368,1,0
Jarrod Berry,0.16666666666666666,0.16666666666666666,1.0,1.0,0.625,0.64,0.5454545454545454,0.5833333333333334,0.0,0.0,1.0,0.5,0.6,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,1.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.75,0.6428571428571429,0.4,0.42857142857142855,0.631578947368421,0.65,0.6408317580340265,0.7012578616352201,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,1.0,0.75,0.7777777777777778,0.37925696594427244,0.37925696594427244,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.09090909090909091,0.0,0.0,0.6578947368421053,0.6578947368421053,1,0
Lewis Taylor,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.5833333333333334,0.6,0.5454545454545454,0.5833333333333334,0.3333333333333333,0.3333333333333333,1.0,0.5,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.7142857142857143,0.5555555555555556,0.16666666666666666,0.16666666666666666,0.25,0.2,0.3333333333333333,0.3333333333333333,0.25,0.25,0.0,0.0,0.4166666666666667,0.35714285714285715,0.55,0.5714285714285714,0.5263157894736842,0.55,0.5274102079395085,0.6069182389937107,0.0,0.0,0.3333333333333333,0.25,0.125,0.06666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0,0.25,0.25,0.875,0.8888888888888888,0.5804953560371517,0.5804953560371517,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.0,0.0,0.6578947368421053,0.6578947368421053,1,0
Stefan Martin,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5416666666666666,0.56,0.45454545454545453,0.5,0.0,0.0,1.0,0.5,0.2,0.16666666666666666,1.0,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.6,0.0,0.0,0.5,0.5,0.0,0.0,0.5833333333333334,0.5,0.3,0.3333333333333333,0.2631578947368421,0.3,0.09262759924385632,0.24528301886792456,0.0,0.0,0.3333333333333333,0.25,0.5,0.26666666666666666,0.0,0.0,1.0,0.75,0.25,0.25,1.0,1.0,0.25541795665634676,0.25541795665634676,0.5,0.5,0.09090909090909091,0.09090909090909091,0.0,0.0,0.631578947368421,0.631578947368421,1,0
Daniel McStay,0.4444444444444444,0.4444444444444444,0.42857142857142855,0.42857142857142855,0.5,0.52,0.8181818181818182,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.0,0.0,0.5,0.4,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.4,0.42857142857142855,0.3157894736842105,0.35,0.2627599243856332,0.3867924528301887,1.0,0.6666666666666666,0.0,0.0,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5555555555555556,0.46594427244582043,0.46594427244582043,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.0,0.0,0.7368421052631579,0.7368421052631579,1,0
Harris Andrews,0.4444444444444444,0.4444444444444444,0.42857142857142855,0.42857142857142855,0.5,0.52,0.8181818181818182,0.8333333333333334,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.5,0.3333333333333333,0.2857142857142857,0.55,0.5714285714285714,0.5789473684210527,0.6,0.773156899810964,0.8113207547169812,0.5,0.3333333333333333,0.0,0.0,1.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.4444444444444444,0.29411764705882354,0.29411764705882354,0.16666666666666666,0.16666666666666666,0.45454545454545453,0.45454545454545453,0.0,0.0,1.0,1.0,1,0
Cedric Cox,0.2222222222222222,0.2222222222222222,0.7142857142857143,0.7142857142857143,0.5,0.52,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.0,0.0,0.25,0.2,0.0,0.0,0.25,0.25,0.0,0.0,0.5833333333333334,0.5,0.35,0.38095238095238093,0.5789473684210527,0.6,0.773156899810964,0.8113207547169812,0.0,0.0,0.0,0.0,0.125,0.06666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.4444444444444444,0.30030959752321984,0.30030959752321984,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0,0.0,0.3157894736842105,0.3157894736842105,1,0
