Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Zachary Merrett,0.5789473684210527,0.6666666666666666,1.0,1.0,1.0,1.0,0.18181818181818182,0.2222222222222222,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.375,0.375,1.0,1.0,0.8571428571428572,0.8333333333333334,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.5,1.0,1.0,0.875,0.8571428571428571,0.8636363636363636,0.85,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3,0.43824701195219123,0.43509615384615385,0.7777777777777778,0.7777777777777778,0.0,0.0,0.25,0.5,0.2727272727272727,0.27586206896551724,1,Home,0,0.2,0.2857142857142857,0.18181818181818182,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.8181818181818182,0.8
Jobe Watson,0.3684210526315789,0.4,0.9090909090909091,0.8947368421052632,0.8181818181818182,0.75,0.18181818181818182,0.2222222222222222,0.0,0.0,0.0,0.0,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0,0.5,0.5,0.7777777777777778,0.7777777777777778,0.4285714285714286,0.33333333333333337,0.0,0.0,0.6666666666666666,1.0,0.75,0.75,0.875,0.8571428571428571,0.6363636363636364,0.6,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.8333333333333334,0.8333333333333334,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.7,0.2589641434262948,0.21875,0.33333333333333337,0.33333333333333337,0.7,0.7777777777777778,0.25,0.5,0.18181818181818182,0.1724137931034483,1,Home,0,0.2,0.2857142857142857,0.18181818181818182,0.2857142857142857,0.5,0.5,0.6666666666666666,0.7,1.0,1.0
David Zaharakis,0.8421052631578947,1.0,0.5,0.42105263157894735,0.8181818181818182,0.75,0.18181818181818182,0.2222222222222222,0.16666666666666666,0.2,1.0,1.0,0.5714285714285714,0.6666666666666666,0.0,0.0,0.5,0.5,0.625,0.625,0.4444444444444444,0.4444444444444444,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3125,0.21428571428571427,1.0,1.0,0.7083333333333334,0.6111111111111112,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.5,0.5,0.5,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.7,0.6892430278884463,0.7379807692307693,0.6666666666666667,0.6666666666666667,0.3,0.3333333333333333,0.0,0.0,0.36363636363636365,0.3793103448275862,1,Home,0,0.2,0.2857142857142857,0.18181818181818182,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6,0.9090909090909091,0.9
Dyson Heppell,0.7894736842105263,0.9333333333333333,0.5,0.42105263157894735,0.7878787878787878,0.7083333333333334,0.18181818181818182,0.2222222222222222,0.3333333333333333,0.4,0.0,0.0,0.7142857142857143,0.8333333333333334,0.0,0.0,0.5,0.5,1.0,1.0,0.7777777777777778,0.7777777777777778,0.4285714285714286,0.33333333333333337,0.2222222222222222,0.2222222222222222,0.6666666666666666,1.0,0.5,0.5,0.75,0.7142857142857143,0.6363636363636364,0.6,0.9166666666666666,0.8888888888888888,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.8333333333333334,0.9,0.9063745019920318,1.0,0.5555555555555556,0.5555555555555556,0.1,0.1111111111111111,0.0,0.0,0.21212121212121213,0.20689655172413793,1,Home,3,0.1,0.14285714285714285,0.18181818181818182,0.2857142857142857,0.8333333333333334,0.8333333333333334,0.75,0.8,0.36363636363636365,0.3
Brendon Goddard,0.631578947368421,0.7333333333333333,0.5909090909090909,0.5263157894736842,0.7575757575757576,0.6666666666666666,0.6363636363636364,0.7777777777777778,0.0,0.0,0.5,0.5,0.2857142857142857,0.3333333333333333,0.0,0.0,1.0,1.0,0.5,0.5,0.1111111111111111,0.1111111111111111,1.0,1.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5,1.0,1.0,0.375,0.2857142857142857,0.7727272727272727,0.75,0.7916666666666666,0.7222222222222222,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.7,0.7689243027888446,0.8341346153846154,0.7777777777777778,0.7777777777777778,0.4,0.4444444444444444,0.0,0.0,0.5454545454545454,0.5862068965517241,1,Home,0,0.7,1.0,0.6363636363636364,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5454545454545454,0.5
Darcy Parish,0.5789473684210527,0.6666666666666666,0.5454545454545454,0.47368421052631576,0.696969696969697,0.5833333333333334,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1.0,1.0,0.375,0.375,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.75,0.75,0.75,0.7142857142857143,0.5,0.45,0.7916666666666666,0.7222222222222222,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.75,0.8,0.7470119521912351,0.8076923076923077,0.4444444444444444,0.4444444444444444,0.2,0.2222222222222222,0.25,0.5,0.21212121212121213,0.20689655172413793,1,Home,0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.6,0.36363636363636365,0.3
David Myers,0.3157894736842105,0.3333333333333333,0.6818181818181818,0.631578947368421,0.6363636363636364,0.5,0.09090909090909091,0.1111111111111111,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.375,0.375,0.5555555555555556,0.5555555555555556,0.7142857142857143,0.6666666666666667,0.0,0.0,0.3333333333333333,0.5,0.75,0.75,1.0,1.0,0.3181818181818182,0.25,0.7083333333333334,0.6111111111111112,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.5,0.5,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3,0.37649402390438247,0.3605769230769231,0.6666666666666667,0.6666666666666667,0.5,0.5555555555555556,0.0,0.0,0.12121212121212122,0.10344827586206896,1,Home,0,0.1,0.14285714285714285,0.09090909090909091,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.36363636363636365,0.3
Michael Hurley,0.7368421052631579,0.8666666666666667,0.3181818181818182,0.21052631578947367,0.6363636363636364,0.5,0.36363636363636365,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.0,0.1428571428571429,0.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.5,0.42857142857142855,0.5909090909090909,0.55,0.5,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.6792828685258964,0.7259615384615384,0.0,0.0,0.9,1.0,0.0,0.0,0.9090909090909091,1.0,1,Home,0,0.3,0.42857142857142855,0.36363636363636365,0.5714285714285714,0.0,0.0,0.16666666666666666,0.1,0.8181818181818182,0.8
Cale Hooker,0.6842105263157895,0.8,0.22727272727272727,0.10526315789473684,0.5454545454545454,0.375,0.8181818181818182,1.0,0.8333333333333334,1.0,1.0,1.0,0.14285714285714285,0.16666666666666666,0.029411764705882353,0.029411764705882353,0.0,0.0,0.375,0.375,0.0,0.0,0.5714285714285714,0.5,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.5,0.75,0.75,0.5,0.42857142857142855,0.45454545454545453,0.4,0.5416666666666666,0.3888888888888889,0.6,1.0,0.7142857142857143,1.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,0.6215139442231076,0.65625,0.6666666666666667,0.6666666666666667,0.1,0.1111111111111111,0.25,0.5,0.6060606060606061,0.6551724137931034,1,Home,1,0.6,0.8571428571428571,0.36363636363636365,0.5714285714285714,0.0,0.0,0.9166666666666666,1.0,0.45454545454545453,0.4
Martin Gleeson,0.5789473684210527,0.6666666666666666,0.18181818181818182,0.05263157894736842,0.45454545454545453,0.25,0.45454545454545453,0.5555555555555556,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0.5,0.5,0.375,0.375,0.0,0.0,0.8571428571428572,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.0,0.0,1.0,1.0,0.25,0.14285714285714285,0.4090909090909091,0.35,0.5,0.3333333333333333,0.4,0.6666666666666666,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1,0.5796812749003984,0.6057692307692307,0.6666666666666667,0.6666666666666667,0.3,0.3333333333333333,0.25,0.5,0.48484848484848486,0.5172413793103449,1,Home,0,0.3,0.42857142857142855,0.45454545454545453,0.7142857142857143,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.2727272727272727,0.2
