Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Oliver Wines,0.8333333333333334,0.7647058823529411,1.0,1.0,1.0,1.0,0.16666666666666666,0.3,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.8,0.8,0.2857142857142857,0.2857142857142857,0.25,0.125,0.0,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.6666666666666666,0.8888888888888888,0.8421052631578947,0.375206611570248,0.3403298350824588,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.75,1.0,1.0,0.8923076923076924,0.9125,1.0,0.5714285714285714,0.7777777777777778,0.7777777777777778,0.2,0.2,0.0967741935483871,0.42857142857142855,1,2
Darcy B-Jones,0.8333333333333334,0.7647058823529411,0.5625,0.5625,0.7307692307692307,0.7407407407407407,0.8333333333333334,0.7,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4,0.4,0.42857142857142855,0.42857142857142855,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.5625,1.0,0.7777777777777778,1.0,0.9473684210526315,0.771900826446281,0.7001499250374813,0.2,0.2,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.45454545454545453,0.5,0.6276923076923077,0.6975,1.0,0.5714285714285714,0.7777777777777778,0.7777777777777778,0.2,0.2,0.7419354838709677,0.8367346938775511,1,1
Travis Boak,0.16666666666666666,0.29411764705882354,1.0,1.0,0.6923076923076923,0.7037037037037037,0.16666666666666666,0.3,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6,0.7142857142857143,0.7142857142857143,0.25,0.125,0.25,0.25,0.0,0.0,0.6428571428571429,0.6875,0.7857142857142857,0.6111111111111112,0.7777777777777778,0.7368421052631579,0.540495867768595,0.49025487256371814,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.75,0.18181818181818182,0.25,0.15692307692307692,0.315,0.75,0.42857142857142855,0.5555555555555556,0.5555555555555556,0.0,0.0,0.5806451612903226,0.7346938775510204,1,0
Brad Ebert,0.5833333333333334,0.5882352941176471,0.6875,0.6875,0.6923076923076923,0.7037037037037037,0.0,0.2,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8,0.8,0.8571428571428571,0.8571428571428571,0.25,0.125,0.25,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.75,0.6428571428571429,0.5,0.6666666666666666,0.631578947368421,0.4082644628099174,0.37031484257871067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.25,0.45454545454545453,0.5,0.5323076923076923,0.62,0.25,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.6,0.6,0.41935483870967744,0.6326530612244898,1,0
Karl Amon,0.75,0.7058823529411765,0.5625,0.5625,0.6923076923076923,0.7037037037037037,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.25,0.125,0.0,0.0,0.0,0.0,0.35714285714285715,0.4375,1.0,0.7777777777777778,0.8333333333333334,0.7894736842105263,0.6066115702479339,0.5502248875562219,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5,0.4707692307692308,0.57,0.75,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.4,0.4,0.41935483870967744,0.6326530612244898,1,0
Sam Gray,1.0,0.8823529411764706,0.375,0.375,0.6923076923076923,0.7037037037037037,0.8333333333333334,0.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5625,0.8571428571428571,0.6666666666666666,0.5555555555555556,0.5263157894736842,0.2760330578512397,0.2503748125937032,0.2,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.0,0.0,0.45161290322580644,0.6530612244897959,1,3
Justin Westhoff,0.6666666666666666,0.6470588235294118,0.4375,0.4375,0.5769230769230769,0.5925925925925926,0.3333333333333333,0.4,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,0.13513513513513514,0.13513513513513514,0.0,0.0,0.5,0.5,0.4,0.4,0.14285714285714285,0.14285714285714285,0.75,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.4375,0.8571428571428571,0.6666666666666666,0.8888888888888888,0.8421052631578947,0.8545454545454546,0.775112443778111,0.0,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.45454545454545453,0.5,0.7230769230769231,0.775,0.75,0.42857142857142855,0.4444444444444444,0.4444444444444444,0.2,0.2,0.8064516129032258,0.8775510204081632,1,0
Hamish Hartlett,0.6666666666666666,0.6470588235294118,0.4375,0.4375,0.5769230769230769,0.5925925925925926,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.35714285714285715,0.4375,0.7857142857142857,0.6111111111111112,0.9444444444444444,0.8947368421052632,0.9371900826446281,0.8500749625187406,0.4,0.4,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5,0.4307692307692308,0.5375,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.6774193548387096,0.7959183673469388,1,0
Patrick Ryder,0.75,0.7058823529411765,0.3125,0.3125,0.5384615384615384,0.5555555555555556,0.0,0.2,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.25,0.125,0.75,0.75,1.0,1.0,0.6428571428571429,0.6875,0.42857142857142855,0.3333333333333333,0.5555555555555556,0.5263157894736842,0.44132231404958683,0.40029985007496255,0.2,0.2,0.0,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,1.0,1.0,0.6666666666666666,0.5,0.7272727272727273,0.75,0.8646153846153846,0.89,0.25,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5483870967741935,0.7142857142857143,1,0
Jared Polec,0.5,0.5294117647058824,0.5,0.5,0.5384615384615384,0.5555555555555556,0.0,0.2,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2,0.2,0.42857142857142855,0.42857142857142855,0.5,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5625,0.5714285714285714,0.4444444444444444,0.7222222222222222,0.6842105263157895,0.6892561983471075,0.6251874062968515,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.3333333333333333,0.25,0.2727272727272727,0.3333333333333333,0.7723076923076924,0.815,0.5,0.2857142857142857,0.5555555555555556,0.5555555555555556,0.0,0.0,0.3225806451612903,0.5714285714285714,1,0
