Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Dustin Martin,1.0,1.0,0.75,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.4,0.4,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3,0.375,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.5,0.5,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.2,0.4,0.6666666666666666,1.0,1.0,0.9001782531194296,0.8925143953934741,0.0,0.0,0.6153846153846154,0.6666666666666666,0.0,0.0,0.8068181818181818,0.37037037037037035,1,Home,3,0.5,0.5,0.4444444444444444,0.4444444444444444,0.125,0.125,1.0,1.0,0.8888888888888888,0.8888888888888888
Brandon Ellis,0.7,0.6666666666666666,0.75,1.0,0.8285714285714286,0.8125,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.2222222222222222,0.125,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.1,0.125,0.4285714285714286,0.4285714285714286,0.14285714285714285,0.14285714285714285,0.5,1.0,1.0,1.0,0.6666666666666666,0.7142857142857143,0.85,0.8235294117647058,0.8518518518518519,0.8333333333333334,0.0,0.0,0.0,0.0,0.2,0.25,0.25,0.25,0.2,0.2,0.0,0.0,0.2,0.1111111111111111,0.49019607843137253,0.4510556621880998,0.33333333333333337,0.33333333333333337,0.46153846153846156,0.5,0.0,0.0,0.875,0.5925925925925926,1,Home,0,0.875,0.875,0.7777777777777778,0.7777777777777778,0.25,0.25,0.125,0.0,0.6666666666666666,0.6666666666666666
Bachar Houli,0.7,0.6666666666666666,0.55,0.7333333333333333,0.7142857142857143,0.6875,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.5,0.5,0.3333333333333333,0.35714285714285715,0.9,0.8823529411764706,0.7037037037037037,0.6666666666666666,0.0,0.0,0.0,0.0,0.1,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.8912655971479501,0.8829174664107485,0.33333333333333337,0.33333333333333337,0.38461538461538464,0.4166666666666667,0.0,0.0,0.9318181818181818,0.7777777777777778,1,Home,0,0.375,0.375,0.3333333333333333,0.3333333333333333,0.375,0.375,0.5,0.42857142857142855,0.6666666666666666,0.6666666666666666
Trent Cotchin,0.65,0.6111111111111112,0.6,0.8,0.7142857142857143,0.6875,0.4444444444444444,0.4444444444444444,0.2,0.2,0.0,0.0,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.8,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,1.0,0.0,0.0,0.8666666666666667,0.9285714285714286,0.6,0.5294117647058824,0.7037037037037037,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1,0.125,0.0,0.0,1.0,1.0,0.6,1.0,0.4,0.3333333333333333,0.6256684491978609,0.5969289827255279,0.33333333333333337,0.33333333333333337,0.15384615384615385,0.16666666666666666,0.0,0.0,0.7045454545454546,0.037037037037037035,1,Home,1,0.375,0.375,0.4444444444444444,0.4444444444444444,0.25,0.25,0.5,0.42857142857142855,0.6666666666666666,0.6666666666666666
Shaun Grigg,0.9,0.8888888888888888,0.25,0.3333333333333333,0.6571428571428571,0.625,0.7777777777777778,0.7777777777777778,0.6,0.6,0.5,0.5,0.5555555555555556,0.5,0.021739130434782608,0.03225806451612903,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.3,0.375,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5,1.0,0.0,0.0,0.6666666666666666,0.7142857142857143,0.65,0.5882352941176471,0.5185185185185185,0.4583333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6666666666666666,0.9,0.8888888888888888,1.0,1.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.3333333333333333,0.5,0.9204545454545454,0.7407407407407407,1,Home,2,0.875,0.875,0.5555555555555556,0.5555555555555556,0.5,0.5,1.0,1.0,1.0,1.0
Dion Prestia,0.6,0.5555555555555556,0.5,0.6666666666666666,0.6285714285714286,0.59375,0.2222222222222222,0.2222222222222222,0.4,0.4,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.7,0.875,0.4285714285714286,0.4285714285714286,0.0,0.0,0.25,0.5,1.0,1.0,0.8,0.8571428571428571,0.5,0.4117647058823529,0.48148148148148145,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.0,0.7,0.6666666666666666,0.6149732620320856,0.5854126679462572,0.6666666666666667,0.6666666666666667,0.15384615384615385,0.16666666666666666,0.3333333333333333,0.5,0.8295454545454546,0.4444444444444444,1,Home,0,0.25,0.25,0.2222222222222222,0.2222222222222222,0.25,0.25,0.75,0.7142857142857143,1.0,1.0
Nick Vlastuin,0.85,0.8333333333333334,0.2,0.26666666666666666,0.6,0.5625,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6428571428571429,0.55,0.47058823529411764,0.6296296296296297,0.5833333333333334,0.0,0.0,0.0,0.0,0.3,0.375,0.0,0.0,0.0,0.0,0.4,0.6666666666666666,0.3,0.2222222222222222,0.9322638146167558,0.927063339731286,0.5555555555555556,0.5555555555555556,0.7692307692307693,0.8333333333333334,0.0,0.0,0.9090909090909091,0.7037037037037037,1,Home,0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.25,0.25,0.375,0.2857142857142857,0.4444444444444444,0.4444444444444444
Kane Lambert,0.5,0.4444444444444444,0.5,0.6666666666666666,0.5714285714285714,0.53125,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,1.0,0.3333333333333333,0.35714285714285715,0.7,0.6470588235294118,0.5555555555555556,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4444444444444444,0.37254901960784315,0.32437619961612285,0.6666666666666667,0.6666666666666667,0.23076923076923078,0.25,0.0,0.0,0.8522727272727273,0.5185185185185185,1,Home,0,0.5,0.5,0.4444444444444444,0.4444444444444444,0.375,0.375,0.5,0.42857142857142855,0.5555555555555556,0.5555555555555556
Toby Nankervis,0.45,0.3888888888888889,0.4,0.5333333333333333,0.4857142857142857,0.4375,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,0.6739130434782609,1.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.2,0.25,0.0,0.0,0.14285714285714285,0.14285714285714285,0.25,0.5,0.0,0.0,0.4,0.42857142857142855,0.55,0.47058823529411764,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.3,0.375,0.0,0.0,0.0,0.0,0.4,0.6666666666666666,0.5,0.4444444444444444,0.43315508021390375,0.3896353166986564,0.4444444444444444,0.4444444444444444,0.23076923076923078,0.25,0.3333333333333333,0.5,0.8636363636363636,0.5555555555555556,1,Home,0,0.5,0.5,0.4444444444444444,0.4444444444444444,1.0,1.0,0.625,0.5714285714285714,0.8888888888888888,0.8888888888888888
Jack Graham,0.35,0.2777777777777778,0.5,0.6666666666666666,0.4857142857142857,0.4375,0.3333333333333333,0.3333333333333333,0.2,0.2,0.0,0.0,0.7777777777777778,0.75,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.2,0.25,0.7142857142857143,0.7142857142857143,0.0,0.0,0.25,0.5,0.5,0.5,0.4,0.42857142857142855,0.55,0.47058823529411764,0.5185185185185185,0.4583333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3333333333333333,0.4,0.3333333333333333,0.3065953654188948,0.2533589251439539,0.7777777777777778,0.7777777777777778,0.23076923076923078,0.25,0.6666666666666666,1.0,0.6931818181818182,0.0,1,Home,0,0.375,0.375,0.2222222222222222,0.2222222222222222,0.625,0.625,0.5,0.42857142857142855,0.3333333333333333,0.3333333333333333
