Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Tom Rockliff,0.8181818181818182,0.8181818181818182,0.9333333333333333,0.9333333333333333,1.0,1.0,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.5555555555555556,1.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,0.5238095238095238,0.5238095238095238,1.0,1.0,0.6833333333333333,0.6833333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.2727272727272727,0.6579476861167002,0.6204933586337761,0.5,0.5714285714285714,0.5714285714285714,0.36363636363636365,0.5,0.5,0.8452380952380952,0.8452380952380952,0,0
Mitch Robinson,0.5909090909090909,0.5909090909090909,1.0,1.0,0.875,0.875,1.0,1.0,0.5,0.25,0.5,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.0,0.0,1.0,0.5,0.8571428571428571,0.6666666666666666,0.26666666666666666,0.26666666666666666,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.38095238095238093,0.38095238095238093,0.9523809523809523,0.9523809523809523,0.6538461538461539,0.6538461538461539,0.36666666666666664,0.36666666666666664,0.0,0.0,0.6666666666666666,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.0,0.0,0.4,0.4,0.2,0.2,0.42857142857142855,0.2727272727272727,0.7142857142857143,0.6736242884250474,0.6666666666666666,0.7142857142857143,0.2857142857142857,0.18181818181818182,0.25,0.25,0.8214285714285714,0.8214285714285714,0,0
Dayne Zorko,1.0,1.0,0.2,0.2,0.78125,0.78125,0.5454545454545454,0.5454545454545454,1.0,0.5,1.0,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,0.7142857142857143,0.5555555555555556,0.4,0.4,1.0,1.0,0.0,0.0,0.75,0.75,0.3333333333333333,0.3333333333333333,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.46153846153846156,0.46153846153846156,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.8,0.8,0.2,0.2,1.0,0.6363636363636364,0.9678068410462777,0.9127134724857685,1.0,1.0,0.5714285714285714,0.36363636363636365,1.0,1.0,0.8571428571428571,0.8571428571428571,0,0
Dayne Beams,0.5454545454545454,0.5454545454545454,0.8,0.8,0.75,0.75,0.36363636363636365,0.36363636363636365,1.0,0.5,0.5,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.5,0.0,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.6538461538461539,0.6538461538461539,0.5333333333333333,0.5333333333333333,0.5,0.5,0.3333333333333333,0.16666666666666666,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.6,0.6,0.1,0.1,0.7142857142857143,0.45454545454545453,0.5513078470824949,0.5199240986717267,0.6666666666666666,0.7142857142857143,0.2857142857142857,0.18181818181818182,0.0,0.0,0.8452380952380952,0.8452380952380952,0,0
Sam Mayes,0.8181818181818182,0.8181818181818182,0.3333333333333333,0.3333333333333333,0.71875,0.71875,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.25,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.7692307692307693,0.7692307692307693,0.7833333333333333,0.7833333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.1,0.1,0.2857142857142857,0.18181818181818182,1.0,0.9430740037950665,0.6666666666666666,0.7142857142857143,0.42857142857142855,0.2727272727272727,0.0,0.0,0.9047619047619048,0.9047619047619048,0,0
Daniel Rich,0.6363636363636364,0.6363636363636364,0.4,0.4,0.625,0.625,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.25,0.25,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.7619047619047619,0.7619047619047619,0.6153846153846154,0.6153846153846154,0.6833333333333333,0.6833333333333333,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.5454545454545454,0.7364185110663984,0.6944971537001897,0.3333333333333333,0.42857142857142855,1.0,0.6363636363636364,0.0,0.0,0.8690476190476191,0.8690476190476191,0,0
Stefan Martin,0.36363636363636365,0.36363636363636365,0.6,0.6,0.53125,0.53125,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,1.0,1.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.4,0.4,0.5,0.5,0.3333333333333333,0.3333333333333333,0.75,0.75,0.3333333333333333,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.46153846153846156,0.46153846153846156,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.4,0.4,0.4,0.4,0.7142857142857143,0.45454545454545453,0.13078470824949698,0.12333965844402277,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.09090909090909091,0.5,0.5,0.9642857142857143,0.9642857142857143,0,2
Rohan Bewick,0.45454545454545453,0.45454545454545453,0.4666666666666667,0.4666666666666667,0.53125,0.53125,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.25,0.25,1.0,1.0,0.19047619047619047,0.19047619047619047,0.6666666666666666,0.6666666666666666,0.38461538461538464,0.38461538461538464,0.35,0.35,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2727272727272727,0.25553319919517103,0.2409867172675522,0.5,0.5714285714285714,0.8571428571428571,0.5454545454545454,0.5,0.5,0.8809523809523809,0.8809523809523809,0,0
Lewis Taylor,0.5909090909090909,0.5909090909090909,0.26666666666666666,0.26666666666666666,0.53125,0.53125,0.36363636363636365,0.36363636363636365,0.5,0.25,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.7142857142857143,0.5555555555555556,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25,0.0,0.0,0.19047619047619047,0.19047619047619047,0.8095238095238095,0.8095238095238095,0.46153846153846156,0.46153846153846156,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.8571428571428571,0.5454545454545454,0.670020120724346,0.6318785578747628,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.2727272727272727,0.25,0.25,0.9047619047619048,0.9047619047619048,0,0
Claye Beams,0.5454545454545454,0.5454545454545454,0.26666666666666666,0.26666666666666666,0.5,0.5,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,1.0,0.5,0.42857142857142855,0.3333333333333333,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.19047619047619047,0.19047619047619047,0.5238095238095238,0.5238095238095238,0.5,0.5,0.7,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2727272727272727,0.3722334004024145,0.3510436432637571,0.5,0.5714285714285714,0.7142857142857143,0.45454545454545453,0.0,0.0,0.8690476190476191,0.8690476190476191,0,0
Ryan Lester,0.36363636363636365,0.36363636363636365,0.4666666666666667,0.4666666666666667,0.46875,0.46875,0.6363636363636364,0.6363636363636364,0.0,0.0,0.5,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.0,0.0,1.0,0.5,0.42857142857142855,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.23809523809523808,0.23809523809523808,0.47619047619047616,0.47619047619047616,0.46153846153846156,0.46153846153846156,0.6833333333333333,0.6833333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.1,0.1,0.42857142857142855,0.2727272727272727,0.16700201207243462,0.15749525616698293,0.16666666666666666,0.2857142857142857,0.14285714285714285,0.09090909090909091,0.25,0.25,0.8452380952380952,0.8452380952380952,0,0
Hugh McCluggage,0.3181818181818182,0.3181818181818182,0.5333333333333333,0.5333333333333333,0.46875,0.46875,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.06666666666666667,0.06666666666666667,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.25,0.25,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.46153846153846156,0.46153846153846156,0.6833333333333333,0.6833333333333333,0.5,0.5,0.3333333333333333,0.16666666666666666,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.1,0.1,0.2857142857142857,0.18181818181818182,0.0925553319919517,0.0872865275142315,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.18181818181818182,0.5,0.5,0.8690476190476191,0.8690476190476191,0,0
Harris Andrews,0.45454545454545453,0.45454545454545453,0.2,0.2,0.40625,0.40625,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.34615384615384615,0.34615384615384615,0.5166666666666667,0.5166666666666667,0.5,0.5,0.0,0.0,0.6153846153846154,0.6153846153846154,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.2857142857142857,0.18181818181818182,0.38028169014084506,0.3586337760910816,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.36363636363636365,0.0,0.0,1.0,1.0,0,0
Darcy Gardiner,0.36363636363636365,0.36363636363636365,0.26666666666666666,0.26666666666666666,0.375,0.375,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.47619047619047616,0.47619047619047616,0.3076923076923077,0.3076923076923077,0.48333333333333334,0.48333333333333334,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.18181818181818182,0.09054325955734406,0.08538899430740038,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.2727272727272727,0.0,0.0,0.8928571428571429,0.8928571428571429,0,0
