Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Scott Pendlebury,0.3684210526315789,0.35,1.0,1.0,1.0,0.9615384615384616,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.6,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.3333333333333333,0.2,0.3333333333333333,0.25,0.0,0.0,0.8181818181818182,0.75,1.0,0.9473684210526315,1.0,0.782608695652174,0.6247191011235954,0.4727891156462585,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.75,0.75,0.2,0.2,1.0,0.5714285714285714,0.6970338983050848,0.6811594202898551,0.7142857142857143,0.625,0.18181818181818182,0.18181818181818182,0.75,0.75,0.6363636363636364,0.6511627906976745,0,0
Taylor Adams,0.631578947368421,0.6,0.65,0.65,0.92,0.8846153846153846,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.2,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.9166666666666666,0.7777777777777778,0.7368421052631579,0.9444444444444444,0.7391304347826086,0.647191011235955,0.4897959183673469,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.25,1.0,1.0,0.25,0.25,0.2,0.2,0.3333333333333333,0.2857142857142857,0.6377118644067796,0.6231884057971014,1.0,0.875,0.45454545454545453,0.45454545454545453,0.0,0.0,0.45454545454545453,0.5581395348837209,0,0
Ben Reid,1.0,0.95,0.2,0.2,0.84,0.8076923076923077,1.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,0.5,0.8,0.6666666666666666,0.0,0.0,0.0,0.14285714285714285,1.0,0.6,1.0,0.75,0.0,0.0,0.45454545454545453,0.4166666666666667,0.9444444444444444,0.8947368421052632,1.0,0.782608695652174,0.8719101123595505,0.6598639455782312,0.6666666666666666,0.6666666666666666,0.0,0.0,0.875,0.875,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.0,0.9772256728778468,0.8571428571428571,0.75,1.0,1.0,0.0,0.0,0.9545454545454546,0.813953488372093,0,2
Adam Treloar,0.3157894736842105,0.3,0.65,0.65,0.68,0.6538461538461539,0.0,0.0,0.0,0.0,0.5,0.5,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.6,0.5,1.0,1.0,0.16666666666666666,0.2857142857142857,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.36363636363636365,0.3333333333333333,0.7777777777777778,0.7368421052631579,0.7222222222222222,0.5652173913043478,0.6696629213483145,0.5068027210884354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.5714285714285714,0.5720338983050848,0.5590062111801242,0.2857142857142857,0.25,0.09090909090909091,0.09090909090909091,0.0,0.0,0.45454545454545453,0.5581395348837209,0,0
Josh Smith,0.7894736842105263,0.75,0.2,0.2,0.68,0.6538461538461539,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.4,1.0,0.75,0.0,0.0,0.36363636363636365,0.3333333333333333,0.9444444444444444,0.8947368421052632,0.8888888888888888,0.6956521739130435,0.9842696629213482,0.7448979591836734,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8114406779661016,0.7929606625258799,0.5714285714285714,0.5,0.6363636363636364,0.6363636363636364,0.0,0.0,0.6363636363636364,0.6511627906976745,0,0
Levi Greenwood,0.47368421052631576,0.45,0.45,0.45,0.64,0.6153846153846154,0.25,0.25,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.6666666666666666,0.5,0.0,0.0,0.7272727272727273,0.6666666666666666,0.5,0.47368421052631576,0.7777777777777778,0.6086956521739131,0.8719101123595505,0.6598639455782312,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,1.0,1.0,0.4,0.4,1.0,0.5714285714285714,0.673728813559322,0.6583850931677019,0.7142857142857143,0.625,0.2727272727272727,0.2727272727272727,0.0,0.0,0.09090909090909091,0.37209302325581395,0,0
Steele Sidebottom,0.47368421052631576,0.45,0.45,0.45,0.64,0.6153846153846154,0.08333333333333333,0.08333333333333333,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6,0.5,0.16666666666666666,0.16666666666666666,0.0,0.14285714285714285,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.4166666666666667,0.7222222222222222,0.6842105263157895,0.7777777777777778,0.6086956521739131,0.8719101123595505,0.6598639455782312,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.5,0.0,0.0,0.2,0.2,1.0,0.5714285714285714,0.3072033898305085,0.3002070393374741,0.14285714285714285,0.125,0.2727272727272727,0.2727272727272727,0.0,0.0,0.5909090909090909,0.627906976744186,0,0
Jack Crisp,0.3157894736842105,0.3,0.55,0.55,0.6,0.5769230769230769,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.5,0.8333333333333334,0.8571428571428571,0.6666666666666666,0.4,0.0,0.0,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.6666666666666666,0.631578947368421,0.3888888888888889,0.30434782608695654,0.13033707865168534,0.09863945578231288,0.0,0.0,0.0,0.0,0.125,0.125,0.5,0.5,0.0,0.0,0.6,0.6,0.6666666666666666,0.42857142857142855,0.4724576271186441,0.4616977225672878,0.5714285714285714,0.5,0.18181818181818182,0.18181818181818182,1.0,1.0,0.6363636363636364,0.6511627906976745,0,0
Jackson Ramsay,0.42105263157894735,0.4,0.45,0.45,0.6,0.5769230769230769,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.5,0.6,0.5,0.5,0.5,0.0,0.14285714285714285,1.0,0.6,1.0,0.75,0.0,0.0,0.6363636363636364,0.5833333333333334,0.4444444444444444,0.42105263157894735,0.7222222222222222,0.5652173913043478,0.8269662921348314,0.6258503401360545,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.6,0.6,0.3333333333333333,0.2857142857142857,0.6800847457627118,0.6645962732919255,0.7142857142857143,0.625,0.6363636363636364,0.6363636363636364,0.0,0.0,0.13636363636363635,0.3953488372093023,0,0
Brodie Grundy,0.47368421052631576,0.45,0.3,0.3,0.52,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.2,0.0,0.0,0.6666666666666666,0.6666666666666666,0.45454545454545453,0.4166666666666667,0.5,0.47368421052631576,0.2777777777777778,0.21739130434782608,-0.004494382022471974,-0.0034013605442177355,0.0,0.0,0.0,0.0,0.375,0.375,0.5,0.5,0.25,0.25,0.6,0.6,0.0,0.14285714285714285,0.5635593220338984,0.5507246376811594,0.8571428571428571,0.75,0.18181818181818182,0.18181818181818182,0.25,0.25,0.6363636363636364,0.6511627906976745,0,0
