Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Jake Stringer,0.75,0.631578947368421,1.0,1.0,1.0,0.9285714285714286,0.5555555555555556,0.5555555555555556,0.0,0.0,0.5,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.625,0.625,1.0,1.0,1.0,1.0,0.5714285714285714,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,0.631578947368421,0.631578947368421,0.7647058823529411,0.5909090909090909,0.22038980509745132,0.22038980509745132,0.5,0.5,0.5,0.2,0.14285714285714285,0.08333333333333333,0.0,0.0,1.0,1.0,0.8,0.8,0.4,0.16666666666666666,1.0,0.709470304975923,1.0,1.0,0.5,0.3333333333333333,0.0,0.0,0.8625,0.8625,0,0
Devon Smith,1.0,0.8421052631578947,0.5,0.5,0.8846153846153846,0.8214285714285714,1.0,1.0,0.5,0.25,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.25,0.25,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.2,0.2,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,1.0,0.7647058823529411,0.5909090909090909,0.29535232383808097,0.29535232383808097,0.0,0.0,0.5,0.2,0.14285714285714285,0.08333333333333333,0.25,0.2,0.0,0.0,0.2,0.2,0.6,0.25,0.9269406392694064,0.6581059390048154,0.6,0.6,0.5,0.3333333333333333,0.5,0.25,0.9125,0.9125,0,0
Zachary Merrett,0.625,0.5263157894736842,0.8571428571428571,0.8571428571428571,0.8461538461538461,0.7857142857142857,0.4444444444444444,0.4444444444444444,0.5,0.25,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.375,0.375,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.2,0.2,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8947368421052632,0.8947368421052632,1.0,0.7727272727272727,0.5802098950524738,0.5802098950524738,0.0,0.0,0.0,0.0,0.2857142857142857,0.16666666666666666,0.0,0.0,0.2,0.2,0.2,0.2,0.8,0.3333333333333333,0.6073059360730594,0.4333868378812199,0.5,0.5,0.5,0.3333333333333333,0.0,0.0,0.9,0.9,0,0
Brendon Goddard,0.4375,0.3684210526315789,0.8571428571428571,0.8571428571428571,0.7307692307692307,0.6785714285714286,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.375,0.375,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.14285714285714285,0.1111111111111111,0.4,0.4,0.25,0.25,0.2857142857142857,0.2857142857142857,0.7894736842105263,0.7894736842105263,1.0,0.7727272727272727,0.7151424287856072,0.7151424287856072,0.0,0.0,0.0,0.0,0.42857142857142855,0.25,0.0,0.0,0.2,0.2,0.6,0.6,0.4,0.16666666666666666,0.3447488584474886,0.24879614767255218,0.4,0.4,0.625,0.4166666666666667,0.0,0.0,0.9,0.9,0,0
Dyson Heppell,0.6875,0.5789473684210527,0.5714285714285714,0.5714285714285714,0.7307692307692307,0.6785714285714286,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.0,0.0,0.2,0.2,0.5,0.5,0.5714285714285714,0.5714285714285714,0.5789473684210527,0.5789473684210527,0.7647058823529411,0.5909090909090909,0.44527736131934037,0.44527736131934037,0.0,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0,0.0,0.2,0.2,0.8,0.8,0.4,0.16666666666666666,0.7945205479452054,0.565008025682183,0.7,0.7,0.25,0.16666666666666666,0.0,0.0,0.875,0.875,0,0
Adam Saad,0.4375,0.3684210526315789,0.8571428571428571,0.8571428571428571,0.7307692307692307,0.6785714285714286,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.375,0.375,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.7368421052631579,0.7368421052631579,0.9411764705882353,0.7272727272727273,0.6551724137931034,0.6551724137931034,0.0,0.0,0.0,0.0,0.7142857142857143,0.4166666666666667,1.0,0.8,0.2,0.2,0.0,0.0,0.0,0.0,0.9634703196347032,0.6837881219903692,0.8,0.8,0.75,0.5,0.0,0.0,0.85,0.85,0,0
Michael Hurley,0.6875,0.5789473684210527,0.5,0.5,0.6923076923076923,0.6428571428571429,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.0,0.0,0.25,0.25,0.14285714285714285,0.14285714285714285,0.9473684210526315,0.9473684210526315,0.8235294117647058,0.6363636363636364,0.5652173913043479,0.5652173913043479,0.0,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.16666666666666666,0.769406392694064,0.5473515248796148,0.7,0.7,0.375,0.25,0.0,0.0,0.875,0.875,0,0
Kyle Langford,0.4375,0.3684210526315789,0.7142857142857143,0.7142857142857143,0.6538461538461539,0.6071428571428571,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,1.0,0.3333333333333333,0.25,0.25,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.4,0.4,0.0,0.0,0.5714285714285714,0.5714285714285714,0.3684210526315789,0.3684210526315789,0.8235294117647058,0.6363636363636364,0.6251874062968515,0.6251874062968515,0.0,0.0,0.5,0.2,0.14285714285714285,0.08333333333333333,0.0,0.0,0.6,0.6,0.2,0.2,0.4,0.16666666666666666,0.3515981735159817,0.2536115569823435,0.3,0.3,0.25,0.16666666666666666,0.0,0.0,0.8,0.8,0,0
Matthew Dea,0.625,0.5263157894736842,0.42857142857142855,0.42857142857142855,0.6153846153846154,0.5714285714285714,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.1111111111111111,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.5789473684210527,0.5789473684210527,0.8823529411764706,0.6818181818181818,0.7601199400299851,0.7601199400299851,0.0,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.25,0.5662100456621004,0.4044943820224719,0.5,0.5,0.875,0.5833333333333334,0.0,0.0,0.75,0.75,0,0
Conor McKenna,0.4375,0.3684210526315789,0.5714285714285714,0.5714285714285714,0.5769230769230769,0.5357142857142857,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.5555555555555556,0.0,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.42105263157894735,0.42105263157894735,0.7647058823529411,0.5909090909090909,0.6551724137931034,0.6551724137931034,0.0,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.25,0.408675799086758,0.29373996789727125,0.2,0.2,0.625,0.4166666666666667,0.0,0.0,0.8,0.8,0,0
