Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Oliver Wines,1.0,1.0,1.0,0.6875,1.0,0.92,0.36363636363636365,0.36363636363636365,0.0,0.0,1.0,0.6666666666666666,0.25,0.29411764705882354,0.0,0.0,0.0,0.0,1.0,0.625,1.0,0.5714285714285714,1.0,0.625,0.14285714285714285,0.14285714285714285,0.75,0.6,1.0,0.5,1.0,0.9,0.5,0.5,0.7857142857142857,0.6470588235294118,0.25435540069686413,0.25435540069686413,1.0,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.4,1.0,0.6666666666666666,0.8571428571428571,0.875,0.8153153153153153,0.7327935222672065,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.16666666666666666,0.25,0.25,0.5526315789473685,0.5348837209302325,1,1
Jared Polec,0.9166666666666666,0.9230769230769231,0.5454545454545454,0.375,0.7,0.68,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.25,0.29411764705882354,0.0,0.0,0.5,0.3333333333333333,0.6,0.375,0.125,0.07142857142857142,0.6,0.375,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3125,0.35,1.0,1.0,1.0,0.8235294117647058,0.7247386759581882,0.7247386759581882,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.1111111111111111,0.5714285714285714,0.625,1.0,0.8987854251012146,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.25,0.0,0.0,0.7631578947368421,0.7209302325581395,1,0
Tom Rockliff,0.8333333333333334,0.8461538461538461,0.36363636363636365,0.25,0.55,0.56,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0.0,0.2,0.125,0.5,0.2857142857142857,0.8,0.5,0.5714285714285714,0.5714285714285714,0.5,0.4,0.3333333333333333,0.16666666666666666,0.4375,0.45,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.47058823529411764,0.41114982578397213,0.41114982578397213,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.5,0.2,0.5,0.3333333333333333,0.2857142857142857,0.375,0.7004504504504504,0.6295546558704453,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.046511627906976744,1,0
Jasper Pittard,0.75,0.7692307692307693,0.45454545454545453,0.3125,0.55,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0.0,0.6,0.375,0.0,0.0,0.8,0.5,0.8571428571428571,0.8571428571428571,0.5,0.4,0.0,0.0,0.25,0.3,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.47058823529411764,0.41114982578397213,0.41114982578397213,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.7972972972972973,0.7165991902834008,1.0,1.0,0.6666666666666666,0.5833333333333334,0.0,0.0,0.6578947368421053,0.627906976744186,1,0
Thomas Jonas,0.9166666666666666,0.9230769230769231,0.2727272727272727,0.1875,0.55,0.56,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.07142857142857142,0.2,0.125,0.7142857142857143,0.7142857142857143,0.75,0.6,0.0,0.0,0.375,0.4,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.7058823529411765,0.7595818815331011,0.7595818815331011,0.3333333333333333,0.3333333333333333,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.2857142857142857,0.375,0.4752252252252252,0.4271255060728745,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,0.0,0.0,1.0,0.9302325581395349,1,2
Chad Wingard,0.4166666666666667,0.46153846153846156,0.7272727272727273,0.5,0.5,0.52,0.09090909090909091,0.09090909090909091,0.5,0.3333333333333333,0.0,0.0,0.1875,0.23529411764705882,0.0,0.0,0.0,0.0,0.4,0.25,0.5,0.2857142857142857,0.4,0.25,0.14285714285714285,0.14285714285714285,1.0,0.8,0.3333333333333333,0.16666666666666666,0.5625,0.55,0.5,0.5,0.6428571428571429,0.5294117647058824,0.5505226480836237,0.5505226480836237,0.0,0.0,0.5,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.4444444444444444,0.42857142857142855,0.5,0.7680180180180181,0.6902834008097166,0.4444444444444444,0.4444444444444444,0.0,0.08333333333333333,0.25,0.25,0.631578947368421,0.6046511627906976,1,0
Brad Ebert,0.75,0.7692307692307693,0.2727272727272727,0.1875,0.45,0.48,0.45454545454545453,0.45454545454545453,1.0,0.6666666666666666,0.0,0.0,0.125,0.17647058823529413,0.0,0.0,0.5,0.3333333333333333,0.8,0.5,0.25,0.14285714285714285,0.4,0.25,0.14285714285714285,0.14285714285714285,0.25,0.2,0.3333333333333333,0.16666666666666666,0.3125,0.35,0.5,0.5,0.2857142857142857,0.23529411764705882,0.132404181184669,0.132404181184669,0.0,0.0,0.5,0.3333333333333333,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.42857142857142855,0.5,0.8153153153153153,0.7327935222672065,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3684210526315789,0.37209302325581395,1,0
Travis Boak,0.25,0.3076923076923077,0.7272727272727273,0.5,0.4,0.44,0.45454545454545453,0.45454545454545453,0.5,0.3333333333333333,0.0,0.0,0.4375,0.47058823529411764,0.0,0.0,0.5,0.3333333333333333,0.6,0.375,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.25,0.6666666666666666,0.6666666666666666,0.6428571428571429,0.5294117647058824,0.6898954703832753,0.6898954703832753,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.625,0.42567567567567566,0.3825910931174089,0.4444444444444444,0.4444444444444444,0.0,0.08333333333333333,1.0,1.0,0.7631578947368421,0.7209302325581395,1,0
Riley Bonner,0.5,0.5384615384615384,0.36363636363636365,0.25,0.35,0.4,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.07142857142857142,0.4,0.25,0.42857142857142855,0.42857142857142855,0.5,0.4,0.6666666666666666,0.3333333333333333,0.1875,0.25,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.6470588235294118,0.9860627177700348,0.9860627177700348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.14285714285714285,0.25,0.4752252252252252,0.4271255060728745,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4166666666666667,0.0,0.0,0.47368421052631576,0.46511627906976744,1,0
Robbie Gray,0.08333333333333333,0.15384615384615385,0.7272727272727273,0.5,0.3,0.36,0.2727272727272727,0.2727272727272727,1.0,0.6666666666666666,0.5,0.3333333333333333,0.125,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.21428571428571427,0.8,0.5,0.2857142857142857,0.2857142857142857,0.5,0.4,1.0,0.5,0.5,0.5,0.3888888888888889,0.3888888888888889,0.5714285714285714,0.47058823529411764,0.7595818815331011,0.7595818815331011,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0,0.23198198198198197,0.20850202429149797,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.9736842105263158,0.9069767441860465,1,0
