Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Luke Dahlhaus,0.5789473684210527,0.7333333333333333,0.8,1.0,0.84375,1.0,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5714285714285714,0.25,0.125,0.2,0.2,0.3333333333333333,1.0,1.0,0.5,0.8181818181818182,0.8571428571428571,1.0,0.88,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.8888888888888888,0.45640074211502785,0.46543778801843316,0.8,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.5,0.5,0.8021978021978022,0.8111111111111111,0.5,Home,0,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.6363636363636364,0.7777777777777778,0.35714285714285715,0.625
Josh Dunkley,0.5789473684210527,0.7333333333333333,0.7,0.875,0.78125,0.9259259259259259,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.5,1.0,0.7142857142857143,0.5,0.125,0.2,0.0,0.0,0.8,0.5,0.6111111111111112,1.0,0.6190476190476191,0.7222222222222222,0.76,0.8636363636363636,0.5,0.5,0.4,1.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.5,1.0,0.5,0.6666666666666666,0.45454545454545453,0.5555555555555556,0.4359925788497217,0.4400921658986175,0.6,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.8791208791208791,0.8888888888888888,0.5,Home,3,0.25,0.14285714285714285,0.125,0.0,0.7142857142857143,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.42857142857142855,0.75
Toby McLean,0.631578947368421,0.8,0.55,0.6875,0.71875,0.8518518518518519,0.2222222222222222,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4285714285714286,0.0,0.375,0.6,0.2,0.3333333333333333,0.6,0.0,0.4444444444444444,0.7272727272727273,0.7142857142857143,0.8333333333333334,0.68,0.7727272727272727,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,1.0,0.5,1.0,0.5,0.6666666666666666,0.7272727272727273,0.8888888888888888,0.7680890538033395,0.8525345622119815,0.8,0.8333333333333334,0.1111111111111111,0.1111111111111111,1.0,1.0,0.9120879120879121,0.9222222222222223,0.5,Home,0,0.25,0.14285714285714285,0.25,0.14285714285714285,1.0,1.0,0.5454545454545454,0.6666666666666666,0.42857142857142855,0.75
Patrick Lipinski,0.3684210526315789,0.4666666666666667,0.8,1.0,0.71875,0.8518518518518519,0.6666666666666666,0.7142857142857143,0.0,0.0,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2,0.4,0.5714285714285714,0.25,0.375,0.6,0.0,0.0,0.6,0.0,0.3333333333333333,0.5454545454545454,0.8571428571428571,1.0,0.8,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333,0.45454545454545453,0.5555555555555556,0.5565862708719852,0.5898617511520737,0.8,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.0,0.0,0.9120879120879121,0.9222222222222223,0.5,Home,0,0.75,0.7142857142857143,0.75,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.45454545454545453,0.5555555555555556,0.21428571428571427,0.375
Mitchell Wallis,0.3684210526315789,0.4666666666666667,0.75,0.9375,0.6875,0.8148148148148148,0.4444444444444444,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3,0.6,0.4285714285714286,0.0,0.125,0.2,0.2,0.3333333333333333,0.6,0.0,0.6111111111111112,1.0,0.5714285714285714,0.6666666666666666,0.64,0.7272727272727273,0.0,0.0,0.2,0.5,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.0,0.0,0.0,0.75,1.0,0.5454545454545454,0.6666666666666666,0.35992578849721707,0.3456221198156682,0.7,0.6666666666666667,0.0,0.0,0.25,0.25,0.7582417582417582,0.7666666666666667,0.5,Home,0,0.5,0.42857142857142855,0.375,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.45454545454545453,0.5555555555555556,0.42857142857142855,0.75
Lachlan Hunter,0.631578947368421,0.8,0.5,0.625,0.6875,0.8148148148148148,0.5555555555555556,0.5714285714285714,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3,0.6,0.7142857142857143,0.5,0.625,1.0,0.2,0.3333333333333333,1.0,1.0,0.4444444444444444,0.7272727272727273,0.6666666666666666,0.7777777777777778,0.72,0.8181818181818182,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.2727272727272727,0.3333333333333333,0.5936920222634509,0.6359447004608295,0.6,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.9340659340659341,0.9444444444444444,0.5,Home,0,0.625,0.5714285714285714,0.625,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2727272727272727,0.3333333333333333,0.2857142857142857,0.5
Jason Johannisen,0.7894736842105263,1.0,0.3,0.375,0.65625,0.7777777777777778,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.7142857142857143,0.5,0.375,0.6,0.0,0.0,0.8,0.5,0.5,0.8181818181818182,0.5238095238095238,0.6111111111111112,0.84,0.9545454545454546,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.3333333333333333,0.7105751391465677,0.7811059907834101,0.8,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.0,0.0,0.8461538461538461,0.8555555555555555,0.5,Home,0,0.375,0.2857142857142857,0.375,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2727272727272727,0.3333333333333333,0.0,0.0
Marcus Bontempelli,0.5789473684210527,0.7333333333333333,0.5,0.625,0.65625,0.7777777777777778,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.2,0.4285714285714286,0.0,0.0,0.0,0.4,0.6666666666666666,0.6,0.0,0.5,0.8181818181818182,0.6666666666666666,0.7777777777777778,0.52,0.5909090909090909,1.0,1.0,0.4,1.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.8181818181818182,1.0,0.601113172541744,0.6451612903225806,0.4,0.16666666666666663,0.3333333333333333,0.3333333333333333,0.5,0.5,0.9120879120879121,0.9222222222222223,0.5,Home,0,0.125,0.0,0.125,0.0,0.7142857142857143,0.7142857142857143,0.8181818181818182,1.0,0.5714285714285714,1.0
Billy Gowers,0.7368421052631579,0.9333333333333333,0.15,0.1875,0.53125,0.6296296296296297,0.4444444444444444,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.8,0.5714285714285714,0.25,0.0,0.0,0.2,0.3333333333333333,0.8,0.5,0.4444444444444444,0.7272727272727273,0.42857142857142855,0.5,0.44,0.5,0.0,0.0,0.2,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.45454545454545453,0.5555555555555556,0.8868274582560297,1.0,0.30000000000000004,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.8351648351648352,0.8444444444444444,0.5,Home,0,0.5,0.42857142857142855,0.375,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.45454545454545453,0.5555555555555556,0.42857142857142855,0.75
Bailey Williams,0.47368421052631576,0.6,0.35,0.4375,0.5,0.5925925925925926,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.6,0.5714285714285714,0.25,0.375,0.6,0.0,0.0,1.0,1.0,0.3888888888888889,0.6363636363636364,0.38095238095238093,0.4444444444444444,0.48,0.5454545454545454,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.2727272727272727,0.3333333333333333,0.601113172541744,0.6451612903225806,0.6,0.5,0.2222222222222222,0.2222222222222222,0.5,0.5,0.8461538461538461,0.8555555555555555,0.5,Home,0,0.375,0.2857142857142857,0.25,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2727272727272727,0.3333333333333333,0.2857142857142857,0.5
