Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Clayton Oliver,0.7222222222222222,0.7222222222222222,1.0,1.0,1.0,1.0,0.6666666666666666,0.7142857142857143,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6363636363636364,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4,0.18181818181818185,0.0,0.0,0.0,0.0,0.95,0.95,0.8125,0.8235294117647058,1.0,1.0,0.6094117647058824,0.4473229706390328,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.0,0.75,0.75,0.25,0.25,0.7142857142857143,0.7142857142857143,0.6311475409836066,0.6311475409836066,1.0,0.7777777777777778,0.25,0.25,0.25,0.25,0.5,0.5882352941176471,1,1
Angus Brayshaw,1.0,1.0,0.5,0.5263157894736842,0.8518518518518519,0.8666666666666667,0.5,0.5714285714285714,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.3636363636363637,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4,0.18181818181818185,0.8,0.8,0.25,0.25,0.8,0.8,0.875,0.8823529411764706,0.7894736842105263,0.7894736842105263,0.5152941176470589,0.3782383419689119,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2222222222222222,0.25,0.25,0.25,0.25,0.14285714285714285,0.29411764705882354,1,3
Christian Salem,0.9444444444444444,0.9444444444444444,0.4444444444444444,0.4736842105263158,0.7777777777777778,0.8,0.6666666666666666,0.7142857142857143,0.5,0.5,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.09090909090909093,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.125,0.125,0.5,0.5,1.0,0.4545454545454545,0.0,0.0,0.25,0.25,0.45,0.45,1.0,1.0,0.631578947368421,0.631578947368421,0.3741176470588236,0.2746113989637305,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.25,0.25,0.42857142857142855,0.42857142857142855,0.8540983606557377,0.8540983606557377,0.5714285714285714,0.4444444444444444,0.75,0.75,0.0,0.0,0.5,0.5882352941176471,1,0
Christian Petracca,0.5555555555555556,0.5555555555555556,0.8333333333333334,0.8421052631578947,0.7777777777777778,0.8,0.6666666666666666,0.7142857142857143,0.0,0.0,1.0,1.0,0.7142857142857143,0.4545454545454545,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.625,0.625,0.3333333333333333,0.3333333333333333,0.2,0.09090909090909093,0.4,0.4,0.0,0.0,1.0,1.0,0.5,0.5294117647058824,0.7368421052631579,0.7368421052631579,0.5388235294117648,0.3955094991364421,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.0,0.0,0.5,0.5,0.75,0.75,0.6428571428571429,0.6428571428571429,0.5655737704918032,0.5655737704918032,0.2857142857142857,0.2222222222222222,0.875,0.875,0.25,0.25,0.5714285714285714,0.6470588235294118,1,0
Jack Viney,0.3888888888888889,0.3888888888888889,0.9444444444444444,0.9473684210526316,0.7407407407407407,0.7666666666666667,0.6666666666666666,0.7142857142857143,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.875,0.8823529411764706,0.7894736842105263,0.7894736842105263,0.68,0.4991364421416235,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,1.0,0.5,0.5,0.42857142857142855,0.42857142857142855,0.4524590163934426,0.4524590163934426,0.5714285714285714,0.4444444444444444,0.5,0.5,0.5,0.5,0.25,0.38235294117647056,1,0
Bayley Fritsch,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3684210526315789,0.6296296296296297,0.6666666666666666,0.16666666666666666,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.09090909090909093,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.25,0.25,0.16666666666666666,0.16666666666666666,0.4,0.18181818181818185,0.4,0.4,0.25,0.25,0.7,0.7,0.5,0.5294117647058824,0.5789473684210527,0.5789473684210527,0.5152941176470589,0.3782383419689119,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.6540983606557377,0.6540983606557377,0.7142857142857143,0.5555555555555556,1.0,1.0,0.0,0.0,0.32142857142857145,0.4411764705882353,1,0
James Harmes,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5789473684210527,0.5925925925925926,0.6333333333333333,0.3333333333333333,0.42857142857142855,0.5,0.5,0.0,0.0,0.7142857142857143,0.4545454545454545,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.125,0.125,0.16666666666666666,0.16666666666666666,0.2,0.09090909090909093,0.2,0.2,0.0,0.0,0.3,0.3,0.9375,0.9411764705882352,0.631578947368421,0.631578947368421,0.6564705882352941,0.4818652849740933,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,1.0,1.0,0.0,0.0,0.25,0.25,0.2857142857142857,0.2857142857142857,0.7459016393442623,0.7459016393442623,0.14285714285714285,0.1111111111111111,0.5,0.5,0.5,0.5,0.21428571428571427,0.35294117647058826,1,0
Billy Stretch,0.7222222222222222,0.7222222222222222,0.3888888888888889,0.42105263157894735,0.5925925925925926,0.6333333333333333,0.6666666666666666,0.7142857142857143,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.3636363636363637,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.375,0.375,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2,0.2,0.0,0.0,0.45,0.45,0.8125,0.8235294117647058,0.7894736842105263,0.7894736842105263,0.9623529411764709,0.7063903281519862,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.75,0.75,0.6428571428571429,0.6428571428571429,0.6786885245901639,0.6786885245901639,0.0,0.0,0.375,0.375,0.5,0.5,0.21428571428571427,0.35294117647058826,1,0
Nathan Jones,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5789473684210527,0.5185185185185185,0.5666666666666667,0.5,0.5714285714285714,0.5,0.5,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.18181818181818185,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.125,0.125,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,1.0,0.35,0.35,0.875,0.8823529411764706,0.42105263157894735,0.42105263157894735,0.3976470588235295,0.2918825561312608,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.25,0.25,0.35714285714285715,0.35714285714285715,0.5049180327868853,0.5049180327868853,0.14285714285714285,0.1111111111111111,0.125,0.125,0.0,0.0,0.5,0.5882352941176471,1,0
Jordan Lewis,0.6666666666666666,0.6666666666666666,0.2777777777777778,0.3157894736842105,0.4814814814814815,0.5333333333333333,0.6666666666666666,0.7142857142857143,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.09090909090909093,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.25,0.25,1.0,1.0,0.2,0.09090909090909093,0.6,0.6,0.75,0.75,0.3,0.3,0.75,0.7647058823529411,0.5789473684210527,0.5789473684210527,0.7976470588235295,0.5854922279792746,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,0.5,0.7142857142857143,0.7142857142857143,0.6688524590163935,0.6688524590163935,0.2857142857142857,0.2222222222222222,0.875,0.875,0.0,0.0,0.6071428571428571,0.6764705882352942,1,0
