Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Josh P. Kennedy,0.8666666666666667,0.8125,1.0,1.0,1.0,0.9285714285714286,0.5,0.2727272727272727,0.0,0.0,0.5,0.5,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.2,0.14285714285714285,0.0,0.0,0.5,0.3333333333333333,1.0,1.0,0.7333333333333333,0.7333333333333333,0.8823529411764706,0.8,0.559748427672956,0.4087403598971723,0.5,0.5,0.0,0.0,0.4,0.26666666666666666,0.0,0.0,0.75,0.75,0.625,0.5555555555555556,0.6,0.6,1.0,0.6234177215189873,0.8571428571428571,0.75,0.5,0.36363636363636365,0.0,0.0,0.6857142857142857,0.7555555555555555,0,0
Jarrad McVeigh,1.0,0.9375,0.5882352941176471,0.5882352941176471,0.8076923076923077,0.75,1.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.5714285714285714,0.6,0.42857142857142855,0.5,0.3333333333333333,1.0,0.6666666666666666,0.42105263157894735,0.42105263157894735,1.0,1.0,1.0,0.9,0.9161425576519916,0.6272493573264781,0.0,0.0,0.0,0.0,0.3,0.2,1.0,0.3333333333333333,0.25,0.25,0.125,0.1111111111111111,0.4,0.4,0.9727520435967303,0.6075949367088608,1.0,0.875,0.875,0.6363636363636364,0.0,0.0,0.5428571428571428,0.6444444444444445,0,0
Luke Parker,0.5333333333333333,0.5,0.9411764705882353,0.9411764705882353,0.7692307692307693,0.7142857142857143,0.16666666666666666,0.09090909090909091,0.25,0.25,0.0,0.0,1.0,0.6,0.022727272727272728,0.022727272727272728,0.0,0.0,0.7142857142857143,0.7142857142857143,1.0,1.0,0.2857142857142857,0.2857142857142857,0.2,0.14285714285714285,0.5,0.3333333333333333,0.5,0.3333333333333333,0.8421052631578947,0.8421052631578947,0.13333333333333333,0.13333333333333333,0.9411764705882353,0.85,0.8951781970649896,0.6143958868894601,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,1.0,1.0,1.0,0.8888888888888888,0.5,0.5,0.4822888283378747,0.3227848101265823,0.5714285714285714,0.5,0.25,0.18181818181818182,0.0,0.0,0.7142857142857143,0.7777777777777778,0,1
Isaac Heeney,0.6666666666666666,0.625,0.5294117647058824,0.5294117647058824,0.5769230769230769,0.5357142857142857,0.3333333333333333,0.18181818181818182,0.25,0.25,0.0,0.0,0.8,0.5,0.0,0.0,0.5,0.5,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.2,0.14285714285714285,1.0,0.6666666666666666,0.5,0.3333333333333333,0.8947368421052632,0.8947368421052632,0.2,0.2,0.5882352941176471,0.55,0.6645702306079664,0.47300771208226217,0.5,0.5,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.5,0.4444444444444444,0.5,0.5,0.5449591280653951,0.35917721518987344,0.42857142857142855,0.375,0.125,0.09090909090909091,0.0,0.0,0.5428571428571428,0.6444444444444445,0,0
Nick Smith,0.5333333333333333,0.5,0.5882352941176471,0.5882352941176471,0.5384615384615384,0.5,0.6666666666666666,0.36363636363636365,0.0,0.0,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.08333333333333333,0.08333333333333333,0.2857142857142857,0.2857142857142857,0.8,0.5714285714285714,1.0,0.6666666666666666,0.0,0.0,0.42105263157894735,0.42105263157894735,0.6,0.6,0.5294117647058824,0.5,0.6226415094339622,0.4473007712082262,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.3787465940054496,0.2626582278481013,0.8571428571428571,0.75,1.0,0.7272727272727273,0.0,0.0,1.0,1.0,0,0
Harry Cunningham,0.7333333333333333,0.6875,0.4117647058823529,0.4117647058823529,0.5384615384615384,0.5,0.3333333333333333,0.18181818181818182,0.25,0.25,0.5,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.2,0.14285714285714285,0.0,0.0,0.5,0.3333333333333333,0.3157894736842105,0.3157894736842105,0.6,0.6,0.7058823529411765,0.65,0.9161425576519916,0.6272493573264781,0.0,0.0,0.5,0.5,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.25,0.2222222222222222,0.5,0.5,0.7166212534059946,0.4588607594936709,0.42857142857142855,0.375,0.625,0.45454545454545453,0.0,0.0,0.45714285714285713,0.5777777777777777,0,0
Jake Lloyd,0.5333333333333333,0.5,0.5294117647058824,0.5294117647058824,0.5,0.4642857142857143,0.8333333333333334,0.45454545454545453,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.25,0.25,0.14285714285714285,0.14285714285714285,0.4,0.2857142857142857,0.5,0.3333333333333333,0.0,0.0,0.3684210526315789,0.3684210526315789,0.6,0.6,0.5882352941176471,0.55,0.790356394129979,0.5501285347043702,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.375,0.3333333333333333,0.3,0.3,0.3242506811989101,0.2310126582278481,0.42857142857142855,0.375,0.75,0.5454545454545454,0.0,0.0,0.7714285714285715,0.8222222222222222,0,0
George Hewett,0.26666666666666666,0.25,0.7647058823529411,0.7647058823529411,0.5,0.4642857142857143,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.631578947368421,0.631578947368421,0.3333333333333333,0.3333333333333333,0.5882352941176471,0.55,0.790356394129979,0.5501285347043702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2222222222222222,0.5,0.5,0.26430517711171664,0.1962025316455696,0.5714285714285714,0.5,0.5,0.36363636363636365,0.0,0.0,0.5142857142857142,0.6222222222222222,0,0
Oliver Florent,0.8,0.75,0.29411764705882354,0.29411764705882354,0.5,0.4642857142857143,0.6666666666666666,0.36363636363636365,0.0,0.0,0.5,0.5,0.6,0.4,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.2,0.14285714285714285,1.0,0.6666666666666666,0.5,0.3333333333333333,0.47368421052631576,0.47368421052631576,0.26666666666666666,0.26666666666666666,0.5882352941176471,0.55,0.790356394129979,0.5501285347043702,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.25,0.25,0.375,0.3333333333333333,0.4,0.4,0.8801089918256131,0.5537974683544303,1.0,0.875,0.875,0.6363636363636364,1.0,0.5,0.5714285714285714,0.6666666666666666,0,0
Daniel Hannebery,0.4,0.375,0.5294117647058824,0.5294117647058824,0.4230769230769231,0.39285714285714285,0.5,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.25,0.25,0.14285714285714285,0.14285714285714285,0.2,0.14285714285714285,0.5,0.3333333333333333,1.0,0.6666666666666666,0.42105263157894735,0.42105263157894735,0.3333333333333333,0.3333333333333333,0.4117647058823529,0.4,0.580712788259958,0.42159383033419023,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.375,0.3333333333333333,0.1,0.1,0.444141689373297,0.30063291139240506,0.5714285714285714,0.5,0.125,0.09090909090909091,0.0,0.0,0.0,0.2222222222222222,0,0
Heath Grundy,0.26666666666666666,0.25,0.5294117647058824,0.5294117647058824,0.34615384615384615,0.32142857142857145,0.6666666666666666,0.36363636363636365,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.7142857142857143,0.5,0.3333333333333333,0.0,0.0,0.21052631578947367,0.21052631578947367,0.5333333333333333,0.5333333333333333,0.47058823529411764,0.45,0.8532494758909853,0.5886889460154241,0.5,0.5,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.32697547683923706,0.23259493670886075,0.42857142857142855,0.375,0.5,0.36363636363636365,0.0,0.0,0.45714285714285713,0.5777777777777777,0,0
