Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Kane Lambert,0.55,0.5263157894736842,0.7272727272727273,1.0,0.7647058823529411,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.7777777777777778,0.75,0.0,0.0,1.0,1.0,0.8,0.8,0.3,0.3,0.4285714285714286,0.25,0.25,0.2857142857142857,0.0,0.0,0.5,0.5,0.6,0.8,0.8333333333333334,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3,0.0,0.0,0.2,0.2,0.3333333333333333,0.4,0.8,1.0,0.6435643564356436,0.7416481069042317,0.33333333333333337,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,0.6216216216216216,0.6216216216216216,1,Home,1,1.0,1.0,1.0,1.0,0.875,0.875,0.6666666666666666,1.0,0.6470588235294118,0.9166666666666666
Dustin Martin,1.0,1.0,0.09090909090909091,0.125,0.6176470588235294,0.7916666666666666,0.6666666666666666,0.6,0.0,0.0,1.0,1.0,0.6666666666666666,0.625,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.125,0.14285714285714285,0.3333333333333333,0.5,1.0,1.0,0.75,1.0,0.3333333333333333,0.3076923076923077,0.5,0.6666666666666666,0.5,0.5,0.0,0.0,0.1111111111111111,0.2,0.5,0.5,1.0,1.0,0.8333333333333334,1.0,0.6,0.75,0.834983498349835,1.0,0.41666666666666663,0.125,0.36363636363636365,0.36363636363636365,0.5,0.5,0.6216216216216216,0.6216216216216216,1,Home,0,0.5,0.4,0.6666666666666666,0.6666666666666666,0.5,0.5,0.4444444444444444,0.6666666666666666,0.7058823529411765,1.0
Trent Cotchin,0.65,0.631578947368421,0.09090909090909091,0.125,0.4117647058823529,0.5,0.5,0.4,0.25,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.8571428571428572,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.45,0.6,0.2777777777777778,0.23076923076923078,0.375,0.5,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.0,0.0,0.4,0.4,0.3333333333333333,0.4,0.3,0.375,0.4603960396039604,0.49443207126948774,0.8333333333333334,0.75,0.18181818181818182,0.18181818181818182,0.25,0.25,0.3783783783783784,0.3783783783783784,1,Home,0,0.5,0.4,0.5,0.5,1.0,1.0,0.3333333333333333,0.5,0.47058823529411764,0.6666666666666666
Brandon Ellis,0.35,0.3157894736842105,0.3181818181818182,0.4375,0.38235294117647056,0.4583333333333333,0.5,0.4,0.0,0.0,0.0,0.0,0.4444444444444444,0.375,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7142857142857143,0.75,0.375,0.42857142857142855,0.3333333333333333,0.5,1.0,1.0,0.35,0.4666666666666667,0.3333333333333333,0.3076923076923077,0.5833333333333334,0.7777777777777778,0.0,0.0,0.0,0.0,0.05555555555555555,0.1,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.125,0.26732673267326734,0.23385300668151449,0.6666666666666667,0.5,0.8181818181818182,0.8181818181818182,0.0,0.0,0.5405405405405406,0.5405405405405406,1,Home,0,0.5,0.4,0.5,0.5,0.5,0.5,0.1111111111111111,0.16666666666666666,0.11764705882352941,0.16666666666666666
Toby Nankervis,0.6,0.5789473684210527,0.09090909090909091,0.125,0.38235294117647056,0.4583333333333333,0.5,0.4,0.25,0.25,0.5,0.5,0.3333333333333333,0.25,1.0,1.0,0.5,0.5,0.3,0.3,0.4,0.4,0.2857142857142857,0.0,0.125,0.14285714285714285,0.3333333333333333,0.5,0.0,0.0,0.3,0.4,0.2222222222222222,0.15384615384615385,0.20833333333333334,0.2777777777777778,0.0,0.0,0.0,0.0,0.1111111111111111,0.2,0.0,0.0,0.2,0.2,0.5,0.6,0.6,0.75,0.42244224422442245,0.44320712694877507,0.5,0.25,0.18181818181818182,0.18181818181818182,0.25,0.25,0.4864864864864865,0.4864864864864865,1,Home,0,0.5,0.4,0.5,0.5,0.25,0.25,0.5555555555555556,0.8333333333333334,0.6470588235294118,0.9166666666666666
Connor Menadue,0.4,0.3684210526315789,0.2727272727272727,0.375,0.38235294117647056,0.4583333333333333,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.35,0.4666666666666667,0.4444444444444444,0.46153846153846156,0.4166666666666667,0.5555555555555556,0.0,0.0,0.0,0.0,0.05555555555555555,0.1,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.1,0.125,0.38283828382838286,0.3897550111358575,0.5,0.25,1.0,1.0,0.0,0.0,0.24324324324324326,0.24324324324324326,1,Home,0,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.25,0.25,0.1111111111111111,0.16666666666666666,0.35294117647058826,0.5
Jack Higgins,0.4,0.3684210526315789,0.2727272727272727,0.375,0.38235294117647056,0.4583333333333333,0.3333333333333333,0.2,0.25,0.25,1.0,1.0,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.4,0.5714285714285714,0.5,0.125,0.14285714285714285,0.6666666666666666,1.0,0.5,0.5,0.55,0.7333333333333333,0.16666666666666666,0.07692307692307693,0.25,0.3333333333333333,0.5,0.5,0.0,0.0,0.16666666666666666,0.3,0.0,0.0,0.0,0.0,0.6666666666666666,0.8,0.5,0.625,0.3580858085808581,0.35634743875278396,0.9166666666666666,0.875,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,1,Home,0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.5555555555555556,0.8333333333333334,0.5882352941176471,0.8333333333333334
Sam Lloyd,0.25,0.21052631578947367,0.36363636363636365,0.5,0.35294117647058826,0.4166666666666667,0.3333333333333333,0.2,0.25,0.25,0.0,0.0,0.7777777777777778,0.75,0.0,0.0,1.0,1.0,0.4,0.4,0.2,0.2,0.7142857142857143,0.75,0.125,0.14285714285714285,0.0,0.0,0.5,0.5,0.3,0.4,0.3888888888888889,0.38461538461538464,0.4583333333333333,0.6111111111111112,0.0,0.0,0.25,0.25,0.16666666666666666,0.3,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.3,0.375,0.36468646864686466,0.36525612472160357,0.75,0.625,0.2727272727272727,0.2727272727272727,0.25,0.25,0.16216216216216217,0.16216216216216217,1,Home,0,0.3333333333333333,0.2,0.16666666666666666,0.16666666666666666,0.75,0.75,0.1111111111111111,0.16666666666666666,0.23529411764705882,0.3333333333333333
Shaun Grigg,0.4,0.3684210526315789,0.13636363636363635,0.1875,0.29411764705882354,0.3333333333333333,0.6666666666666666,0.6,0.0,0.0,0.0,0.0,0.4444444444444444,0.375,0.18181818181818182,0.18181818181818182,0.0,0.0,0.4,0.4,0.2,0.2,0.8571428571428572,1.0,0.5,0.5714285714285714,0.3333333333333333,0.5,0.5,0.5,0.1,0.13333333333333333,0.3888888888888889,0.38461538461538464,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.5,0.625,0.3613861386138614,0.36080178173719374,0.75,0.625,0.36363636363636365,0.36363636363636365,0.0,0.0,0.5675675675675675,0.5675675675675675,1,Home,0,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5555555555555556,0.8333333333333334,0.23529411764705882,0.3333333333333333
Shane Edwards,0.25,0.21052631578947367,0.2727272727272727,0.375,0.29411764705882354,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,0.0,0.5,0.5,0.1,0.1,0.5,0.5,0.7142857142857143,0.75,0.125,0.14285714285714285,0.3333333333333333,0.5,0.5,0.5,0.55,0.7333333333333333,0.1111111111111111,0.0,0.375,0.5,0.0,0.0,0.0,0.0,0.1111111111111111,0.2,0.0,0.0,0.6,0.6,0.3333333333333333,0.4,0.4,0.5,0.49504950495049505,0.5412026726057907,0.9166666666666666,0.875,0.2727272727272727,0.2727272727272727,0.25,0.25,0.35135135135135137,0.35135135135135137,1,Home,0,0.5,0.4,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.23529411764705882,0.3333333333333333
