Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Lachie Neale,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.4,0.25,0.25,1.0,1.0,0.48,0.5185185185185185,1.0,1.0,0.52,0.5683453237410072,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.8,0.5765595463137996,0.5882352941176471,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.42857142857142855,0.4473684210526316,1,2
Ed Langdon,0.7142857142857143,0.7142857142857143,0.6842105263157895,0.7,0.8846153846153846,0.9,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.2,0.0,0.0,0.0625,0.16666666666666666,1.0,1.0,0.9545454545454546,0.9565217391304348,0.6,0.6402877697841727,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5,0.7126654064272212,0.7205882352941176,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5142857142857142,0.5263157894736842,1,0
David Mundy,0.5238095238095238,0.5238095238095238,0.7368421052631579,0.75,0.7692307692307693,0.8,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.0,0.0,0.375,0.375,0.0,0.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.6,0.6,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.4,0.5,0.5,0.5,0.5555555555555556,0.6,0.6296296296296297,0.7727272727272727,0.782608695652174,0.5,0.5503597122302158,0.3333333333333333,0.3333333333333333,0.0,0.0,0.14285714285714285,0.09090909090909091,0.0,0.0,0.6,0.6,0.6,0.6,1.0,1.0,0.34593572778827975,0.3639705882352941,0.5,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5714285714285714,0.5789473684210527,1,3
Taylin Duman,0.9047619047619048,0.9047619047619048,0.2631578947368421,0.3,0.7307692307692307,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1,0.1,1.0,0.8571428571428571,1.0,1.0,0.0,0.0,0.75,0.75,0.3125,0.3888888888888889,0.68,0.7037037037037037,0.5909090909090909,0.6086956521739131,0.26,0.33453237410071945,0.0,0.0,0.0,0.0,0.42857142857142855,0.2727272727272727,0.0,0.0,0.0,0.0,0.2,0.2,0.3333333333333333,0.4,0.500945179584121,0.5147058823529411,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.0,0.0,0.6,0.6052631578947368,1,0
Nathan Wilson,1.0,1.0,0.0,0.05,0.6153846153846154,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.2,0.16666666666666666,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.125,0.2222222222222222,0.64,0.6666666666666666,0.7272727272727273,0.7391304347826086,0.66,0.6942446043165468,0.3333333333333333,0.3333333333333333,0.0,0.0,0.42857142857142855,0.2727272727272727,0.5,0.25,0.2,0.2,0.2,0.2,0.3333333333333333,0.4,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6857142857142857,0.6842105263157895,1,0
Thomas Sheridan,0.42857142857142855,0.42857142857142855,0.3157894736842105,0.35,0.38461538461538464,0.4666666666666667,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.1,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.3333333333333333,0.36,0.4074074074074074,0.4090909090909091,0.43478260869565216,0.44,0.49640287769784175,0.0,0.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.0,0.0,0.0,0.0,0.2,0.2,0.2222222222222222,0.3,0.3667296786389414,0.38419117647058826,1.0,1.0,0.2222222222222222,0.2222222222222222,0.5,0.3333333333333333,0.37142857142857144,0.39473684210526316,1,0
Matthew Taberner,0.47619047619047616,0.47619047619047616,0.21052631578947367,0.25,0.34615384615384615,0.43333333333333335,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.125,0.11904761904761904,0.11904761904761904,0.0,0.0,0.8333333333333334,0.8333333333333334,0.1,0.1,0.5,0.42857142857142855,0.0,0.0,1.0,0.6,0.0,0.0,0.375,0.4444444444444444,0.24,0.2962962962962963,0.3181818181818182,0.34782608695652173,0.28,0.3525179856115108,1.0,1.0,0.25,0.25,0.14285714285714285,0.09090909090909091,0.0,0.0,0.0,0.0,0.2,0.2,0.4444444444444444,0.5,0.6408317580340265,0.6507352941176471,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.3333333333333333,0.7714285714285715,0.7631578947368421,1,0
Bradley Hill,0.42857142857142855,0.42857142857142855,0.21052631578947367,0.25,0.3076923076923077,0.4,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125,0.125,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.2,0.0,0.0,0.0625,0.16666666666666666,0.44,0.48148148148148145,0.3181818181818182,0.34782608695652173,0.36,0.4244604316546763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.6030245746691871,0.6139705882352942,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.6857142857142857,0.6842105263157895,1,0
Michael Walters,0.42857142857142855,0.42857142857142855,0.15789473684210525,0.2,0.2692307692307692,0.36666666666666664,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.16666666666666666,0.14285714285714285,0.0,0.0,1.0,0.6,0.0,0.0,0.5,0.5555555555555556,0.12,0.18518518518518517,0.4090909090909091,0.43478260869565216,0.72,0.7482014388489209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.4,0.3333333333333333,0.4,0.22117202268431002,0.2426470588235294,0.0,0.0,0.1111111111111111,0.1111111111111111,0.5,0.3333333333333333,0.2571428571428571,0.2894736842105263,1,0
Luke Ryan,0.47619047619047616,0.47619047619047616,0.10526315789473684,0.15,0.2692307692307692,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1,0.1,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5,0.5,0.0,0.1111111111111111,0.4,0.4444444444444444,0.36363636363636365,0.391304347826087,0.6,0.6402877697841727,0.0,0.0,0.0,0.0,0.5714285714285714,0.36363636363636365,0.0,0.0,0.0,0.0,0.2,0.2,0.1111111111111111,0.2,0.499054820415879,0.5128676470588235,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.0,0.0,0.37142857142857144,0.39473684210526316,1,0
