Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Lachlan Hunter,1.0,1.0,0.3333333333333333,0.391304347826087,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.0,0.2857142857142857,0.2,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.7092198581560284,0.6756756756756755,0.0,0.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,1.0,1.0,0.16666666666666666,0.2857142857142857,0.5,0.5,0.0,0.0,0.7333333333333333,0.75,0.5,3
Luke Dahlhaus,0.05263157894736842,0.18181818181818182,1.0,1.0,0.8461538461538461,0.8571428571428571,0.3,0.4166666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,0.0,0.0,0.5,0.5,0.5714285714285714,0.5714285714285714,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.6363636363636364,0.68,0.782608695652174,0.782608695652174,0.5673758865248227,0.5405405405405405,0.5,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.5384615384615384,0.5384615384615384,0.13043478260869565,0.1721132897603486,0.3333333333333333,0.42857142857142855,0.3,0.3,0.0,0.0,0.2,0.25,0.5,0
Jackson Macrae,0.6842105263157895,0.7272727272727273,0.38095238095238093,0.43478260869565216,0.8076923076923077,0.8214285714285714,0.4,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,0.0,0.0,0.5,0.5,0.8571428571428571,0.8571428571428571,1.0,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.3,0.25,0.25,0.5,0.5,0.9,0.9,0.6818181818181818,0.72,0.7391304347826086,0.7391304347826086,0.5437352245862884,0.518018018018018,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.5,0.5,0.6153846153846154,0.6153846153846154,0.9862700228832952,0.9869281045751634,1.0,1.0,0.4,0.4,0.0,0.0,0.6333333333333333,0.65625,0.5,0
Caleb Daniel,0.3157894736842105,0.4090909090909091,0.5714285714285714,0.6086956521739131,0.6923076923076923,0.7142857142857143,0.5,0.5833333333333334,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.0,0.0,0.5,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.6,0.6,0.6818181818181818,0.72,0.6521739130434783,0.6521739130434783,0.5673758865248227,0.5405405405405405,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,0.016018306636155607,0.06318082788671024,0.16666666666666666,0.2857142857142857,0.9,0.9,0.0,0.0,0.4,0.4375,0.5,0
Bailey Williams,0.7368421052631579,0.7727272727272727,0.14285714285714285,0.21739130434782608,0.6538461538461539,0.6785714285714286,0.9,0.9166666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.2,0.2,0.16666666666666666,0.16666666666666666,1.0,0.7,0.0,0.0,0.0,0.0,0.4,0.4,0.5909090909090909,0.64,0.8260869565217391,0.8260869565217391,0.9929078014184398,0.9459459459459458,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.25,0.25,0.5384615384615384,0.5384615384615384,0.7986270022883295,0.8082788671023965,0.16666666666666666,0.2857142857142857,1.0,1.0,0.0,0.0,0.5333333333333333,0.5625,0.5,1
Toby McLean,0.42105263157894735,0.5,0.38095238095238093,0.43478260869565216,0.6153846153846154,0.6428571428571429,0.4,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.4,0.4,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.1,0.0,0.0,0.25,0.25,0.2,0.2,0.6818181818181818,0.72,0.6521739130434783,0.6521739130434783,0.7092198581560284,0.6756756756756755,0.0,0.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.6923076923076923,0.6923076923076923,0.7299771167048055,0.7429193899782135,0.6666666666666666,0.7142857142857143,0.3,0.3,0.0,0.0,0.3,0.34375,0.5,2
Matthew Suckling,0.42105263157894735,0.5,0.3333333333333333,0.391304347826087,0.5769230769230769,0.6071428571428571,0.5,0.5833333333333334,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2,0.2,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2,0.25,0.25,0.5,0.5,0.0,0.0,0.7272727272727273,0.76,0.6086956521739131,0.6086956521739131,0.6855791962174942,0.653153153153153,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.38461538461538464,0.38461538461538464,0.631578947368421,0.6492374727668845,0.5,0.5714285714285714,0.2,0.2,0.0,0.0,0.4,0.4375,0.5,0
Mitchell Wallis,0.2631578947368421,0.36363636363636365,0.38095238095238093,0.43478260869565216,0.5,0.5357142857142857,0.3,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.5,0.0,0.0,0.5,0.5,0.2857142857142857,0.2857142857142857,0.6,0.6,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.1,0.25,0.25,0.0,0.0,0.7,0.7,0.36363636363636365,0.44,0.5217391304347826,0.5217391304347826,0.6382978723404256,0.608108108108108,0.0,0.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.75,0.75,0.5384615384615384,0.5384615384615384,0.002288329519450801,0.05010893246187364,0.3333333333333333,0.42857142857142855,0.2,0.2,0.0,0.0,0.4666666666666667,0.5,0.5,0
Mitch Honeychurch,0.15789473684210525,0.2727272727272727,0.23809523809523808,0.30434782608695654,0.3076923076923077,0.35714285714285715,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.6,0.6,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.3,0.25,0.25,0.25,0.25,0.3,0.3,0.3181818181818182,0.4,0.391304347826087,0.391304347826087,0.756501182033097,0.7207207207207206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.38461538461538464,0.38461538461538464,0.2128146453089245,0.25054466230936817,0.0,0.14285714285714285,0.2,0.2,0.5,0.5,0.3,0.34375,0.5,0
Josh Dunkley,0.3157894736842105,0.4090909090909091,0.09523809523809523,0.17391304347826086,0.3076923076923077,0.35714285714285715,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.05263157894736842,0.030303030303030304,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2,0.2,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.2,0.36363636363636365,0.44,0.34782608695652173,0.34782608695652173,0.6146572104018913,0.5855855855855855,1.0,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.46153846153846156,0.46153846153846156,0.23569794050343248,0.27233115468409586,0.16666666666666666,0.2857142857142857,0.1,0.1,0.0,0.0,0.36666666666666664,0.40625,0.5,0
