Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Sebastian Ross,0.9411764705882353,1.0,0.5769230769230769,1.0,0.9642857142857143,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.25,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.5714285714285714,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,0.6111111111111112,1.0,1.0,1.0,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0.125,0.2,0.0,0.0,1.0,1.0,0.7142857142857143,0.8333333333333334,0.8461538461538461,1.0,0.8341158059467919,0.9064625850340136,0.125,0.125,0.5,0.5,0.5,0.5,0.8461538461538461,0.9166666666666666,0,Home,0,1.0,1.0,1.0,1.0,0.1111111111111111,0.125,0.8181818181818182,1.0,0.9090909090909091,0.9090909090909091
Jack Steven,0.7058823529411765,0.75,0.5,0.8571428571428571,0.75,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.375,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5714285714285714,0.5,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,1.0,1.0,0.2777777777777778,0.45454545454545453,0.8947368421052632,0.8947368421052632,0.7037037037037037,0.9047619047619048,0.0,0.0,0.0,0.0,0.375,0.6,0.6666666666666666,0.6666666666666666,0.6,0.6,0.2857142857142857,0.3333333333333333,0.38461538461538464,0.45454545454545453,0.92018779342723,1.0,0.625,0.625,0.125,0.125,0.5,0.5,0.6923076923076923,0.75,0,Home,0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.2222222222222222,0.25,0.18181818181818182,0.2222222222222222,0.5454545454545454,0.5454545454545454
Jack Newnes,0.6470588235294118,0.6875,0.38461538461538464,0.6428571428571429,0.6071428571428571,0.6296296296296297,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.3,0.3,0.5714285714285714,0.5,0.5,0.5,0.0,0.0,0.6666666666666667,0.6666666666666667,0.3888888888888889,0.6363636363636364,0.7368421052631579,0.7368421052631579,0.5185185185185185,0.6666666666666666,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.38461538461538464,0.45454545454545453,0.6525821596244131,0.7091836734693877,0.0,0.0,0.375,0.375,0.0,0.0,0.8461538461538461,0.9166666666666666,0,Home,0,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.0,0.0,0.36363636363636365,0.4444444444444444,0.6363636363636364,0.6363636363636364
Jack Steele,0.5294117647058824,0.5625,0.46153846153846156,0.7857142857142857,0.6071428571428571,0.6296296296296297,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.7777777777777778,0.875,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3,0.3,0.1,0.1,0.1428571428571429,0.0,0.5,0.5,0.25,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5454545454545454,0.6842105263157895,0.6842105263157895,0.5925925925925926,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.38461538461538464,0.45454545454545453,0.38028169014084506,0.413265306122449,0.375,0.375,0.5,0.5,0.0,0.0,0.46153846153846156,0.5,0,Home,0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.7777777777777778,0.875,0.36363636363636365,0.4444444444444444,0.45454545454545453,0.45454545454545453
Jimmy Webster,0.7058823529411765,0.75,0.3076923076923077,0.5,0.5714285714285714,0.5925925925925926,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.375,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.7142857142857143,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,1.0,0.05555555555555555,0.09090909090909091,0.8421052631578947,0.8421052631578947,0.6296296296296297,0.8095238095238095,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.8,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.23076923076923078,0.2727272727272727,0.7871674491392802,0.8554421768707483,0.25,0.25,0.875,0.875,0.0,0.0,0.8269230769230769,0.8958333333333334,0,Home,0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.3333333333333333,0.375,0.2727272727272727,0.3333333333333333,0.2727272727272727,0.2727272727272727
Jade Gresham,0.4117647058823529,0.4375,0.5,0.8571428571428571,0.5714285714285714,0.5925925925925926,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.375,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.7142857142857143,0.6666666666666667,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,1.0,1.0,0.4444444444444444,0.7272727272727273,0.5263157894736842,0.5263157894736842,0.3333333333333333,0.42857142857142855,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.6153846153846154,0.7272727272727273,0.4757433489827856,0.5170068027210885,0.625,0.625,0.125,0.125,0.5,0.5,0.6538461538461539,0.7083333333333334,0,Home,0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.2222222222222222,0.25,0.7272727272727273,0.8888888888888888,1.0,1.0
Maverick Weller,0.35294117647058826,0.375,0.5,0.8571428571428571,0.5357142857142857,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.5555555555555556,0.625,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.7142857142857143,0.6666666666666667,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.2777777777777778,0.45454545454545453,0.6842105263157895,0.6842105263157895,0.48148148148148145,0.6190476190476191,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.4,0.0,0.0,0.2,0.2,0.14285714285714285,0.16666666666666666,0.5384615384615384,0.6363636363636364,0.30985915492957744,0.336734693877551,0.875,0.875,0.375,0.375,1.0,1.0,0.6923076923076923,0.75,0,Home,0,0.5,0.5,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.375,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.5454545454545454
Luke Dunstan,0.47058823529411764,0.5,0.4230769230769231,0.7142857142857143,0.5357142857142857,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.7777777777777778,0.875,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.6,0.8571428571428572,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.75,1.0,1.0,1.0,0.5555555555555556,0.9090909090909091,0.5263157894736842,0.5263157894736842,0.5555555555555556,0.7142857142857143,0.0,0.0,0.0,0.0,0.375,0.6,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.23076923076923078,0.2727272727272727,0.2300469483568075,0.25,0.75,0.75,0.5,0.5,0.0,0.0,0.5769230769230769,0.625,0,Home,0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.7777777777777778,0.875,0.2727272727272727,0.3333333333333333,0.36363636363636365,0.36363636363636365
David Armitage,0.4117647058823529,0.4375,0.38461538461538464,0.6428571428571429,0.4642857142857143,0.48148148148148145,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.4285714285714286,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.16666666666666666,0.2727272727272727,0.5789473684210527,0.5789473684210527,0.37037037037037035,0.47619047619047616,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.5384615384615384,0.6363636363636364,0.622848200312989,0.6768707482993197,0.125,0.125,0.375,0.375,0.5,0.5,0.7692307692307693,0.8333333333333334,0,Home,0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.1111111111111111,0.125,0.6363636363636364,0.7777777777777778,0.6363636363636364,0.6363636363636364
Nicholas Coffield,0.47058823529411764,0.5,0.34615384615384615,0.5714285714285714,0.4642857142857143,0.48148148148148145,0.5,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.375,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.7142857142857143,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0,0.33333333333333337,0.33333333333333337,0.05555555555555555,0.09090909090909091,0.5789473684210527,0.5789473684210527,0.5925925925925926,0.7619047619047619,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.2727272727272727,0.29264475743348983,0.31802721088435376,0.75,0.75,1.0,1.0,0.0,0.0,0.7115384615384616,0.7708333333333334,0,Home,0,0.5,0.5,0.5714285714285714,0.5,0.3333333333333333,0.375,0.2727272727272727,0.3333333333333333,0.09090909090909091,0.09090909090909091
