Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Tom Rockliff,0.75,0.625,1.0,1.0,1.0,1.0,0.3333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.8571428571428571,0.8571428571428571,1.0,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,0.0,0.0,0.9230769230769231,0.8,1.0,0.7368421052631579,0.9285714285714286,0.8333333333333334,0.14285714285714285,0.2804428044280443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.0,0.4444444444444444,0.4444444444444444,0.5920679886685553,0.37924865831842575,0.2857142857142857,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2,0.2413793103448276,1,1
Justin Westhoff,0.9166666666666666,0.75,0.5625,0.5625,0.782608695652174,0.8,0.5555555555555556,0.5454545454545454,0.0,0.0,0.5,0.5,0.6666666666666666,0.5,0.05128205128205128,0.05128205128205128,0.0,0.0,0.5,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.25,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.0,0.0,0.9230769230769231,0.8,0.8461538461538461,0.631578947368421,1.0,0.8888888888888888,0.4725274725274725,0.5571955719557196,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.8,0.8,0.7777777777777778,0.7777777777777778,0.9518413597733711,0.6064400715563506,0.42857142857142855,0.375,0.25,0.25,0.0,0.0,0.6,0.5862068965517241,1,0
Oliver Wines,0.5833333333333334,0.5,0.8125,0.8125,0.782608695652174,0.8,0.1111111111111111,0.18181818181818182,0.0,0.0,0.5,0.5,0.7777777777777778,0.5833333333333334,0.0,0.0,0.5,0.5,1.0,0.8571428571428571,1.0,1.0,0.6666666666666666,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.8666666666666667,0.8461538461538461,0.631578947368421,0.7857142857142857,0.7222222222222222,0.23076923076923078,0.3542435424354244,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,0.5555555555555556,0.5555555555555556,0.7507082152974505,0.47942754919499103,0.8571428571428571,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.06896551724137931,1,0
Travis Boak,0.3333333333333333,0.3125,0.875,0.875,0.6956521739130435,0.72,0.1111111111111111,0.18181818181818182,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5555555555555556,0.4166666666666667,0.0,0.0,0.5,0.5,0.5,0.42857142857142855,0.5714285714285714,0.5714285714285714,1.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.9230769230769231,0.8,0.5384615384615384,0.42105263157894735,0.7142857142857143,0.6666666666666666,0.25274725274725274,0.37269372693726943,0.0,0.0,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.2,0.2,0.6,0.6,0.6666666666666666,0.6666666666666666,0.5779036827195467,0.370304114490161,1.0,0.875,0.25,0.25,0.3333333333333333,0.3333333333333333,0.2,0.2413793103448276,1,0
Brad Ebert,0.4166666666666667,0.375,0.8125,0.8125,0.6956521739130435,0.72,0.4444444444444444,0.45454545454545453,0.0,0.0,0.5,0.5,0.6666666666666666,0.5,0.0,0.0,0.5,0.5,0.8333333333333334,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.7692307692307693,0.6666666666666666,0.7692307692307693,0.5789473684210527,0.7142857142857143,0.6666666666666666,0.25274725274725274,0.37269372693726943,0.5,0.5,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.2,0.2,0.4,0.4,1.0,1.0,0.33994334277620397,0.22003577817531306,0.42857142857142855,0.375,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.12,0.1724137931034483,1,0
Jared Polec,0.75,0.625,0.5,0.5,0.6521739130434783,0.68,0.4444444444444444,0.45454545454545453,0.0,0.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.0,0.8333333333333334,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.125,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.38461538461538464,0.3333333333333333,0.9230769230769231,0.6842105263157895,0.7142857142857143,0.6666666666666666,0.31868131868131866,0.42804428044280446,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.4,0.4,0.5555555555555556,0.5555555555555556,0.9575070821529745,0.6100178890876565,0.2857142857142857,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.4,0.41379310344827586,1,0
Darcy B-Jones,1.0,0.8125,0.3125,0.3125,0.6521739130434783,0.68,0.6666666666666666,0.6363636363636364,0.0,0.0,0.0,0.0,0.5555555555555556,0.4166666666666667,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.375,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.46153846153846156,0.4,1.0,0.7368421052631579,0.7857142857142857,0.7222222222222222,0.4065934065934066,0.5018450184501845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.9235127478753541,0.5885509838998211,0.7142857142857143,0.625,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.52,0.5172413793103449,1,0
Thomas Jonas,0.75,0.625,0.375,0.375,0.5652173913043478,0.6,1.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.5,0.5384615384615384,0.4666666666666667,0.9230769230769231,0.6842105263157895,0.7857142857142857,0.7222222222222222,0.5824175824175825,0.6494464944649446,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.44192634560906513,0.2844364937388193,0.5714285714285714,0.5,1.0,1.0,0.0,0.0,0.76,0.7241379310344828,1,0
Sam Gray,0.5833333333333334,0.5,0.5,0.5,0.5652173913043478,0.6,0.2222222222222222,0.2727272727272727,0.16666666666666666,0.16666666666666666,1.0,1.0,0.1111111111111111,0.08333333333333333,0.0,0.0,1.0,1.0,0.6666666666666666,0.5714285714285714,0.2857142857142857,0.2857142857142857,1.0,0.5,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6923076923076923,0.6,0.7692307692307693,0.5789473684210527,0.5,0.5,0.14285714285714285,0.2804428044280443,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.8888888888888888,0.8888888888888888,0.6402266288951841,0.40966010733452596,0.7142857142857143,0.625,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.36,0.3793103448275862,1,0
Sam P-Pepper,0.25,0.25,0.75,0.75,0.5652173913043478,0.6,0.3333333333333333,0.36363636363636365,0.16666666666666666,0.16666666666666666,0.5,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.375,0.0,0.0,0.0,0.0,1.0,0.5,0.8461538461538461,0.7333333333333333,0.38461538461538464,0.3157894736842105,0.5714285714285714,0.5555555555555556,0.25274725274725274,0.37269372693726943,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.2,0.2,0.6,0.6,0.5555555555555556,0.5555555555555556,0.44192634560906513,0.2844364937388193,0.5714285714285714,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16,0.20689655172413793,1,0
