Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Stephen Coniglio,1.0,1.0,0.4666666666666667,0.5454545454545454,1.0,1.0,1.0,1.0,0.75,0.75,0.3333333333333333,0.5,0.7,0.7,0.0,0.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.875,0.875,0.375,0.375,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5882352941176471,0.6923076923076923,1.0,1.0,0.7619047619047619,0.7368421052631579,1.0,1.0,0.25,0.25,0.1,0.1,0.0,0.0,0.5,0.5,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8666666666666667,0.9454545454545454,1,Home,2,1.0,1.0,1.0,1.0,0.6,0.6,1.0,1.0,0.875,0.8666666666666667
Lachie Whitfield,0.7619047619047619,0.75,0.7333333333333333,0.9090909090909091,0.9615384615384616,0.96,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.625,0.625,0.75,0.75,0.625,0.8333333333333334,0.3333333333333333,0.3333333333333333,1.0,1.0,0.47058823529411764,0.5384615384615384,0.9,0.8947368421052632,0.9523809523809523,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,0.5714285714285714,0.6666666666666666,0.7,0.6666666666666666,0.8736998514115899,0.8626817447495961,0.5833333333333333,0.5833333333333333,0.4,0.4,0.0,0.0,0.8666666666666667,0.9454545454545454,1,Home,3,0.875,0.875,0.875,0.875,0.2,0.2,0.875,0.8571428571428571,0.5625,0.5333333333333333
Tim Taranto,0.8571428571428571,0.85,0.6,0.7272727272727273,0.9615384615384616,0.96,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,1.0,1.0,0.0,0.0,0.375,0.5,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.7058823529411765,0.8461538461538461,0.75,0.7368421052631579,0.6190476190476191,0.5789473684210527,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.5,0.5,0.8571428571428571,1.0,0.6,0.5555555555555556,0.8112927191679049,0.7948303715670436,0.0,0.0,0.1,0.1,0.0,0.0,0.7666666666666667,0.8363636363636363,1,Home,0,0.375,0.375,0.375,0.375,1.0,1.0,0.5,0.42857142857142855,1.0,1.0
Jacob Hopper,0.6666666666666666,0.65,0.7333333333333333,0.9090909090909091,0.8846153846153846,0.88,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0.3,0.3,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.75,0.875,0.875,0.375,0.5,1.0,1.0,1.0,1.0,0.8235294117647058,1.0,0.55,0.5263157894736842,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.0,1.0,0.2857142857142857,0.3333333333333333,0.7,0.6666666666666666,0.5839524517087668,0.5476575121163166,0.8333333333333334,0.8333333333333334,0.5,0.5,0.0,0.0,0.7166666666666667,0.7818181818181819,1,Home,0,0.75,0.75,0.75,0.75,0.3,0.3,0.875,0.8571428571428571,0.375,0.3333333333333333
Adam Tomlinson,0.5714285714285714,0.55,0.4666666666666667,0.5454545454545454,0.6538461538461539,0.64,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.1,0.1,0.125,0.125,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.47058823529411764,0.5384615384615384,0.6,0.5789473684210527,0.7142857142857143,0.6842105263157895,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5555555555555556,0.4710252600297177,0.42487883683360256,0.8333333333333334,0.8333333333333334,0.5,0.5,0.3333333333333333,0.3333333333333333,0.85,0.9272727272727272,1,Home,0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.42857142857142855,0.375,0.3333333333333333
Heath Shaw,0.6190476190476191,0.6,0.2,0.18181818181818182,0.5384615384615384,0.52,0.7777777777777778,0.7777777777777778,0.0,0.0,0.3333333333333333,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.375,0.5,0.0,0.0,0.6666666666666667,0.6666666666666667,0.11764705882352941,0.07692307692307693,0.6,0.5789473684210527,0.6190476190476191,0.5789473684210527,0.0,0.0,0.25,0.25,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.549777117384844,0.5105008077544426,0.6666666666666667,0.6666666666666667,0.2,0.2,0.0,0.0,0.85,0.9272727272727272,1,Home,0,0.875,0.875,0.75,0.75,0.1,0.1,0.5,0.42857142857142855,0.3125,0.26666666666666666
Zachary Williams,0.38095238095238093,0.35,0.4666666666666667,0.5454545454545454,0.5,0.48,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.875,0.875,0.625,0.8333333333333334,0.0,0.0,1.0,1.0,0.35294117647058826,0.38461538461538464,0.45,0.42105263157894735,0.6190476190476191,0.5789473684210527,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.25,0.25,0.0,0.0,0.4,0.3333333333333333,0.3135215453194651,0.25363489499192243,0.8333333333333334,0.8333333333333334,0.7,0.7,0.0,0.0,0.8,0.8727272727272727,1,Home,0,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0.42857142857142855,0.25,0.2
Brent Daniels,0.2857142857142857,0.25,0.5333333333333333,0.6363636363636364,0.46153846153846156,0.44,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.7,0.7,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.25,0.25,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.47058823529411764,0.5384615384615384,0.35,0.3157894736842105,0.47619047619047616,0.42105263157894735,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.6,0.5555555555555556,0.4101040118870728,0.35864297253634897,0.75,0.75,0.2,0.2,1.0,1.0,0.8333333333333334,0.9090909090909091,1,Home,0,0.25,0.25,0.125,0.125,0.4,0.4,0.625,0.5714285714285714,0.375,0.3333333333333333
Sam Taylor,0.09523809523809523,0.05,0.8,1.0,0.46153846153846156,0.44,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.47058823529411764,0.5384615384615384,0.35,0.3157894736842105,0.7142857142857143,0.6842105263157895,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.2362555720653789,0.16962843295638125,0.9166666666666666,0.9166666666666666,1.0,1.0,0.0,0.0,0.75,0.8181818181818182,1,Home,0,0.25,0.25,0.375,0.375,0.3,0.3,0.25,0.14285714285714285,0.0625,0.0
Matthew De Boer,0.09523809523809523,0.05,0.7333333333333333,0.9090909090909091,0.4230769230769231,0.4,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.6,0.6,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.125,0.125,0.75,0.75,0.125,0.16666666666666666,0.0,0.0,1.0,1.0,0.47058823529411764,0.5384615384615384,0.3,0.2631578947368421,0.42857142857142855,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.4444444444444444,0.28083209509658247,0.21809369951534732,1.0,1.0,0.2,0.2,0.6666666666666666,0.6666666666666666,0.7666666666666667,0.8363636363636363,1,Home,0,0.0,0.0,0.0,0.0,0.4,0.4,0.625,0.5714285714285714,0.375,0.3333333333333333
