Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Brad Crouch,1.0,1.0,0.6842105263157895,0.625,1.0,1.0,0.2222222222222222,0.2857142857142857,0.0,0.0,0.5,0.5,0.13333333333333333,0.15384615384615385,0.0,0.0,0.0,0.0,0.8,0.8,0.7272727272727273,0.8888888888888888,0.2857142857142857,0.16666666666666663,0.15384615384615385,0.4,0.0,0.0,0.6666666666666667,0.6666666666666667,0.42857142857142855,0.5625,0.9130434782608695,1.0,0.8695652173913043,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.6363636363636364,1.0,1.0,1.0,0.7542706964520368,1.0,0.6,0.5714285714285714,0.08333333333333333,0.08333333333333333,0.0,0.0,0.45161290322580644,0.34782608695652173,0,Home,0,0.2222222222222222,0.2857142857142857,0.1111111111111111,0.14285714285714285,0.13333333333333333,0.18181818181818182,1.0,1.0,1.0,1.0
Rory Sloane,0.625,0.6086956521739131,0.7894736842105263,0.75,0.8,0.7878787878787878,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5333333333333333,0.6153846153846154,0.0,0.0,0.0,0.0,1.0,1.0,0.8181818181818182,1.0,0.1428571428571429,0.0,0.07692307692307693,0.2,0.6666666666666666,0.6666666666666666,0.0,0.0,0.7142857142857143,0.9375,0.6521739130434783,0.7,0.8260869565217391,0.9473684210526315,0.0,0.0,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.5555555555555556,0.0,0.0,0.75,1.0,0.5454545454545454,0.8571428571428571,0.75,0.75,0.7056504599211564,0.930841121495327,0.30000000000000004,0.1428571428571429,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.5161290322580645,0.43478260869565216,0,Home,0,0.2222222222222222,0.2857142857142857,0.1111111111111111,0.14285714285714285,0.4666666666666667,0.6363636363636364,0.75,0.75,0.625,0.625
Cameron E-Yolmen,0.375,0.34782608695652173,1.0,1.0,0.7428571428571429,0.7272727272727273,0.5555555555555556,0.7142857142857143,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.7692307692307693,0.0,0.0,0.0,0.0,0.1,0.1,0.7272727272727273,0.8888888888888888,0.7142857142857143,0.6666666666666667,0.3076923076923077,0.8,0.0,0.0,1.0,1.0,0.7619047619047619,1.0,0.5217391304347826,0.55,0.7391304347826086,0.8421052631578947,0.0,0.0,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.5555555555555556,0.0,0.0,0.5,0.6666666666666666,0.5454545454545454,0.8571428571428571,1.0,1.0,0.3416557161629435,0.4130841121495327,0.6,0.5714285714285714,0.25,0.25,1.0,1.0,0.5161290322580645,0.43478260869565216,0,Home,2,0.5555555555555556,0.7142857142857143,0.4444444444444444,0.5714285714285714,0.4666666666666667,0.6363636363636364,1.0,1.0,0.625,0.625
Rory Laird,0.5833333333333334,0.5652173913043478,0.631578947368421,0.5625,0.6857142857142857,0.6666666666666666,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.2,0.23076923076923078,0.0,0.0,0.0,0.0,0.1,0.1,0.18181818181818182,0.2222222222222222,0.8571428571428572,0.8333333333333334,0.3076923076923077,0.8,0.3333333333333333,0.3333333333333333,1.0,1.0,0.23809523809523808,0.3125,0.8695652173913043,0.95,0.8695652173913043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.25,0.25,0.45992115637319314,0.5813084112149532,0.6,0.5714285714285714,0.5833333333333334,0.5833333333333334,0.0,0.0,0.6774193548387096,0.6521739130434783,0,Home,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.2,0.2727272727272727,0.25,0.25,0.3125,0.3125
Hugh Greenwood,0.4166666666666667,0.391304347826087,0.631578947368421,0.5625,0.5714285714285714,0.5454545454545454,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.8666666666666667,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6363636363636364,0.7777777777777778,0.4285714285714286,0.33333333333333337,0.07692307692307693,0.2,1.0,1.0,0.33333333333333337,0.33333333333333337,0.7619047619047619,1.0,0.30434782608695654,0.3,0.6086956521739131,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.36363636363636365,0.5714285714285714,0.375,0.375,0.3955321944809461,0.4897196261682243,0.8,0.8571428571428572,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.2903225806451613,0.13043478260869565,0,Home,0,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.7333333333333333,1.0,0.375,0.375,0.4375,0.4375
Brodie Smith,0.5416666666666666,0.5217391304347826,0.3684210526315789,0.25,0.5142857142857142,0.48484848484848486,0.4444444444444444,0.5714285714285714,0.0,0.0,0.5,0.5,0.13333333333333333,0.15384615384615385,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.2857142857142857,0.16666666666666663,0.38461538461538464,1.0,0.0,0.0,1.0,1.0,0.19047619047619047,0.25,0.5652173913043478,0.6,0.5652173913043478,0.631578947368421,0.5,0.5,0.0,0.0,0.09090909090909091,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.6649145860709592,0.8728971962616823,0.19999999999999996,0.0,0.4166666666666667,0.4166666666666667,0.0,0.0,0.6129032258064516,0.5652173913043478,0,Home,0,0.3333333333333333,0.42857142857142855,0.4444444444444444,0.5714285714285714,0.13333333333333333,0.18181818181818182,0.25,0.25,0.375,0.375
Rory Atkins,0.5416666666666666,0.5217391304347826,0.2631578947368421,0.125,0.45714285714285713,0.42424242424242425,0.7777777777777778,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.09090909090909091,0.1111111111111111,0.4285714285714286,0.33333333333333337,0.15384615384615385,0.4,0.0,0.0,0.33333333333333337,0.33333333333333337,0.19047619047619047,0.25,0.6086956521739131,0.65,0.4782608695652174,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.5,0.5,0.5821287779237845,0.7551401869158878,0.6,0.5714285714285714,0.25,0.25,0.0,0.0,0.8064516129032258,0.8260869565217391,0,Home,0,0.7777777777777778,1.0,0.7777777777777778,1.0,0.0,0.0,0.5,0.5,0.375,0.375
Jake Kelly,0.4166666666666667,0.391304347826087,0.3684210526315789,0.25,0.42857142857142855,0.3939393939393939,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.2,0.23076923076923078,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.0,0.8571428571428572,0.8333333333333334,0.15384615384615385,0.4,0.3333333333333333,0.3333333333333333,1.0,1.0,0.47619047619047616,0.625,0.34782608695652173,0.35,0.6086956521739131,0.6842105263157895,0.0,0.0,0.0,0.0,0.45454545454545453,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.18528252299605782,0.19065420560747665,0.7,0.7142857142857143,1.0,1.0,0.0,0.0,0.5806451612903226,0.5217391304347826,0,Home,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.2,0.2727272727272727,0.625,0.625,0.125,0.125
Eddie Betts,0.4166666666666667,0.391304347826087,0.2631578947368421,0.125,0.37142857142857144,0.3333333333333333,0.4444444444444444,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.5,0.06666666666666667,0.07692307692307693,0.0,0.0,1.0,1.0,0.1,0.1,0.2727272727272727,0.3333333333333333,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4375,0.30434782608695654,0.3,0.30434782608695654,0.3157894736842105,0.5,0.5,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.1111111111111111,0.0,0.0,0.0,0.0,0.2727272727272727,0.42857142857142855,0.625,0.625,0.3442838370565046,0.41682242990654206,0.5,0.4285714285714286,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5806451612903226,0.5217391304347826,0,Home,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.0,0.0,0.5,0.5,0.4375,0.4375
Riley Knight,0.2916666666666667,0.2608695652173913,0.42105263157894735,0.3125,0.37142857142857144,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.0,0.0,0.5,0.5,0.4,0.46153846153846156,0.0,0.0,0.0,0.0,0.2,0.2,0.09090909090909091,0.1111111111111111,0.8571428571428572,0.8333333333333334,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.19047619047619047,0.25,0.4782608695652174,0.5,0.30434782608695654,0.3157894736842105,0.0,0.0,0.0,0.0,0.09090909090909091,0.1111111111111111,0.0,0.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.25,0.25,0.240473061760841,0.2691588785046729,0.6,0.5714285714285714,0.25,0.25,0.6666666666666666,0.6666666666666666,0.3548387096774194,0.21739130434782608,0,Home,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.26666666666666666,0.36363636363636365,0.25,0.25,0.4375,0.4375
Wayne Milera,0.4166666666666667,0.391304347826087,0.21052631578947367,0.0625,0.34285714285714286,0.30303030303030304,0.4444444444444444,0.5714285714285714,1.0,1.0,0.0,0.0,0.26666666666666666,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.2222222222222222,0.5714285714285714,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.2857142857142857,0.375,0.391304347826087,0.4,0.43478260869565216,0.47368421052631576,0.5,0.5,1.0,1.0,0.09090909090909091,0.1111111111111111,0.0,0.0,0.0,0.0,0.18181818181818182,0.2857142857142857,0.625,0.625,0.29172141918528255,0.34205607476635513,0.7,0.7142857142857143,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.6666666666666666,0.5483870967741935,0.4782608695652174,0,Home,0,0.3333333333333333,0.42857142857142855,0.1111111111111111,0.14285714285714285,0.13333333333333333,0.18181818181818182,0.625,0.625,0.1875,0.1875
Alex Keath,0.20833333333333334,0.17391304347826086,0.3684210526315789,0.25,0.2857142857142857,0.24242424242424243,0.2222222222222222,0.2857142857142857,0.0,0.0,0.0,0.0,0.13333333333333333,0.15384615384615385,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.8571428571428572,0.8333333333333334,0.07692307692307693,0.2,0.0,0.0,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.4375,0.17391304347826086,0.15,0.30434782608695654,0.3157894736842105,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12483574244415244,0.10467289719626169,0.8,0.8571428571428572,0.75,0.75,0.0,0.0,0.8387096774193549,0.8695652173913043,0,Home,0,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.13333333333333333,0.18181818181818182,0.0,0.0,0.25,0.25
