Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Jade Gresham,0.8,1.0,0.7647058823529411,0.7647058823529411,1.0,1.0,0.625,0.7142857142857143,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.25,0.14285714285714285,0.25,0.5,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.8333333333333334,0.8823529411764706,0.8823529411764706,0.9473684210526315,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.7777777777777778,0.75,0.7061611374407583,0.8186813186813187,0.33333333333333337,0.19999999999999996,0.07692307692307693,0.07692307692307693,0.0,0.0,0.4857142857142857,0.5,1,Home,3,0.625,0.7142857142857143,0.5,0.5714285714285714,0.25,0.25,0.4444444444444444,0.375,0.7272727272727273,0.7272727272727273
Jack Steele,0.4666666666666667,0.5454545454545454,1.0,1.0,0.9583333333333334,0.9583333333333334,0.5,0.5714285714285714,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.25,0.14285714285714285,0.25,0.25,0.25,0.6666666666666667,0.6666666666666667,0.5,0.5833333333333334,1.0,1.0,0.7368421052631579,0.7777777777777778,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.2,0.42857142857142855,0.42857142857142855,1.0,1.0,0.4194312796208531,0.48626373626373626,0.5,0.4,0.07692307692307693,0.07692307692307693,1.0,1.0,0.5142857142857142,0.53125,1,Home,1,0.5,0.5714285714285714,0.375,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0
Sebastian Ross,0.8,1.0,0.29411764705882354,0.29411764705882354,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.125,0.125,0.75,0.75,0.42857142857142855,0.75,0.0,0.0,0.6666666666666667,0.6666666666666667,0.16666666666666666,0.08333333333333333,0.8235294117647058,0.8235294117647058,0.631578947368421,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.3333333333333333,0.25,0.7393364928909952,0.8571428571428571,0.16666666666666663,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.4857142857142857,0.5,1,Home,0,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5,0.5,0.3333333333333333,0.25,0.5454545454545454,0.5454545454545454
Shane Savage,0.6666666666666666,0.8181818181818182,0.35294117647058826,0.35294117647058826,0.625,0.625,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.375,0.375,0.5,0.25,0.42857142857142855,0.75,0.25,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6470588235294118,0.6470588235294118,0.5263157894736842,0.5555555555555556,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.5555555555555556,0.5,0.8625592417061612,1.0,0.33333333333333337,0.19999999999999996,0.23076923076923078,0.23076923076923078,0.0,0.0,0.6285714285714286,0.65625,1,Home,0,0.0,0.0,0.0,0.0,0.125,0.125,0.5555555555555556,0.5,0.6363636363636364,0.6363636363636364
Luke Dunstan,0.4666666666666667,0.5454545454545454,0.5294117647058824,0.5294117647058824,0.625,0.625,0.375,0.42857142857142855,0.5,0.5,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.875,1.0,0.0,0.0,1.0,1.0,0.6666666666666667,0.6666666666666667,0.7777777777777778,1.0,0.4117647058823529,0.4117647058823529,0.7368421052631579,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.0,0.7777777777777778,0.75,0.6066350710900474,0.7032967032967034,0.6666666666666667,0.6,0.0,0.0,0.0,0.0,0.2857142857142857,0.28125,1,Home,0,0.375,0.42857142857142855,0.375,0.42857142857142855,0.5,0.5,0.7777777777777778,0.75,0.2727272727272727,0.2727272727272727
Blake Acres,0.5333333333333333,0.6363636363636364,0.47058823529411764,0.47058823529411764,0.625,0.625,0.625,0.7142857142857143,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.25,0.875,1.0,0.42857142857142855,0.75,0.5,0.5,1.0,1.0,0.4444444444444444,0.5,0.6470588235294118,0.6470588235294118,0.6842105263157895,0.7222222222222222,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.5555555555555556,0.5,0.22511848341232227,0.260989010989011,0.5,0.4,0.23076923076923078,0.23076923076923078,0.0,0.0,0.3142857142857143,0.3125,1,Home,0,0.625,0.7142857142857143,0.625,0.7142857142857143,0.625,0.625,0.5555555555555556,0.5,0.36363636363636365,0.36363636363636365
Jack Billings,0.4,0.45454545454545453,0.5294117647058824,0.5294117647058824,0.5833333333333334,0.5833333333333334,0.625,0.7142857142857143,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125,0.125,0.875,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5882352941176471,0.5882352941176471,0.6842105263157895,0.7222222222222222,0.2,0.2,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5555555555555556,0.5,0.3009478672985782,0.3489010989010989,0.8333333333333334,0.8,0.23076923076923078,0.23076923076923078,0.0,0.0,0.7714285714285715,0.8125,1,Home,0,0.5,0.5714285714285714,0.5,0.5714285714285714,0.0,0.0,0.5555555555555556,0.5,0.2727272727272727,0.2727272727272727
Callum Wilkie,0.4666666666666667,0.5454545454545454,0.47058823529411764,0.47058823529411764,0.5833333333333334,0.5833333333333334,0.625,0.7142857142857143,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.75,0.75,0.2857142857142857,0.5,0.0,0.0,0.33333333333333337,0.33333333333333337,0.2777777777777778,0.25,0.47058823529411764,0.47058823529411764,0.7894736842105263,0.8333333333333334,0.2,0.2,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.125,0.54739336492891,0.6346153846153846,0.5,0.4,0.5384615384615384,0.5384615384615384,0.0,0.0,0.9428571428571428,1.0,1,Home,0,0.5,0.5714285714285714,0.625,0.7142857142857143,0.25,0.25,0.2222222222222222,0.125,0.09090909090909091,0.09090909090909091
Josh Battle,0.6,0.7272727272727273,0.11764705882352941,0.11764705882352941,0.4166666666666667,0.4166666666666667,0.875,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.875,1.0,0.42857142857142855,0.75,0.25,0.25,0.6666666666666667,0.6666666666666667,0.1111111111111111,0.0,0.47058823529411764,0.47058823529411764,0.5789473684210527,0.6111111111111112,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5947867298578199,0.6895604395604396,1.0,1.0,0.46153846153846156,0.46153846153846156,0.0,0.0,0.4857142857142857,0.5,1,Home,0,0.875,1.0,0.875,1.0,0.375,0.375,0.3333333333333333,0.25,0.09090909090909091,0.09090909090909091
Dean Kent,0.5333333333333333,0.6363636363636364,0.11764705882352941,0.11764705882352941,0.375,0.375,0.375,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,0.875,1.0,0.14285714285714285,0.25,0.25,0.25,0.6666666666666667,0.6666666666666667,0.3888888888888889,0.4166666666666667,0.23529411764705882,0.23529411764705882,0.47368421052631576,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.6990521327014217,0.8104395604395604,0.8333333333333334,0.8,0.23076923076923078,0.23076923076923078,0.0,0.0,0.2857142857142857,0.28125,1,Home,0,0.375,0.42857142857142855,0.25,0.2857142857142857,0.0,0.0,0.3333333333333333,0.25,0.18181818181818182,0.18181818181818182
