Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Patrick Cripps,0.7619047619047619,0.7619047619047619,1.0,1.0,1.0,1.0,0.5833333333333334,0.5833333333333334,1.0,1.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8631578947368421,0.7620817843866171,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2222222222222222,0.2,0.0,0.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.8011583011583011,0.6666666666666666,0.7142857142857143,0.3,0.3,0.5,0.3333333333333333,0.96,0.9629629629629629,1,3
Sam Walsh,1.0,1.0,0.3888888888888889,0.45,0.8,0.8181818181818182,1.0,1.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.75,0.75,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.7727272727272727,0.782608695652174,0.8148148148148148,0.8214285714285714,0.8631578947368421,0.7620817843866171,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.5555555555555556,0.5555555555555556,0.7012048192771084,0.5617760617760618,1.0,1.0,0.5,0.5,0.0,0.0,0.64,0.6666666666666666,1,2
Edward Curnow,0.5238095238095238,0.5238095238095238,0.8333333333333334,0.85,0.7333333333333333,0.7575757575757576,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.7142857142857143,0.7142857142857143,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6521739130434783,0.6296296296296297,0.6428571428571429,0.631578947368421,0.5576208178438662,0.0,0.0,0.0,0.0,0.1111111111111111,0.1,0.0,0.0,1.0,1.0,0.8,0.8,0.7777777777777778,0.7777777777777778,0.8843373493975903,0.7084942084942085,0.6666666666666666,0.7142857142857143,0.4,0.4,0.0,0.0,0.56,0.5925925925925926,1,0
Zac Fisher,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.8,0.5666666666666667,0.6060606060606061,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.375,0.375,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5652173913043478,0.48148148148148145,0.5,0.5894736842105263,0.5204460966542751,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.4,0.4,0.4444444444444444,0.4444444444444444,0.39759036144578314,0.3185328185328185,0.8333333333333334,0.8571428571428571,0.3,0.3,0.0,0.0,0.08,0.14814814814814814,1,0
Sam P-Seton,0.5714285714285714,0.5714285714285714,0.4444444444444444,0.5,0.5333333333333333,0.5757575757575758,0.5833333333333334,0.5833333333333334,0.0,0.0,0.5,0.5,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.125,0.125,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.5333333333333333,0.6363636363636364,0.6521739130434783,0.4444444444444444,0.4642857142857143,0.5473684210526316,0.483271375464684,0.0,0.0,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.5555555555555556,0.5555555555555556,0.763855421686747,0.611969111969112,0.6666666666666666,0.7142857142857143,0.3,0.3,0.5,0.3333333333333333,0.24,0.2962962962962963,1,0
Michael Gibbons,0.42857142857142855,0.42857142857142855,0.5555555555555556,0.6,0.5,0.5454545454545454,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.375,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5454545454545454,0.5652173913043478,0.4074074074074074,0.42857142857142855,0.5263157894736842,0.4646840148698885,0.0,0.0,0.0,0.0,0.2222222222222222,0.2,0.0,0.0,0.0,0.0,0.6,0.6,0.6666666666666666,0.6666666666666666,0.7710843373493976,0.6177606177606177,0.5,0.5714285714285714,0.2,0.2,0.0,0.0,0.68,0.7037037037037037,1,0
Will Setterfield,0.47619047619047616,0.47619047619047616,0.2222222222222222,0.3,0.3333333333333333,0.3939393939393939,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,0.42857142857142855,0.42857142857142855,0.125,0.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,0.0,0.0,0.2,0.2,0.6818181818181818,0.6956521739130435,0.14814814814814814,0.17857142857142858,0.08421052631578947,0.07434944237918216,0.0,0.0,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.6666666666666666,0.6666666666666666,0.744578313253012,0.5965250965250966,0.5,0.5714285714285714,0.1,0.1,1.0,0.6666666666666666,0.56,0.5925925925925926,1,0
Kade Simpson,0.47619047619047616,0.47619047619047616,0.1111111111111111,0.2,0.26666666666666666,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5454545454545454,0.5652173913043478,0.25925925925925924,0.2857142857142857,0.5894736842105263,0.5204460966542751,0.0,0.0,0.0,0.0,0.2222222222222222,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.6072289156626506,0.4864864864864865,0.16666666666666666,0.2857142857142857,0.3,0.3,0.0,0.0,0.56,0.5925925925925926,1,0
Dale Thomas,0.38095238095238093,0.38095238095238093,0.2222222222222222,0.3,0.26666666666666666,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.45454545454545453,0.4782608695652174,0.37037037037037035,0.39285714285714285,0.9894736842105263,0.8736059479553904,0.0,0.0,0.0,0.0,0.4444444444444444,0.4,0.25,0.25,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2987951807228916,0.23938223938223938,0.0,0.14285714285714285,0.3,0.3,0.0,0.0,0.16,0.2222222222222222,1,0
Jacob Weitering,0.47619047619047616,0.47619047619047616,0.1111111111111111,0.2,0.26666666666666666,0.3333333333333333,0.75,0.75,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,0.25,0.0,0.0,0.4666666666666667,0.4666666666666667,0.2727272727272727,0.30434782608695654,0.3333333333333333,0.35714285714285715,0.8631578947368421,0.7620817843866171,1.0,1.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36626506024096384,0.29343629343629346,0.16666666666666666,0.2857142857142857,1.0,1.0,0.0,0.0,0.96,0.9629629629629629,1,1
