Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Nathan Fyfe,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,1.0,0.7,1.0,1.0,1.0,0.1428571428571429,0.0,0.2857142857142857,0.2857142857142857,0.6,0.6,0.6666666666666667,0.33333333333333337,1.0,1.0,0.7391304347826086,0.6842105263157895,1.0,1.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.6,0.6,1.0,1.0,1.0,1.0,0.6152450090744102,0.6174863387978142,0.36363636363636365,0.36363636363636365,0.3076923076923077,0.25,0.0,0.0,0.7027027027027027,0.7027027027027027,1,Home,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.2857142857142857,0.2857142857142857,0.8181818181818182,0.8181818181818182,0.5333333333333333,0.5333333333333333
Bradley Hill,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7741935483870968,0.7307692307692307,0.18181818181818182,0.18181818181818182,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,0.5,0.5,0.7142857142857143,0.1,0.1,0.4285714285714286,0.33333333333333337,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.44,0.44,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7272727272727273,0.7,0.852994555353902,0.8561020036429873,0.0,0.0,0.15384615384615385,0.08333333333333333,0.0,0.0,0.5945945945945946,0.5945945945945946,1,Home,0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.125,0.14285714285714285,0.14285714285714285,0.6363636363636364,0.6363636363636364,1.0,1.0
Ed Langdon,0.42857142857142855,0.42857142857142855,0.7619047619047619,0.7619047619047619,0.6774193548387096,0.6153846153846154,0.36363636363636365,0.36363636363636365,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,0.5,0.2,0.2857142857142857,0.1,0.1,0.7142857142857143,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.8260869565217391,0.7894736842105263,0.68,0.68,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.3333333333333333,0.3333333333333333,0.2,0.2,0.0,0.0,0.6363636363636364,0.6,0.5789473684210527,0.581056466302368,0.6363636363636364,0.6363636363636364,0.23076923076923078,0.16666666666666666,0.0,0.0,0.7027027027027027,0.7027027027027027,1,Home,0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.2857142857142857,0.2857142857142857,0.5454545454545454,0.5454545454545454,0.4,0.4
Michael Walters,0.8571428571428571,0.8571428571428571,0.23809523809523808,0.23809523809523808,0.6129032258064516,0.5384615384615384,0.5454545454545454,0.5454545454545454,1.0,1.0,0.5,0.5,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.5,0.7142857142857143,0.5,0.5,0.8571428571428572,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.6666666666666667,0.47619047619047616,0.47619047619047616,0.5652173913043478,0.47368421052631576,0.56,0.56,0.3333333333333333,0.5,1.0,1.0,0.07692307692307693,0.07692307692307693,1.0,1.0,0.2,0.2,0.5714285714285714,0.5714285714285714,1.0,1.0,0.9963702359346642,1.0,0.8181818181818181,0.8181818181818181,0.38461538461538464,0.3333333333333333,0.5,0.5,0.6216216216216216,0.6216216216216216,1,Home,3,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.375,0.42857142857142855,0.42857142857142855,1.0,1.0,0.4666666666666667,0.4666666666666667
Griffin Logue,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5806451612903226,0.5,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.2,0.2857142857142857,0.0,0.0,0.7142857142857143,0.6666666666666667,0.7142857142857143,0.7142857142857143,0.6,0.6,1.0,1.0,0.42857142857142855,0.42857142857142855,0.5217391304347826,0.42105263157894735,0.48,0.48,0.6666666666666666,1.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.3,0.5916515426497277,0.5938069216757741,0.6363636363636364,0.6363636363636364,1.0,1.0,0.0,0.0,0.6756756756756757,0.6756756756756757,1,Home,0,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,0.42857142857142855,0.42857142857142855,0.36363636363636365,0.36363636363636365,0.5333333333333333,0.5333333333333333
David Mundy,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.42857142857142855,0.4838709677419355,0.38461538461538464,0.18181818181818182,0.18181818181818182,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.4,0.5714285714285714,0.5,0.5,0.7142857142857143,0.6666666666666667,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,1.0,0.38095238095238093,0.38095238095238093,0.5652173913043478,0.47368421052631576,0.32,0.32,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,1.0,1.0,0.0,0.0,0.8181818181818182,0.8,0.6987295825771325,0.7012750455373407,0.8181818181818181,0.8181818181818181,0.15384615384615385,0.08333333333333333,0.0,0.0,0.40540540540540543,0.40540540540540543,1,Home,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25,0.42857142857142855,0.42857142857142855,0.8181818181818182,0.8181818181818182,0.6,0.6
Connor Blakely,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.4838709677419355,0.38461538461538464,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.3,0.42857142857142855,0.1,0.1,0.5714285714285714,0.5,0.42857142857142855,0.42857142857142855,0.4,0.4,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5652173913043478,0.47368421052631576,0.48,0.48,0.3333333333333333,0.5,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5454545454545454,0.5,0.7803992740471869,0.7832422586520947,0.6363636363636364,0.6363636363636364,0.6153846153846154,0.5833333333333334,0.0,0.0,0.6486486486486487,0.6486486486486487,1,Home,0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.25,0.14285714285714285,0.14285714285714285,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.3333333333333333
Darcy Tucker,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.45161290322580644,0.34615384615384615,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5,0.5,0.7,1.0,0.5,0.5,0.1428571428571429,0.0,0.0,0.0,0.6,0.6,0.8333333333333334,0.6666666666666667,0.42857142857142855,0.42857142857142855,0.43478260869565216,0.3157894736842105,0.32,0.32,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.2,0.2,0.5714285714285714,0.5714285714285714,0.45454545454545453,0.4,0.5027223230490018,0.5045537340619308,0.36363636363636365,0.36363636363636365,0.23076923076923078,0.16666666666666666,0.0,0.0,0.3783783783783784,0.3783783783783784,1,Home,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25,0.42857142857142855,0.42857142857142855,0.36363636363636365,0.36363636363636365,0.5333333333333333,0.5333333333333333
Reece Conca,0.47619047619047616,0.47619047619047616,0.3333333333333333,0.3333333333333333,0.41935483870967744,0.3076923076923077,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.2,0.2857142857142857,1.0,1.0,0.5714285714285714,0.5,0.42857142857142855,0.42857142857142855,0.0,0.0,0.6666666666666667,0.33333333333333337,0.47619047619047616,0.47619047619047616,0.2608695652173913,0.10526315789473684,0.24,0.24,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.8,0.8,0.8571428571428571,0.8571428571428571,0.36363636363636365,0.3,0.7386569872958257,0.7413479052823315,0.6363636363636364,0.6363636363636364,0.15384615384615385,0.08333333333333333,0.5,0.5,0.1891891891891892,0.1891891891891892,1,Home,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25,0.42857142857142855,0.42857142857142855,0.36363636363636365,0.36363636363636365,0.6,0.6
Jesse Hogan,0.47619047619047616,0.47619047619047616,0.23809523809523808,0.23809523809523808,0.3548387096774194,0.23076923076923078,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8333333333333334,0.0,0.0,0.4,0.4,1.0,1.0,0.14285714285714285,0.14285714285714285,0.5217391304347826,0.42105263157894735,0.32,0.32,0.6666666666666666,1.0,1.0,1.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.6,0.33030852994555354,0.331511839708561,0.7272727272727273,0.7272727272727273,0.07692307692307693,0.0,0.0,0.0,0.8648648648648649,0.8648648648648649,1,Home,0,1.0,1.0,0.8888888888888888,1.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.3333333333333333,0.3333333333333333
