Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
David Swallow,0.8333333333333334,0.8421052631578947,0.631578947368421,0.631578947368421,1.0,0.9259259259259259,0.8888888888888888,0.8,0.0,0.0,0.5,0.5,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.6,1.0,1.0,0.14285714285714285,0.14285714285714285,0.25,0.25,0.0,0.0,1.0,1.0,0.6428571428571429,0.6666666666666666,0.7058823529411765,0.7058823529411765,-0.012396694214876063,0.10091743119266056,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.1111111111111111,0.1111111111111111,0.0,0.0,0.6666666666666666,0.6666666666666666,0.8,0.5,0.8333333333333334,0.5,0.7371134020618557,0.7671232876712328,1.0,1.0,0.5555555555555556,0.5555555555555556,0.25,0.25,0.391304347826087,0.5945945945945946,0,2
Anthony Miles,1.0,1.0,0.2631578947368421,0.2631578947368421,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7,0.5,0.3333333333333333,1.0,1.0,0.8571428571428571,0.5454545454545454,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.375,0.3,0.5,0.5,0.14285714285714285,0.14285714285714285,0.75,0.75,0.5,0.2,0.4666666666666667,0.4666666666666667,1.0,0.9444444444444444,0.8823529411764706,0.8823529411764706,0.3801652892561983,0.44954128440366975,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.375,0.8333333333333334,0.5,0.7422680412371134,0.771689497716895,0.6,0.6,0.2222222222222222,0.2222222222222222,0.5,0.5,0.34782608695652173,0.5675675675675675,0,0
Lachlan Weller,0.6111111111111112,0.631578947368421,0.631578947368421,0.631578947368421,0.8333333333333334,0.7777777777777778,0.2222222222222222,0.2,0.0,0.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.375,0.3,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.6428571428571429,0.6666666666666666,1.0,1.0,0.5247933884297521,0.5779816513761468,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0,1.0,0.0,0.0,0.6,0.375,0.3333333333333333,0.2,1.0,1.0,0.7,0.7,0.7777777777777778,0.7777777777777778,0.0,0.0,0.7391304347826086,0.8108108108108109,0,0
Will Brodie,0.05555555555555555,0.10526315789473684,1.0,1.0,0.7083333333333334,0.6666666666666666,0.2222222222222222,0.2,0.0,0.0,0.0,0.0,0.42857142857142855,0.2727272727272727,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.8,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.2,0.8666666666666667,0.8666666666666667,0.42857142857142855,0.5,0.8823529411764706,0.8823529411764706,0.5661157024793388,0.6146788990825688,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,1.0,1.0,0.625,1.0,0.6,0.0,0.1141552511415525,0.2,0.2,0.0,0.0,0.25,0.25,0.13043478260869565,0.43243243243243246,0,0
Brayden Fiorini,0.3333333333333333,0.3684210526315789,0.631578947368421,0.631578947368421,0.625,0.5925925925925926,0.3333333333333333,0.3,0.0,0.0,0.5,0.5,0.8571428571428571,0.5454545454545454,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.125,0.1,0.5,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,0.2,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7222222222222222,0.7058823529411765,0.7058823529411765,0.4214876033057851,0.48623853211009177,0.0,0.0,0.3333333333333333,0.2,0.2222222222222222,0.2222222222222222,0.25,0.25,0.0,0.0,0.2,0.125,0.16666666666666666,0.1,0.3075601374570447,0.3866057838660578,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.34782608695652173,0.5675675675675675,0,0
Corey Ellis,0.3888888888888889,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.5,0.48148148148148145,0.5555555555555556,0.5,0.0,0.0,0.5,0.5,0.14285714285714285,0.09090909090909091,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.125,0.1,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.4,0.4,0.5714285714285714,0.6111111111111112,0.5294117647058824,0.5294117647058824,0.33884297520661155,0.41284403669724773,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.2,0.125,0.5,0.3,0.31958762886597936,0.3972602739726027,0.3,0.3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.13043478260869565,0.43243243243243246,0,0
Jarrod Harbrow,0.6111111111111112,0.631578947368421,0.15789473684210525,0.15789473684210525,0.4583333333333333,0.4444444444444444,0.3333333333333333,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.25,0.2,0.16666666666666666,0.16666666666666666,0.7142857142857143,0.7142857142857143,0.5,0.5,0.5,0.2,0.5333333333333333,0.5333333333333333,0.21428571428571427,0.3333333333333333,0.7058823529411765,0.7058823529411765,0.7520661157024793,0.7798165137614679,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.4,0.25,0.16666666666666666,0.1,0.5996563573883161,0.6453576864535768,0.5,0.5,0.7777777777777778,0.7777777777777778,0.0,0.0,0.782608695652174,0.8378378378378378,0,0
Jack Martin,0.2777777777777778,0.3157894736842105,0.47368421052631576,0.47368421052631576,0.4583333333333333,0.4444444444444444,0.4444444444444444,0.4,0.5,0.3333333333333333,0.0,0.0,1.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.25,0.2,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.2857142857142857,0.25,0.25,0.0,0.0,0.4,0.4,0.5,0.5555555555555556,0.4117647058823529,0.4117647058823529,0.19421487603305781,0.28440366972477066,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.125,0.5,0.3,0.20103092783505155,0.2922374429223744,0.3,0.3,0.2222222222222222,0.2222222222222222,1.0,1.0,0.0,0.35135135135135137,0,0
Jesse Joyce,0.6111111111111112,0.631578947368421,0.15789473684210525,0.15789473684210525,0.4583333333333333,0.4444444444444444,1.0,0.9,0.0,0.0,0.0,0.0,0.42857142857142855,0.2727272727272727,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.25,0.25,0.5,0.2,0.13333333333333333,0.13333333333333333,0.7857142857142857,0.7777777777777778,0.5882352941176471,0.5882352941176471,0.5247933884297521,0.5779816513761468,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5555555555555556,0.5555555555555556,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.520618556701031,0.5753424657534246,0.2,0.2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.9130434782608695,0.918918918918919,0,0
Callum Ah Chee,0.3888888888888889,0.42105263157894735,0.3157894736842105,0.3157894736842105,0.4166666666666667,0.4074074074074074,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.4,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,0.4,0.6,0.6,0.21428571428571427,0.3333333333333333,0.7058823529411765,0.7058823529411765,0.8760330578512396,0.8899082568807339,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4,0.25,0.6666666666666666,0.4,0.5429553264604811,0.5951293759512938,0.1,0.1,0.2222222222222222,0.2222222222222222,0.0,0.0,0.17391304347826086,0.4594594594594595,0,0
