Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Luke Parker,0.7777777777777778,0.7777777777777778,0.8125,0.8125,1.0,0.9259259259259259,0.5,0.5,0.3333333333333333,0.2,0.25,0.25,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.8333333333333334,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5263157894736842,0.7142857142857143,0.7142857142857143,0.3583916083916084,0.3583916083916084,0.0,0.0,0.25,0.2,0.3333333333333333,0.2222222222222222,0.0,0.0,0.6,0.6,0.6,0.6,0.7142857142857143,0.6,0.552212389380531,0.552212389380531,0.6,0.6,0.5555555555555556,0.5555555555555556,0.2,0.2,0.625,0.625,0,0
Josh P. Kennedy,0.6111111111111112,0.6111111111111112,0.9375,0.9375,0.96,0.8888888888888888,0.125,0.125,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.375,0.375,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.7857142857142857,0.7857142857142857,0.9333333333333333,0.7368421052631579,0.7619047619047619,0.7619047619047619,0.4632867132867133,0.4632867132867133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.8571428571428571,0.7,0.6867256637168142,0.6867256637168142,0.5,0.5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.3125,0.3125,0,0
George Hewett,0.5,0.5,1.0,1.0,0.92,0.8518518518518519,0.25,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,1.0,1.0,0.25,0.25,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8666666666666667,0.6842105263157895,0.8095238095238095,0.8095238095238095,0.5681818181818181,0.5681818181818181,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.4,0.4,1.0,1.0,0.2857142857142857,0.3,0.4,0.4,0.4,0.4,0.4444444444444444,0.4444444444444444,0.0,0.0,0.5,0.5,0,0
Callum Mills,1.0,1.0,0.375,0.375,0.88,0.8148148148148148,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,0.5,0.5,0.5,0.42857142857142855,0.0,0.0,0.625,0.625,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.21428571428571427,0.8,0.631578947368421,0.6666666666666666,0.6666666666666666,0.41083916083916083,0.41083916083916083,0.5,0.25,0.25,0.2,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.3,1.0,1.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.2,0.2,0.625,0.625,0,0
Jake Lloyd,0.7777777777777778,0.7777777777777778,0.5625,0.5625,0.84,0.7777777777777778,0.625,0.625,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.25,0.25,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2,0.0,0.0,0.35714285714285715,0.35714285714285715,1.0,0.7894736842105263,0.8095238095238095,0.8095238095238095,0.673076923076923,0.673076923076923,0.0,0.0,0.25,0.2,0.6666666666666666,0.4444444444444444,0.5,0.5,0.0,0.0,0.2,0.2,0.2857142857142857,0.3,0.6495575221238938,0.6495575221238938,0.4,0.4,0.6666666666666666,0.6666666666666666,0.0,0.0,0.65625,0.65625,0,0
Dane Rampe,0.8333333333333334,0.8333333333333334,0.5,0.5,0.84,0.7777777777777778,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.25,0.25,0.7777777777777778,0.7777777777777778,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,1.0,0.7894736842105263,1.0,1.0,0.9527972027972027,0.9527972027972027,0.0,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.4,0.9185840707964602,0.9185840707964602,0.3,0.3,1.0,1.0,0.0,0.0,1.0,1.0,0,0
Zak Jones,0.7222222222222222,0.7222222222222222,0.25,0.25,0.6,0.5555555555555556,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.375,0.375,0.4444444444444444,0.4444444444444444,1.0,0.6,0.6666666666666666,0.6666666666666666,0.35714285714285715,0.35714285714285715,0.8666666666666667,0.6842105263157895,0.7619047619047619,0.7619047619047619,0.9877622377622377,0.9877622377622377,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.4,0.7256637168141593,0.7256637168141593,0.3,0.3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.65625,0.65625,0,0
Colin O'Riordan,0.3333333333333333,0.3333333333333333,0.625,0.625,0.56,0.5185185185185185,0.75,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.5,0.5,0.3333333333333333,0.2857142857142857,0.0,0.0,0.125,0.125,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.8666666666666667,0.6842105263157895,0.6190476190476191,0.6190476190476191,0.7954545454545454,0.7954545454545454,0.5,0.25,0.0,0.0,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.4,0.48672566371681414,0.48672566371681414,0.3,0.3,0.5555555555555556,0.5555555555555556,0.0,0.0,0.40625,0.40625,0,0
Jordan Dawson,0.5,0.5,0.375,0.375,0.52,0.48148148148148145,0.75,0.75,1.0,0.6,0.0,0.0,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.375,0.375,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.6,0.47368421052631576,0.6190476190476191,0.6190476190476191,0.8828671328671328,0.8828671328671328,1.0,0.5,0.25,0.2,0.16666666666666666,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.6,0.4831858407079646,0.4831858407079646,0.1,0.1,0.1111111111111111,0.1111111111111111,0.2,0.2,0.5625,0.5625,0,0
Isaac Heeney,0.7222222222222222,0.7222222222222222,0.0,0.0,0.44,0.4074074074074074,0.75,0.75,1.0,0.6,0.25,0.25,0.8333333333333334,0.8571428571428571,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.5263157894736842,0.38095238095238093,0.38095238095238093,0.4982517482517482,0.4982517482517482,0.0,0.0,0.5,0.4,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.6530973451327433,0.6530973451327433,0.3,0.3,0.2222222222222222,0.2222222222222222,1.0,1.0,0.46875,0.46875,0,0
Aliir Aliir,0.4444444444444444,0.4444444444444444,0.25,0.25,0.4,0.37037037037037035,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.7142857142857143,0.1,0.02857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5,0.5,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2,0.6666666666666666,0.6666666666666666,0.35714285714285715,0.35714285714285715,0.3333333333333333,0.2631578947368421,0.3333333333333333,0.3333333333333333,0.4632867132867133,0.4632867132867133,0.5,0.25,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.2884955752212389,0.2884955752212389,0.5,0.5,0.8888888888888888,0.8888888888888888,0.0,0.0,0.59375,0.59375,0,0
Ben Ronke,0.5555555555555556,0.5555555555555556,0.0625,0.0625,0.36,0.3333333333333333,0.75,0.75,0.6666666666666666,0.4,1.0,1.0,0.5,0.5714285714285714,0.0,0.0,1.0,1.0,0.8333333333333334,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.4666666666666667,0.3684210526315789,0.23809523809523808,0.23809523809523808,0.270979020979021,0.270979020979021,0.5,0.25,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.6283185840707964,0.6283185840707964,0.2,0.2,0.0,0.0,0.4,0.4,0.03125,0.03125,0,0
