Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Jackson Macrae,0.8888888888888888,0.9047619047619048,1.0,1.0,1.0,1.0,0.625,0.625,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.5,0.5,0.4444444444444444,0.4444444444444444,1.0,1.0,1.0,0.8333333333333334,0.125,0.125,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8222222222222222,0.8268398268398268,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.25,1.0,0.8,1.0,1.0,1.0,1.0,0.7214532871972318,0.7325581395348837,0.5,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.0,0.0,0.7708333333333334,0.74,0.5,2
Caleb Daniel,0.6666666666666666,0.7142857142857143,0.6875,0.7058823529411765,0.71875,0.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.375,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.125,0.125,0.6,0.5,1.0,1.0,0.3333333333333333,0.2,0.5,0.5,0.4375,0.47058823529411764,0.47368421052631576,0.5,0.6896551724137931,0.7,0.7555555555555555,0.761904761904762,0.0,0.0,0.0,0.0,0.125,0.1111111111111111,0.5,0.5,0.0,0.0,0.25,0.25,0.25,0.25,0.6678200692041523,0.6810631229235881,0.3333333333333333,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.0,0.0,0.5208333333333334,0.5,0.5,0
Marcus Bontempelli,1.0,1.0,0.25,0.29411764705882354,0.6875,0.6875,0.625,0.625,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.625,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8,0.6666666666666666,0.25,0.25,0.0,0.0,0.25,0.25,0.4375,0.47058823529411764,0.7894736842105263,0.8,0.5517241379310345,0.5666666666666667,0.5111111111111111,0.5238095238095238,0.25,0.25,0.3333333333333333,0.3333333333333333,0.375,0.3333333333333333,0.0,0.0,1.0,0.8,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.6666666666666666,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0.7083333333333334,0.68,0.5,3
Lachlan Hunter,0.7777777777777778,0.8095238095238095,0.4375,0.47058823529411764,0.65625,0.65625,0.375,0.375,0.25,0.25,0.0,0.0,0.2,0.125,0.0,0.0,0.5,0.5,0.4444444444444444,0.4444444444444444,0.375,0.375,1.0,0.8333333333333334,0.125,0.125,0.6666666666666666,0.4,0.0,0.0,0.3125,0.35294117647058826,0.9473684210526315,0.95,0.4827586206896552,0.5,0.4222222222222222,0.43722943722943725,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.4444444444444444,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.25,0.5536332179930796,0.5714285714285714,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.875,0.84,0.5,0
Josh Dunkley,0.4444444444444444,0.5238095238095238,0.75,0.7647058823529411,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6,0.5,0.0,0.0,0.3333333333333333,0.2,0.25,0.25,0.375,0.4117647058823529,0.7894736842105263,0.8,0.4827586206896552,0.5,0.4666666666666667,0.48051948051948057,0.0,0.0,0.0,0.0,0.375,0.3333333333333333,0.25,0.25,0.25,0.2,0.75,0.75,0.5833333333333334,0.5833333333333334,0.5761245674740484,0.5930232558139535,0.6666666666666666,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8125,0.78,0.5,0
Jason Johannisen,0.5555555555555556,0.6190476190476191,0.5,0.5294117647058824,0.5625,0.5625,0.25,0.25,0.25,0.25,0.0,0.0,0.4,0.25,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.25,0.29411764705882354,0.6842105263157895,0.7,0.5172413793103449,0.5333333333333333,0.7111111111111111,0.7186147186147186,0.0,0.0,0.0,0.0,0.25,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.7076124567474048,0.7192691029900332,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.0,0.0,0.6041666666666666,0.58,0.5,0
Hayden Crozier,0.5,0.5714285714285714,0.3125,0.35294117647058826,0.4375,0.4375,0.75,0.75,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.25,0.25,0.3333333333333333,0.2,0.0,0.0,0.125,0.17647058823529413,0.6842105263157895,0.7,0.4482758620689655,0.4666666666666667,0.8888888888888888,0.8917748917748918,0.25,0.25,0.0,0.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.314878892733564,0.34219269102990035,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.6875,0.66,0.5,0
Aaron Naughton,0.4444444444444444,0.5238095238095238,0.375,0.4117647058823529,0.4375,0.4375,1.0,1.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.2,0.125,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.0,0.0,0.5,0.5294117647058824,0.2631578947368421,0.3,0.3103448275862069,0.3333333333333333,0.4444444444444444,0.45887445887445893,1.0,1.0,0.6666666666666666,0.6666666666666666,0.375,0.3333333333333333,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.4688581314878893,0.4900332225913621,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.25,0.7291666666666666,0.7,0.5,0
Bailey Smith,0.6111111111111112,0.6666666666666666,0.1875,0.23529411764705882,0.4375,0.4375,0.25,0.25,0.5,0.5,0.6666666666666666,0.6666666666666666,0.8,0.5,0.0,0.0,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5,0.5,0.6,0.5,0.0,0.0,0.3333333333333333,0.2,0.25,0.25,0.3125,0.35294117647058826,0.5789473684210527,0.6,0.1724137931034483,0.2,0.0,0.025974025974026035,0.0,0.0,0.0,0.0,0.125,0.1111111111111111,0.0,0.0,0.25,0.2,0.75,0.75,0.5833333333333334,0.5833333333333334,0.740484429065744,0.7508305647840532,1.0,0.8571428571428571,0.2857142857142857,0.2857142857142857,1.0,0.75,0.625,0.6,0.5,0
Thomas Liberatore,0.2222222222222222,0.3333333333333333,0.5625,0.5882352941176471,0.40625,0.40625,0.125,0.125,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.125,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.125,0.125,0.3333333333333333,0.2,0.0,0.0,0.375,0.4117647058823529,0.42105263157894735,0.45,0.3448275862068966,0.36666666666666664,0.6444444444444445,0.6536796536796537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.75,0.75,0.5833333333333334,0.5833333333333334,0.3356401384083045,0.36212624584717606,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5416666666666666,0.52,0.5,0
