Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Jaeger O'Meara,0.9565217391304348,1.0,0.23809523809523808,0.5,0.8,1.0,0.4444444444444444,0.5714285714285714,0.25,0.25,0.5,0.5,0.8571428571428571,1.0,0.0,0.0,0.5,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.5454545454545454,0.5454545454545454,0.25,0.25,0.5,0.33333333333333337,0.7857142857142857,0.8461538461538461,0.625,1.0,0.5,0.7058823529411765,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.6,0.75,0.4,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.9059040590405905,0.9059040590405905,0.0,0.0,0.18181818181818182,0.2,0.3333333333333333,0.3333333333333333,0.717391304347826,0.717391304347826,0,Home,2,0.5,0.8,0.3333333333333333,0.5,0.7142857142857143,0.8333333333333334,0.8888888888888888,0.8888888888888888,1.0,1.0
Ricky Henderson,0.7391304347826086,0.7727272727272727,0.42857142857142855,0.9,0.7666666666666667,0.9583333333333334,0.6666666666666666,0.8571428571428571,0.25,0.25,0.0,0.0,0.42857142857142855,0.4,0.0,0.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.375,0.375,0.2727272727272727,0.2727272727272727,0.75,0.75,0.75,0.6666666666666667,0.9285714285714286,1.0,0.5,0.8,0.7083333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.6666666666666666,0.5454545454545454,0.5454545454545454,1.0,1.0,0.11111111111111116,0.11111111111111116,0.7272727272727273,0.8,0.0,0.0,0.6521739130434783,0.6521739130434783,0,Home,0,0.25,0.4,0.6666666666666666,1.0,0.42857142857142855,0.5,0.4444444444444444,0.4444444444444444,0.5384615384615384,0.5384615384615384
James Worpel,0.5217391304347826,0.5454545454545454,0.47619047619047616,1.0,0.6333333333333333,0.7916666666666666,0.5555555555555556,0.7142857142857143,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.0,0.0,0.5,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,0.375,0.375,0.2727272727272727,0.2727272727272727,0.0,0.0,0.5,0.33333333333333337,0.7142857142857143,0.7692307692307693,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.6,1.0,0.45454545454545453,0.45454545454545453,0.7435424354243543,0.7435424354243543,0.11111111111111116,0.11111111111111116,0.18181818181818182,0.2,0.0,0.0,0.6521739130434783,0.6521739130434783,0,Home,0,0.625,1.0,0.5555555555555556,0.8333333333333334,0.8571428571428571,1.0,0.4444444444444444,0.4444444444444444,0.46153846153846156,0.46153846153846156
James Cousins,0.43478260869565216,0.45454545454545453,0.47619047619047616,1.0,0.5666666666666667,0.7083333333333334,0.5555555555555556,0.7142857142857143,0.25,0.25,0.0,0.0,0.42857142857142855,0.4,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.75,0.75,0.2727272727272727,0.2727272727272727,0.25,0.25,0.75,0.6666666666666667,0.5714285714285714,0.6153846153846154,0.4166666666666667,0.6666666666666666,0.5416666666666666,0.7647058823529411,0.0,0.0,0.5,0.5,0.09090909090909091,0.125,0.0,0.0,0.2,0.25,0.4,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.3413284132841328,0.3413284132841328,0.4444444444444444,0.4444444444444444,0.45454545454545453,0.5,0.0,0.0,0.6086956521739131,0.6086956521739131,0,Home,0,0.625,1.0,0.3333333333333333,0.5,0.42857142857142855,0.5,0.7777777777777778,0.7777777777777778,0.38461538461538464,0.38461538461538464
Luke Breust,0.5217391304347826,0.5454545454545454,0.2857142857142857,0.6,0.5,0.625,0.2222222222222222,0.2857142857142857,0.25,0.25,1.0,1.0,0.2857142857142857,0.2,0.0,0.0,0.5,0.5,0.42857142857142855,0.42857142857142855,0.0,0.0,0.75,0.75,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,1.0,0.5714285714285714,0.6153846153846154,0.375,0.6,0.2916666666666667,0.4117647058823529,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.5571955719557196,0.5571955719557196,0.4444444444444444,0.4444444444444444,0.5454545454545454,0.6,0.0,0.0,0.7608695652173914,0.7608695652173914,0,Home,0,0.25,0.4,0.0,0.0,0.2857142857142857,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.6923076923076923,0.6923076923076923
Isaac Smith,0.43478260869565216,0.45454545454545453,0.38095238095238093,0.8,0.5,0.625,0.1111111111111111,0.14285714285714285,0.25,0.25,0.5,0.5,0.42857142857142855,0.4,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.625,0.625,0.18181818181818182,0.18181818181818182,0.0,0.0,0.5,0.33333333333333337,0.2857142857142857,0.3076923076923077,0.5,0.8,0.4583333333333333,0.6470588235294118,0.0,0.0,0.0,0.0,0.36363636363636365,0.5,1.0,1.0,0.0,0.0,0.4,0.6666666666666666,0.36363636363636365,0.36363636363636365,0.6623616236162362,0.6623616236162362,0.5555555555555556,0.5555555555555556,0.18181818181818182,0.2,0.0,0.0,0.6956521739130435,0.6956521739130435,0,Home,0,0.125,0.2,0.1111111111111111,0.16666666666666666,0.42857142857142855,0.5,0.4444444444444444,0.4444444444444444,0.38461538461538464,0.38461538461538464
James Sicily,0.5217391304347826,0.5454545454545454,0.14285714285714285,0.3,0.4,0.5,0.5555555555555556,0.7142857142857143,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,1.0,1.0,0.0,0.0,0.5,0.33333333333333337,0.35714285714285715,0.38461538461538464,0.2916666666666667,0.4666666666666667,0.4583333333333333,0.6470588235294118,0.25,0.25,0.0,0.0,0.45454545454545453,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.8339483394833949,0.8339483394833949,0.2222222222222222,0.2222222222222222,0.8181818181818182,0.9,0.0,0.0,0.8478260869565217,0.8478260869565217,0,Home,0,0.5,0.8,0.5555555555555556,0.8333333333333334,0.14285714285714285,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.15384615384615385,0.15384615384615385
Jack Scrimshaw,0.34782608695652173,0.36363636363636365,0.2857142857142857,0.6,0.36666666666666664,0.4583333333333333,0.4444444444444444,0.5714285714285714,0.0,0.0,0.0,0.0,0.5714285714285714,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.45454545454545453,0.45454545454545453,0.25,0.25,1.0,1.0,0.5,0.5384615384615384,0.16666666666666666,0.26666666666666666,0.375,0.5294117647058824,0.25,0.25,0.0,0.0,0.36363636363636365,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.34317343173431736,0.34317343173431736,0.33333333333333337,0.33333333333333337,0.9090909090909091,1.0,0.0,0.0,0.6086956521739131,0.6086956521739131,0,Home,0,0.375,0.6,0.4444444444444444,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.23076923076923078
Jack Gunston,0.43478260869565216,0.45454545454545453,0.14285714285714285,0.3,0.3333333333333333,0.4166666666666667,0.7777777777777778,1.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.2,0.0,0.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5384615384615384,0.16666666666666666,0.26666666666666666,0.375,0.5294117647058824,0.5,0.5,1.0,1.0,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.28044280442804426,0.28044280442804426,0.8888888888888888,0.8888888888888888,0.09090909090909091,0.1,0.0,0.0,0.7391304347826086,0.7391304347826086,0,Home,0,0.625,1.0,0.3333333333333333,0.5,0.2857142857142857,0.3333333333333333,1.0,1.0,0.15384615384615385,0.15384615384615385
Ben McEvoy,0.21739130434782608,0.22727272727272727,0.3333333333333333,0.7,0.3,0.375,0.5555555555555556,0.7142857142857143,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.75,0.75,0.18181818181818182,0.18181818181818182,0.0,0.0,0.5,0.33333333333333337,0.9285714285714286,1.0,0.041666666666666664,0.06666666666666667,0.3333333333333333,0.47058823529411764,0.75,0.75,0.0,0.0,0.7272727272727273,1.0,0.0,0.0,0.2,0.25,0.2,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.17712177121771217,0.17712177121771217,0.8888888888888888,0.8888888888888888,0.7272727272727273,0.8,0.3333333333333333,0.3333333333333333,0.6956521739130435,0.6956521739130435,0,Home,0,0.25,0.4,0.5555555555555556,0.8333333333333334,0.0,0.0,0.1111111111111111,0.1111111111111111,0.15384615384615385,0.15384615384615385
