Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Toby Greene,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.625,0.5714285714285714,0.0,0.0,0.0,0.0,0.5,0.7142857142857143,0.8888888888888888,1.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.75,1.0,0.5,0.5,1.0,1.0,0.75,1.0,0.8260869565217391,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.0,0.42857142857142855,1.0,0.9313984168865436,1.0,0.0,0.0,0.5625,0.6923076923076923,0.5,0.5,0.9473684210526315,1.0,0,Home,1,1.0,1.0,1.0,1.0,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0
Lachie Whitfield,0.8181818181818182,0.8095238095238095,0.5833333333333334,0.5833333333333334,0.7272727272727273,0.71875,0.875,0.8571428571428571,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.3,0.42857142857142855,0.5555555555555556,0.625,0.4,0.4,0.18181818181818182,0.18181818181818182,0.25,0.3333333333333333,0.75,0.75,0.42105263157894735,0.42105263157894735,0.75,1.0,0.6521739130434783,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.6978891820580475,0.7242990654205608,0.41666666666666663,0.41666666666666663,0.25,0.3076923076923077,0.0,0.0,0.7894736842105263,0.8333333333333334,0,Home,0,0.875,0.8571428571428571,0.875,0.875,0.125,0.0,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.6666666666666666
Zachary Williams,0.9090909090909091,0.9047619047619048,0.16666666666666666,0.16666666666666666,0.6363636363636364,0.625,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.625,0.5714285714285714,0.0,0.0,0.0,0.0,0.5,0.7142857142857143,0.4444444444444444,0.5,0.30000000000000004,0.30000000000000004,0.36363636363636365,0.36363636363636365,0.25,0.3333333333333333,1.0,1.0,0.631578947368421,0.631578947368421,0.55,0.7333333333333333,0.5217391304347826,0.631578947368421,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5714285714285714,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.8245382585751979,0.8738317757009346,0.33333333333333337,0.33333333333333337,0.3125,0.38461538461538464,1.0,1.0,0.5526315789473685,0.5833333333333334,0,Home,0,0.25,0.14285714285714285,0.25,0.25,0.375,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.6666666666666666
Harry Perryman,0.6363636363636364,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.1111111111111111,0.125,0.7,0.7,0.2727272727272727,0.2727272727272727,0.0,0.0,1.0,1.0,0.47368421052631576,0.47368421052631576,0.65,0.8666666666666667,0.6086956521739131,0.7368421052631579,0.5,0.5,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.4656992084432718,0.4501557632398754,0.41666666666666663,0.41666666666666663,0.8125,1.0,0.0,0.0,0.631578947368421,0.6666666666666666,0,Home,0,0.875,0.8571428571428571,1.0,1.0,0.25,0.14285714285714285,0.0,0.0,0.5333333333333333,0.5333333333333333
Tim Taranto,0.7727272727272727,0.7619047619047619,0.3333333333333333,0.3333333333333333,0.6060606060606061,0.59375,0.625,0.5714285714285714,0.0,0.0,1.0,1.0,0.75,0.7142857142857143,0.0,0.0,0.0,0.0,0.7,1.0,0.4444444444444444,0.5,0.30000000000000004,0.30000000000000004,0.2727272727272727,0.2727272727272727,0.75,1.0,0.75,0.75,0.3684210526315789,0.3684210526315789,0.65,0.8666666666666667,0.30434782608695654,0.3684210526315789,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,0.14285714285714285,0.16666666666666666,0.42857142857142855,1.0,0.5672823218997362,0.5700934579439252,0.41666666666666663,0.41666666666666663,0.1875,0.23076923076923078,0.5,0.5,0.2894736842105263,0.3055555555555556,0,Home,0,0.625,0.5714285714285714,0.625,0.625,0.625,0.5714285714285714,0.42857142857142855,1.0,0.9333333333333333,0.9333333333333333
Heath Shaw,0.7727272727272727,0.7619047619047619,0.16666666666666666,0.16666666666666666,0.5454545454545454,0.53125,0.625,0.5714285714285714,0.0,0.0,0.0,0.0,0.625,0.5714285714285714,0.0,0.0,0.0,0.0,0.2,0.2857142857142857,0.1111111111111111,0.125,0.19999999999999996,0.19999999999999996,1.0,1.0,0.5,0.6666666666666666,0.5,0.5,0.3684210526315789,0.3684210526315789,0.5,0.6666666666666666,0.5217391304347826,0.631578947368421,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.3333333333333333,0.7440633245382586,0.778816199376947,0.41666666666666663,0.41666666666666663,0.5625,0.6923076923076923,0.0,0.0,0.8947368421052632,0.9444444444444444,0,Home,0,0.5,0.42857142857142855,0.625,0.625,0.625,0.5714285714285714,0.14285714285714285,0.3333333333333333,0.4666666666666667,0.4666666666666667
Nick Haynes,0.6818181818181818,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.48484848484848486,0.46875,0.875,0.8571428571428571,0.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.36363636363636365,0.36363636363636365,0.0,0.0,1.0,1.0,0.15789473684210525,0.15789473684210525,0.65,0.8666666666666667,0.6086956521739131,0.7368421052631579,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5712401055408971,0.5747663551401869,0.5,0.5,0.5,0.6153846153846154,0.0,0.0,0.8421052631578947,0.8888888888888888,0,Home,0,0.875,0.8571428571428571,0.875,0.875,0.25,0.14285714285714285,0.0,0.0,0.2,0.2
Phil Davis,0.22727272727272727,0.19047619047619047,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.3125,0.625,0.5714285714285714,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.0,0.0,0.5,0.5,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.42105263157894735,0.42105263157894735,0.2,0.26666666666666666,0.43478260869565216,0.5263157894736842,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14116094986807387,0.06697819314641744,0.8333333333333334,0.8333333333333334,0.625,0.7692307692307693,0.0,0.0,0.631578947368421,0.6666666666666666,0,Home,0,0.375,0.2857142857142857,0.625,0.625,0.125,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333
Adam Kennedy,0.36363636363636365,0.3333333333333333,0.25,0.25,0.30303030303030304,0.28125,0.625,0.5714285714285714,0.5,1.0,0.0,0.0,0.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.0,0.0,0.8,0.8,0.45454545454545453,0.45454545454545453,0.0,0.0,1.0,1.0,0.2631578947368421,0.2631578947368421,0.35,0.4666666666666667,0.30434782608695654,0.3684210526315789,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.6666666666666666,0.39313984168865435,0.3644859813084112,0.6666666666666667,0.6666666666666667,0.375,0.46153846153846156,0.5,0.5,0.5789473684210527,0.6111111111111112,0,Home,0,0.625,0.5714285714285714,0.625,0.625,0.375,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.26666666666666666,0.26666666666666666
Brent Daniels,0.13636363636363635,0.09523809523809523,0.5833333333333334,0.5833333333333334,0.2727272727272727,0.25,0.5,0.42857142857142855,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.1111111111111111,0.125,0.8,0.8,0.09090909090909091,0.09090909090909091,0.5,0.6666666666666666,1.0,1.0,0.3157894736842105,0.3157894736842105,0.2,0.26666666666666666,0.30434782608695654,0.3684210526315789,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.2857142857142857,0.6666666666666666,0.25065963060686014,0.19626168224299065,0.75,0.75,0.0625,0.07692307692307693,0.0,0.0,0.5526315789473685,0.5833333333333334,0,Home,0,0.5,0.42857142857142855,0.5,0.5,1.0,1.0,0.2857142857142857,0.6666666666666666,0.2,0.2
