Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Dion Prestia,1.0,0.7307692307692307,1.0,0.7272727272727273,1.0,0.9393939393939394,0.5,0.3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,0.16666666666666666,0.1111111111111111,0.25,0.25,0.3333333333333333,0.25,1.0,0.7142857142857143,1.0,1.0,1.0,0.95,0.4741379310344827,0.5010224948875255,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8880208333333334,1.0,1.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.6382978723404256,0.6382978723404256,1,3
Shane Edwards,0.5555555555555556,0.4230769230769231,1.0,0.7272727272727273,0.7419354838709677,0.696969696969697,1.0,0.6,0.25,0.25,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.14285714285714285,0.125,0.3333333333333333,0.2222222222222222,0.5,0.5,0.0,0.0,0.7857142857142857,0.5714285714285714,0.9444444444444444,0.9444444444444444,0.8947368421052632,0.85,0.7327586206896551,0.7464212678936605,1.0,1.0,0.0,0.0,0.25,0.13333333333333333,0.0,0.0,0.6,0.6,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.4444444444444444,0.5282442748091603,0.4856770833333333,0.4444444444444444,0.4444444444444444,0.6363636363636364,0.6363636363636364,0.0,0.0,0.6808510638297872,0.6808510638297872,1,0
Kane Lambert,0.5,0.38461538461538464,0.9375,0.6818181818181818,0.6774193548387096,0.6363636363636364,0.5,0.3,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.45454545454545453,0.45454545454545453,0.5714285714285714,0.5,0.3333333333333333,0.2222222222222222,0.0,0.0,0.3333333333333333,0.25,0.5,0.38095238095238093,0.8888888888888888,0.8888888888888888,0.8947368421052632,0.85,0.8620689655172413,0.8691206543967279,0.0,0.0,0.0,0.0,0.125,0.06666666666666667,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.45648854961832064,0.4244791666666667,0.4444444444444444,0.4444444444444444,0.36363636363636365,0.36363636363636365,0.5,0.5,0.7446808510638298,0.7446808510638298,1,0
Bachar Houli,0.7222222222222222,0.5384615384615384,0.5,0.36363636363636365,0.5806451612903226,0.5454545454545454,1.0,0.6,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2857142857142857,0.25,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.21428571428571427,0.19047619047619047,0.8333333333333334,0.8333333333333334,0.8421052631578947,0.8,0.9913793103448275,0.9918200408997954,0.3333333333333333,0.3333333333333333,0.0,0.0,0.375,0.2,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6351145038167939,0.5768229166666666,0.3333333333333333,0.3333333333333333,0.7272727272727273,0.7272727272727273,0.0,0.0,0.6382978723404256,0.6382978723404256,1,0
Brandon Ellis,0.7222222222222222,0.5384615384615384,0.5,0.36363636363636365,0.5806451612903226,0.5454545454545454,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.2727272727272727,0.2727272727272727,0.14285714285714285,0.125,0.6666666666666666,0.4444444444444444,0.5,0.5,0.0,0.0,0.42857142857142855,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.631578947368421,0.6,0.6034482758620688,0.6237218813905929,0.3333333333333333,0.3333333333333333,0.0,0.0,0.125,0.06666666666666667,0.0,0.0,0.4,0.4,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.4595419847328244,0.4270833333333333,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.0,0.0,0.7021276595744681,0.7021276595744681,1,0
Jason Castagna,0.4444444444444444,0.34615384615384615,0.8125,0.5909090909090909,0.5806451612903226,0.5454545454545454,0.8333333333333334,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.09090909090909091,0.09090909090909091,0.14285714285714285,0.125,0.0,0.0,0.25,0.25,0.0,0.0,0.2857142857142857,0.23809523809523808,0.8333333333333334,0.8333333333333334,0.47368421052631576,0.45,0.3017241379310344,0.3374233128834355,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.47480916030534354,0.4401041666666667,0.5555555555555556,0.5555555555555556,0.0,0.0,0.5,0.5,0.5957446808510638,0.5957446808510638,1,0
Jack Graham,1.0,0.7307692307692307,0.1875,0.13636363636363635,0.5806451612903226,0.5454545454545454,0.3333333333333333,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.36363636363636365,0.36363636363636365,0.42857142857142855,0.375,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.2857142857142857,0.23809523809523808,0.8888888888888888,0.8888888888888888,0.6842105263157895,0.65,0.689655172413793,0.705521472392638,0.0,0.0,0.0,0.0,0.125,0.06666666666666667,0.0,0.0,0.2,0.2,0.5,0.5,1.0,1.0,0.8809160305343512,0.7864583333333334,0.5555555555555556,0.5555555555555556,0.09090909090909091,0.09090909090909091,1.0,1.0,0.5957446808510638,0.5957446808510638,1,1
Liam Baker,0.5555555555555556,0.4230769230769231,0.6875,0.5,0.5806451612903226,0.5454545454545454,0.6666666666666666,0.4,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.2857142857142857,0.25,0.3333333333333333,0.2222222222222222,0.25,0.25,0.6666666666666666,0.5,0.42857142857142855,0.3333333333333333,0.7222222222222222,0.7222222222222222,0.6842105263157895,0.65,0.689655172413793,0.705521472392638,0.0,0.0,0.0,0.0,0.25,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.47022900763358777,0.4361979166666667,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.9090909090909091,0.0,0.0,0.46808510638297873,0.46808510638297873,1,0
Jack Ross,0.5,0.38461538461538464,0.6875,0.5,0.5483870967741935,0.5151515151515151,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.5454545454545454,0.8571428571428571,0.75,0.5,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.6428571428571429,0.47619047619047616,0.6111111111111112,0.6111111111111112,0.5263157894736842,0.5,0.45258620689655166,0.4805725971370143,0.0,0.0,0.0,0.0,0.375,0.2,0.0,0.0,0.2,0.2,0.8333333333333334,0.8333333333333334,0.2222222222222222,0.2222222222222222,0.5694656488549619,0.5208333333333334,0.4444444444444444,0.4444444444444444,0.36363636363636365,0.36363636363636365,0.0,0.0,0.44680851063829785,0.44680851063829785,1,0
Nathan Broad,0.3888888888888889,0.3076923076923077,0.6875,0.5,0.4838709677419355,0.45454545454545453,0.5,0.3,0.0,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.5714285714285714,0.5,0.3333333333333333,0.2222222222222222,0.0,0.0,0.3333333333333333,0.25,0.2857142857142857,0.23809523809523808,0.6111111111111112,0.6111111111111112,0.5263157894736842,0.5,0.6034482758620688,0.6237218813905929,0.0,0.0,0.0,0.0,0.875,0.4666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.4488549618320611,0.41796875,0.4444444444444444,0.4444444444444444,0.5454545454545454,0.5454545454545454,0.0,0.0,0.5957446808510638,0.5957446808510638,1,0
