Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Luke Shuey,0.5263157894736842,0.7692307692307693,0.7368421052631579,1.0,0.6216216216216216,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.7142857142857143,0.8333333333333334,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,1.0,0.36,0.391304347826087,0.5714285714285714,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,0.3,0.2222222222222222,0.5149253731343284,0.5149253731343284,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0,0.78,0.45,1,Home,0,0.75,0.75,0.6,0.6,0.8333333333333334,1.0,0.3333333333333333,0.2857142857142857,0.8461538461538461,1.0
Andrew Gaff,0.6842105263157895,1.0,0.5789473684210527,0.7857142857142857,0.6216216216216216,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.3,0.3,1.0,1.0,0.5,0.6,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3157894736842105,0.3157894736842105,0.92,1.0,0.6785714285714286,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,1.0,1.0,0.0,0.0,0.5,0.5,0.8,0.7777777777777778,1.0,1.0,0.625,0.625,0.09090909090909091,0.09090909090909091,0.0,0.0,0.86,0.65,1,Home,0,0.75,0.75,0.6,0.6,0.5,0.6,0.8888888888888888,1.0,0.6153846153846154,0.7272727272727273
Dominic Sheed,0.5789473684210527,0.8461538461538461,0.5263157894736842,0.7142857142857143,0.5405405405405406,0.8695652173913043,0.6,0.6,0.2,0.3333333333333333,1.0,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8571428571428571,1.0,0.2,0.2,0.375,0.2857142857142857,0.3333333333333333,0.4,0.0,0.0,0.33333333333333337,0.33333333333333337,0.631578947368421,0.631578947368421,0.52,0.5652173913043478,0.5357142857142857,0.7894736842105263,0.0,0.0,0.25,0.25,0.0,0.0,0.6666666666666666,0.6666666666666666,0.2,0.25,0.16666666666666666,0.16666666666666666,0.8,0.7777777777777778,0.8563432835820896,0.8563432835820896,0.5,0.5,0.5454545454545454,0.5454545454545454,0.0,0.0,0.8,0.5,1,Home,0,0.75,0.75,0.5,0.5,0.3333333333333333,0.4,0.7777777777777778,0.8571428571428571,0.6923076923076923,0.8181818181818182
Elliot Yeo,0.42105263157894735,0.6153846153846154,0.631578947368421,0.8571428571428571,0.5135135135135135,0.8260869565217391,0.2,0.2,0.0,0.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.7142857142857143,0.8333333333333334,0.5,0.5,0.5,0.4285714285714286,0.16666666666666666,0.2,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.7894736842105263,0.7894736842105263,0.44,0.4782608695652174,0.5,0.7368421052631579,0.3333333333333333,0.3333333333333333,0.0,0.0,0.8571428571428571,1.0,0.3333333333333333,0.3333333333333333,0.8,1.0,0.16666666666666666,0.16666666666666666,0.2,0.1111111111111111,0.5615671641791045,0.5615671641791045,0.25,0.25,0.5454545454545454,0.5454545454545454,0.0,0.0,0.82,0.55,1,Home,2,0.125,0.125,0.2,0.2,0.8333333333333334,1.0,0.2222222222222222,0.14285714285714285,0.6923076923076923,0.8181818181818182
Jack Redden,0.3684210526315789,0.5384615384615384,0.5789473684210527,0.7857142857142857,0.4594594594594595,0.7391304347826086,0.5,0.5,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.4,0.4,0.75,0.7142857142857143,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.42105263157894735,0.42105263157894735,0.6,0.6521739130434783,0.5357142857142857,0.7894736842105263,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0.4,0.5,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.31156716417910446,0.31156716417910446,0.625,0.625,0.09090909090909091,0.09090909090909091,0.0,0.0,0.88,0.7,1,Home,0,0.625,0.625,0.5,0.5,0.6666666666666666,0.8,0.4444444444444444,0.42857142857142855,0.46153846153846156,0.5454545454545454
Willie Rioli,0.5263157894736842,0.7692307692307693,0.3157894736842105,0.42857142857142855,0.40540540540540543,0.6521739130434783,0.5,0.5,0.2,0.3333333333333333,0.5,0.5,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.2,0.2,0.875,0.8571428571428572,0.16666666666666666,0.2,1.0,1.0,1.0,1.0,0.42105263157894735,0.42105263157894735,0.56,0.6086956521739131,0.42857142857142855,0.631578947368421,0.0,0.0,0.25,0.25,0.42857142857142855,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6343283582089553,0.6343283582089553,0.75,0.75,0.2727272727272727,0.2727272727272727,0.42857142857142855,0.42857142857142855,0.74,0.35,1,Home,0,0.625,0.625,0.4,0.4,0.6666666666666666,0.8,0.8888888888888888,1.0,0.5384615384615384,0.6363636363636364
Shannon Hurn,0.6842105263157895,1.0,0.05263157894736842,0.07142857142857142,0.35135135135135137,0.5652173913043478,0.5,0.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.2857142857142857,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.48,0.5217391304347826,0.42857142857142855,0.631578947368421,0.0,0.0,0.0,0.0,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.8526119402985075,0.8526119402985075,0.75,0.75,0.18181818181818182,0.18181818181818182,0.0,0.0,0.74,0.35,1,Home,0,0.625,0.625,0.5,0.5,0.16666666666666666,0.2,0.4444444444444444,0.42857142857142855,0.38461538461538464,0.45454545454545453
Mark Hutchings,0.42105263157894735,0.6153846153846154,0.15789473684210525,0.21428571428571427,0.2702702702702703,0.43478260869565216,0.8,0.8,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.4,0.0,0.0,1.0,1.0,0.3157894736842105,0.3157894736842105,0.36,0.391304347826087,0.42857142857142855,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5555555555555556,0.40671641791044777,0.40671641791044777,0.875,0.875,0.36363636363636365,0.36363636363636365,0.0,0.0,0.68,0.2,1,Home,0,1.0,1.0,0.8,0.8,0.16666666666666666,0.2,0.5555555555555556,0.5714285714285714,0.15384615384615385,0.18181818181818182
Jack Darling,0.3684210526315789,0.5384615384615384,0.21052631578947367,0.2857142857142857,0.2702702702702703,0.43478260869565216,0.9,0.9,0.6,1.0,0.5,0.5,1.0,1.0,0.027777777777777776,0.041666666666666664,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.16666666666666666,0.1,0.1,0.75,0.7142857142857143,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3684210526315789,0.3684210526315789,0.4,0.43478260869565216,0.35714285714285715,0.5263157894736842,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.9,0.8888888888888888,0.5876865671641791,0.5876865671641791,0.5,0.5,0.09090909090909091,0.09090909090909091,1.0,1.0,0.9,0.75,1,Home,3,1.0,1.0,0.5,0.5,0.0,0.0,0.7777777777777778,0.8571428571428571,0.3076923076923077,0.36363636363636365
Jeremy McGovern,0.21052631578947367,0.3076923076923077,0.3684210526315789,0.5,0.2702702702702703,0.43478260869565216,0.4,0.4,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.0,0.0,0.625,0.5714285714285714,0.8333333333333334,1.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.42105263157894735,0.42105263157894735,0.28,0.30434782608695654,0.42857142857142855,0.631578947368421,0.6666666666666666,0.6666666666666666,0.0,0.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5555555555555556,0.2667910447761194,0.2667910447761194,0.875,0.875,1.0,1.0,0.0,0.0,0.8,0.5,1,Home,0,0.25,0.25,0.4,0.4,0.6666666666666666,0.8,0.5555555555555556,0.5714285714285714,0.15384615384615385,0.18181818181818182
