Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
James Worpel,0.8571428571428571,0.5909090909090909,1.0,0.85,1.0,1.0,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.0,0.0,0.7,0.7,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.4,0.2,0.14285714285714285,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.6842105263157895,0.5652173913043478,1.0,1.0,0.5045871559633027,0.5952023988005997,0.0,0.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.875,0.875,0.5611015490533563,0.5611015490533563,0.375,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.0,0.0,0.21739130434782608,0.3076923076923077,1,3
Tom Scully,0.7142857142857143,0.5,0.625,0.55,0.68,0.7037037037037037,0.5,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.07692307692307693,0.07692307692307693,0.5,0.4,0.2,0.14285714285714285,0.25,0.25,0.5,0.3333333333333333,0.4117647058823529,0.47368421052631576,0.631578947368421,0.5217391304347826,0.75,0.7619047619047619,0.5596330275229358,0.6401799100449775,0.0,0.0,0.2,0.2,0.14285714285714285,0.09090909090909091,1.0,0.5,0.0,0.0,0.09090909090909091,0.09090909090909091,0.375,0.375,0.5593803786574871,0.5593803786574871,0.25,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.0,0.0,0.391304347826087,0.46153846153846156,1,0
Isaac Smith,0.5714285714285714,0.4090909090909091,0.625,0.55,0.6,0.6296296296296297,0.8333333333333334,0.5454545454545454,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.07692307692307693,0.07692307692307693,0.25,0.2,0.6,0.42857142857142855,0.0,0.0,0.5,0.3333333333333333,0.11764705882352941,0.21052631578947367,1.0,0.8260869565217391,0.75,0.7619047619047619,0.6880733944954128,0.7451274362818591,0.0,0.0,0.2,0.2,0.14285714285714285,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.625,0.625,0.9845094664371773,0.9845094664371773,0.5,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.0,0.43478260869565216,0.5,1,0
Jaeger O'Meara,0.8571428571428571,0.5909090909090909,0.375,0.35,0.6,0.6296296296296297,0.5,0.36363636363636365,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.5,0.5,0.42857142857142855,0.42857142857142855,0.3076923076923077,0.3076923076923077,1.0,0.8,0.4,0.2857142857142857,0.0,0.0,1.0,0.6666666666666666,0.058823529411764705,0.15789473684210525,1.0,0.8260869565217391,0.5,0.5238095238095238,0.30275229357798167,0.43028485757121443,0.0,0.0,0.2,0.2,0.14285714285714285,0.09090909090909091,0.0,0.0,0.5,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.75,0.75,0.7401032702237521,0.7401032702237521,0.75,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.11538461538461539,1,0
Blake Hardwick,1.0,0.6818181818181818,0.1875,0.2,0.56,0.5925925925925926,0.8333333333333334,0.5454545454545454,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1,0.1,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,0.8,1.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.17647058823529413,0.2631578947368421,0.8947368421052632,0.7391304347826086,0.45,0.47619047619047616,0.26605504587155965,0.40029985007496255,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,0.0,0.5217391304347826,0.5769230769230769,1,0
Chad Wingard,0.7142857142857143,0.5,0.375,0.35,0.52,0.5555555555555556,1.0,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.23076923076923078,0.23076923076923078,0.75,0.6,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.17647058823529413,0.2631578947368421,0.7894736842105263,0.6521739130434783,0.5,0.5238095238095238,0.41284403669724773,0.52023988005997,0.0,0.0,0.4,0.4,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,0.09090909090909091,0.09090909090909091,0.875,0.875,0.7779690189328744,0.7779690189328744,0.625,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,0.043478260869565216,0.15384615384615385,1,1
Jack Gunston,0.6428571428571429,0.45454545454545453,0.375,0.35,0.48,0.5185185185185185,1.0,0.6363636363636364,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3,0.3,0.0,0.0,0.5,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.25,0.2,0.4,0.2857142857142857,0.0,0.0,0.5,0.3333333333333333,0.17647058823529413,0.2631578947368421,0.7894736842105263,0.6521739130434783,0.4,0.42857142857142855,0.28440366972477066,0.4152923538230885,0.0,0.0,0.4,0.4,0.42857142857142855,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6333907056798623,0.6333907056798623,0.25,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25,0.25,0.5652173913043478,0.6153846153846154,1,0
Liam Shiels,0.21428571428571427,0.18181818181818182,0.625,0.55,0.4,0.4444444444444444,0.3333333333333333,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8,0.8,0.0,0.0,0.5,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.17647058823529413,0.2631578947368421,0.631578947368421,0.5217391304347826,0.35,0.38095238095238093,0.3211009174311927,0.44527736131934037,0.0,0.0,0.0,0.0,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2685025817555938,0.2685025817555938,0.0,0.0,0.0,0.0,0.25,0.25,0.2608695652173913,0.34615384615384615,1,0
Ricky Henderson,0.5,0.36363636363636365,0.375,0.35,0.4,0.4444444444444444,0.3333333333333333,0.2727272727272727,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.25,0.2,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.17647058823529413,0.2631578947368421,0.631578947368421,0.5217391304347826,0.45,0.47619047619047616,0.5045871559633027,0.5952023988005997,0.0,0.0,0.0,0.0,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.5611015490533563,0.5611015490533563,0.5,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.0,0.0,0.30434782608695654,0.38461538461538464,1,0
Changkuoth Jiath,0.21428571428571427,0.18181818181818182,0.5625,0.5,0.36,0.4074074074074074,0.5,0.36363636363636365,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.4,0.2857142857142857,0.25,0.25,0.0,0.0,0.11764705882352941,0.21052631578947367,0.631578947368421,0.5217391304347826,0.5,0.5238095238095238,0.6880733944954128,0.7451274362818591,0.0,0.0,0.0,0.0,0.7142857142857143,0.45454545454545453,1.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.12908777969018934,0.12908777969018934,0.125,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5652173913043478,0.6153846153846154,1,0
