Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Adam Treloar,1.0,0.6666666666666666,0.7142857142857143,0.7142857142857143,1.0,1.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.0,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.45,0.45,0.9523809523809523,0.9523809523809523,0.84,0.84,0.44665012406947896,0.4876957494407158,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.6,0.5,0.5,1.0,1.0,0.6,0.6,1.0,0.7883597883597884,1.0,1.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8552631578947368,0.8227848101265823,1,0
Scott Pendlebury,0.5,0.3333333333333333,1.0,1.0,0.9333333333333333,0.9333333333333333,0.4444444444444444,0.4166666666666667,0.0,0.0,0.0,0.0,0.8,0.4444444444444444,0.0,0.0,1.0,0.6666666666666666,0.375,0.375,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9047619047619048,0.9047619047619048,0.92,0.92,0.6947890818858561,0.7114093959731542,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.7,0.7,0.6342281879194631,0.5,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,0.0,0.881578947368421,0.8481012658227848,1,0
Brodie Grundy,0.6875,0.4583333333333333,0.8571428571428571,0.8571428571428571,0.9333333333333333,0.9333333333333333,0.5555555555555556,0.5,0.0,0.0,0.25,0.25,0.6,0.3333333333333333,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,1.0,1.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.88,0.88,0.620347394540943,0.6442953020134227,0.5,0.25,0.0,0.0,0.2,0.2,0.3333333333333333,0.2,1.0,1.0,0.75,0.75,0.6,0.6,0.610738255033557,0.48148148148148145,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.0,0.0,0.9078947368421053,0.8734177215189873,1,3
Christopher Mayne,0.6875,0.4583333333333333,0.7619047619047619,0.7619047619047619,0.8666666666666667,0.8666666666666667,0.7777777777777778,0.6666666666666666,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.16666666666666666,1.0,0.75,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.7619047619047619,0.7619047619047619,1.0,1.0,0.9925558312655087,0.9798657718120805,0.5,0.25,0.0,0.0,0.3,0.3,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.4,0.4,0.6560402684563759,0.5171957671957672,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.0,0.0,0.9736842105263158,0.9367088607594937,1,0
Taylor Adams,0.875,0.5833333333333334,0.6190476190476191,0.6190476190476191,0.8666666666666667,0.8666666666666667,1.0,0.8333333333333334,0.0,0.0,0.25,0.25,0.8,0.4444444444444444,0.0,0.0,0.5,0.3333333333333333,0.625,0.625,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.4,0.4,1.0,1.0,0.92,0.92,0.8188585607940447,0.8232662192393735,0.0,0.0,0.16666666666666666,0.16666666666666666,0.1,0.1,0.6666666666666666,0.4,0.25,0.25,0.5,0.5,1.0,1.0,0.7315436241610739,0.5767195767195767,0.42857142857142855,0.42857142857142855,1.0,1.0,0.0,0.0,0.7763157894736842,0.7468354430379747,1,0
Jack Crisp,0.8125,0.5416666666666666,0.47619047619047616,0.47619047619047616,0.7333333333333333,0.7333333333333333,0.4444444444444444,0.4166666666666667,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.0,0.0,0.0,0.0,0.375,0.375,0.8571428571428571,0.8571428571428571,0.5,0.5,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.45,0.45,0.6190476190476191,0.6190476190476191,0.52,0.52,0.22332506203473948,0.2863534675615212,0.0,0.0,0.0,0.0,0.4,0.4,0.6666666666666666,0.4,0.75,0.75,0.75,0.75,0.9,0.9,0.947986577181208,0.7473544973544973,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.0,0.0,0.9342105263157895,0.8987341772151899,1,0
Tom Phillips,0.75,0.5,0.38095238095238093,0.38095238095238093,0.6333333333333333,0.6333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.25,0.8,0.4444444444444444,0.0,0.0,0.5,0.3333333333333333,0.625,0.625,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.15,0.15,0.7619047619047619,0.7619047619047619,0.36,0.36,0.0,0.08501118568232656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.6,0.6,0.8624161073825504,0.6798941798941799,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.0,0.0,0.9342105263157895,0.8987341772151899,1,0
John Noble,0.5625,0.375,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5833333333333334,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.05,0.05,0.7142857142857143,0.7142857142857143,0.52,0.52,0.7444168734491315,0.7561521252796419,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5486577181208053,0.43253968253968256,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.0,0.0,0.8289473684210527,0.7974683544303798,1,0
Jamie Elliott,0.8125,0.5416666666666666,0.047619047619047616,0.047619047619047616,0.43333333333333335,0.43333333333333335,0.8888888888888888,0.75,0.75,0.75,1.0,1.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.375,0.375,0.14285714285714285,0.14285714285714285,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.42857142857142855,0.42857142857142855,0.28,0.28,0.12406947890818859,0.19686800894854578,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.9,0.9,0.738255033557047,0.582010582010582,0.5714285714285714,0.5714285714285714,0.0,0.0,1.0,0.3333333333333333,0.9473684210526315,0.9113924050632911,1,2
Levi Greenwood,0.25,0.16666666666666666,0.38095238095238093,0.38095238095238093,0.36666666666666664,0.36666666666666664,0.2222222222222222,0.25,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.2,0.2,0.42857142857142855,0.42857142857142855,0.44,0.44,0.9181141439205956,0.9127516778523489,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2651006711409396,0.20899470899470898,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.0,0.0,0.881578947368421,0.8481012658227848,1,0
