Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Shaun Higgins,0.8,0.8235294117647058,1.0,0.875,1.0,0.9642857142857143,0.46153846153846156,0.46153846153846156,0.25,0.25,0.5,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.25,0.25,0.7142857142857143,0.7142857142857143,1.0,1.0,0.3333333333333333,0.2857142857142857,0.5,0.5,1.0,0.75,0.5833333333333334,0.6153846153846154,0.7894736842105263,0.8181818181818182,1.0,1.0,0.6403712296983759,0.6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.7,0.4924078091106291,0.5204918032786885,1.0,1.0,0.14285714285714285,0.1,0.6666666666666666,0.6666666666666666,0.5405405405405406,0.7976190476190477,1,3
Jared Polec,1.0,1.0,0.46153846153846156,0.4375,0.8181818181818182,0.8214285714285714,0.5384615384615384,0.5384615384615384,0.0,0.0,0.5,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,0.5,0.5,0.5,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.14285714285714285,0.25,0.25,0.6666666666666666,0.5,0.3333333333333333,0.38461538461538464,1.0,1.0,0.7777777777777778,0.8181818181818182,0.5475638051044084,0.52,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4444444444444444,0.5,1.0,1.0,0.8,0.8333333333333334,0.14285714285714285,0.1,0.0,0.0,0.6486486486486487,0.8452380952380952,1,2
Todd Goldstein,0.26666666666666666,0.35294117647058826,1.0,0.875,0.6363636363636364,0.6785714285714286,0.07692307692307693,0.07692307692307693,0.0,0.0,1.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,1.0,1.0,0.0,0.0,0.375,0.375,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.14285714285714285,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6923076923076923,0.3684210526315789,0.45454545454545453,0.5555555555555556,0.6363636363636364,0.45475638051044087,0.44,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,1.0,1.0,0.2841648590021692,0.3237704918032787,0.4,0.5,0.5714285714285714,0.4,0.0,0.0,0.7297297297297297,0.8809523809523809,1,0
Shaun Atley,1.0,1.0,0.15384615384615385,0.1875,0.6363636363636364,0.6785714285714286,0.5384615384615384,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5384615384615384,0.5789473684210527,0.6363636363636364,0.8333333333333334,0.8636363636363636,0.988399071925754,0.9,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.38611713665943603,0.42008196721311475,0.0,0.16666666666666666,1.0,0.7,0.0,0.0,0.6216216216216216,0.8333333333333334,1,0
Trent Dumont,0.9333333333333333,0.9411764705882353,0.23076923076923078,0.25,0.6363636363636364,0.6785714285714286,0.8461538461538461,0.8461538461538461,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.25,0.25,0.2857142857142857,0.2857142857142857,0.0,0.0,0.16666666666666666,0.14285714285714285,0.5,0.5,0.0,0.0,0.16666666666666666,0.23076923076923078,0.6842105263157895,0.7272727272727273,0.7222222222222222,0.7727272727272727,0.7795823665893271,0.72,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.2222222222222222,0.3,0.31670281995661603,0.35450819672131145,0.4,0.5,0.42857142857142855,0.3,0.0,0.0,0.6486486486486487,0.8452380952380952,1,0
Ben Cunnington,0.26666666666666666,0.35294117647058826,0.9230769230769231,0.8125,0.5909090909090909,0.6428571428571429,0.07692307692307693,0.07692307692307693,0.25,0.25,0.5,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.25,0.25,0.2857142857142857,0.2857142857142857,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.9166666666666666,0.9230769230769231,0.21052631578947367,0.3181818181818182,0.2777777777777778,0.4090909090909091,-0.009280742459396718,0.04,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3333333333333333,0.4,0.08676789587852494,0.13729508196721313,0.6,0.6666666666666666,0.5714285714285714,0.4,0.0,0.0,0.4594594594594595,0.7619047619047619,1,0
Jasper Pittard,1.0,1.0,0.07692307692307693,0.125,0.5909090909090909,0.6428571428571429,1.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.2857142857142857,0.2857142857142857,0.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.3333333333333333,0.38461538461538464,0.631578947368421,0.6818181818181818,0.6111111111111112,0.6818181818181818,0.6635730858468678,0.62,1.0,1.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3,0.4945770065075922,0.5225409836065574,0.2,0.3333333333333333,0.7142857142857143,0.5,0.0,0.0,0.5945945945945946,0.8214285714285714,1,0
Aaron Hall,0.6666666666666666,0.7058823529411765,0.46153846153846156,0.4375,0.5909090909090909,0.6428571428571429,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,0.5,0.625,0.625,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.16666666666666666,0.14285714285714285,0.25,0.25,0.3333333333333333,0.25,0.5833333333333334,0.6153846153846154,0.42105263157894735,0.5,0.3888888888888889,0.5,0.19953596287703018,0.22,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.4,0.5401301518438177,0.5655737704918032,0.8,0.8333333333333334,0.5714285714285714,0.4,0.0,0.0,0.24324324324324326,0.6666666666666666,1,0
Robbie Tarrant,0.8,0.8235294117647058,0.23076923076923078,0.25,0.5454545454545454,0.6071428571428571,1.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.8571428571428571,0.0,0.0,0.3333333333333333,0.25,0.16666666666666666,0.23076923076923078,0.631578947368421,0.6818181818181818,0.6666666666666666,0.7272727272727273,0.8723897911832946,0.8,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3,0.10412147505422993,0.15368852459016394,0.2,0.3333333333333333,0.8571428571428571,0.6,0.0,0.0,0.7297297297297297,0.8809523809523809,1,0
Jed Anderson,0.2,0.29411764705882354,0.8461538461538461,0.75,0.5,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.125,0.125,1.0,1.0,0.7142857142857143,0.7142857142857143,0.16666666666666666,0.14285714285714285,0.25,0.25,0.0,0.0,1.0,1.0,0.15789473684210525,0.2727272727272727,0.3888888888888889,0.5,0.36194895591647336,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.6,0.24295010845986983,0.2848360655737705,0.4,0.5,0.2857142857142857,0.2,0.0,0.0,0.1891891891891892,0.6428571428571429,1,0
