Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Dayne Zorko,1.0,1.0,0.25,0.3333333333333333,0.8275862068965517,1.0,0.3333333333333333,0.42857142857142855,0.25,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.125,0.14285714285714285,0.75,0.75,0.0,0.0,0.6956521739130435,0.9375,0.6,0.6153846153846154,0.6521739130434783,0.8333333333333334,0.0,0.0,0.3333333333333333,0.5,0.08333333333333333,0.1,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.7,0.6666666666666666,1.0,1.0,0.0,0.0,0.3333333333333333,0.5555555555555556,1.0,1.0,0.6216216216216216,0.6571428571428571,1,Home,3,0.375,0.5,0.2222222222222222,0.3333333333333333,0.6666666666666666,1.0,0.7777777777777778,0.75,0.6666666666666666,0.8333333333333334
Lachie Neale,0.47368421052631576,0.4444444444444444,0.6666666666666666,1.0,0.8275862068965517,1.0,0.2222222222222222,0.2857142857142857,0.0,0.0,0.3333333333333333,0.5,0.2727272727272727,0.2727272727272727,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.5714285714285714,0.5714285714285714,0.0,0.0,0.25,0.25,0.0,0.0,0.7391304347826086,1.0,0.6666666666666666,0.6923076923076923,0.782608695652174,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.1,0.0,0.0,0.75,1.0,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444,0.43892045454545453,0.43892045454545453,0.8333333333333334,0.8333333333333334,0.4,0.6666666666666666,0.0,0.0,0.7837837837837838,0.8285714285714286,1,Home,1,0.25,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.25,0.4666666666666667,0.5833333333333334
Jarrod Berry,0.47368421052631576,0.4444444444444444,0.5,0.7333333333333333,0.6896551724137931,0.8181818181818182,0.3333333333333333,0.42857142857142855,0.25,0.5,0.3333333333333333,0.5,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.5714285714285714,0.5714285714285714,0.375,0.42857142857142855,0.25,0.25,1.0,1.0,0.391304347826087,0.5,0.9333333333333333,1.0,0.43478260869565216,0.5555555555555556,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6,0.5555555555555556,0.40767045454545453,0.40767045454545453,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0,0.6756756756756757,0.7142857142857143,1,Home,0,0.375,0.5,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.625,0.7333333333333333,0.9166666666666666
Hugh McCluggage,0.7368421052631579,0.7222222222222222,0.25,0.3333333333333333,0.6551724137931034,0.7727272727272727,0.4444444444444444,0.5714285714285714,0.5,1.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.36363636363636365,0.36363636363636365,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5217391304347826,0.6875,0.7333333333333333,0.7692307692307693,0.5217391304347826,0.6666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.1,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.8,0.7777777777777778,0.6647727272727273,0.6647727272727273,0.75,0.75,0.26666666666666666,0.4444444444444444,0.2,0.2,0.43243243243243246,0.45714285714285713,1,Home,0,0.5,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.8888888888888888,0.875,0.5333333333333333,0.6666666666666666
Jarryd Lyons,0.631578947368421,0.6111111111111112,0.2916666666666667,0.4,0.6206896551724138,0.7272727272727273,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.5714285714285714,0.5714285714285714,0.25,0.2857142857142857,0.0,0.0,0.5,0.5,0.391304347826087,0.5,0.8,0.8461538461538461,0.30434782608695654,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.1111111111111111,0.5085227272727273,0.5085227272727273,0.6666666666666667,0.6666666666666667,0.2,0.3333333333333333,0.2,0.2,0.4594594594594595,0.4857142857142857,1,Home,0,0.375,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.2222222222222222,0.125,0.8,1.0
Tom Cutler,0.5263157894736842,0.5,0.375,0.5333333333333333,0.6206896551724138,0.7272727272727273,0.4444444444444444,0.5714285714285714,0.25,0.5,0.3333333333333333,0.5,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.8571428571428572,0.8571428571428572,0.125,0.14285714285714285,0.25,0.25,1.0,1.0,0.2608695652173913,0.3125,0.9333333333333333,1.0,0.5217391304347826,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.8,0.7777777777777778,0.41761363636363635,0.41761363636363635,0.9166666666666666,0.9166666666666666,0.13333333333333333,0.2222222222222222,0.4,0.4,0.5405405405405406,0.5714285714285714,1,Home,0,0.5,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.8888888888888888,0.875,0.4666666666666667,0.5833333333333334
Mitch Robinson,0.5789473684210527,0.5555555555555556,0.2916666666666667,0.4,0.5862068965517241,0.6818181818181818,0.1111111111111111,0.14285714285714285,0.25,0.5,0.6666666666666666,1.0,0.8181818181818182,0.8181818181818182,0.0,0.0,1.0,1.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,1.0,0.0,0.0,0.4782608695652174,0.625,0.6,0.6153846153846154,0.30434782608695654,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.7,0.6666666666666666,0.4772727272727273,0.4772727272727273,0.6666666666666667,0.6666666666666667,0.2,0.3333333333333333,0.6,0.6,0.4594594594594595,0.4857142857142857,1,Home,0,0.125,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.6666666666666666,1.0,0.4444444444444444,0.375,0.7333333333333333,0.9166666666666666
Stefan Martin,0.5263157894736842,0.5,0.2916666666666667,0.4,0.5517241379310345,0.6363636363636364,0.6666666666666666,0.8571428571428571,0.0,0.0,0.6666666666666666,1.0,0.36363636363636365,0.36363636363636365,1.0,1.0,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.7142857142857143,0.7142857142857143,0.125,0.14285714285714285,0.25,0.25,1.0,1.0,0.34782608695652173,0.4375,0.5333333333333333,0.5384615384615384,0.34782608695652173,0.4444444444444444,0.5,0.5,0.6666666666666666,1.0,0.25,0.3,0.0,0.0,0.5,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.0,1.0,0.40625,0.40625,0.41666666666666663,0.41666666666666663,0.26666666666666666,0.4444444444444444,0.4,0.4,0.4864864864864865,0.5142857142857142,1,Home,0,0.625,0.8333333333333334,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.3333333333333333,1.0,1.0,0.6,0.75
Daniel Rich,0.7894736842105263,0.7777777777777778,0.08333333333333333,0.06666666666666667,0.5517241379310345,0.6363636363636364,0.7777777777777778,1.0,0.25,0.5,0.3333333333333333,0.5,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.5714285714285714,0.5714285714285714,0.625,0.7142857142857143,0.25,0.25,1.0,1.0,0.30434782608695654,0.375,0.6666666666666666,0.6923076923076923,0.43478260869565216,0.5555555555555556,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7,0.6666666666666666,0.8494318181818182,0.8494318181818182,0.6666666666666667,0.6666666666666667,0.5333333333333333,0.8888888888888888,0.0,0.0,0.5675675675675675,0.6,1,Home,0,0.75,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7777777777777778,0.75,0.4666666666666667,0.5833333333333334
Luke Hodge,0.3684210526315789,0.3333333333333333,0.20833333333333334,0.26666666666666666,0.3793103448275862,0.4090909090909091,0.2222222222222222,0.2857142857142857,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.4285714285714286,0.4285714285714286,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.2608695652173913,0.3125,0.4666666666666667,0.46153846153846156,0.21739130434782608,0.2777777777777778,0.0,0.0,0.0,0.0,0.4166666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2222222222222222,0.20880681818181818,0.20880681818181818,0.75,0.75,0.6,1.0,0.0,0.0,0.8378378378378378,0.8857142857142857,1,Home,0,0.25,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.25,0.4666666666666667,0.5833333333333334
