Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Lachie Neale,0.5,0.5,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.4,0.4,1.0,1.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.9375,0.8823529411764706,1.0,1.0,0.6602972399150743,0.6975425330812854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.5599369085173501,0.5181058495821727,0.2857142857142857,0.2222222222222222,0.5833333333333334,0.5833333333333334,0.25,0.25,0.75,0.8780487804878049,1,3
Hugh McCluggage,0.8333333333333334,0.8333333333333334,0.2962962962962963,0.2962962962962963,0.6388888888888888,0.6388888888888888,0.5,0.5,0.0,0.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7142857142857143,1.0,0.75,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4090909090909091,0.4090909090909091,1.0,0.9411764705882353,0.43333333333333335,0.43333333333333335,0.17197452229299365,0.2627599243856332,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.25,0.25,0.375,0.375,0.4,0.4,0.5993690851735016,0.552924791086351,0.7142857142857143,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,0.7,0.8536585365853658,1,0
Alex Witherden,1.0,1.0,0.1111111111111111,0.1111111111111111,0.5833333333333334,0.5833333333333334,0.75,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,0.2,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.625,0.0,0.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.9375,0.8823529411764706,0.5333333333333333,0.5333333333333333,0.554140127388535,0.6030245746691871,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.5,0.25,0.25,0.125,0.125,0.7,0.7,0.8580441640378549,0.7813370473537604,0.8571428571428571,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.0,0.0,0.7,0.8536585365853658,1,0
Mitch Robinson,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.75,0.75,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.7,0.7,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.25,0.5,0.3333333333333333,1.0,1.0,0.3181818181818182,0.3181818181818182,0.9375,0.8823529411764706,0.4666666666666667,0.4666666666666667,0.4267515923566879,0.4896030245746692,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.7,0.7,1.0,0.9066852367688022,1.0,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.25,0.25,0.2,0.6097560975609756,1,0
Daniel Rich,0.7222222222222222,0.7222222222222222,0.2222222222222222,0.2222222222222222,0.5277777777777778,0.5277777777777778,0.875,0.875,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.75,0.0,0.0,0.0,0.0,0.22727272727272727,0.22727272727272727,0.6875,0.6470588235294118,0.5333333333333333,0.5333333333333333,0.70276008492569,0.7353497164461248,1.0,0.6,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8091482649842271,0.7381615598885793,0.5714285714285714,0.4444444444444444,0.4166666666666667,0.4166666666666667,0.0,0.0,0.8,0.9024390243902439,1,0
Jarryd Lyons,0.5555555555555556,0.5555555555555556,0.2962962962962963,0.2962962962962963,0.5,0.5,0.125,0.125,0.3333333333333333,0.3333333333333333,0.2,0.2,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,0.2,0.2,0.4166666666666667,0.4166666666666667,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4090909090909091,0.4090909090909091,0.625,0.5882352941176471,0.3,0.3,0.08704883227176223,0.18714555765595461,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.5,0.5,0.5,0.361198738170347,0.3426183844011142,0.5714285714285714,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.5,0.5,0.55,0.7804878048780488,1,0
Dayne Zorko,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.4722222222222222,0.4722222222222222,0.375,0.375,0.3333333333333333,0.3333333333333333,0.2,0.2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182,1.0,0.9411764705882353,0.4,0.4,0.4692144373673036,0.5274102079395085,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.125,0.125,0.5,0.5,0.8690851735015773,0.7910863509749304,0.5714285714285714,0.4444444444444444,0.08333333333333333,0.08333333333333333,1.0,1.0,0.7,0.8536585365853658,1,0
Jarrod Berry,0.3888888888888889,0.3888888888888889,0.37037037037037035,0.37037037037037035,0.4722222222222222,0.4722222222222222,0.25,0.25,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,0.0,1.0,0.5,0.3,0.3,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.25,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4090909090909091,0.4090909090909091,0.625,0.5882352941176471,0.36666666666666664,0.36666666666666664,0.36305732484076436,0.4328922495274102,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.75,0.125,0.125,0.7,0.7,0.3501577287066246,0.3328690807799443,0.7142857142857143,0.5555555555555556,0.16666666666666666,0.16666666666666666,0.5,0.5,0.1,0.5609756097560976,1,0
Rhys Mathieson,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.25,0.25,0.0,0.0,0.2,0.2,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.3,0.3,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.42857142857142855,0.5,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4090909090909091,0.4090909090909091,0.4375,0.4117647058823529,0.2,0.2,-0.019108280254777038,0.09262759924385632,0.3333333333333333,0.2,0.0,0.0,0.375,0.375,0.0,0.0,0.25,0.25,0.125,0.125,0.4,0.4,0.27287066246056785,0.2646239554317549,0.5714285714285714,0.4444444444444444,0.0,0.0,0.75,0.75,0.0,0.5121951219512195,1,0
Charlie Cameron,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.3611111111111111,0.3611111111111111,0.625,0.625,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,1.0,0.5,0.3,0.3,0.08333333333333333,0.08333333333333333,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.36363636363636365,0.36363636363636365,0.4375,0.4117647058823529,0.26666666666666666,0.26666666666666666,0.32059447983014866,0.3950850661625709,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.5,0.25,0.25,0.0,0.0,1.0,1.0,0.5488958990536278,0.5083565459610028,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5,0.7560975609756098,1,1
