Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Matt Crouch,0.6428571428571429,0.47368421052631576,1.0,1.0,1.0,0.7878787878787878,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,1.0,0.6363636363636364,0.8,0.4444444444444444,0.0,0.0,0.75,0.75,1.0,0.75,1.0,0.5238095238095238,1.0,0.75,0.8947368421052632,0.68,0.6631578947368421,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.3,0.8,0.5,0.26859504132231404,0.2589641434262948,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.0,0.0,0.7931034482758621,0.7931034482758621,0,0
Luke Brown,1.0,0.7368421052631579,0.29411764705882354,0.29411764705882354,0.7307692307692307,0.5757575757575758,0.25,0.2,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.75,0.5,0.14285714285714285,0.09090909090909091,0.4,0.2222222222222222,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.25,1.0,0.76,1.0,0.95,0.0,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0,0.25,0.25,0.0,0.0,0.2,0.125,1.0,0.9641434262948207,0.6666666666666666,0.5714285714285714,1.0,1.0,0.0,0.0,0.8505747126436781,0.8505747126436781,0,0
Rory Laird,0.42857142857142855,0.3157894736842105,0.7647058823529411,0.7647058823529411,0.7307692307692307,0.5757575757575758,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.42857142857142855,0.2727272727272727,0.8,0.4444444444444444,0.42857142857142855,0.42857142857142855,0.5,0.5,1.0,0.75,0.8181818181818182,0.42857142857142855,0.6666666666666666,0.5,0.8421052631578947,0.64,0.8421052631578947,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.4,0.2,0.2,0.125,0.4297520661157025,0.41434262948207173,0.8333333333333334,0.7142857142857143,0.4444444444444444,0.4444444444444444,0.75,0.75,0.7241379310344828,0.7241379310344828,0,0
Tom Lynch,0.5,0.3684210526315789,0.6470588235294118,0.6470588235294118,0.6923076923076923,0.5454545454545454,1.0,0.8,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,1.0,0.5,0.75,0.5,0.2857142857142857,0.18181818181818182,0.6,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.5,0.5,0.3333333333333333,0.25,0.6363636363636364,0.3333333333333333,0.7333333333333333,0.55,0.7894736842105263,0.6,0.8210526315789474,0.78,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.125,0.4834710743801653,0.46613545816733065,0.6666666666666666,0.5714285714285714,0.5555555555555556,0.5555555555555556,0.0,0.0,0.8735632183908046,0.8735632183908046,0,0
Ben Keays,0.6428571428571429,0.47368421052631576,0.5294117647058824,0.5294117647058824,0.6923076923076923,0.5454545454545454,1.0,0.8,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.6363636363636364,0.6,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.0,0.0,0.3333333333333333,0.25,0.7272727272727273,0.38095238095238093,0.6,0.45,0.631578947368421,0.48,0.6631578947368421,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.4,0.25,0.6900826446280992,0.6653386454183267,1.0,0.8571428571428571,0.2222222222222222,0.2222222222222222,0.0,0.0,0.896551724137931,0.896551724137931,0,0
Tom Doedee,0.2857142857142857,0.21052631578947367,0.7647058823529411,0.7647058823529411,0.6538461538461539,0.5151515151515151,0.75,0.6,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.42857142857142855,0.42857142857142855,0.5,0.5,0.0,0.0,0.6363636363636364,0.3333333333333333,0.5333333333333333,0.4,0.631578947368421,0.48,0.6947368421052632,0.66,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5714285714285714,0.4444444444444444,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.125,0.512396694214876,0.4940239043824701,1.0,0.8571428571428571,0.8888888888888888,0.8888888888888888,0.0,0.0,0.8735632183908046,0.8735632183908046,0,0
Paul Seedsman,0.7142857142857143,0.5263157894736842,0.35294117647058826,0.35294117647058826,0.6153846153846154,0.48484848484848486,0.25,0.2,1.0,0.6666666666666666,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.14285714285714285,0.09090909090909091,1.0,0.5555555555555556,0.14285714285714285,0.14285714285714285,0.25,0.25,0.3333333333333333,0.25,0.18181818181818182,0.09523809523809523,0.8666666666666667,0.65,0.5263157894736842,0.4,0.6105263157894737,0.58,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.0,0.625,0.8450413223140496,0.8147410358565738,1.0,0.8571428571428571,0.1111111111111111,0.1111111111111111,0.25,0.25,0.9425287356321839,0.9425287356321839,0,0
David MacKay,0.42857142857142855,0.3157894736842105,0.5294117647058824,0.5294117647058824,0.5769230769230769,0.45454545454545453,0.25,0.2,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,0.2,0.1111111111111111,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.18181818181818182,0.09523809523809523,0.8,0.6,0.5263157894736842,0.4,0.6526315789473685,0.62,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.125,0.5826446280991735,0.5617529880478087,0.5,0.42857142857142855,0.4444444444444444,0.4444444444444444,0.0,0.0,0.8275862068965517,0.8275862068965517,0,0
Harry Schoenberg,0.2857142857142857,0.21052631578947367,0.4117647058823529,0.4117647058823529,0.4230769230769231,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.5,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.14285714285714285,0.5333333333333333,0.4,0.3684210526315789,0.28,0.6105263157894737,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.1,0.6,0.375,0.32231404958677684,0.3107569721115538,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.6896551724137931,0.6896551724137931,0,0
Elliott Himmelberg,0.5,0.3684210526315789,0.11764705882352941,0.11764705882352941,0.34615384615384615,0.2727272727272727,0.75,0.6,0.5,0.3333333333333333,1.0,0.3333333333333333,0.375,0.375,0.19230769230769232,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.6363636363636364,0.3333333333333333,0.13333333333333333,0.1,0.3157894736842105,0.24,0.631578947368421,0.6,1.0,1.0,0.0,0.0,0.2857142857142857,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.5723140495867769,0.5517928286852589,0.5,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.25,0.25,0.9310344827586207,0.9310344827586207,0,0
