Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Clayton Oliver,1.0,0.7727272727272727,0.875,0.8235294117647058,1.0,0.9259259259259259,0.3333333333333333,0.3333333333333333,0.5,0.25,0.0,0.0,0.7142857142857143,0.625,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.5714285714285714,0.4,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7058823529411765,0.7058823529411765,0.8421052631578947,0.85,1.0,1.0,0.7334963325183373,0.6569468267581475,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,1.0,1.0,1.0,0.5,0.5833333333333334,0.5833333333333334,0.8872950819672131,0.9061433447098977,0.16666666666666666,0.14285714285714285,0.75,0.75,0.0,0.0,0.6428571428571429,0.7551020408163265,1,2
Angus Brayshaw,1.0,0.7727272727272727,0.75,0.7058823529411765,0.9166666666666666,0.8518518518518519,0.5,0.4444444444444444,0.5,0.25,0.25,0.25,0.42857142857142855,0.375,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6,0.3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4117647058823529,0.4117647058823529,1.0,1.0,0.6842105263157895,0.7,0.3667481662591687,0.3996569468267581,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.5,0.0,0.0,0.5833333333333334,0.5833333333333334,1.0,1.0,1.0,0.8571428571428571,0.625,0.625,0.0,0.0,0.4642857142857143,0.6530612244897959,1,1
Christian Petracca,0.7333333333333333,0.5909090909090909,1.0,0.9411764705882353,0.9166666666666666,0.8518518518518519,0.6666666666666666,0.5555555555555556,0.5,0.25,0.5,0.5,0.42857142857142855,0.375,0.0,0.0,0.5,0.5,0.375,0.375,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.2,0.1,1.0,1.0,0.0,0.0,1.0,1.0,0.5263157894736842,0.55,0.6842105263157895,0.7,0.3667481662591687,0.3996569468267581,0.0,0.0,0.4,0.4,0.125,0.125,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.7479508196721312,0.7901023890784983,0.8333333333333334,0.7142857142857143,0.75,0.75,0.0,0.0,0.5714285714285714,0.7142857142857143,1,3
Ed Langdon,0.6666666666666666,0.5454545454545454,0.6875,0.6470588235294118,0.6666666666666666,0.6296296296296297,0.5,0.4444444444444444,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.0,0.0,0.5,0.5,0.75,0.75,0.16666666666666666,0.16666666666666666,0.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.29411764705882354,0.7894736842105263,0.8,0.6842105263157895,0.7,0.7823960880195598,0.6912521440823327,0.0,0.0,0.0,0.0,0.125,0.125,1.0,1.0,0.0,0.0,0.5,0.25,0.5,0.5,0.5040983606557377,0.5870307167235495,0.16666666666666666,0.14285714285714285,0.25,0.25,0.25,0.25,0.8928571428571429,0.8979591836734694,1,0
Michael Hibberd,0.6666666666666666,0.5454545454545454,0.4375,0.4117647058823529,0.5,0.48148148148148145,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,1.0,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.29411764705882354,0.29411764705882354,0.3684210526315789,0.4,0.47368421052631576,0.5,0.6845965770171148,0.6226415094339622,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.46311475409836067,0.552901023890785,0.3333333333333333,0.2857142857142857,0.875,0.875,0.0,0.0,0.6428571428571429,0.7551020408163265,1,0
Christian Salem,0.5333333333333333,0.45454545454545453,0.5,0.47058823529411764,0.4583333333333333,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.6,0.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.35294117647058826,0.35294117647058826,0.3157894736842105,0.35,0.42105263157894735,0.45,0.6601466992665036,0.6054888507718696,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.32786885245901637,0.4402730375426621,0.3333333333333333,0.2857142857142857,0.5,0.5,0.0,0.0,0.6071428571428571,0.7346938775510204,1,0
Tom Sparrow,0.4666666666666667,0.4090909090909091,0.5,0.47058823529411764,0.4166666666666667,0.4074074074074074,0.3333333333333333,0.3333333333333333,0.5,0.25,0.0,0.0,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,0.375,0.375,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.35294117647058826,0.3684210526315789,0.4,0.3157894736842105,0.35,0.48899755501222486,0.48542024013722124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0.5,0.23975409836065573,0.36689419795221845,0.16666666666666666,0.14285714285714285,0.125,0.125,0.0,0.0,0.0,0.3877551020408163,1,0
Bayley Fritsch,0.6,0.5,0.1875,0.17647058823529413,0.2916666666666667,0.2962962962962963,0.5,0.4444444444444444,1.0,0.5,1.0,1.0,0.14285714285714285,0.125,0.0,0.0,1.0,1.0,0.375,0.375,0.0,0.0,0.16666666666666666,0.14285714285714285,0.2,0.1,0.6666666666666666,0.6666666666666666,0.0,0.0,0.35294117647058826,0.35294117647058826,0.21052631578947367,0.25,0.05263157894736842,0.1,0.0,0.14236706689536874,0.0,0.0,0.4,0.4,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5491803278688525,0.6245733788395904,0.16666666666666666,0.14285714285714285,0.125,0.125,0.25,0.25,0.17857142857142858,0.4897959183673469,1,0
Trent Rivers,0.26666666666666666,0.2727272727272727,0.5,0.47058823529411764,0.2916666666666667,0.2962962962962963,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.16666666666666666,0.14285714285714285,0.4,0.2,0.0,0.0,0.0,0.0,0.23529411764705882,0.23529411764705882,0.3157894736842105,0.35,0.3157894736842105,0.35,0.8557457212713935,0.7427101200686106,0.6666666666666666,0.6666666666666666,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.10450819672131148,0.25426621160409557,0.16666666666666666,0.14285714285714285,0.625,0.625,0.0,0.0,0.25,0.5306122448979592,1,0
Nathan Jones,0.4,0.36363636363636365,0.3125,0.29411764705882354,0.25,0.25925925925925924,0.0,0.1111111111111111,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.375,0.0,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.23529411764705882,0.23529411764705882,0.2631578947368421,0.3,0.15789473684210525,0.2,0.4645476772616136,0.4682675814751286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.09631147540983606,0.24744027303754265,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.5102040816326531,1,0
