Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Brad Crouch,0.7,0.47368421052631576,1.0,1.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.4,0.4,0.36363636363636365,0.36363636363636365,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.7222222222222222,0.8823529411764706,0.75,1.0,1.0,0.6372950819672131,0.5446584938704028,0.0,0.0,0.0,0.0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.8,0.8,0.2857142857142857,0.2857142857142857,0.2956989247311828,0.389413988657845,0.375,0.375,0.42857142857142855,0.375,0.0,0.0,0.39285714285714285,0.5142857142857142,1,1
Rory Laird,0.8,0.5263157894736842,0.7777777777777778,0.8,0.875,0.8888888888888888,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.375,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,0.45,0.75,0.75,0.4323770491803279,0.36952714535901926,0.25,0.25,0.0,0.0,0.14285714285714285,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.47580645161290325,0.5160680529300568,0.625,0.625,0.7142857142857143,0.625,1.0,1.0,0.35714285714285715,0.4857142857142857,1,3
Matt Crouch,0.7,0.47368421052631576,0.7777777777777778,0.8,0.8333333333333334,0.8518518518518519,0.2857142857142857,0.2857142857142857,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2727272727272727,0.2727272727272727,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.85,0.75,0.75,0.4733606557377049,0.404553415061296,0.0,0.0,0.0,0.0,0.2857142857142857,0.2,0.0,0.0,0.16666666666666666,0.16666666666666666,0.4,0.4,0.42857142857142855,0.42857142857142855,0.6209677419354839,0.6181474480151229,0.375,0.375,0.42857142857142855,0.375,0.0,0.0,0.2857142857142857,0.42857142857142855,1,2
David MacKay,0.6,0.42105263157894735,0.3888888888888889,0.45,0.5,0.5555555555555556,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.6,0.6,0.09090909090909091,0.09090909090909091,0.8,0.8,0.3333333333333333,0.125,0.5,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5294117647058824,0.45,0.4,0.4,0.2889344262295082,0.2469352014010508,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.4,1.0,1.0,0.0,0.0,0.2,0.2,0.42857142857142855,0.42857142857142855,0.30376344086021506,0.3950850661625709,0.25,0.25,0.7142857142857143,0.625,0.0,0.0,0.4642857142857143,0.5714285714285714,1,0
Ben Keays,0.6,0.42105263157894735,0.3333333333333333,0.4,0.4583333333333333,0.5185185185185185,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6,0.6,0.2727272727272727,0.2727272727272727,0.6,0.6,0.3333333333333333,0.125,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5882352941176471,0.5,0.3,0.3,0.14549180327868855,0.12434325744308233,0.0,0.0,0.0,0.0,0.42857142857142855,0.3,0.0,0.0,0.0,0.0,0.6,0.6,0.14285714285714285,0.14285714285714285,0.47043010752688175,0.5122873345935728,1.0,1.0,0.14285714285714285,0.125,0.0,0.0,0.4642857142857143,0.5714285714285714,1,0
Rory Sloane,0.4,0.3157894736842105,0.3888888888888889,0.45,0.4166666666666667,0.48148148148148145,0.0,0.0,0.5,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.0,0.0,0.0,0.0,0.4,0.4,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.47058823529411764,0.4,0.5,0.5,0.6782786885245902,0.5796847635726795,0.0,0.0,0.0,0.0,0.42857142857142855,0.3,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,0.12903225806451613,0.2722117202268431,0.125,0.125,0.2857142857142857,0.25,0.5,0.5,0.0,0.2,1,0
Brodie Smith,1.0,0.631578947368421,0.0,0.1,0.375,0.4444444444444444,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.8,0.8,0.09090909090909091,0.09090909090909091,0.6,0.6,1.0,0.375,0.5,0.3333333333333333,0.5,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.5294117647058824,0.45,0.25,0.25,0.14549180327868855,0.12434325744308233,0.0,0.0,0.0,0.0,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.5714285714285714,0.5714285714285714,1.0,0.8846880907372401,0.875,0.875,0.2857142857142857,0.25,0.0,0.0,0.35714285714285715,0.4857142857142857,1,0
Elliott Himmelberg,0.3,0.2631578947368421,0.2777777777777778,0.35,0.2916666666666667,0.37037037037037035,0.5714285714285714,0.5714285714285714,1.0,1.0,0.5,0.5,0.08333333333333333,0.08333333333333333,0.11627906976744186,0.11627906976744186,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.2,0.2,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.058823529411764705,0.05,0.35,0.35,0.5758196721311475,0.4921190893169878,1.0,1.0,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.18147448015122875,0.25,0.25,0.42857142857142855,0.375,0.0,0.0,0.39285714285714285,0.5142857142857142,1,0
Tyson Stengle,0.5,0.3684210526315789,0.16666666666666666,0.25,0.2916666666666667,0.37037037037037035,0.7142857142857143,0.7142857142857143,0.5,0.5,0.5,0.5,0.25,0.25,0.0,0.0,1.0,1.0,0.8,0.8,0.09090909090909091,0.09090909090909091,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.23529411764705882,0.2,0.45,0.45,0.8627049180327868,0.7373029772329247,0.25,0.25,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.7142857142857143,0.7142857142857143,0.4650537634408602,0.5085066162570888,0.125,0.125,0.42857142857142855,0.375,1.0,1.0,0.17857142857142858,0.34285714285714286,1,0
Shane McAdam,0.5,0.3684210526315789,0.16666666666666666,0.25,0.2916666666666667,0.37037037037037035,1.0,1.0,1.0,1.0,0.5,0.5,0.4166666666666667,0.4166666666666667,0.0,0.0,0.5,0.5,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.4444444444444444,0.4444444444444444,0.29411764705882354,0.25,0.35,0.35,0.5758196721311475,0.4921190893169878,0.75,0.75,1.0,1.0,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.23655913978494625,0.34782608695652173,0.25,0.25,0.14285714285714285,0.125,1.0,1.0,0.0,0.2,1,0
