Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Liam Shiels,1.0,0.55,0.875,0.5625,1.0,0.7142857142857143,0.3333333333333333,0.18181818181818182,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.5,0.5,0.75,0.375,1.0,0.45454545454545453,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.625,0.6666666666666666,0.45,0.9166666666666666,0.5454545454545454,0.4152923538230885,0.4152923538230885,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.14285714285714285,1.0,0.8,0.5,0.3333333333333333,0.9303030303030303,0.563302752293578,1.0,1.0,0.375,0.375,0.5,0.25,0.5909090909090909,0.8571428571428571,0,0
James Cousins,0.7272727272727273,0.4,1.0,0.625,0.8666666666666667,0.6428571428571429,0.3333333333333333,0.18181818181818182,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.5,0.25,0.8,0.36363636363636365,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.5,0.7,0.4375,0.8888888888888888,0.55,0.9166666666666666,0.5454545454545454,0.52023988005997,0.52023988005997,0.0,0.0,0.0,0.0,0.5,0.25,1.0,1.0,1.0,0.5714285714285714,0.0,0.0,0.5,0.3333333333333333,0.6818181818181818,0.41284403669724773,1.0,1.0,0.25,0.25,0.5,0.25,0.6818181818181818,0.8791208791208791,0,0
Jaeger O'Meara,0.5454545454545454,0.3,1.0,0.625,0.7333333333333333,0.5714285714285714,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.25,0.125,0.4,0.18181818181818182,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.7,0.4375,0.6666666666666666,0.45,0.6666666666666666,0.4090909090909091,0.37031484257871067,0.37031484257871067,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.25,0.14285714285714285,0.25,0.2,0.3333333333333333,0.2222222222222222,0.396969696969697,0.24036697247706423,0.5714285714285714,0.5714285714285714,0.125,0.125,0.5,0.25,0.4090909090909091,0.8131868131868132,0,0
Luke Breust,0.7272727272727273,0.4,0.625,0.4375,0.6666666666666666,0.5357142857142857,0.8333333333333334,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3,0.0,0.0,1.0,1.0,0.75,0.375,0.2,0.09090909090909091,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.375,0.6666666666666666,0.45,0.75,0.45454545454545453,0.52023988005997,0.52023988005997,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.2,0.8333333333333334,0.5555555555555556,0.7757575757575758,0.46972477064220186,0.42857142857142855,0.42857142857142855,0.125,0.125,0.0,0.0,0.18181818181818182,0.7582417582417582,0,0
Harry Morrison,0.5454545454545454,0.3,0.875,0.5625,0.6666666666666666,0.5357142857142857,0.6666666666666666,0.36363636363636365,0.0,0.0,0.0,0.0,0.3333333333333333,0.3,0.0,0.0,0.0,0.0,0.5,0.25,0.4,0.18181818181818182,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.2,0.125,1.0,0.6,1.0,0.5909090909090909,0.8050974512743628,0.8050974512743628,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.5,0.4,0.3333333333333333,0.2222222222222222,0.5878787878787879,0.3559633027522936,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,0.25,0.7727272727272727,0.9010989010989011,0,0
Will Day,0.45454545454545453,0.25,1.0,0.625,0.6666666666666666,0.5357142857142857,0.3333333333333333,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.6,0.375,0.4444444444444444,0.35,0.8333333333333334,0.5,0.6251874062968515,0.6251874062968515,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.706060606060606,0.42752293577981654,0.5714285714285714,0.5714285714285714,1.0,1.0,0.0,0.0,0.9545454545454546,0.945054945054945,0,0
Chad Wingard,0.6363636363636364,0.35,0.5,0.375,0.5333333333333333,0.4642857142857143,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.5,0.25,0.125,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.6666666666666666,0.45,0.5,0.3181818181818182,0.3553223388305847,0.3553223388305847,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4444444444444444,0.6060606060606061,0.3669724770642202,0.2857142857142857,0.2857142857142857,0.25,0.25,0.5,0.25,0.6818181818181818,0.8791208791208791,0,0
Blake Hardwick,0.7272727272727273,0.4,0.375,0.3125,0.5333333333333333,0.4642857142857143,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.75,0.375,0.2,0.09090909090909091,0.2857142857142857,0.2857142857142857,0.8333333333333334,0.8333333333333334,0.0,0.0,0.5,0.5,0.2,0.125,0.7777777777777778,0.5,0.8333333333333334,0.5,0.775112443778111,0.775112443778111,0.0,0.0,0.0,0.0,0.8333333333333334,0.4166666666666667,0.0,0.0,0.0,0.0,0.25,0.2,0.3333333333333333,0.2222222222222222,1.0,0.6055045871559633,0.2857142857142857,0.2857142857142857,0.375,0.375,0.0,0.0,0.45454545454545453,0.8241758241758241,0,0
Damon Greaves,0.8181818181818182,0.45,0.25,0.25,0.5333333333333333,0.4642857142857143,1.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.3333333333333333,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09090909090909091,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.4,0.25,0.5555555555555556,0.4,0.9166666666666666,0.5454545454545454,0.8800599700149925,0.8800599700149925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.9696969696969697,0.5871559633027523,1.0,1.0,0.5,0.5,0.0,0.0,0.5454545454545454,0.8461538461538461,0,0
Daniel Howe,0.9090909090909091,0.5,0.0,0.125,0.4666666666666667,0.42857142857142855,0.3333333333333333,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.09090909090909091,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.0625,0.4444444444444444,0.35,0.6666666666666666,0.4090909090909091,0.6401799100449775,0.6401799100449775,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.25,0.2,1.0,0.6666666666666666,0.7212121212121212,0.43669724770642204,0.42857142857142855,0.42857142857142855,0.625,0.625,0.0,0.0,0.2727272727272727,0.7802197802197802,0,0
