Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Mitchell Duncan,0.8666666666666667,0.6842105263157895,0.7857142857142857,0.7857142857142857,1.0,1.0,0.7142857142857143,0.5555555555555556,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.3333333333333333,0.75,0.6,0.6,0.25,0.0,0.0,0.75,0.21428571428571427,0.0,0.0,0.0,0.0,0.8,0.47058823529411764,1.0,1.0,1.0,0.8125,0.27480916030534347,0.4677871148459383,0.0,0.0,0.25,0.25,0.2,0.06666666666666667,0.0,0.0,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.4,0.625,0.625,0.7200772200772201,0.6532399299474606,0.0,0.0,0.5714285714285714,0.4444444444444444,0.0,0.0,0.9111111111111111,0.9111111111111111,0,2
Patrick Dangerfield,0.8,0.631578947368421,0.6428571428571429,0.6428571428571429,0.8636363636363636,0.8636363636363636,0.2857142857142857,0.2222222222222222,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.4166666666666667,1.0,1.0,0.5,0.14285714285714285,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5882352941176471,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.5,-0.01145038167938934,0.25770308123249297,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.6666666666666666,0.4,1.0,1.0,0.8957528957528957,0.8126094570928196,1.0,1.0,0.2857142857142857,0.2222222222222222,0.5,0.5,0.8555555555555555,0.8555555555555555,0,0
Zach Tuohy,1.0,0.7894736842105263,0.2857142857142857,0.2857142857142857,0.7727272727272727,0.7727272727272727,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.4,0.2,0.08333333333333333,0.2,0.2,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.4,0.23529411764705882,0.5384615384615384,0.5384615384615384,0.7692307692307693,0.625,0.29389312977099236,0.4817927170868347,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.5,0.5,1.0,0.9071803852889667,0.5,0.5,1.0,0.7777777777777778,0.0,0.0,0.8666666666666667,0.8666666666666667,0,0
Cameron Guthrie,0.3333333333333333,0.2631578947368421,1.0,1.0,0.7727272727272727,0.7727272727272727,0.14285714285714285,0.1111111111111111,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.4,0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5294117647058824,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.5625,0.1793893129770992,0.39775910364145656,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.4,0.625,0.625,0.2625482625482625,0.2381786339754816,0.125,0.125,0.2857142857142857,0.2222222222222222,0.0,0.0,0.7222222222222222,0.7222222222222222,0,0
Joel Selwood,0.7333333333333333,0.5789473684210527,0.5,0.5,0.7272727272727273,0.7272727272727273,0.0,0.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.8,0.4,0.16666666666666666,1.0,1.0,0.25,0.07142857142857142,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.35294117647058826,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.5,0.1412213740458015,0.36974789915966383,0.0,0.0,0.0,0.0,0.4,0.13333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.5,0.5,0.5637065637065637,0.51138353765324,0.75,0.75,0.42857142857142855,0.3333333333333333,0.0,0.0,0.8888888888888888,0.8888888888888888,0,0
Quinton Narkle,0.4666666666666667,0.3684210526315789,0.7857142857142857,0.7857142857142857,0.7272727272727273,0.7272727272727273,0.2857142857142857,0.2222222222222222,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.3333333333333333,0.75,0.6,0.4,0.16666666666666666,0.6,0.6,0.25,0.07142857142857142,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5882352941176471,0.46153846153846156,0.46153846153846156,0.9230769230769231,0.75,0.5610687022900763,0.6778711484593837,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.2,0.875,0.875,0.4517374517374517,0.4098073555166375,0.625,0.625,0.7142857142857143,0.5555555555555556,0.0,0.0,0.7222222222222222,0.7222222222222222,0,0
Thomas Stewart,0.9333333333333333,0.7368421052631579,0.14285714285714285,0.14285714285714285,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.75,0.6,0.2,0.08333333333333333,0.4,0.4,1.0,0.2857142857142857,0.5,0.3333333333333333,0.0,0.0,0.4,0.23529411764705882,0.6153846153846154,0.6153846153846154,0.8461538461538461,0.6875,0.6374045801526718,0.7338935574229691,0.0,0.0,0.0,0.0,0.8,0.26666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.375,0.375,0.7625482625482626,0.691768826619965,0.375,0.375,0.7142857142857143,0.5555555555555556,0.0,0.0,0.9,0.9,0,0
Gryan Miers,0.8,0.631578947368421,0.2857142857142857,0.2857142857142857,0.6363636363636364,0.6363636363636364,0.2857142857142857,0.2222222222222222,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.3333333333333333,1.0,0.8,0.2,0.08333333333333333,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.29411764705882354,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5,0.27480916030534347,0.4677871148459383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.75,0.75,0.5463320463320464,0.4956217162872154,0.5,0.5,0.5714285714285714,0.4444444444444444,0.5,0.5,1.0,1.0,0,0
Gary Ablett,0.5333333333333333,0.42105263157894735,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.5454545454545454,0.2857142857142857,0.2222222222222222,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.8,0.6,0.25,0.8,0.8,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8,0.47058823529411764,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.3125,0.045801526717557224,0.299719887955182,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.4,0.375,0.375,0.527027027027027,0.47810858143607704,0.75,0.75,0.2857142857142857,0.2222222222222222,0.5,0.5,0.8888888888888888,0.8888888888888888,0,0
Esava Ratugolea,0.3333333333333333,0.2631578947368421,0.5,0.5,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.29411764705882354,0.1388888888888889,0.0,0.0,0.25,0.2,0.2,0.08333333333333333,0.6,0.6,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.7,0.4117647058823529,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.375,0.3511450381679389,0.5238095238095237,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.625,0.625,0.18725868725868725,0.16987740805604204,0.375,0.375,0.42857142857142855,0.3333333333333333,0.5,0.5,0.7888888888888889,0.7888888888888889,0,0
