Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Jy Simpkin,0.8571428571428571,0.8461538461538461,1.0,1.0,1.0,1.0,0.25,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.6,0.6,0.16666666666666666,0.16666666666666666,1.0,1.0,0.75,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8004115226337448,0.787746170678337,0.33333333333333337,0.33333333333333337,0.16666666666666666,0.2,0.25,0.5,0.7647058823529411,0.7647058823529411,0,Home,3,0.3333333333333333,0.4,0.3333333333333333,0.5,0.75,0.75,0.7142857142857143,0.7142857142857143,1.0,1.0
Aaron Hall,1.0,1.0,0.46153846153846156,0.46153846153846156,0.7916666666666666,0.75,0.5,0.5714285714285714,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.8,0.8,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,0.38461538461538464,0.3333333333333333,0.8461538461538461,0.8461538461538461,0.8235294117647058,0.7692307692307693,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.25,0.25,0.14285714285714285,0.14285714285714285,1.0,1.0,0.9300411522633745,0.925601750547046,0.5,0.5,0.5,0.6,0.0,0.0,0.5686274509803921,0.5686274509803921,0,Home,0,0.5,0.6,0.5,0.75,0.5,0.5,1.0,1.0,0.7777777777777778,0.7777777777777778
Jasper Pittard,0.8571428571428571,0.8461538461538461,0.46153846153846156,0.46153846153846156,0.7083333333333334,0.65,0.375,0.42857142857142855,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.75,0.6666666666666667,0.23076923076923078,0.16666666666666666,0.7692307692307693,0.7692307692307693,0.5882352941176471,0.46153846153846156,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.7647058823529411,0.7647058823529411,0,Home,0,0.5,0.6,0.3333333333333333,0.5,0.75,0.75,0.14285714285714285,0.14285714285714285,1.0,1.0
Todd Goldstein,0.42857142857142855,0.38461538461538464,0.8461538461538461,0.8461538461538461,0.6666666666666666,0.6,0.25,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4,0.4,0.16666666666666666,0.16666666666666666,0.8,0.8,1.0,1.0,0.9230769230769231,0.9166666666666666,0.3076923076923077,0.3076923076923077,0.7058823529411765,0.6153846153846154,0.3333333333333333,0.5,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.5,0.5,1.0,1.0,0.8571428571428571,0.8571428571428571,0.40329218106995884,0.36542669584245074,0.33333333333333337,0.33333333333333337,0.16666666666666666,0.2,0.0,0.0,0.9215686274509803,0.9215686274509803,0,Home,0,0.16666666666666666,0.2,0.3333333333333333,0.5,0.5,0.5,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.6666666666666666
Trent Dumont,0.5714285714285714,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.625,0.55,0.375,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.6,0.6,0.5,0.5,0.0,0.0,1.0,1.0,0.3076923076923077,0.25,0.8461538461538461,0.8461538461538461,0.6470588235294118,0.5384615384615384,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.6707818930041153,0.649890590809628,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.4,0.0,0.0,0.8235294117647058,0.8235294117647058,0,Home,0,0.3333333333333333,0.4,0.16666666666666666,0.25,0.75,0.75,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666
Robbie Tarrant,0.6428571428571429,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.5,0.4,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.19999999999999996,0.19999999999999996,0.8333333333333334,0.8333333333333334,0.2,0.2,0.75,0.6666666666666667,0.23076923076923078,0.16666666666666666,0.5384615384615384,0.5384615384615384,0.7647058823529411,0.6923076923076923,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.51440329218107,0.48358862144420134,0.33333333333333337,0.33333333333333337,0.8333333333333334,1.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0,Home,0,0.3333333333333333,0.4,0.3333333333333333,0.5,0.5,0.5,0.42857142857142855,0.42857142857142855,0.1111111111111111,0.1111111111111111
Jack Ziebell,0.42857142857142855,0.38461538461538464,0.5384615384615384,0.5384615384615384,0.5,0.4,0.875,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.6,0.0,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.6,0.6,0.0,0.0,0.0,0.0,1.0,1.0,0.46153846153846156,0.4166666666666667,0.5384615384615384,0.5384615384615384,0.6470588235294118,0.5384615384615384,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.8571428571428571,0.8571428571428571,0.588477366255144,0.562363238512035,0.33333333333333337,0.33333333333333337,0.5,0.6,0.0,0.0,0.7647058823529411,0.7647058823529411,0,Home,0,0.8333333333333334,1.0,0.6666666666666666,1.0,0.75,0.75,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333
Jed Anderson,0.6428571428571429,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.5,0.4,0.375,0.42857142857142855,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.6,0.6,0.0,0.0,0.0,0.0,1.0,1.0,0.46153846153846156,0.4166666666666667,0.5384615384615384,0.5384615384615384,0.5294117647058824,0.38461538461538464,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.25,0.14285714285714285,0.14285714285714285,1.0,1.0,0.4074074074074074,0.36980306345733044,0.6666666666666667,0.6666666666666667,0.16666666666666666,0.2,0.25,0.5,0.37254901960784315,0.37254901960784315,0,Home,0,0.5,0.6,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.5555555555555556,0.5555555555555556
Jared Polec,0.2857142857142857,0.23076923076923078,0.5384615384615384,0.5384615384615384,0.4166666666666667,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.5,1.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.8,0.8,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.3076923076923077,0.25,0.5384615384615384,0.5384615384615384,0.5294117647058824,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.22016460905349794,0.17067833698030635,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.4,0.0,0.0,0.7254901960784313,0.7254901960784313,0,Home,0,0.0,0.0,0.0,0.0,0.75,0.75,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333
Shaun Atley,0.35714285714285715,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.4166666666666667,0.3,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3333333333333333,0.3333333333333333,0.2,0.2,0.5,0.33333333333333337,0.38461538461538464,0.3333333333333333,0.38461538461538464,0.38461538461538464,0.5294117647058824,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5164609053497943,0.48577680525164113,0.16666666666666663,0.16666666666666663,0.8333333333333334,1.0,0.0,0.0,0.8431372549019608,0.8431372549019608,0,Home,0,0.3333333333333333,0.4,0.3333333333333333,0.5,0.75,0.75,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333
Luke McDonald,0.2857142857142857,0.23076923076923078,0.5384615384615384,0.5384615384615384,0.4166666666666667,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.2,0.25,0.0,0.23076923076923078,0.16666666666666666,0.46153846153846156,0.46153846153846156,0.5294117647058824,0.38461538461538464,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3374485596707819,0.29540481400437635,0.5,0.5,0.6666666666666666,0.8,0.0,0.0,0.7450980392156863,0.7450980392156863,0,Home,0,0.0,0.0,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333
Shaun Higgins,0.21428571428571427,0.15384615384615385,0.5384615384615384,0.5384615384615384,0.375,0.25,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.8,0.8,0.0,0.0,0.2,0.2,1.0,1.0,0.07692307692307693,0.0,0.6153846153846154,0.6153846153846154,0.6470588235294118,0.5384615384615384,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2839506172839506,0.23851203501094093,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.4,0.25,0.5,0.7843137254901961,0.7843137254901961,0,Home,0,0.3333333333333333,0.4,0.3333333333333333,0.5,0.25,0.25,0.42857142857142855,0.42857142857142855,0.0,0.0
Joshua Walker,0.2857142857142857,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.3333333333333333,0.2,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.2,1.0,1.0,0.46153846153846156,0.4166666666666667,0.3076923076923077,0.3076923076923077,0.4117647058823529,0.23076923076923078,0.6666666666666666,1.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.3230452674897119,0.2800875273522976,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8,0.0,0.0,0.8823529411764706,0.8823529411764706,0,Home,0,0.0,0.0,0.3333333333333333,0.5,0.25,0.25,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.3333333333333333
Paul Ahern,0.2857142857142857,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.3333333333333333,0.2,0.125,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,0.07692307692307693,0.0,0.5384615384615384,0.5384615384615384,0.4117647058823529,0.23076923076923078,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.22839506172839505,0.17943107221006566,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.2,0.0,0.0,0.0784313725490196,0.0784313725490196,0,Home,0,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333
Curtis Taylor,0.2857142857142857,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.3333333333333333,0.2,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.6,0.6,0.16666666666666666,0.16666666666666666,0.4,0.4,0.75,0.6666666666666667,0.23076923076923078,0.16666666666666666,0.46153846153846156,0.46153846153846156,0.35294117647058826,0.15384615384615385,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.4012345679012346,0.36323851203501095,0.5,0.5,0.16666666666666666,0.2,0.0,0.0,0.5294117647058824,0.5294117647058824,0,Home,0,0.3333333333333333,0.4,0.3333333333333333,0.5,0.0,0.0,0.7142857142857143,0.7142857142857143,0.4444444444444444,0.4444444444444444
Jamie MacMillan,0.21428571428571427,0.15384615384615385,0.38461538461538464,0.38461538461538464,0.2916666666666667,0.15,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.2,1.0,1.0,0.15384615384615385,0.08333333333333333,0.3076923076923077,0.3076923076923077,0.4117647058823529,0.23076923076923078,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059670781893004114,0.0,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.4,0.0,0.0,0.3333333333333333,0.3333333333333333,0,Home,0,0.3333333333333333,0.4,0.3333333333333333,0.5,0.75,0.75,0.0,0.0,0.2222222222222222,0.2222222222222222
Mason Wood,0.07142857142857142,0.0,0.5384615384615384,0.5384615384615384,0.2916666666666667,0.15,0.125,0.14285714285714285,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.2,1.0,1.0,0.15384615384615385,0.08333333333333333,0.38461538461538464,0.38461538461538464,0.35294117647058826,0.15384615384615385,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.1440329218106996,0.08971553610503283,0.8333333333333334,0.8333333333333334,0.0,0.0,0.5,1.0,0.49019607843137253,0.49019607843137253,0,Home,0,0.16666666666666666,0.2,0.16666666666666666,0.25,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333
Aiden Bonar,0.14285714285714285,0.07692307692307693,0.38461538461538464,0.38461538461538464,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,0.23076923076923078,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.35294117647058826,0.15384615384615385,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.21810699588477367,0.16849015317286653,1.0,1.0,0.0,0.0,0.25,0.5,0.0,0.0,0,Home,0,0.0,0.0,0.0,0.0,0.75,0.75,0.14285714285714285,0.14285714285714285,0.2222222222222222,0.2222222222222222
Cameron Zurhaar,0.2857142857142857,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.20833333333333334,0.05,0.375,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.8,0.8,0.0,0.0,0.2,0.2,0.75,0.6666666666666667,0.23076923076923078,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.29411764705882354,0.07692307692307693,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.38271604938271603,0.3435448577680525,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.7450980392156863,0.7450980392156863,0,Home,0,0.3333333333333333,0.4,0.3333333333333333,0.5,0.5,0.5,0.42857142857142855,0.42857142857142855,0.2222222222222222,0.2222222222222222
Tarryn Thomas,0.07142857142857142,0.0,0.38461538461538464,0.38461538461538464,0.20833333333333334,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.6,0.6,0.0,0.0,0.2,0.2,0.75,0.6666666666666667,0.23076923076923078,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.35294117647058826,0.15384615384615385,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.25,0.25,0.0,0.0,0.2857142857142857,0.2857142857142857,0.18518518518518517,0.13347921225382933,0.5,0.5,0.3333333333333333,0.4,0.5,1.0,0.5294117647058824,0.5294117647058824,0,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.1111111111111111
Ben Brown,0.35714285714285715,0.3076923076923077,0.0,0.0,0.16666666666666666,0.0,0.375,0.42857142857142855,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.4,1.0,1.0,0.46153846153846156,0.4166666666666667,0.0,0.0,0.23529411764705882,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.24691358024691357,0.19912472647702406,1.0,1.0,0.16666666666666666,0.2,0.0,0.0,1.0,1.0,0,Home,0,0.16666666666666666,0.2,0.16666666666666666,0.25,0.0,0.0,0.8571428571428571,0.8571428571428571,0.2222222222222222,0.2222222222222222
Kyron Hayden,0.07142857142857142,0.0,0.3076923076923077,0.3076923076923077,0.16666666666666666,0.0,0.125,0.14285714285714285,0.0,0.0,0.0,0.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.4,0.4,0.0,0.0,0.0,0.0,0.25,0.0,0.3076923076923077,0.25,0.15384615384615385,0.15384615384615385,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.12757201646090535,0.07221006564551423,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.8,0.0,0.0,0.5882352941176471,0.5882352941176471,0,Home,0,0.16666666666666666,0.2,0.16666666666666666,0.25,1.0,1.0,0.42857142857142855,0.42857142857142855,0.2222222222222222,0.2222222222222222
Josh P. Kennedy,0.7142857142857143,0.7142857142857143,0.8461538461538461,1.0,0.8333333333333334,1.0,0.125,0.125,0.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8,0.6666666666666666,1.0,0.8,0.8,0.0,0.0,0.2,0.2,1.0,1.0,0.8461538461538461,1.0,0.46153846153846156,0.46153846153846156,0.8235294117647058,0.8235294117647058,0.0,0.0,0.0,0.0,0.1111111111111111,0.25,0.0,0.0,1.0,1.0,0.2857142857142857,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.5205761316872428,0.5348837209302325,0.5,0.4,0.5,0.5,0.75,0.75,0.5098039215686274,0.375,1,Away,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.75,1.0,0.7142857142857143,0.7142857142857143,0.8888888888888888,0.8888888888888888
