Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Jackson Macrae,0.5333333333333333,0.5333333333333333,1.0,1.0,1.0,1.0,0.7142857142857143,0.45454545454545453,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.16666666666666666,0.0,0.0,0.5,0.5,0.0,0.0,0.9090909090909091,0.9090909090909091,1.0,0.7647058823529411,0.8333333333333334,0.8421052631578947,0.636513157894737,0.5802098950524738,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.75,0.75,1.0,0.8333333333333334,0.43843843843843844,0.3386363636363636,0.5,0.5,0.5,0.5,0.5,0.5,0.21875,0.6794871794871795,0.5,3
Caleb Daniel,1.0,1.0,0.35714285714285715,0.4,0.8947368421052632,0.9047619047619048,0.8571428571428571,0.5454545454545454,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,1.0,1.0,0.25,0.25,0.0,0.0,0.45454545454545453,0.45454545454545453,0.9090909090909091,0.7058823529411765,1.0,1.0,0.949013157894737,0.8650674662668666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25,1.0,0.8333333333333334,0.975975975975976,0.7454545454545455,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.7948717948717948,0.5,1
Jason Johannisen,0.8,0.8,0.35714285714285715,0.4,0.7368421052631579,0.7619047619047619,0.5714285714285714,0.36363636363636365,0.0,0.0,0.5,0.5,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.0,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5882352941176471,0.5555555555555556,0.5789473684210527,0.5213815789473685,0.47526236881559225,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.948948948948949,0.725,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5625,0.8205128205128205,0.5,0
Thomas Liberatore,0.4666666666666667,0.4666666666666667,0.5714285714285714,0.6,0.631578947368421,0.6666666666666666,0.42857142857142855,0.2727272727272727,1.0,0.5,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.8,0.4,0.3333333333333333,0.0,0.0,0.25,0.25,0.5,0.3333333333333333,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5294117647058824,0.7222222222222222,0.7368421052631579,0.899671052631579,0.8200899550224887,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.2882882882882883,0.225,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.21875,0.6794871794871795,0.5,0
Toby McLean,0.4,0.4,0.5714285714285714,0.6,0.5789473684210527,0.6190476190476191,0.42857142857142855,0.2727272727272727,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.2,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.8181818181818182,0.6470588235294118,0.6111111111111112,0.631578947368421,0.8009868421052633,0.7301349325337332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.3333333333333333,0.5375375375375375,0.41363636363636364,1.0,1.0,0.5,0.5,0.0,0.0,0.375,0.7435897435897436,0.5,0
Bailey Smith,0.6,0.6,0.35714285714285715,0.4,0.5789473684210527,0.6190476190476191,0.0,0.0,1.0,0.5,0.5,0.5,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.2,0.4,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.6666666666666666,0.18181818181818182,0.18181818181818182,1.0,0.7647058823529411,0.7222222222222222,0.7368421052631579,0.9983552631578948,0.9100449775112444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.25,0.75,0.6666666666666666,1.0,0.7636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.7435897435897436,0.5,0
Hayden Crozier,0.6666666666666666,0.6666666666666666,0.21428571428571427,0.26666666666666666,0.5263157894736842,0.5714285714285714,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.9090909090909091,0.7058823529411765,0.5,0.5263157894736842,0.6858552631578948,0.6251874062968515,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.6666666666666666,0.4594594594594595,0.35454545454545455,0.16666666666666666,0.16666666666666666,0.5,0.5,0.0,0.0,0.53125,0.8076923076923077,0.5,0
Marcus Bontempelli,0.4666666666666667,0.4666666666666667,0.42857142857142855,0.4666666666666667,0.5263157894736842,0.5714285714285714,0.42857142857142855,0.2727272727272727,1.0,0.5,0.0,0.0,0.7142857142857143,0.7142857142857143,0.08333333333333333,0.04,1.0,1.0,0.8,0.8,0.6,0.6,1.0,0.8333333333333334,0.0,0.0,0.25,0.25,1.0,0.6666666666666666,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.5294117647058824,0.3888888888888889,0.42105263157894735,0.4720394736842106,0.43028485757121443,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,1.0,1.0,0.25,0.25,0.5,0.5,0.7597597597597597,0.5818181818181818,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,0.8125,0.9230769230769231,0.5,0
Josh Dunkley,0.13333333333333333,0.13333333333333333,0.7857142857142857,0.8,0.5263157894736842,0.5714285714285714,0.2857142857142857,0.18181818181818182,1.0,0.5,0.0,0.0,0.8571428571428571,0.8571428571428571,0.16666666666666666,0.08,1.0,1.0,0.2,0.2,0.6,0.6,0.4,0.3333333333333333,0.0,0.0,0.75,0.75,1.0,0.6666666666666666,1.0,1.0,0.18181818181818182,0.23529411764705882,0.6111111111111112,0.631578947368421,0.8832236842105264,0.8050974512743628,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,1.0,1.0,0.25,0.25,0.75,0.6666666666666666,0.05405405405405406,0.04772727272727273,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.25,0.6923076923076923,0.5,0
Bailey Williams,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.2,0.47368421052631576,0.5238095238095238,0.8571428571428571,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.7058823529411765,0.4444444444444444,0.47368421052631576,0.6529605263157896,0.5952023988005997,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.7267267267267268,0.5568181818181818,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.7948717948717948,0.5,0
